Villanova (6) ,67,Final
Syracuse,53,
UTEP,52,Final
Kansas (8) ,78,
Southern,64,Final
Kentucky (10) ,76,
Charlotte,66,Final
Arkansas (12) ,86,
Texas Tech,57,Final
Tennessee (13) ,52,OT
Eastern Kentucky,68,Final
USC (16) ,80,
Albany (NY),52,Final
Yale,71,
Belmont,64,Final
Saint Louis,59,
Boise State,74,Final
Cal State Northridge,48,
Bradley,65,Final
Toledo,67,
Brown,76,Final
Merrimack,56,
Bucknell,69,Final
Princeton,82,
Butler,66,Final
Oklahoma,62,OT
Champion Christian,67,Final
Houston Baptist,84,
College of Charleston,86,Final
Tulane,72,
Columbia International,56,Final
Campbell,74,
Dallas Christian,65,Final
Tarleton State,84,
Duquesne,67,Final
DePaul,87,
East-West,58,Final
Valparaiso,101,
Eastern Illinois,44,Final
Missouri,72,
Fairleigh Dickinson,55,Final
La Salle,81,
Florida Gulf Coast,69,Final
Florida A&M,55,
Furman,80,Final
Winthrop,85,
Guilford,59,Final
High Point,64,
Jacksonville,58,Final
Georgia,69,
Loyola Marymount,60,Final
Tulsa,55,
UMass,76,Final
Northeastern,82,
Michigan,102,Final
Nebraska,67,
Mount St. Mary's,77,Final
Santa Clara,88,
Navy,65,Final
George Mason,71,
North Carolina A&T,71,Final
East Carolina,82,
North Dakota,71,Final
California Baptist,89,
North Dakota State,49,Final
Montana State,68,
Oakland,72,Final
Bowling Green State,73,
Old Dominion,74,Final
William & Mary,59,
Purchase College,40,Final
Army,97,
Roosevelt,49,Final
Loyola (IL),88,
Sacred Heart,62,Final
Rhode Island,72,
South Dakota,69,Final
Northern Colorado,74,
Temple,72,Final
Vanderbilt,68,OT
Vermont,58,Final
Providence,68,
Virginia,49,Final
James Madison,52,
