"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",69.9413,144,68.9133,154,102.883,140,99.5369,207,94.3442,84,98.3566,109,1.18038,152
"2022","Air Force",64.4344,333,64.2565,336,100.644,175,95.5774,278,89.9924,41,102.789,213,-7.21174,258
"2022","Akron",65.5167,316,65.7086,309,98.7237,204,102.051,156,100.48,175,100.762,162,1.28939,150
"2022","Alabama",75.5687,8,73.0528,17,114.643,22,114.198,8,93.7226,77,90.8921,24,23.306,9
"2022","Alabama A&M",71.7725,73,69.3749,131,82.9871,346,89.2892,347,112.957,331,106.366,291,-17.0769,334
"2022","Alabama St.",74.6017,20,72.7022,22,90.6872,302,88.2564,351,111.584,325,106.11,286,-17.854,338
"2022","Albany",68.6429,204,67.2077,246,84.1143,342,90.6087,341,103.961,232,103.281,226,-12.6724,310
"2022","Alcorn St.",68.1875,229,68.0791,197,90.7892,301,91.6996,336,105.596,255,104.812,258,-13.1125,316
"2022","American",70.1326,133,69.0745,145,91.6641,289,93.6132,309,115.249,344,108.819,334,-15.2062,326
"2022","Appalachian St.",64.3679,335,65.1422,325,98.9844,200,99.7561,203,98.7412,151,100.003,140,-0.2466,169
"2022","Arizona",75.2255,11,72.5855,23,119.592,8,110.808,29,74.8207,1,89.9329,11,20.8753,20
"2022","Arizona St.",68.3,223,68.193,190,93.0796,275,103.387,127,100.711,178,96.3807,79,7.00619,100
"2022","Arkansas",73.8938,32,72.7045,21,112.262,29,111.082,28,91.4944,60,92.0088,35,19.073,26
"2022","Arkansas Pine Bluff",71.1069,96,70.2836,87,85.4434,333,86.5812,354,120.472,356,112.843,352,-26.2615,357
"2022","Arkansas St.",68.5425,212,67.708,215,98.8092,203,101.214,178,105.378,250,104.517,252,-3.30222,205
"2022","Army",71.3536,87,71.9258,34,93.1736,272,95.4798,280,98.4317,148,103.113,221,-7.63289,264
"2022","Auburn",71.3997,85,71.4956,46,111.074,42,112.29,18,89.9044,40,90.8374,23,21.4521,15
"2022","Austin Peay",67.13,265,68.4586,176,95.1788,241,96.5437,262,105.872,261,106.254,288,-9.71061,285
"2022","Ball St.",72.7786,48,70.999,62,106.691,85,100.55,190,110.37,316,107.127,307,-6.57714,252
"2022","Baylor",71.4047,83,69.0056,151,117.884,12,116.56,6,79.6665,3,89.2025,6,27.3575,3
"2022","Bellarmine",67.0661,268,66.0888,295,92.3622,280,103.748,119,118.626,351,106.324,290,-2.57613,197
"2022","Belmont",71.0671,100,70.7686,68,108.808,65,109.936,36,99.2235,158,98.0868,106,11.8494,59
"2022","Bethune Cookman",66.5214,291,66.8102,264,91.2775,291,91.0177,339,112.39,330,113.499,354,-22.4814,353
"2022","Binghamton",69.341,173,67.871,205,94.8327,247,94.0378,303,107.347,281,107.138,308,-13.1003,315
"2022","Boise St.",65.1964,322,65.9753,300,96.4556,228,102.973,135,90.8914,48,93.2104,46,9.76252,81
"2022","Boston College",64.1833,339,64.8627,329,106.276,88,103.625,123,93.1978,74,98.0758,103,5.5496,113
"2022","Boston University",63.5406,351,64.262,335,103.22,136,103.049,131,97.184,129,102.068,192,0.98046,156
"2022","Bowling Green",72.9351,44,71.853,39,100.805,173,103.537,126,104.173,234,103.749,233,-0.212041,168
"2022","Bradley",70.0859,138,68.2675,184,97.2457,220,98.128,233,94.4096,85,99.8601,139,-1.73214,187
"2022","Brown",69.6937,153,68.5293,171,96.9946,223,95.5051,279,95.7202,111,98.4248,111,-2.91973,201
"2022","Bryant",71.1927,93,71.6734,41,90.5166,303,98.3444,230,108.83,303,104.553,254,-6.20859,249
"2022","Bucknell",72.0045,67,71.4177,49,99.8388,183,96.2619,267,111.02,320,109.149,336,-12.8869,312
"2022","Buffalo",73.2,38,72.7349,20,109.084,61,109.714,39,103.872,229,100.044,142,9.66976,82
"2022","Butler",64.3125,336,63.6299,342,94.53,255,104.262,112,92.7673,71,95.2393,60,9.02299,87
"2022","BYU",67.6496,248,68.1038,195,106.722,84,110.492,33,90.3518,44,91.2539,26,19.2386,24
"2022","Cal Baptist",66.7583,278,67.8921,203,104.274,120,102.521,149,97.5842,135,106.283,289,-3.76123,218
"2022","Cal Poly",65.1532,323,64.7636,332,91.3881,290,92.0663,328,101.74,190,105.205,264,-13.1392,317
"2022","Cal St. Bakersfield",68.9875,188,66.8589,262,81.1444,349,97.3006,251,98.2839,144,100.597,160,-3.29593,204
"2022","Cal St. Fullerton",66.4766,292,66.2309,290,104.766,112,102.606,147,101.579,186,104.579,255,-1.97283,192
"2022","Cal St. Northridge",64.2625,337,64.6762,333,86.6089,327,95.0501,287,104.105,233,104.205,245,-9.15505,281
"2022","California",65.9616,303,65.7464,306,96.8988,225,101.13,181,97.9938,141,95.7589,66,5.37093,114
"2022","Campbell",63.0187,353,62.6398,354,100.142,179,102.692,145,99.8139,168,101.725,182,0.967627,157
"2022","Canisius",71.0929,98,69.6417,112,98.2154,212,98.1826,232,110.228,315,106.887,303,-8.70396,276
"2022","Central Arkansas",74.2375,26,73.0772,16,86.1973,329,92.8714,321,115.4,345,111.312,345,-18.4401,340
"2022","Central Connecticut",66.7194,282,65.7791,305,89.553,309,91.7367,335,110.719,318,112.469,348,-20.7324,348
"2022","Central Michigan",71.1857,94,69.2177,137,85.0318,336,95.0731,286,116.685,349,108.682,328,-13.6093,321
"2022","Charleston",79.354,1,77.5366,1,101.789,157,100.337,194,100.534,176,103.103,219,-2.76565,199
"2022","Charleston Southern",75.1354,13,73.2782,13,80.9476,351,89.6429,344,115.154,343,109.571,338,-19.9285,345
"2022","Charlotte",66.7339,281,66.1675,291,105.689,100,100.585,189,110.143,314,105.476,270,-4.89156,231
"2022","Chattanooga",63.5438,350,62.5854,355,110.911,43,105.254,96,93.824,78,100.169,145,5.08558,117
"2022","Chicago St.",69.6609,156,68.8688,156,88.0366,320,85.7637,356,103.117,213,110.007,339,-24.2435,356
"2022","Cincinnati",67.6875,247,67.2656,242,103.576,131,103.31,128,85.9097,17,93.01,42,10.3001,72
"2022","Clemson",66.9444,271,66.4727,277,109.687,53,108.801,47,97.3579,131,96.0552,74,12.7454,54
"2022","Cleveland St.",68.4104,219,66.7469,269,101.48,162,101.633,165,97.8666,140,100.639,161,0.993759,155
"2022","Coastal Carolina",69.6825,154,69.139,142,97.7609,214,97.5392,243,93.4289,76,100.022,141,-2.48319,195
"2022","Colgate",68.7143,203,68.4862,175,106.01,95,107.674,67,108.599,301,103.953,241,3.72089,132
"2022","Colorado",67.7011,246,66.9086,257,106.08,93,107.871,60,99.7766,165,97.0385,89,10.8323,68
"2022","Colorado St.",70.1844,130,69.5403,122,120.875,5,113.509,12,97.1193,127,98.1143,107,15.3943,40
"2022","Columbia",68.7698,198,68.5045,173,96.3328,230,93.1413,314,112.045,329,112.765,351,-19.6237,343
"2022","Connecticut",70.8348,107,69.0511,147,116.192,15,111.759,21,84.2706,10,92.6763,38,19.0828,25
"2022","Coppin St.",72.4719,53,71.8813,37,89.208,313,92.5758,323,107.387,282,105.658,274,-13.0824,314
"2022","Cornell",75.4625,9,73.4545,9,112.226,31,101.653,164,102.246,198,105.371,269,-3.71825,217
"2022","Creighton",68.4097,220,67.6052,224,105.73,98,106.896,80,95.69,109,96.5565,82,10.3396,71
"2022","Dartmouth",66.8225,276,66.2825,288,92.0762,285,94.5699,295,101.947,194,102.035,191,-7.46482,260
"2022","Davidson",66.6203,286,66.0553,296,112.251,30,108.713,50,96.3272,117,97.8252,98,10.888,67
"2022","Dayton",65.8958,309,64.0994,337,108.731,68,104.972,105,95.3959,104,97.0298,88,7.94195,92
"2022","Delaware",68.4745,215,67.8976,202,108.21,74,105.594,93,103.515,222,103.683,232,1.91122,146
"2022","Delaware St.",69.4425,166,69.3433,133,83.2294,344,87.7421,352,105.467,251,110.585,343,-22.8425,354
"2022","Denver",66.1028,299,66.8609,261,98.9958,199,92.4037,325,100.706,177,108.341,325,-15.9372,330
"2022","DePaul",73.9375,31,72.0352,32,114.524,24,104.223,114,94.5568,89,98.0351,102,6.18831,106
"2022","Detroit Mercy",65.9321,305,66.75,268,99.3384,193,104.696,108,113.305,332,108.132,321,-3.43548,211
"2022","Dixie St.",75.6458,6,73.9979,7,93.8863,267,96.2812,266,114.92,342,108.811,333,-12.5294,306
"2022","Drake",67.5104,252,67.2911,241,108.185,75,108.151,56,98.35,146,96.8649,85,11.2863,62
"2022","Drexel",67.9091,241,67.3123,240,105.465,104,103.807,116,103.951,231,103.756,234,0.0504057,167
"2022","Duke",72.0344,66,70.4837,80,115.487,18,114.046,10,90.9381,50,90.1093,14,23.9371,7
"2022","Duquesne",68.6162,207,66.835,263,101.093,168,99.3406,218,103.946,230,102.499,206,-3.15817,203
"2022","East Carolina",69.4944,164,68.8482,158,105.201,107,101.664,163,97.8186,138,101.039,168,0.625383,159
"2022","East Tennessee St.",65.3464,319,65.1686,323,97.063,222,103.045,132,100.298,172,99.0172,121,4.02737,129
"2022","Eastern Illinois",69.3125,177,68.4035,178,75.7871,356,87.2923,353,102.609,201,107.895,318,-20.6028,346
"2022","Eastern Kentucky",73.7768,33,73.3242,11,106.121,91,102.409,152,99.601,164,104.353,248,-1.94377,191
"2022","Eastern Michigan",74.3004,25,70.8341,66,93.9126,265,96.8169,257,107.089,277,105.646,272,-8.82881,278
"2022","Eastern Washington",74.1554,30,73.145,15,102.21,148,101.512,170,106.371,270,105.747,277,-4.23506,225
"2022","Elon",69.8911,145,70.5791,72,94.5664,254,99.1268,219,114.494,340,107.096,306,-7.96894,267
"2022","Evansville",63.2183,352,63.8137,339,90.8772,299,97.2807,252,99.0647,156,101.897,187,-4.61597,227
"2022","Fairfield",65.6405,314,65.4956,315,108.764,66,100.753,188,108.075,294,104.335,247,-3.58165,212
