,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
American,2022-01-19 18:00:00,340,68.00,9.0,20.00,138.5,18.18,21.7,64.8,73.8
Army,2022-01-19 18:00:00,-450,4.44,-9.0,16.67,138.5,18.18,78.3,73.8,64.8
Mississippi State,2022-01-19 18:30:00,200,40.00,6.0,18.18,140.0,20.00,31.8,67.0,73.0
Florida,2022-01-19 18:30:00,-250,8.00,-6.0,18.18,140.0,16.67,68.2,73.0,67.0
Hampton,2022-01-19 18:30:00,245,49.00,7.0,19.05,132.5,18.18,27.7,62.8,69.8
Radford,2022-01-19 18:30:00,-310,6.45,-7.0,17.39,132.5,18.18,72.3,69.8,62.8
North Carolina A&T,2022-01-19 18:30:00,165,33.00,4.5,18.18,140.0,18.18,36.3,67.8,72.3
UNC-Asheville,2022-01-19 18:30:00,-195,10.26,-4.5,18.18,140.0,18.18,63.7,72.3,67.8
Albany,2022-01-19 19:00:00,195,39.00,6.0,19.05,135.0,18.18,32.4,64.5,70.5
Maryland-Baltimore County,2022-01-19 19:00:00,-240,8.33,-6.0,17.39,135.0,18.18,67.6,70.5,64.5
Maine,2022-01-19 19:00:00,575,115.00,12.5,18.18,130.5,18.18,14.2,59.0,71.5
Massachusetts-Lowell,2022-01-19 19:00:00,-850,2.35,-12.5,18.18,130.5,18.18,85.8,71.5,59.0
New Hampshire,2022-01-19 19:00:00,-135,14.81,-3.0,18.18,136.5,18.18,55.3,69.8,66.8
Hartford,2022-01-19 19:00:00,115,23.00,3.0,18.18,136.5,18.18,44.7,66.8,69.8
Stony Brook,2022-01-19 19:00:00,-180,11.11,-4.5,18.18,142.0,18.18,62.1,73.3,68.8
Binghamton,2022-01-19 19:00:00,155,31.00,4.5,18.18,142.0,18.18,37.9,68.8,73.3
Vermont,2022-01-19 19:00:00,-760,2.63,-14.0,17.39,135.0,18.18,84.7,74.5,60.5
NJIT,2022-01-19 19:00:00,525,105.00,14.0,19.05,135.0,18.18,15.3,60.5,74.5
Louisiana State,2022-01-19 19:00:00,145,29.00,4.0,17.39,150.0,19.05,39.6,73.0,77.0
Alabama,2022-01-19 19:00:00,-165,12.12,-4.0,19.05,150.0,17.39,60.4,77.0,73.0
Northern Iowa,2022-01-19 19:00:00,-195,10.26,-5.0,17.39,139.0,17.39,63.7,72.0,67.0
Valparaiso,2022-01-19 19:00:00,165,33.00,5.0,19.05,139.0,19.05,36.3,67.0,72.0
Mercer,2022-01-19 19:00:00,165,33.00,4.5,18.18,142.0,19.05,36.3,68.8,73.3
E. Tennessee State,2022-01-19 19:00:00,-195,10.26,-4.5,18.18,142.0,17.39,63.7,73.3,68.8
Western Carolina,2022-01-19 19:00:00,950,190.00,16.0,19.05,152.0,16.67,9.1,68.0,84.0
Furman,2022-01-19 19:00:00,-1750,1.14,-16.0,17.39,152.0,20.00,90.9,84.0,68.0
Citadel,2022-01-19 19:00:00,650,130.00,12.5,18.18,147.0,18.18,12.8,67.3,79.8
Wofford,2022-01-19 19:00:00,-1000,2.00,-12.5,18.18,147.0,18.18,87.2,79.8,67.3
Virginia Tech,2022-01-19 19:00:00,-120,16.67,-1.0,17.39,136.0,18.18,52.2,68.5,67.5
North Carolina State,2022-01-19 19:00:00,100,20.00,1.0,19.05,136.0,18.18,47.8,67.5,68.5
Wake Forest,2022-01-19 19:00:00,-140,14.29,-2.5,18.18,141.0,17.39,56.2,71.8,69.3
Georgia Tech,2022-01-19 19:00:00,120,24.00,2.5,18.18,141.0,19.05,43.8,69.3,71.8
Boston College,2022-01-19 19:00:00,250,50.00,7.5,18.18,138.5,17.39,27.3,65.5,73.0
Louisville,2022-01-19 19:00:00,-320,6.25,-7.5,18.18,138.5,19.05,72.7,73.0,65.5
Campbell,2022-01-19 19:00:00,115,23.00,2.0,19.05,129.0,19.05,44.7,63.5,65.5
Longwood,2022-01-19 19:00:00,-135,14.81,-2.0,17.39,129.0,17.39,55.3,65.5,63.5
High Point,2022-01-19 19:00:00,-240,8.33,-5.5,19.05,138.0,20.00,67.6,71.8,66.3
Charleston Southern,2022-01-19 19:00:00,195,39.00,5.5,17.39,138.0,16.67,32.4,66.3,71.8
USC Upstate,2022-01-19 19:00:00,450,90.00,12.5,18.18,141.0,18.18,17.4,64.3,76.8
Gardner-Webb,2022-01-19 19:00:00,-630,3.17,-12.5,18.18,141.0,18.18,82.6,76.8,64.3
St. John's,2022-01-19 19:00:00,140,28.00,3.5,20.00,150.0,17.39,40.4,73.3,76.8
Creighton,2022-01-19 19:00:00,-160,12.50,-3.5,16.67,150.0,19.05,59.6,76.8,73.3
Boston University,2022-01-19 19:00:00,-120,16.67,-2.0,19.05,133.0,18.18,52.2,67.5,65.5
Loyola (MD),2022-01-19 19:00:00,100,20.00,2.0,17.39,133.0,18.18,47.8,65.5,67.5
Lehigh,2022-01-19 19:00:00,600,120.00,12.5,18.18,133.0,20.00,13.7,60.3,72.8
Navy,2022-01-19 19:00:00,-900,2.22,-12.5,18.18,133.0,16.67,86.3,72.8,60.3
Colgate,2022-01-19 19:00:00,-590,3.39,-10.0,17.39,151.5,18.18,81.8,80.8,70.8
Bucknell,2022-01-19 19:00:00,425,85.00,10.0,19.05,151.5,18.18,18.2,70.8,80.8
George Washington,2022-01-19 19:00:00,350,70.00,9.5,18.18,147.0,18.18,21.2,68.8,78.3
St. Joseph's,2022-01-19 19:00:00,-475,4.21,-9.5,18.18,147.0,18.18,78.8,78.3,68.8
Rider,2022-01-19 19:00:00,180,36.00,5.5,18.18,143.5,19.05,34.2,69.0,74.5
Quinnipiac,2022-01-19 19:00:00,-220,9.09,-5.5,18.18,143.5,17.39,65.8,74.5,69.0
La Salle,2022-01-19 19:00:00,600,120.00,13.0,17.39,135.0,17.39,13.7,61.0,74.0
Rhode Island,2022-01-19 19:00:00,-900,2.22,-13.0,19.05,135.0,19.05,86.3,74.0,61.0
Bradley,2022-01-19 20:00:00,,,,,,,,,
Drake,2022-01-19 20:00:00,,,,,,,,,
Illinois State,2022-01-19 20:00:00,,,,,,,,,
Missouri State,2022-01-19 20:00:00,,,,,,,,,
Indiana State,2022-01-19 20:00:00,,,,,,,,,
Southern Illinois,2022-01-19 20:00:00,,,,,,,,,
TCU,2022-01-19 20:00:00,175,35.00,5.0,19.05,134.5,17.39,34.9,64.8,69.8
Oklahoma State,2022-01-19 20:00:00,-210,9.52,-5.0,17.39,134.5,19.05,65.1,69.8,64.8
Marquette,2022-01-19 20:00:00,650,130.00,13.5,19.05,140.0,20.00,12.8,63.3,76.8
Villanova,2022-01-19 20:00:00,-1000,2.00,-13.5,17.39,140.0,16.67,87.2,76.8,63.3
Kentucky,2022-01-19 20:30:00,-310,6.45,-7.0,17.39,142.0,16.67,72.3,74.5,67.5
Texas A&M,2022-01-19 20:30:00,245,49.00,7.0,19.05,142.0,20.00,27.7,67.5,74.5
Iowa,2022-01-19 20:30:00,-160,12.50,-3.5,18.18,151.0,18.18,59.6,77.3,73.8
Rutgers,2022-01-19 20:30:00,140,28.00,3.5,18.18,151.0,18.18,40.4,73.8,77.3
San Jose State,2022-01-19 21:00:00,1100,220.00,17.0,18.18,140.5,19.05,8.0,61.8,78.8
Wyoming,2022-01-19 21:00:00,-2200,0.91,-17.0,18.18,140.5,17.39,92.0,78.8,61.8
Georgia,2022-01-19 21:00:00,2000,400.00,21.5,18.18,151.5,18.18,4.6,65.0,86.5
Auburn,2022-01-19 21:00:00,-5000,0.40,-21.5,18.18,151.5,18.18,95.4,86.5,65.0
Virginia,2022-01-19 21:00:00,-160,12.50,-3.5,18.18,116.0,20.00,59.6,59.8,56.3
Pittsburgh,2022-01-19 21:00:00,140,28.00,3.5,18.18,116.0,16.67,40.4,56.3,59.8
Xavier,2022-01-19 21:00:00,,,,,,,,,
DePaul,2022-01-19 21:00:00,,,,,,,,,
New Mexico,2022-01-19 22:00:00,950,190.00,16.0,18.18,151.0,16.67,9.1,67.5,83.5
Colorado State,2022-01-19 22:00:00,-1750,1.14,-16.0,18.18,151.0,20.00,90.9,83.5,67.5
