"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",71.7181,47,70.785,35,98.4037,238,99.2285,250,95.5079,60,98.3275,80,0.900946,152
"2022","Air Force",63.2035,348,62.437,346,94.4334,293,95.8668,302,97.0819,81,100.697,130,-4.83041,231
"2022","Akron",64.618,336,62.7685,344,104.837,107,103.785,152,99.788,140,102.789,164,0.996719,151
"2022","Alabama",73.1956,18,71.3742,26,111.139,29,116.814,10,102.223,196,97.4194,67,19.3947,20
"2022","Alabama A&M",68.5272,178,65.9022,263,84.3646,355,87.037,355,100.427,152,103.533,181,-16.4958,333
"2022","Alabama St.",71.8106,42,70.0418,60,91.3688,326,93.5953,328,104.765,256,106.762,255,-13.1665,313
"2022","Albany",66.8789,271,65.7445,274,92.2139,315,93.265,334,98.4778,115,102.298,157,-9.03306,277
"2022","Alcorn St.",67.6816,235,66.432,240,93.8281,299,100.285,228,106.94,290,107.043,265,-6.75873,252
"2022","American",66.0123,301,64.5041,321,96.8245,263,96.1756,297,111.163,334,113.986,344,-17.8104,337
"2022","Appalachian St.",64.2507,341,62.9953,341,99.7803,214,102.036,195,103.873,235,102.38,160,-0.344013,171
"2022","Arizona",74.6272,4,73.5625,2,115.916,8,116.689,11,86.4411,6,88.3091,7,28.3797,3
"2022","Arizona St.",68.3239,194,67.8697,148,91.4606,325,100.25,230,100.12,145,97.682,70,2.56827,135
"2022","Arkansas",72.6028,26,71.5466,19,107.351,66,110.559,51,93.4761,34,95.0438,42,15.515,36
"2022","Arkansas Pine Bluff",69.1303,140,67.287,180,87.3276,349,92.4354,338,115.832,353,117.895,357,-25.4593,354
"2022","Arkansas St.",69.3166,132,68.2371,124,103.899,130,103.762,154,100.511,155,104.469,203,-0.707695,179
"2022","Army",70.0394,98,69.4122,77,98.4627,235,98.465,258,102.411,199,107.096,267,-8.63084,272
"2022","Auburn",70.7211,77,69.0952,88,110.589,32,115.714,14,90.7246,16,89.5759,11,26.1377,8
"2022","Austin Peay",68.1712,208,67.3704,178,94.0187,298,97.0443,282,105.328,267,107.88,286,-10.836,297
"2022","Ball St.",72.1699,36,69.5836,74,102.265,159,102.286,190,107.493,301,108.466,298,-6.17925,247
"2022","Baylor",68.9844,149,67.4782,168,113.78,13,118.934,5,86.3335,5,88.3011,6,30.6327,2
"2022","Bellarmine",64.7119,335,62.95,343,102.229,162,106.181,113,111.819,338,109.11,311,-2.92888,208
"2022","Belmont",70.4818,83,69.0528,91,111.884,24,112.528,31,98.2489,108,100.158,118,12.3699,60
"2022","Bethune Cookman",67.5806,241,66.5068,236,87.7529,347,89.0784,352,102.889,218,107.161,268,-18.0822,340
"2022","Binghamton",68.3639,189,67.0911,189,97.6728,250,95.6443,305,102.63,209,107.317,274,-11.6726,303
"2022","Boise St.",65.9123,305,65.4084,285,99.8974,212,103.453,162,87.6114,8,88.4904,8,14.9622,41
"2022","Boston College",65.6737,316,65.0888,302,100.03,210,103.513,159,100.885,168,101.863,150,1.65022,145
"2022","Boston University",64.3372,339,64.2538,324,105.442,95,105.09,129,99.7791,139,105.81,232,-0.720248,180
"2022","Bowling Green",73.3072,16,71.7159,13,107.024,68,106.716,100,108.317,310,110.15,319,-3.4335,216
"2022","Bradley",68.4265,184,67.488,167,103.774,134,105.589,121,96.6989,74,97.9767,76,7.61215,95
"2022","Brown",69.2257,138,68.0237,140,100.494,200,101.139,216,100.527,156,100.872,133,0.267806,158
"2022","Bryant",70.4208,87,70.4514,44,102.278,158,103.833,150,103.831,231,106.441,243,-2.60802,205
"2022","Bucknell",69.4049,128,68.5562,109,97.6221,251,96.4832,293,112.235,343,114.624,349,-18.1411,341
