"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",71.5808,62,71.5334,53,101.058,181,99.8788,216,88.1407,19,95.21,61,4.66883,122
"2022","Air Force",63.0654,352,63.9392,342,93.2156,287,93.3606,322,95.2323,72,101.432,163,-8.07097,264
"2022","Akron",65.765,312,64.8848,330,102.938,135,103.746,131,99.275,143,100.83,153,2.91625,133
"2022","Alabama",73.3786,21,72.1931,33,112.192,23,115.704,10,99.1057,141,93.258,41,22.4456,16
"2022","Alabama A&M",67.9677,229,66.1409,301,86.3154,336,88.3191,352,101.191,188,103.051,201,-14.7319,323
"2022","Alabama St.",72.8689,31,72.1322,34,90.3168,316,90.7821,341,108.55,304,107.39,294,-16.6077,335
"2022","Albany",67.1,266,66.5949,279,87.647,328,90.7911,340,99.8182,159,101.659,166,-10.8675,297
"2022","Alcorn St.",67.7971,239,68.1116,201,87.7988,326,94.2688,307,108.915,312,104.473,238,-10.2045,288
"2022","American",67.8958,232,66.9539,258,94.0677,274,94.8962,297,111.874,334,109.915,333,-15.0184,325
"2022","Appalachian St.",65.1802,329,64.3937,333,97.2527,237,99.1662,228,104.717,250,101.763,168,-2.597,202
"2022","Arizona",75.2512,5,74.539,4,118.531,4,115.282,11,85.6724,8,90.2283,14,25.0534,8
"2022","Arizona St.",68.1572,218,68.9307,169,91.3734,306,100.572,201,98.1376,125,94.8178,56,5.75448,115
"2022","Arkansas",73.2366,27,73.369,17,109.31,41,109.422,41,96.9094,102,96.2838,72,13.1385,49
"2022","Arkansas Pine Bluff",68.2183,215,67.7718,218,86.8201,332,89.738,346,119.08,357,116.664,357,-26.9258,356
"2022","Arkansas St.",69.7988,141,69.6182,127,101.455,170,101.125,188,98.748,134,103.228,206,-2.10266,193
"2022","Army",71.7373,57,71.7191,46,97.1815,238,97.61,253,102.925,227,105.814,266,-8.20451,267
"2022","Auburn",71.7811,55,71.1532,68,109.349,40,112.838,21,87.0462,15,88.0934,6,24.7443,9
"2022","Austin Peay",68.8388,180,69.418,139,93.7461,277,95.6817,281,108.394,302,108.27,315,-12.5885,311
"2022","Ball St.",72.5,40,70.7067,79,101.404,172,99.9487,213,108.221,301,108.09,313,-8.141,266
"2022","Baylor",70.7116,94,69.9346,109,117.669,9,118.795,4,83.9936,5,88.5027,7,30.2928,1
"2022","Bellarmine",65.5075,320,64.915,329,96.861,242,104.817,106,118.102,353,108.37,317,-3.55315,218
"2022","Belmont",70.6566,96,70.4016,95,108.544,48,110.169,37,98.3919,129,97.3597,89,12.8092,51
"2022","Bethune Cookman",67.249,259,67.4125,239,86.1373,338,90.0305,344,107.137,286,109.954,334,-19.9232,346
"2022","Binghamton",67.8104,237,66.876,264,94.5841,266,94.1667,309,105.642,268,107.408,296,-13.2409,316
"2022","Boise St.",66.2343,296,66.8755,265,100.659,188,104.089,127,87.2719,16,90.7474,19,13.3417,48
"2022","Boston College",64.7146,334,65.3749,319,103.647,122,103.188,142,98.749,135,101.009,156,2.1791,144
"2022","Boston University",64.4049,338,65.225,323,103.315,128,102.913,147,99.6454,154,104.021,229,-1.10829,182
"2022","Bowling Green",74.2155,11,73.0547,20,104.616,105,104.667,113,105.066,258,104.945,246,-0.278093,164
"2022","Bradley",69.4848,152,68.4912,183,101.535,168,101.535,179,97.0416,108,99.3104,121,2.22414,142
"2022","Brown",69.6562,145,69.7909,120,98.8847,213,98.5621,237,99.9682,163,99.1762,116,-0.614153,170
"2022","Bryant",70.4426,108,71.5035,55,98.3191,221,101.091,190,108.591,305,106.506,279,-5.41518,237
"2022","Bucknell",70.7297,92,70.623,83,100.629,189,98.1604,243,112.249,339,111.012,343,-12.8513,313
"2022","Buffalo",73.3273,25,73.5216,11,108.518,49,109.272,43,105.902,271,102.369,185,6.90317,103
"2022","Butler",63.7808,347,63.195,346,93.5682,282,101.344,182,96.368,92,95.5869,67,5.75697,114
"2022","BYU",68.4315,202,69.8339,115,106.387,77,110.917,32,93.5951,49,92.6761,35,18.2405,26
"2022","Cal Baptist",68.8163,181,68.4213,185,102.561,148,102.092,167,99.35,146,105.273,257,-3.18062,213
"2022","Cal Poly",64.5244,336,63.993,340,91.9431,299,93.492,317,103.792,233,105.289,258,-11.7974,302
