,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Loyola-Chicago,2022-03-18 12:15:00,,,,,,,,,
Ohio State,2022-03-18 12:15:00,,,,,,,,,
Jacksonville State,2022-03-18 12:40:00,950,190.00,14.5,18.18,139.0,18.18,9.1,62.3,76.8
Auburn,2022-03-18 12:40:00,-1750,1.14,-14.5,18.18,139.0,18.18,90.9,76.8,62.3
Montana State,2022-03-18 13:45:00,900,180.00,15.0,17.39,131.5,18.18,9.6,58.3,73.3
Texas Tech,2022-03-18 13:45:00,-1600,1.25,-15.0,19.05,131.5,18.18,90.4,73.3,58.3
Yale,2022-03-18 14:00:00,950,190.00,16.5,18.18,145.0,18.18,9.1,64.3,80.8
Purdue,2022-03-18 14:00:00,-1750,1.14,-16.5,18.18,145.0,18.18,90.9,80.8,64.3
Delaware,2022-03-18 14:45:00,950,190.00,15.5,18.18,135.5,18.18,9.1,60.0,75.5
Villanova,2022-03-18 14:45:00,-1750,1.14,-15.5,18.18,135.5,18.18,90.9,75.5,60.0
Miami,2022-03-18 15:10:00,115,23.00,2.0,18.18,139.5,18.18,44.7,68.8,70.8
USC,2022-03-18 15:10:00,-135,14.81,-2.0,18.18,139.5,18.18,55.3,70.8,68.8
Notre Dame,2022-03-18 16:15:00,155,31.00,4.0,18.18,153.0,18.18,37.9,74.5,78.5
Alabama,2022-03-18 16:15:00,-180,11.11,-4.0,18.18,153.0,18.18,62.1,78.5,74.5
Virginia Tech,2022-03-18 16:30:00,105,21.00,1.5,18.18,123.5,18.18,46.8,61.0,62.5
Texas,2022-03-18 16:30:00,-125,16.00,-1.5,18.18,123.5,18.18,53.2,62.5,61.0
Chattanooga,2022-03-18 18:50:00,,,,,,,,,
Illinois,2022-03-18 18:50:00,,,,,,,,,
Cal State-Fullerton,2022-03-18 19:10:00,1500,300.00,18.5,18.18,145.5,18.18,6.0,63.5,82.0
Duke,2022-03-18 19:10:00,-3500,0.57,-18.5,18.18,145.5,18.18,94.0,82.0,63.5
Iowa State,2022-03-18 19:20:00,160,32.00,4.0,18.18,128.5,18.18,37.0,62.3,66.3
Louisiana State,2022-03-18 19:20:00,-190,10.53,-4.0,18.18,128.5,18.18,63.0,66.3,62.3
Wright State,2022-03-18 19:27:00,2000,400.00,21.5,18.18,156.5,18.18,4.6,67.5,89.0
Arizona,2022-03-18 19:27:00,-5000,0.40,-21.5,18.18,156.5,18.18,95.4,89.0,67.5
UAB,2022-03-18 21:20:00,300,60.00,8.5,18.18,137.5,18.18,23.8,64.5,73.0
Houston,2022-03-18 21:20:00,-400,5.00,-8.5,18.18,137.5,18.18,76.2,73.0,64.5
Davidson,2022-03-18 21:40:00,-105,19.05,1.0,18.18,141.0,18.18,48.9,70.0,71.0
Michigan State,2022-03-18 21:40:00,-115,17.39,-1.0,18.18,141.0,18.18,51.1,71.0,70.0
Colgate,2022-03-18 21:50:00,270,54.00,7.5,18.18,139.5,18.18,25.8,66.0,73.5
Wisconsin,2022-03-18 21:50:00,-350,5.71,-7.5,18.18,139.5,18.18,74.2,73.5,66.0
TCU,2022-03-18 21:57:00,100,20.00,1.0,19.05,129.0,18.18,47.8,64.0,65.0
Seton Hall,2022-03-18 21:57:00,-120,16.67,-1.0,17.39,129.0,18.18,52.2,65.0,64.0
