,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Idaho,2022-03-09 11:30:00,105,21.00,2.0,19.05,140.0,18.18,46.8,69.0,71.0
Sacramento State,2022-03-09 11:30:00,-125,16.00,-2.0,17.39,140.0,18.18,53.2,71.0,69.0
Syracuse,2022-03-09 12:00:00,100,20.00,1.5,17.39,146.5,18.18,47.8,72.5,74.0
Florida State,2022-03-09 12:00:00,-120,16.67,-1.5,19.05,146.5,18.18,52.2,74.0,72.5
St. Joseph's,2022-03-09 13:00:00,-135,14.81,-2.5,18.18,135.0,17.39,55.3,68.8,66.3
La Salle,2022-03-09 13:00:00,115,23.00,2.5,18.18,135.0,19.05,44.7,66.3,68.8
New Mexico,2022-03-09 14:00:00,,,5.0,18.18,150.0,18.18,,72.5,77.5
Nevada,2022-03-09 14:00:00,,,-5.0,18.18,150.0,18.18,,77.5,72.5
Idaho State,2022-03-09 14:00:00,160,32.00,4.5,18.18,136.0,18.18,37.0,65.8,70.3
Portland State,2022-03-09 14:00:00,-190,10.53,-4.5,18.18,136.0,18.18,63.0,70.3,65.8
Jackson State,2022-03-09 15:00:00,155,31.00,4.0,18.18,126.5,18.18,37.9,61.3,65.3
Texas Southern,2022-03-09 15:00:00,-180,11.11,-4.0,18.18,126.5,18.18,62.1,65.3,61.3
Stanford,2022-03-09 15:00:00,140,28.00,3.5,18.18,128.5,18.18,40.4,62.5,66.0
Arizona State,2022-03-09 15:00:00,-160,12.50,-3.5,18.18,128.5,18.18,59.6,66.0,62.5
Duquesne,2022-03-09 15:30:00,300,60.00,9.0,17.39,130.5,16.67,23.8,60.8,69.8
Rhode Island,2022-03-09 15:30:00,-400,5.00,-9.0,19.05,130.5,20.00,76.2,69.8,60.8
Butler,2022-03-09 16:30:00,180,36.00,5.5,18.18,131.0,18.18,34.2,62.8,68.3
Xavier,2022-03-09 16:30:00,-220,9.09,-5.5,18.18,131.0,18.18,65.8,68.3,62.8
Air Force,2022-03-09 16:30:00,750,150.00,14.5,17.39,128.0,17.39,11.3,56.8,71.3
Utah State,2022-03-09 16:30:00,-1250,1.60,-14.5,19.05,128.0,19.05,88.7,71.3,56.8
Northern Arizona,2022-03-09 16:30:00,250,50.00,7.5,18.18,140.5,18.18,27.3,66.5,74.0
Eastern Washington,2022-03-09 16:30:00,-320,6.25,-7.5,18.18,140.5,18.18,72.7,74.0,66.5
Oregon State,2022-03-09 17:30:00,330,66.00,8.5,18.18,143.0,19.05,22.2,67.3,75.8
Oregon,2022-03-09 17:30:00,-435,4.60,-8.5,18.18,143.0,17.39,77.8,75.8,67.3
Delaware State,2022-03-09 18:00:00,850,170.00,16.0,18.18,135.5,18.18,10.1,59.8,75.8
Norfolk State,2022-03-09 18:00:00,-1500,1.33,-16.0,18.18,135.5,18.18,89.9,75.8,59.8
Incarnate Word,2022-03-09 18:00:00,160,32.00,4.0,18.18,140.0,18.18,37.0,68.0,72.0
Houston Baptist,2022-03-09 18:00:00,-190,10.53,-4.0,18.18,140.0,18.18,63.0,72.0,68.0
Mississippi,2022-03-09 18:00:00,-155,12.90,-3.0,18.18,131.5,19.05,58.8,67.3,64.3
Missouri,2022-03-09 18:00:00,135,27.00,3.0,18.18,131.5,17.39,41.2,64.3,67.3
Nebraska,2022-03-09 18:00:00,,,,,,,,,
Northwestern,2022-03-09 18:00:00,,,,,,,,,
Rice,2022-03-09 18:30:00,120,24.00,2.5,18.18,143.0,18.18,43.8,70.3,72.8
UNC-Charlotte,2022-03-09 18:30:00,-140,14.29,-2.5,18.18,143.0,18.18,56.2,72.8,70.3
Binghamton,2022-03-09 19:00:00,1400,280.00,20.5,18.18,136.0,18.18,6.4,57.8,78.3
Vermont,2022-03-09 19:00:00,-3300,0.61,-20.5,18.18,136.0,18.18,93.6,78.3,57.8
Hartford,2022-03-09 19:00:00,155,31.00,4.0,18.18,146.5,18.18,37.9,71.3,75.3
Maryland-Baltimore County,2022-03-09 19:00:00,-180,11.11,-4.0,18.18,146.5,18.18,62.1,75.3,71.3
West Virginia,2022-03-09 19:00:00,100,20.00,1.5,16.67,138.5,18.18,47.8,68.5,70.0
Kansas State,2022-03-09 19:00:00,-120,16.67,-1.5,20.00,138.5,18.18,52.2,70.0,68.5
DePaul,2022-03-09 19:00:00,,,,,,,,,
St. John's,2022-03-09 19:00:00,,,,,,,,,
San Jose State,2022-03-09 19:00:00,650,130.00,13.0,19.05,122.0,18.18,12.8,54.5,67.5
Fresno State,2022-03-09 19:00:00,-1000,2.00,-13.0,17.39,122.0,18.18,87.2,67.5,54.5
Navy,2022-03-09 19:30:00,215,43.00,6.5,18.18,129.0,18.18,30.4,61.3,67.8
Colgate,2022-03-09 19:30:00,-265,7.55,-6.5,18.18,129.0,18.18,69.6,67.8,61.3
Coppin State,2022-03-09 20:00:00,205,41.00,6.0,18.18,149.5,18.18,31.3,71.8,77.8
Howard,2022-03-09 20:00:00,-255,7.84,-6.0,18.18,149.5,18.18,68.7,77.8,71.8
McNeese State,2022-03-09 20:30:00,-125,16.00,-1.0,17.39,154.5,18.18,53.2,77.8,76.8
Northwestern State,2022-03-09 20:30:00,105,21.00,1.0,19.05,154.5,18.18,46.8,76.8,77.8
Georgia,2022-03-09 20:30:00,320,64.00,9.0,18.18,144.5,18.18,22.7,67.8,76.8
Vanderbilt,2022-03-09 20:30:00,-425,4.71,-9.0,18.18,144.5,18.18,77.3,76.8,67.8
Minnesota,2022-03-09 20:30:00,140,28.00,3.5,18.18,125.5,18.18,40.4,61.0,64.5
Penn State,2022-03-09 20:30:00,-160,12.50,-3.5,18.18,125.5,18.18,59.6,64.5,61.0
Old Dominion,2022-03-09 21:00:00,110,22.00,2.0,17.39,129.0,18.18,45.7,63.5,65.5
UTEP,2022-03-09 21:00:00,-130,15.38,-2.0,19.05,129.0,18.18,54.3,65.5,63.5
California,2022-03-09 21:00:00,260,52.00,8.5,18.18,126.0,18.18,26.5,58.8,67.3
Washington State,2022-03-09 21:00:00,-335,5.97,-8.5,18.18,126.0,18.18,73.5,67.3,58.8
Prairie View,2022-03-09 21:30:00,-105,19.05,1.0,17.39,140.0,18.18,48.9,69.5,70.5
Alcorn State,2022-03-09 21:30:00,-115,17.39,-1.0,19.05,140.0,18.18,51.1,70.5,69.5
Georgetown,2022-03-09 21:30:00,435,87.00,10.0,17.39,143.5,16.67,17.9,66.8,76.8
Seton Hall,2022-03-09 21:30:00,-600,3.33,-10.0,19.05,143.5,20.00,82.1,76.8,66.8
Utah,2022-03-09 23:30:00,100,20.00,1.0,19.05,141.0,18.18,47.8,70.0,71.0
Washington,2022-03-09 23:30:00,-120,16.67,-1.0,17.39,141.0,18.18,52.2,71.0,70.0
