,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Bethune-Cookman,1/5/2022 13:00,575,115,14,16.67,130.5,17.39,14.2,58.3,72.3
Florida International,1/5/2022 13:00,-850,2.35,-14,20,130.5,19.05,85.8,72.3,58.3
DePaul,1/5/2022 18:30,,,5,,153.5,,,,
St. John's,1/5/2022 18:30,,,-5,,153.5,,,,
Alabama,1/5/2022 19:00,110,22,1.5,18.18,149.5,18.18,45.7,74,75.5
Florida,1/5/2022 19:00,-130,15.38,-1.5,18.18,149.5,18.18,54.3,75.5,74
Mississippi,1/5/2022 19:00,1000,200,16.5,19.05,132.5,16.67,8.7,58,74.5
Tennessee,1/5/2022 19:00,-2000,1,-16.5,17.39,132.5,20,91.3,74.5,58
Nebraska,1/5/2022 19:00,950,190,15.5,19.05,149,18.18,9.1,66.8,82.3
Michigan State,1/5/2022 19:00,-1750,1.14,-15.5,17.39,149,18.18,90.9,82.3,66.8
Bowling Green,1/5/2022 19:00,260,52,8,17.39,162,16.67,26.5,77,85
Buffalo,1/5/2022 19:00,-335,5.97,-8,19.05,162,20,73.5,85,77
Evansville,1/5/2022 19:00,200,40,5.5,18.18,137,19.05,31.8,65.8,71.3
Indiana State,1/5/2022 19:00,-250,8,-5.5,18.18,137,17.39,68.2,71.3,65.8
VMI,1/5/2022 19:00,115,23,2,20,146,18.18,44.7,72,74
E. Tennessee State,1/5/2022 19:00,-135,14.81,-2,16.67,146,18.18,55.3,74,72
Samford,1/5/2022 19:00,205,41,6,18.18,143,18.18,31.3,68.5,74.5
Mercer,1/5/2022 19:00,-255,7.84,-6,18.18,143,18.18,68.7,74.5,68.5
Furman,1/5/2022 19:00,-165,12.12,-4.5,18.18,129.5,17.39,60.4,67,62.5
UNC-Greensboro,1/5/2022 19:00,145,29,4.5,18.18,129.5,19.05,39.6,62.5,67
