"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",71.9215,36,71.1565,26,99.2664,219,99.1423,241,96.3062,67,98.5671,93,0.575214,155
"2022","Air Force",63.1151,349,62.5334,346,94.6815,294,95.7898,298,97.3617,89,99.7688,116,-3.97894,221
"2022","Akron",64.7875,335,62.9728,341,105.293,97,104.225,141,101.238,181,103.001,177,1.22371,151
"2022","Alabama",73.0149,20,71.206,24,111.816,23,117.643,8,102.707,215,97.2371,71,20.4054,18
"2022","Alabama A&M",68.3576,185,65.99,262,84.7686,355,86.6905,355,100.363,147,103.512,191,-16.8217,335
"2022","Alabama St.",71.6082,46,70.0607,59,92.6296,320,94.74,314,104.913,257,107.554,284,-12.8138,307
"2022","Albany",66.6006,279,65.5484,279,92.8224,318,93.4232,330,97.876,95,101.622,157,-8.19887,265
"2022","Alcorn St.",67.6381,232,66.1982,247,94.2256,298,100.415,215,106.382,284,106.373,254,-5.9584,244
"2022","American",65.806,305,64.5409,316,95.6189,287,94.9992,306,109.402,322,112.07,333,-17.0711,336
"2022","Appalachian St.",64.1694,341,63.0291,340,100.351,196,101.554,201,102.266,204,101.089,145,0.464996,157
"2022","Arizona",74.3659,6,73.2931,3,114.877,8,115.899,15,86.1225,4,88.0034,7,27.8956,4
"2022","Arizona St.",68.3982,182,67.5368,163,90.8454,334,99.4874,235,99.9013,136,96.9171,65,2.57029,133
"2022","Arkansas",72.5533,26,71.5768,17,107.362,60,110.327,50,93.5497,33,95.1138,46,15.2131,39
"2022","Arkansas Pine Bluff",68.845,154,66.7524,212,88.7949,346,93.563,328,115.401,352,117.748,357,-24.1851,354
"2022","Arkansas St.",68.9004,152,68.4606,111,102.955,149,103.281,161,99.9806,137,103.098,179,0.182505,164
"2022","Army",69.8381,106,69.2582,87,98.0842,244,97.3385,273,101.532,187,106.342,251,-9.00353,276
"2022","Auburn",70.7398,73,69.2646,86,111.082,28,116.518,14,90.9579,17,89.2346,12,27.2838,6
"2022","Austin Peay",67.7725,224,66.7964,211,94.2555,297,96.8338,283,104.508,251,106.592,258,-9.75852,283
"2022","Ball St.",71.6395,45,69.337,83,103.843,129,103.265,164,107.098,291,108.69,305,-5.42465,235
"2022","Baylor",69.0042,143,67.3883,174,113.714,12,118.839,5,88.1919,10,89.1411,10,29.6981,2
"2022","Bellarmine",64.364,339,62.857,343,104.067,124,106.815,92,109.27,318,106.517,257,0.297137,160
"2022","Belmont",70.6377,76,69.2692,85,111.911,20,112.239,31,97.1915,85,99.5533,112,12.6852,56
"2022","Bethune Cookman",67.5901,236,66.3365,240,88.8043,345,89.6078,350,103.61,232,107.313,276,-17.7048,339
"2022","Binghamton",68.3146,189,67.0384,191,97.8575,248,95.1523,305,102.69,214,107.021,267,-11.8691,300
"2022","Boise St.",65.5856,315,65.4128,287,99.9923,208,103.7,148,87.9464,8,87.539,6,16.1611,31
"2022","Boston College",65.6081,312,65.1984,298,100.388,194,103.328,160,100.191,143,101.274,149,2.05383,139
"2022","Boston University",64.6184,336,64.6083,314,105.547,92,104.713,129,99.8842,134,105.606,233,-0.893435,184
"2022","Bowling Green",73.4535,11,72.1311,10,107.132,65,106.369,101,108.911,314,110.915,330,-4.54555,228
"2022","Bradley",68.5991,166,67.4057,173,103.26,142,104.737,128,95.5309,57,96.7232,62,8.01346,96
"2022","Brown",69.4856,122,67.9896,141,100.306,200,100.242,219,100.472,153,100.547,138,-0.304365,172
"2022","Bryant",70.3745,86,70.8885,34,102.663,153,103.604,151,103.412,229,106.367,253,-2.7626,206
"2022","Bucknell",69.2042,134,68.3928,117,98.2827,240,96.9281,280,112.107,344,114.984,349,-18.0557,341
"2022","Buffalo",71.9258,35,71.0354,29,105.805,87,106.525,99,103.857,238,102.525,169,3.99952,124
