team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
STTMFL,1477,1,38,0,1,38,98.7,1,0
W OREGON,411,1,35,1,2,35,95.7,3,0
MISS COL,990,1,11,0,1,11,95.5,1,0
GEORGIA,173,8,313,3,29,313,94.9,32,0
BUTLER,127,8,252,2,25,254,94.6,27,0
OREGON,264,8,292,4,29,292,94.3,33,0
ALABAMA,103,8,315,4,29,315,94.1,35,2
N DAK ST,250,8,185,5,13,185,94.1,20,2
BYU,128,9,323,6,30,323,94.1,37,1
OHIO STATE,260,8,255,5,21,255,94.1,28,2
FURMAN,170,9,324,3,26,324,94.0,34,5
N TEXAS,251,9,284,9,19,284,93.7,32,4
MONTANA ST,233,8,222,4,17,222,93.5,25,4
W KENTUCKY,346,9,411,4,29,411,93.3,44,11
SMU,287,8,351,5,29,351,93.2,41,7
WEBER ST,342,8,270,4,21,270,93.1,31,6
BALL ST,117,9,377,11,37,377,93.1,50,2
OKLAHOMA,261,8,273,6,24,273,93.0,34,4
NOTRE DAME,258,8,248,8,22,248,92.7,33,3
WYOMING,351,9,246,4,28,246,92.7,34,2
UC DAVIS,322,8,323,4,30,323,92.6,41,7
UCONN,146,10,253,4,24,253,92.5,33,5
WM & MARY,348,8,200,7,23,200,92.5,30,0
NWESTERN,256,8,355,7,34,355,92.5,47,6
PURDUE,273,8,381,9,44,381,92.5,55,2
YALE,352,7,213,5,23,213,92.5,30,2
NC A&T,246,7,216,3,20,216,92.4,28,5
TENNESSEE,307,8,297,5,33,297,92.3,42,4
LOUISVILLE,210,8,276,10,25,276,92.2,39,4
WISCONSIN,349,8,225,7,14,225,92.2,28,7
GA SOUTHRN,174,8,384,19,40,384,92.1,60,1
WASHINGTON,340,9,418,7,52,418,92.0,63,4
KENT STATE,201,9,294,3,36,294,92.0,43,4
JACKSON ST,194,8,382,7,41,382,91.9,55,7
KYCRST,1474,1,55,2,3,56,91.8,7,2
NC STATE,248,8,319,8,31,319,91.7,46,7
UVAWIS,1320,1,48,1,7,48,91.7,8,0
MONTANA,232,8,295,7,34,295,91.7,45,4
SACRAMENTO,279,8,288,6,34,288,91.7,44,4
INCAR WORD,189,9,342,4,33,342,91.7,47,10
UTEP,330,10,381,11,35,381,91.6,55,9
PENN,267,7,318,11,37,318,91.5,51,3
GEORGETOWN,172,7,312,12,27,312,91.5,46,7
KANSAS,198,8,222,4,32,222,91.4,37,1
SE MO ST,293,7,277,6,36,277,91.3,45,3
TXAMCO,1139,8,273,8,30,273,91.2,43,5
MERCER,219,9,264,7,30,264,91.1,42,5
S ALABAMA,288,8,309,9,28,309,91.1,46,9
SO UTAH,298,8,305,11,32,306,91.0,49,6
UTAH ST,329,8,283,9,32,283,91.0,46,5
MINNESOTA,225,8,211,4,26,211,91.0,34,4
MICH STATE,223,8,290,5,29,290,91.0,43,9
APP STATE,108,9,316,15,28,316,91.0,50,7
INWSLY,1451,1,49,0,5,49,90.8,7,2
AIR FORCE,101,8,70,1,10,70,90.7,12,1
E CAROLINA,156,9,356,9,47,356,90.7,61,5
UTAH,328,8,281,3,41,281,90.7,48,4
CLEMSON,140,8,286,5,37,286,90.6,48,6
CAMPBELL,131,7,268,1,38,268,90.5,45,6
MICHIGAN,222,8,231,11,21,231,90.5,38,6
USF,327,8,247,7,30,247,90.5,42,5
ILLINOIS,187,8,273,6,26,273,90.5,42,10
UCF,323,8,286,5,32,286,90.4,46,9
DRAKE,153,9,382,2,55,382,90.4,65,8
TCU,305,8,277,10,31,277,90.4,47,6
BAYLOR,118,8,280,11,31,280,90.4,48,6
W CAROLINA,344,8,371,10,46,371,90.3,64,8
WJWLL,1198,1,36,3,4,36,90.3,7,0
S DIEGO ST,284,8,222,7,26,222,90.3,38,5
MARYLAND,215,8,321,3,47,321,90.3,56,6
CORNELL,147,7,233,7,26,233,90.3,39,6
SOCTOW,1107,1,36,0,5,36,90.3,6,1
TEXAS,311,8,275,5,39,275,90.2,49,5
TULANE,319,8,282,8,25,282,90.2,44,11
JVILLE ST,196,9,218,12,17,218,90.1,36,7
TAYLOR,402,1,20,2,2,20,90.0,4,0
TEXAS ST,314,8,329,8,38,329,90.0,56,10
ST FRANCIS,299,8,260,6,44,260,90.0,51,1
FLORIDA,163,8,256,5,42,256,90.0,49,2
MISS STATE,227,8,404,14,49,404,90.0,72,9
TARLETON,401,8,288,7,29,288,89.9,47,11
W VIRGINIA,343,8,331,8,51,331,89.9,63,4
UCLA,324,8,298,10,45,298,89.8,58,3
DUQUESNE,155,7,242,4,38,242,89.7,46,4
DUKE,154,9,300,7,45,300,89.7,57,5
SYRACUSE,304,8,272,8,40,272,89.7,52,4
TENN TECH,309,8,300,5,43,300,89.7,55,7
VA TECH,337,8,305,8,39,305,89.7,55,8
HOLY CROSS,181,8,228,1,36,228,89.7,42,5
MO S&T,387,1,24,1,4,24,89.6,5,0
HARVARD,179,7,237,14,24,237,89.5,44,6
FAU,165,9,306,10,44,306,89.5,59,5
MISSOURI,229,8,272,6,35,272,89.5,49,8
OREGON ST,265,9,255,11,35,255,89.4,50,4
STTHOM,1129,8,236,5,33,237,89.4,44,6
N ILLINOIS,254,9,270,10,36,270,89.3,52,6
SM HOUSTON,281,7,261,4,40,261,89.3,50,6
RICHMOND,276,8,350,8,51,350,89.3,67,8
BOISE ST,120,8,243,8,38,243,89.3,49,3
MONMOUTH,231,9,312,3,42,312,89.3,56,11
FORDHAM,168,8,337,10,43,337,89.2,63,10
DELTAST,841,1,37,1,7,37,89.2,8,0
E KENTUCKY,159,7,296,3,51,297,89.2,59,5
CHATTNOOGA,137,8,246,13,24,246,89.2,45,8
USC,326,8,325,2,67,325,89.1,70,1
LSU,211,8,344,6,39,344,89.1,60,15
ARKANSAS,111,8,260,8,37,262,89.0,51,6
SOUTHERN U,297,8,245,4,30,245,89.0,44,10
ELON,162,9,301,9,43,301,89.0,59,7
DELAWARE,151,8,364,1,64,364,88.9,73,8
HOUSTON,182,8,337,6,51,337,88.9,66,9
E WASHGTON,161,8,356,15,52,356,88.9,73,6
VANDERBILT,333,8,267,8,40,267,88.8,54,6
TENN MARTN,310,8,303,4,54,303,88.8,63,5
CHARLES SO,135,8,362,10,54,363,88.7,73,9
HOWARD,184,8,288,6,39,288,88.7,55,10
GARD-WEBB,171,9,373,12,50,373,88.7,73,11
LA LAFAYET,207,8,315,15,40,315,88.7,63,8
N IOWA,255,9,311,11,49,311,88.7,65,5
ILL STATE,188,8,297,10,36,297,88.6,57,11
BRYANT,124,8,368,14,44,368,88.6,71,13
MOREHEAD,234,8,351,16,44,351,88.6,70,10
PRVIEW A&M,270,7,187,6,31,187,88.5,40,3
MIAMI OH,221,9,279,8,41,279,88.4,57,8
STHLSK,1470,6,188,2,32,188,88.3,39,5
TOWSON,317,8,273,6,32,273,88.3,51,13
ROB MORRIS,277,8,294,12,39,294,88.3,60,9
N CAROLINA,245,8,347,10,53,347,88.3,72,9
SAN DIEGO,283,7,268,12,41,269,88.2,58,5
COAST CAR,141,9,303,3,45,303,88.1,60,12
LIBERTY,206,8,306,9,52,306,88.1,67,6
UAB,321,8,210,5,23,210,88.1,39,11
TEMPLE,306,8,302,14,52,302,88.1,69,3
WAKE,339,8,328,9,44,328,88.0,66,13
CONCMI,1472,1,46,1,6,46,88.0,9,2
MARIST,213,8,321,8,49,321,88.0,67,10
N DAKOTA,249,8,312,5,50,313,88.0,65,10
RHODE ISLD,274,8,275,11,27,275,88.0,52,14
STANFORD,300,8,332,13,41,332,88.0,67,13
SCAR STATE,290,8,293,10,49,293,87.9,65,6
LOUCHR,958,1,33,0,6,33,87.9,7,1
BUFFALO,126,9,371,15,53,371,87.9,79,11
GA STATE,175,8,243,12,35,243,87.9,53,6
UMASS,216,9,226,7,36,226,87.8,49,6
MAINE,212,7,290,17,40,290,87.8,64,7
SAMFORD,282,8,325,17,42,325,87.8,69,10
MARSHALL,214,8,296,6,36,296,87.8,57,15
CAL POLY,129,8,402,12,65,402,87.7,88,11
ARIZONA,109,8,373,11,73,373,87.7,88,4
COLUMBIA,145,7,269,9,47,270,87.7,61,5
DARTMOUTH,148,7,206,5,38,206,87.6,47,4
KANSAS ST,199,8,233,5,41,233,87.6,52,6
AUBURN,115,8,300,3,54,300,87.5,66,9
LNDNWD,949,8,385,9,73,385,87.5,89,7
MIAMI FL,220,8,353,17,49,353,87.5,77,11
PRINCETON,272,7,269,8,39,269,87.5,57,10
IOWA STATE,193,8,357,12,68,357,87.4,85,5
BROWN,123,7,370,12,57,370,87.4,81,12
COLORADO,143,8,297,8,51,297,87.4,67,8
E TENN ST,157,9,317,10,47,318,87.2,69,12
OLE MISS,226,9,269,20,37,269,87.2,63,6
STF AUSTIN,301,9,329,5,60,329,87.1,75,10
PENN STATE,266,8,303,9,56,303,87.0,72,7
OKLA STATE,262,8,365,19,68,365,87.0,91,4
NEW HAMP,240,8,284,4,48,284,87.0,63,11
LINCOK,1452,4,108,2,24,108,87.0,27,1
NEW MEX ST,242,8,215,10,38,215,87.0,52,4
PITTSBURGH,268,8,263,14,41,263,86.9,62,7
CITADEL,139,8,126,0,21,127,86.9,27,6
PSTEAG,1476,1,38,0,8,38,86.8,9,1
CINCINNATI,138,8,304,16,34,304,86.8,65,15
LA TECH,208,8,329,17,38,329,86.8,71,16
ARKAPB,112,7,242,12,34,242,86.8,55,9
WASH STATE,341,8,365,6,67,365,86.7,85,12
S JOSE ST,285,7,319,8,59,319,86.7,76,9
BLMSBG,766,1,15,0,2,15,86.7,3,1
UTSA,331,8,367,5,77,367,86.6,90,8
S ILLINOIS,295,9,358,12,58,358,86.6,83,13
PORTLAND,269,8,272,5,46,272,86.6,62,11
CHADST,809,1,37,0,10,37,86.5,10,0
MURRAY ST,236,8,267,13,37,267,86.5,61,11
AUSTINPEAY,116,8,318,11,45,318,86.5,71,15
S DAK ST,292,9,256,10,41,256,86.5,60,9
IDAHO,185,8,270,10,45,271,86.5,64,9
HAWAII,180,9,362,19,67,362,86.5,92,6
N ARIZONA,252,8,354,9,79,354,86.4,92,4
NC CENT,247,7,233,2,44,233,86.3,55,9
VILLANOVA,334,8,216,7,40,216,86.3,53,6
CHARLOTTE,136,9,365,7,65,365,86.3,86,14
CENT ARK,132,8,278,6,42,278,86.3,62,14
NICHOLLS,243,8,318,19,59,318,86.2,83,5
MEMPHIS,218,8,341,8,54,341,86.2,78,16
UNLV,325,8,291,11,56,291,86.1,74,7
CENT CT ST,133,8,269,9,50,269,86.1,67,8
ALAB A&M,104,8,304,12,51,304,86.0,74,11
NAVY,237,8,111,7,18,111,86.0,28,3
DAYTON,150,7,223,6,31,223,85.9,50,13
ALBANY,106,8,320,8,60,320,85.9,79,11
STNY BROOK,303,8,255,7,39,255,85.9,59,13
YNGTOWN ST,353,8,238,6,41,238,85.9,57,10
FL A&M,164,7,300,13,56,300,85.8,77,8
LEHIGH,205,8,306,9,56,306,85.8,76,11
UTAHTC,1285,8,400,23,69,400,85.7,103,11
SE LA,294,8,277,3,48,277,85.7,65,14
FLORIDA ST,167,8,282,15,60,282,85.6,78,3
MORGAN ST,235,8,253,4,47,253,85.6,62,11
DELWARE ST,152,7,181,9,29,181,85.6,45,7
LAMAR,204,7,267,11,54,267,85.6,71,6
NWSTATE,257,8,418,18,69,418,85.5,104,17
NORFOLK,244,8,241,11,37,241,85.5,59,11
S CAROLINA,289,8,284,10,55,284,85.4,74,9
SO MISS,296,8,242,14,41,242,85.3,63,8
HAMPTON,178,7,213,10,39,213,85.2,56,7
MARS HILL,383,1,54,1,15,54,85.2,16,0
TOLEDO,316,9,317,6,76,317,85.2,88,6
LIUSHAR,1298,7,249,13,43,249,85.1,65,9
N GREENVLE,390,1,37,5,4,37,85.1,10,1
BUCKNELL,125,8,271,16,47,271,85.1,72,9
BOWL GREEN,122,9,354,14,64,354,85.0,92,14
