player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Colby Reeder,30285,LB,IOWA STATE,6,1,0,193,74.5,4,2,44,28.3,22.7,10,1,11.4,2,159,45,8,0,63.1,1,1,13,52.0,23.1,3,7.7,0,25,13,2
Kyle Pugh,35900,LB,N ILLINOIS,9,0,0,254,51.6,1,3,22,15.9,4.5,1,0,9.1,0,145,23,4,0,63.1,0,2,9,20.0,0.0,0,11.1,0,50,10,2
Jordan Carmouche,39951,LB,ARK STATE,9,0,0,113,54.1,2,5,35,12.2,5.7,2,1,12.9,1,295,36,8,0,52.8,0,4,13,13.9,7.7,1,15.4,0,101,14,4
Alema Pilimai,41395,ED,BYU,3,0,0,128,64.6,0,0,11,100.0,0.0,0,0,0.0,0,13,13,0,0,59.6,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Monte McGary,42477,CB,KANSAS,5,0,0,198,59.0,0,0,1,5.9,0.0,0,0,0.0,0,17,1,0,0,59.0,0,0,1,14.3,0.0,0,0.0,0,7,1,0
Bricen Garner,42520,S,W MICHIGAN,9,1,0,347,62.5,0,0,6,2.0,0.0,0,0,0.0,0,303,6,0,0,60.0,0,0,1,0.9,0.0,0,0.0,0,110,1,0
Brandon Moore,42620,CB,NEBRASKA,5,0,0,238,60.0,0,0,1,1.2,0.0,0,1,0.0,0,83,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Clifford Chattman,42657,S,UTSA,8,0,0,331,58.9,0,1,3,1.1,0.0,0,2,16.7,0,281,3,1,0,,0,0,0,0.0,,0,,0,99,0,0
Anthony Watts,42807,DI,MARSHALL,8,0,0,214,61.7,0,5,128,97.8,7.8,10,1,2.7,1,134,131,6,0,66.8,0,3,49,100.0,16.3,8,5.1,1,51,51,4
Ryan McWood,43189,LB,MIAMI OH,8,0,0,221,55.4,2,6,39,12.8,10.3,4,0,12.8,1,321,41,9,0,52.5,1,5,21,18.1,4.8,1,19.0,1,127,23,7
Jaydon Grant,43354,S,OREGON ST,9,0,0,265,51.9,1,5,16,4.4,6.3,1,2,25.0,1,383,17,7,0,46.7,0,3,7,4.5,0.0,0,21.4,0,155,7,3
