player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dru Prox,23093,LB,UTSA,1,0,0,,0,0,331,60.9,62.4,68.5,59.7,60.6,,0,0,0,,,0,0,0,0.0,0,0,7,0,4,7,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,
John Porchivina,28202,LB,OLE MISS,1,0,0,,0,0,226,60.3,47.4,67.2,,60.0,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
Colby Reeder,30285,LB,IOWA STATE,7,6,1,62.5,0,0,193,71.9,78.5,33.6,74.7,83.1,73.6,5,2,2,18,9.7,3,1,1,73.4,10,2,146,2,132,323,52,0,0,52,0,0,271,48,143,123,16,22,16,9,2,74,33,7.4
Kyle Pugh,35900,LB,N ILLINOIS,10,18,0,40.0,0,0,254,75.4,69.9,81.7,51.1,65.9,80.9,1,3,0,11,7.4,4,1,0,51.3,2,0,317,0,129,334,9,0,0,9,0,1,325,26,179,5,16,32,5,4,0,19,12,9.5
Jordan Carmouche,39951,LB,ARK STATE,9,22,0,70.6,0,0,113,56.7,56.9,51.2,54.1,59.7,75.9,2,5,0,51,8.1,5,0,1,142.8,12,1,540,0,259,564,18,0,0,18,0,0,546,36,269,6,21,35,17,8,2,174,113,14.5
Alema Pilimai,41395,ED,BYU,3,0,0,,0,0,128,60.0,73.0,74.8,64.6,71.5,73.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,24,24,0,0,17,7,0,0,13,11,0,1,1,0,0,0,0,0,
Monte McGary,42477,CB,KANSAS,6,1,0,100.0,0,0,198,63.0,63.2,75.9,69.5,53.8,53.8,1,0,0,12,33.3,1,0,0,116.7,1,0,5,18,20,39,0,0,0,0,0,0,39,2,17,16,0,1,1,1,0,12,3,12.0
Bricen Garner,42520,S,W MICHIGAN,10,19,1,65.7,0,0,347,69.0,67.8,86.6,60.4,63.0,72.2,0,1,1,37,13.5,13,3,0,77.7,23,0,255,1,314,621,0,0,0,0,0,272,621,7,300,93,20,64,35,1,0,275,111,12.0
Brandon Moore,42620,CB,NEBRASKA,6,1,0,55.6,0,0,238,75.4,73.3,0.0,60.0,66.2,61.8,0,0,1,13,16.7,1,0,1,28.7,5,0,3,125,82,135,4,0,0,4,0,2,131,1,52,1,1,4,9,0,0,43,19,8.6
Clifford Chattman,42657,S,UTSA,9,10,0,50.0,0,0,331,68.7,68.6,88.3,57.1,65.9,68.3,0,1,0,55,14.5,9,6,2,89.8,16,0,130,4,324,533,3,0,0,3,0,223,530,4,205,173,11,43,32,1,1,274,97,17.1
