player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
DJ Irons,145585,QB,AKRON,10,133,12.0,0,102,2,8,17.3,28.6,79.7,9.0,0,19,16,23,38,133,106,12,22,26,19,4,16.5,19.5,9,14.3,3.0
Cameron Ward,133244,QB,WASH STATE,9,122,9.0,0,341,8,18,15.6,12.3,63.1,11.5,0,34,11,19,15,122,77,14,15,30,34,2,12.3,24.6,8,27.9,1.6
Brennan Armstrong,77696,QB,VIRGINIA,9,122,17.2,0,335,1,7,15.6,28.7,87.7,0.0,0,15,21,19,35,122,107,0,13,35,15,8,10.7,28.7,7,12.3,6.6
Connor Bazelak,99135,QB,INDIANA,8,120,18.3,0,190,2,2,11.7,15.0,85.0,10.0,0,7,22,14,18,120,102,12,26,42,7,3,21.7,35.0,3,5.8,2.5
Jack Plummer,83543,QB,CAL,9,119,10.9,0,130,3,10,13.4,23.5,84.9,1.7,0,16,13,16,28,119,101,2,19,42,16,4,16.0,35.3,3,13.4,3.4
Drake Maye,143969,QB,N CAROLINA,9,117,6.0,0,245,3,19,19.7,6.0,68.4,7.7,0,30,7,23,7,117,80,9,17,24,30,9,14.5,20.5,8,25.6,7.7
Hayden Wolff,98362,QB,DOMINION,9,113,23.9,0,263,2,5,17.7,20.4,84.1,4.4,0,13,27,20,23,113,95,5,27,18,13,5,23.9,15.9,6,11.5,4.4
Hunter Dekkers,122511,QB,IOWA STATE,9,107,17.8,0,193,2,4,12.1,24.3,80.4,13.1,0,8,19,13,26,107,86,14,10,26,8,3,9.3,24.3,2,7.5,2.8
Jayden de Laura,131928,QB,ARIZONA,9,106,11.3,0,109,0,6,19.8,16.0,80.2,8.5,0,14,12,21,17,106,85,9,13,30,14,5,12.3,28.3,8,13.2,4.7
Chase Cunningham,78533,QB,MIDDLE TN,9,102,13.7,0,224,2,4,18.6,28.4,85.3,6.9,0,10,14,19,29,102,87,7,18,21,10,1,17.6,20.6,4,9.8,1.0
Kurtis Rourke,97998,QB,OHIO,10,100,15.0,0,259,3,4,16.0,24.0,87.0,5.0,0,8,15,16,24,100,87,5,15,31,8,7,15.0,31.0,1,8.0,7.0
James Blackman,60382,QB,ARK STATE,8,98,19.4,0,113,1,3,15.3,18.4,82.7,11.2,0,7,19,15,18,98,81,11,13,26,7,3,13.3,26.5,3,7.1,3.1
Cole Snyder,97617,QB,BUFFALO,10,98,10.2,0,126,1,3,18.4,25.5,84.7,3.1,0,13,10,18,25,98,83,3,20,20,13,1,20.4,20.4,9,13.3,1.0
Seth Henigan,144267,QB,MEMPHIS,10,97,14.4,0,218,2,7,17.5,30.9,79.4,5.2,0,15,14,17,30,97,77,5,7,24,15,3,7.2,24.7,6,15.5,3.1
Phil Jurkovec,83533,QB,BOSTON COL,8,96,8.3,0,121,3,3,15.6,27.1,81.3,7.3,0,9,8,15,26,96,78,7,13,31,9,3,13.5,32.3,3,9.4,3.1
Matt McDonald,60350,QB,BOWL GREEN,9,94,17.0,0,122,0,4,17.0,28.7,85.1,7.4,0,7,16,16,27,94,80,7,17,10,7,5,18.1,10.6,3,7.4,5.3
Sam Hartman,77618,QB,WAKE,8,92,10.9,0,339,2,9,16.3,28.3,71.7,9.8,0,18,10,15,26,92,66,9,8,11,18,3,8.7,12.0,7,19.6,3.3
Chevan Cordeiro,75886,QB,S JOSE ST,8,92,13.0,0,285,2,6,8.7,21.7,76.1,5.4,0,21,12,8,20,92,70,5,10,33,21,2,10.9,35.9,13,22.8,2.2
Clayton Tune,77652,QB,HOUSTON,9,90,14.4,0,182,4,11,12.2,16.7,68.9,11.1,0,19,13,11,15,90,62,10,7,26,19,1,7.8,28.9,4,21.1,1.1
Casey Thompson,77677,QB,NEBRASKA,8,89,6.7,0,238,2,5,18.0,30.3,91.0,-2.2,0,9,6,16,27,89,81,-2,17,20,9,10,19.1,22.5,2,10.1,11.2
Spencer Sanders,77660,QB,OKLA STATE,8,88,19.3,0,262,1,8,27.3,20.5,83.0,3.4,0,15,17,24,18,88,73,3,9,18,15,2,10.2,20.5,6,17.0,2.3
Frank Harris,60586,QB,UTSA,9,88,14.8,0,331,1,6,9.1,23.9,87.5,-1.1,0,9,13,8,21,88,77,-1,9,37,9,8,10.2,42.0,2,10.2,9.1
Kyle Vantrease,55029,QB,GA SOUTHRN,10,88,19.3,0,174,0,4,23.9,31.8,93.2,-1.1,0,4,17,21,28,88,82,-1,9,13,4,10,10.2,14.8,0,4.5,11.4
Caleb Williams,144622,QB,USC,9,87,6.9,0,326,2,7,14.9,26.4,72.4,12.6,0,18,6,13,23,87,63,11,10,18,18,3,11.5,20.7,9,20.7,3.4
Brayden Schager,146078,QB,HAWAII,9,86,18.6,0,180,3,7,12.8,15.1,82.6,4.7,0,13,16,11,13,86,71,4,8,27,13,4,9.3,31.4,3,15.1,4.7
Chandler Rogers,98683,QB,LA MONROE,9,86,22.1,0,209,0,1,15.1,18.6,83.7,5.8,0,6,19,13,16,86,72,5,17,25,6,4,19.8,29.1,5,7.0,4.7
Jayden Daniels,97993,QB,LSU,9,86,9.3,0,211,3,6,9.3,17.4,72.1,9.3,0,16,8,8,15,86,62,8,13,26,16,2,15.1,30.2,7,18.6,2.3
Gavin Hardison,100827,QB,UTEP,10,86,11.6,0,330,5,14,5.8,16.3,55.8,15.1,0,26,10,5,14,86,48,13,17,7,26,0,19.8,8.1,7,30.2,0.0
Tanner McKee,131770,QB,STANFORD,9,86,9.3,0,300,1,7,15.1,22.1,74.4,9.3,0,14,8,13,19,86,64,8,15,12,14,6,17.4,14.0,6,16.3,7.0
Clay Millen,146082,QB,COLO STATE,7,85,22.4,0,144,1,4,12.9,31.8,88.2,4.7,0,8,19,11,27,85,75,4,12,19,8,1,14.1,22.4,3,9.4,1.2
Grant Wells,97784,QB,VA TECH,9,83,4.8,0,337,3,6,14.5,20.5,67.5,14.5,0,16,4,12,17,83,56,12,8,26,16,0,9.6,31.3,7,19.3,0.0
Spencer Rattler,97408,QB,S CAROLINA,9,83,15.7,0,289,0,10,15.7,20.5,79.5,4.8,0,16,13,13,17,83,66,4,15,18,16,2,18.1,21.7,6,19.3,2.4
Layne Hatcher,82068,QB,TEXAS ST,9,83,19.3,0,314,4,11,19.3,18.1,74.7,7.2,0,17,16,16,15,83,62,6,6,9,17,3,7.2,10.8,2,20.5,3.6
Davis Brin,77642,QB,TULSA,9,82,17.1,0,320,2,5,18.3,22.0,70.7,15.9,0,14,14,15,18,82,58,13,14,13,14,0,17.1,15.9,7,17.1,0.0
Dequan Finn,97804,QB,TOLEDO,9,82,17.1,0,316,1,6,11.0,30.5,89.0,3.7,0,9,14,9,25,82,73,3,19,15,9,1,23.2,18.3,2,11.0,1.2
Anthony Richardson,124393,QB,FLORIDA,9,81,14.8,0,163,0,12,11.1,13.6,75.3,8.6,0,15,12,9,11,81,61,7,12,14,15,9,14.8,17.3,3,18.5,11.1
Will Rogers,124184,QB,MISS STATE,9,81,12.3,0,227,1,3,16.0,23.5,86.4,6.2,0,6,10,13,19,81,70,5,13,25,6,0,16.0,30.9,2,7.4,0.0
Holton Ahlers,77651,QB,E CAROLINA,9,81,7.4,0,156,1,7,12.3,18.5,70.4,14.8,0,13,6,10,15,81,57,12,15,15,13,2,18.5,18.5,5,16.0,2.5
Aidan O'Connell,60516,QB,PURDUE,8,79,11.4,0,273,1,5,12.7,17.7,81.0,8.9,0,8,9,10,14,79,64,7,10,20,8,4,12.7,25.3,2,10.1,5.1
Grayson James,145214,QB,FIU,9,78,21.8,0,166,2,0,21.8,24.4,94.9,1.3,0,2,17,17,19,78,74,1,14,21,2,4,17.9,26.9,0,2.6,5.1
Bryce Young,123943,QB,ALABAMA,8,77,16.9,0,103,5,18,7.8,14.3,57.1,6.5,0,28,13,6,11,77,44,5,3,9,28,4,3.9,11.7,5,36.4,5.2
