player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Nick Broeker,99084,G,OLE MISS,12,100.0,1,226,66.3,70.4,63.8,6,11,391,100.0,100.0,97.8,3,17,0,929,0,907,20,929,424,424,0,0,505,1
Ethan Crowe,130330,C,BALL ST,12,100.0,0,117,64.6,80.0,62.6,1,6,499,100.0,100.0,99.3,7,7,0,926,926,0,0,926,528,528,0,0,398,0
Dennis Wilburn,157314,C,TEXAS TECH,11,100.0,0,315,54.2,53.6,55.8,1,28,561,100.0,100.0,97.2,6,30,1,921,921,0,0,921,581,581,0,0,340,0
Caleb Rogers,123157,T,TEXAS TECH,11,99.9,1,315,57.0,63.8,51.2,2,28,560,99.8,99.8,94.8,4,44,14,920,0,0,918,921,580,581,0,1,340,0
Jayden Williams,146815,T,OLE MISS,12,100.0,0,226,49.6,71.2,40.9,5,16,375,100.0,100.0,96.4,4,24,3,891,0,1,890,891,407,407,0,0,484,0
Damon Kaylor,101573,G,BALL ST,12,100.0,1,117,66.7,57.2,68.4,4,9,475,100.0,100.0,98.6,2,13,0,887,0,887,0,887,504,504,0,0,383,0
Cole Smith,99094,G,MISS STATE,12,100.0,0,227,67.7,68.9,66.7,2,14,608,100.0,100.0,98.5,1,17,1,879,0,0,0,879,646,646,878,0,233,0
Quantavious Leslie,123456,G,W KENTUCKY,12,100.0,1,346,63.9,82.6,58.0,2,9,537,100.0,100.0,98.6,8,13,2,869,0,869,0,869,562,562,0,0,307,0
Vincent Murphy,99046,G,W KENTUCKY,12,100.0,0,346,60.7,75.9,55.7,2,12,537,100.0,100.0,98.7,4,14,0,869,0,0,0,869,562,562,869,0,307,0
Rusty Staats,81941,C,W KENTUCKY,12,100.0,0,346,70.6,81.1,63.5,1,5,537,100.0,100.0,99.3,0,7,1,869,869,0,0,869,562,562,0,0,307,0
Caleb Warren,99083,C,OLE MISS,12,99.9,0,226,54.3,51.4,56.6,4,10,366,100.0,100.0,97.8,7,15,1,866,867,0,0,867,398,398,0,0,468,0
Gunner Britton,81937,T,W KENTUCKY,12,99.7,0,346,79.4,85.0,71.6,2,3,534,99.4,99.5,98.6,4,10,5,866,0,0,427,869,559,562,0,439,307,1
Nick Jones,146837,T,MISS STATE,12,100.0,0,227,62.7,75.7,51.8,5,5,598,100.0,100.0,98.3,3,15,5,866,0,261,605,866,635,635,0,0,231,0
Caleb Etienne,144643,T,OKLA STATE,11,100.0,0,262,49.0,61.1,39.1,6,17,502,100.0,100.0,97.5,3,24,1,858,0,0,858,858,533,533,0,0,325,0
Logan Langemeier,108708,C,GA SOUTHRN,11,100.0,0,174,67.5,68.9,69.4,5,13,529,100.0,100.0,98.1,8,19,1,854,854,0,0,854,555,555,0,0,299,0
Austin Hopp,65055,T,HAWAII,12,99.9,2,180,59.5,54.5,64.1,9,26,484,99.8,99.8,96.0,7,37,2,854,0,0,0,855,507,508,0,851,347,4
Khalil Crowder,78240,G,GA SOUTHRN,11,100.0,1,174,59.3,70.7,55.7,2,8,529,100.0,100.0,99.1,4,10,0,854,0,0,0,854,555,555,853,1,299,0
Ilm Manning,75852,T,HAWAII,12,99.9,1,180,69.7,71.7,74.6,3,12,481,99.8,99.8,97.6,15,19,4,847,0,0,847,848,504,505,0,1,343,0
