player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Colin Goodfellow,51797,P,KENTUCKY,9,34,34,3.72,36.91,39.59,11.8,1,0,6,17,202,67.1,11,60,4,1,17.6,71,6,35,126.48,1255,1,1346
Zach Murphy,55435,K,WAKE,3,6,6,3.73,28.83,39.67,22.5,0,0,1,2,339,60.3,2,47,0,0,33.3,45,2,6,22.4,173,1,238
Aidan Alves,57547,P,LIBERTY,11,53,53,3.88,38.25,41.06,9.9,1,0,14,23,206,64.2,23,64,3,0,20.8,109,11,54,205.76,2027,2,2176
Shane McDonough,57554,P,NC STATE,8,40,40,3.88,36.88,41.4,10.1,0,0,4,18,248,62.0,13,59,2,0,35.0,141,14,40,155.01,1475,2,1656
Sean Koetting,57567,P,MISSOURI,3,13,13,4.27,30.92,40.08,59.5,0,0,3,4,229,69.9,4,57,4,0,15.4,119,2,13,55.57,402,0,521
Jonah Wieland,60261,P,OHIO,4,16,16,3.62,31.38,38.38,10.2,0,0,0,2,259,47.7,4,51,3,0,68.8,112,11,16,57.97,502,0,614
Clayton Howell,60264,P,APP STATE,11,41,41,3.85,35.24,38.41,5.0,1,0,9,19,108,54.0,10,51,2,0,14.6,30,6,42,157.94,1445,5,1575
Bryce Baringer,60274,P,MICH STATE,11,45,45,3.74,45.22,48.4,6.4,0,0,11,11,223,67.7,21,70,7,0,28.9,83,13,45,168.1,2035,3,2178
Bernardo Rodriguez,60281,P,N TEXAS,11,41,41,3.82,39.49,40.07,2.4,1,0,6,25,251,62.2,17,54,0,0,24.4,24,10,42,156.52,1619,0,1643
Brad Robbins,60291,P,MICHIGAN,10,29,29,4.25,41.76,42.34,3.4,1,0,9,11,222,75.2,16,62,4,0,17.2,17,5,30,123.35,1211,0,1228
Joe Doyle,62972,P,MEMPHIS,11,42,42,4.09,40.43,46.74,12.1,0,0,3,21,218,81.8,15,64,0,0,28.6,145,12,42,171.76,1698,6,1963
Barney Amor,64486,P,PENN STATE,11,45,45,3.79,40.93,43.53,6.3,0,0,13,13,266,71.8,19,59,7,0,20.0,57,9,45,170.71,1842,3,1959
George Georgopoulos,75877,P,MISS STATE,12,31,31,3.47,37.77,39.94,5.9,1,0,11,7,227,44.6,11,56,4,0,25.8,47,8,32,107.61,1171,1,1238
Casey Glover,77064,P,TULANE,10,38,38,3.95,39.03,41.61,-0.3,1,0,6,18,319,73.8,19,65,3,0,15.8,-2,6,39,150.26,1483,5,1581
Danny Longman,77071,P,BOSTON COL,11,60,60,4.02,39.4,40.8,7.0,0,0,10,31,121,68.0,16,76,7,0,20.0,84,12,60,241.39,2364,0,2448
Mackenzie Morgan,77587,P,TEMPLE,9,54,54,3.52,38.46,39.74,4.5,0,0,22,17,306,57.1,13,55,3,0,20.4,49,11,54,190.27,2077,1,2146
Andrew Osteen,77590,P,UCF,3,12,12,3.82,34.5,39.75,5.8,1,0,3,2,323,68.4,3,50,1,0,33.3,23,4,13,45.86,414,2,477
Issac Power,77593,P,BAYLOR,11,32,32,3.96,39.31,42.97,4.1,0,0,3,11,118,70.0,12,59,1,0,43.8,57,14,32,126.62,1258,3,1375
Ryan Bujcevski,77594,P,SMU,10,33,33,3.78,41.09,44.52,6.6,0,0,5,16,287,74.7,12,64,1,0,24.2,53,8,33,124.65,1356,3,1469
Nick Mihalic,77602,P,W MICHIGAN,11,57,57,3.9,37.72,40.96,6.2,1,0,7,27,347,59.8,11,56,2,0,29.8,105,17,58,222.25,2150,4,2335
Cameron Rising,77663,QB,UTAH,1,1,1,3.05,10.0,30.0,,0,0,0,0,328,60.0,0,30,0,0,0.0,0,0,1,3.05,10,1,30
Brennan Armstrong,77696,QB,VIRGINIA,2,2,2,2.87,19.0,29.0,,0,0,1,0,335,61.0,1,32,0,0,0.0,0,0,2,5.74,38,1,58
Mike Rivers,78436,P,TROY,11,49,49,3.86,38.82,42.04,6.0,0,0,8,16,318,73.9,23,56,7,0,26.5,78,13,49,188.94,1902,4,2060
Anthony Beck II,78452,P,GA SOUTHRN,11,43,43,3.78,37.4,43.14,11.0,0,0,14,8,174,65.3,18,58,2,0,39.5,187,17,43,162.34,1608,3,1855
Chance Nolan,78493,QB,OREGON ST,1,1,1,2.76,40.0,40.0,,0,0,1,0,265,60.0,1,40,0,0,0.0,0,0,1,2.76,40,0,40
Timmy Bleekrode,79417,P,NEBRASKA,1,1,1,4.3,43.0,51.0,8.0,0,0,0,0,238,60.0,0,51,0,0,100.0,8,1,1,4.3,43,0,51
Colin McCreary,79434,P,USF,8,23,23,3.94,37.52,41.43,35.0,0,0,4,14,327,60.6,5,54,2,1,8.7,70,2,23,90.58,863,1,953
Michael Turk,82012,P,OKLAHOMA,11,57,57,4.17,42.67,46.42,3.1,0,0,9,21,261,81.6,20,67,7,0,19.3,34,11,57,237.84,2432,9,2646
Reid Bauer,82014,P,ARKANSAS,6,20,20,3.89,40.5,43.1,3.0,1,0,5,5,111,62.3,9,62,4,0,20.0,12,4,21,77.78,810,2,862
Carson King,82024,P,FRESNO ST,10,34,34,3.63,38.38,41.59,7.7,0,0,8,9,169,63.2,12,64,6,0,26.5,69,9,34,123.47,1305,2,1414
Rhys Byrns,82027,P,LA LAFAYET,11,47,47,3.76,40.21,43.87,6.1,0,0,11,13,207,68.5,12,60,4,0,31.9,92,15,47,176.6,1890,4,2062
George Caratan,82030,P,UCONN,12,63,63,3.79,36.48,39.89,9.8,1,0,12,25,146,61.8,20,55,5,0,31.7,195,20,64,239.05,2298,1,2513
William Przystup,82031,P,ARK STATE,7,18,18,3.79,39.28,42.83,7.1,0,0,1,3,113,64.9,5,61,5,0,50.0,64,9,18,68.21,707,0,771
Luke Loecher,82041,P,OREGON ST,10,31,31,3.82,41.06,45.87,12.1,0,0,7,10,265,76.0,12,64,3,0,29.0,109,9,31,118.29,1273,2,1422
Adam Korsak,82044,P,RUTGERS,10,65,65,3.61,43.42,43.92,-1.4,0,0,25,30,278,71.7,31,77,3,0,7.7,-7,5,65,234.37,2822,2,2855
Paxton Brooks,82049,P,TENNESSEE,10,26,26,4.18,38.77,39.38,-2.0,1,0,8,10,307,69.2,9,54,5,0,7.7,-4,2,27,108.77,1008,1,1024
Clayton Stewart,82051,P,WYOMING,11,62,62,4.03,38.0,44.92,12.2,0,0,8,18,351,67.2,19,67,6,0,35.5,269,22,62,249.93,2356,8,2785
Kyle Greenwell,82052,P,UAB,10,37,37,3.93,39.7,45.08,8.3,0,0,9,9,321,65.6,11,60,2,0,32.4,99,12,37,145.59,1469,5,1668
Jason Bean,83529,QB,KANSAS,1,1,1,2.42,41.0,41.0,,0,0,1,0,198,60.0,1,41,0,0,0.0,0,0,1,2.42,41,0,41
Brenden Brady,83795,HB,UTSA,1,1,1,3.22,39.0,39.0,,0,0,1,0,331,60.0,1,39,0,0,0.0,0,0,1,3.22,39,0,39
Aaron Rodriguez,86345,P,NEW MEXICO,11,72,72,3.74,40.01,43.68,7.1,1,0,9,31,241,51.2,25,63,2,0,36.1,184,26,73,268.92,2881,4,3145
Kevin Ryan,88468,P,WASHINGTON,1,1,1,3.73,37.0,37.0,,0,0,0,1,340,60.0,0,37,0,0,0.0,0,0,1,3.73,37,0,37
Michael Hayes,97151,P,GA STATE,11,51,51,3.5,40.16,42.61,4.0,3,0,10,16,175,51.3,14,57,2,0,41.2,85,21,54,178.65,2048,2,2173
Luke Pawlak,97267,K,TOLEDO,1,1,1,3.19,19.0,19.0,,0,0,1,0,316,60.0,1,19,0,0,0.0,0,0,1,3.19,19,0,19
Jackson Baltar,97389,P,BUFFALO,3,13,13,3.37,34.69,40.15,12.8,0,0,3,2,126,50.3,3,52,3,0,30.8,51,4,13,43.81,451,1,522
Daton Montiel,97392,P,FIU,11,65,65,3.7,39.43,41.86,8.9,0,0,16,31,166,68.4,21,64,4,0,16.9,98,11,65,240.25,2563,3,2721
Jack Brooks,97588,P,S ALABAMA,11,51,51,3.59,38.0,42.39,11.5,0,0,12,11,288,75.2,20,58,10,0,31.4,184,16,51,183.19,1938,2,2162
Ivan Mora,97589,P,WAKE,10,33,33,4.17,40.24,42.61,11.6,1,0,6,16,339,76.6,13,55,5,0,15.2,58,5,34,137.58,1328,1,1406
Cole Snyder,97617,QB,BUFFALO,1,1,1,3.65,36.0,56.0,,0,0,0,0,126,60.0,0,56,0,0,0.0,0,0,1,3.65,36,1,56
Bo Nix,97790,QB,OREGON,2,2,2,2.53,33.5,33.5,,0,0,2,0,264,61.0,1,34,0,0,0.0,0,0,2,5.05,67,0,67
Lucas Dean,97981,P,UTSA,11,33,33,3.8,41.06,44.82,6.4,0,0,5,7,331,74.5,14,76,8,0,30.3,64,10,33,125.29,1355,3,1479
Collin Schlee,98025,QB,KENT STATE,2,3,3,3.96,38.0,40.67,8.0,0,0,2,0,201,63.3,1,52,0,0,33.3,8,1,3,11.88,114,0,122
Ryan Sanborn,98199,P,STANFORD,11,54,54,3.91,39.15,42.0,7.0,1,0,7,20,300,80.9,20,59,5,0,40.7,154,22,55,210.89,2114,0,2268
Tom Hutton,98200,P,OKLA STATE,8,46,46,4.01,38.24,43.24,11.1,1,0,10,12,262,74.5,18,53,4,0,41.3,210,19,47,184.39,1759,1,1989
