player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Dru Prox,23093,LB,UTSA,3,1,3.1,0,0,331,57.4,66.6,76.2,55.0,76.3,65.4,0.0,0,0,25,25,16.0,4,7
John Porchivina,28202,LB,OLE MISS,1,0,,0,0,226,60.3,47.4,67.2,,60.0,,,0,0,1,1,0.0,0,0
Colby Reeder,30285,LB,IOWA STATE,8,6,1.9,0,0,193,73.9,80.1,38.2,75.1,84.0,77.2,8.3,2,1,160,164,8.8,14,16
Kyle Pugh,35900,LB,N ILLINOIS,11,14,5.7,0,0,254,81.0,74.5,82.0,50.6,69.3,83.8,7.0,3,0,191,195,6.8,13,26
Jordan Carmouche,39951,LB,ARK STATE,11,21,2.5,0,0,113,59.1,63.0,57.1,52.3,67.5,81.0,6.6,4,1,318,324,7.2,23,36
Alema Pilimai,41395,ED,BYU,2,0,3.0,0,0,128,60.0,74.1,75.5,67.3,71.5,73.6,0.0,0,0,11,11,9.1,1,1
Monte McGary,42477,CB,KANSAS,4,0,,0,0,198,63.4,63.7,76.2,69.5,54.7,53.8,100.0,1,0,19,20,0.0,0,0
Bricen Garner,42520,S,W MICHIGAN,11,14,7.4,0,0,347,68.0,66.4,86.8,58.1,61.5,71.4,19.6,11,0,320,328,2.8,9,31
Brandon Moore,42620,CB,NEBRASKA,6,0,,0,0,238,75.5,73.4,0.0,60.0,66.2,61.8,,0,1,52,53,0.0,0,0
Clifford Chattman,42657,S,UTSA,11,6,4.5,0,0,331,73.0,71.8,88.9,68.8,64.5,66.3,21.1,8,2,228,237,4.8,11,24
Anthony Watts,42807,DI,MARSHALL,11,8,0.9,0,0,214,54.9,57.6,57.1,59.6,60.3,63.3,5.0,1,1,116,120,7.8,9,11
Justin Clark,43185,CB,WISCONSIN,9,1,5.8,0,0,349,61.2,61.2,81.8,,59.3,62.7,16.7,1,2,103,104,1.9,2,4
Ryan McWood,43189,LB,MIAMI OH,11,20,3.2,0,0,221,67.9,61.6,83.4,52.3,58.6,49.8,17.7,17,0,326,334,11.3,37,59
Jaydon Grant,43354,S,OREGON ST,10,4,5.9,0,0,265,79.4,77.8,48.0,51.9,77.5,74.7,15.4,4,2,209,209,4.8,10,18
Linwood Crump,43401,CB,NEW MEX ST,9,1,0.3,0,0,242,76.3,77.0,83.6,79.5,68.1,69.2,33.3,2,2,176,178,1.1,2,3
Jon-Michael Terry,43635,LB,TULSA,11,20,3.3,1,0,320,61.7,58.1,43.0,60.6,56.6,65.2,13.6,9,2,405,409,6.9,28,37
Tyrone Hopper,43714,ED,MISSOURI,10,2,6.0,1,0,229,62.1,47.4,0.0,56.8,52.4,31.6,33.3,2,3,49,50,2.0,1,2
Sione Tupou,44093,LB,TEXAS ST,11,16,3.4,0,1,314,63.1,76.0,84.7,79.4,78.6,77.2,8.0,4,0,272,279,8.1,22,30
Semisi Fakasiieiki,44340,LB,PURDUE,8,4,2.9,0,0,273,64.1,62.7,0.0,77.8,59.6,56.0,13.0,3,1,89,89,13.5,12,16
Antwaine Richardson,49364,S,KENT STATE,7,6,6.5,0,0,201,52.6,60.7,85.3,,79.2,72.3,5.0,1,0,188,193,3.2,6,13
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,4,6.4,0,0,174,41.6,55.9,78.3,51.2,71.0,35.3,18.8,3,0,70,71,5.7,4,9
Alden Tofa,51983,ED,BYU,11,4,2.8,0,0,128,70.4,63.8,83.5,58.9,61.2,61.5,18.2,2,0,86,88,4.7,4,5
Chaz Ah You,51989,S,BYU,2,1,,0,0,128,67.9,61.5,74.4,59.5,52.6,56.6,50.0,1,0,13,14,0.0,0,0
Earl Tuioti-Mariner,51992,ED,BYU,9,2,2.2,0,0,128,60.6,55.4,81.5,55.8,54.6,79.2,0.0,0,0,114,116,5.3,6,6
