"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","total_touches","opponent","def_rank","rdef_rank","tack_rank","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","player_game_count"
"1","Donovan Edwards","MICH",6600,31.56,75,"Prob Sat - Hand","-7.5","58",90.8,88.8,13.5,"TCU",51,47,8,87.2,78.2,0,0.2,3.6,0.3,11.7,19.9,2.1,10
"2","Daijun Edwards","UGA",4700,9.56,16,"Prob Sat - Hand","-5.5","62",80.3,81.4,10.6,"OSU",7,9,37,53,69.5,0,0.2,2.9,0.3,9.8,6.2,1.1,13
"3","Kenny McIntosh","UGA",6300,16.17,14,"Healthy","-5.5","62",84.2,82.5,13.4,"OSU",7,9,37,54.2,98.7,0,0.1,3.1,0.3,10.6,34.9,3.2,13
"4","Kendre Miller","TCU",6800,15.36,13,"Healthy","7.5","58",85.4,88.7,17.8,"MICH",4,5,1,103.2,118.1,0,0.2,3.6,0.3,16.6,8.9,1.5,13
"5","Miyan Williams","OSU",7300,7.86,7,"Prob Sat - Illness","5.5","62",88.7,90.9,13,"UGA",20,8,9,81.7,159.7,0,0.2,4.4,0.4,12.5,2.7,0.7,10
"6","Dallan Hayden","OSU",4900,4.74,4,"Healthy","5.5","62",80.4,79.4,11.8,"UGA",20,8,9,56.7,53.1,0,0.1,3.3,0.2,11.3,2.6,0.4,9
"7","Kendall Milton","UGA",4300,5.83,4,"Healthy","-5.5","62",83.8,84.6,7,"OSU",7,9,37,48.6,66.1,0,0.2,3.9,0.3,6.6,4.2,0.4,11
"8","Emari Demercado","TCU",4200,3.82,2,"Healthy","7.5","58",68.4,74.3,7.8,"MICH",4,5,1,36.3,59.4,0,0.2,3.3,0.3,6.9,5.3,0.9,13
"9","Emani Bailey","TCU",3400,2.64,2,"Healthy","7.5","58",71.1,75.9,3.2,"MICH",4,5,1,21.6,94.3,0,0.2,3,0.3,2.6,3.7,0.8,11
"10","Isaiah Gash","MICH",3300,1.7,1,"Healthy","-7.5","58",75.2,74.3,2.8,"TCU",51,47,8,12.6,54.5,0,0.1,4,0.5,2.4,3,0.5,8
