player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Jacob Meeks,24703,K,S ALABAMA,3,22,20,58.5,3.42,27.7,22.0,0,6,288,63.0,1286,11,0,0,50.0,242,68.46,4
Zach Murphy,55435,K,WAKE,1,3,3,59.0,3.81,24.0,17.5,0,1,339,57.3,177,2,0,0,66.7,35,11.43,0
Joseph Bulovas,57496,K,VANDERBILT,4,28,26,66.6,3.71,24.9,20.6,0,2,333,69.8,1866,11,0,0,39.3,227,96.4,14
Blake Grupe,57502,K,NOTRE DAME,1,1,0,11.0,,54.0,0.0,0,0,258,60.0,11,1,1,0,100.0,0,0.0,0
Anders Carlson,57509,K,AUBURN,3,16,16,64.8,4.05,23.6,18.0,0,6,115,73.7,1036,4,0,0,25.0,72,64.86,6
Jackson Hubbard,57523,P,DUKE,1,1,1,69.0,4.0,16.0,20.0,0,0,154,60.1,69,1,0,0,100.0,20,4.0,0
Sean Koetting,57567,P,MISSOURI,3,19,18,67.9,3.9,25.8,9.3,0,0,229,79.5,1290,3,0,0,15.8,28,70.16,16
Calum Sutherland,57592,K,LA MONROE,3,10,9,61.0,3.33,33.4,27.4,0,0,209,64.3,610,5,0,0,50.0,137,29.93,5
Briggs Bourgeois,57616,K,SO MISS,3,17,17,69.1,3.81,26.5,28.8,0,0,296,80.0,1175,5,0,0,29.4,144,64.75,12
Andre Szmyt,57624,K,SYRACUSE,1,3,3,64.0,3.66,27.3,23.0,0,0,304,67.8,192,3,0,0,100.0,69,10.99,0
Jared Sackett,57647,K,UTSA,3,15,14,64.7,3.74,27.1,25.0,0,1,331,78.6,971,2,1,0,13.3,50,52.36,11
Peyton Henry,57651,K,WASHINGTON,1,8,7,62.4,3.7,27.5,23.2,0,0,340,66.1,499,6,0,0,75.0,139,25.89,2
Bryce Baringer,60274,P,MICH STATE,1,2,1,29.5,3.44,46.5,,0,0,223,47.1,59,0,1,0,0.0,0,3.44,0
Bernardo Rodriguez,60281,P,N TEXAS,1,1,1,51.0,4.67,43.0,14.0,0,0,251,60.0,51,1,0,0,100.0,14,4.67,0
Daniel Gutierrez,60310,K,UNLV,3,21,20,58.4,3.71,29.5,40.7,0,6,325,72.9,1227,3,1,0,14.3,122,74.16,10
Parker Grothaus,62900,K,W VIRGINIA,3,20,17,61.4,3.56,28.4,23.7,0,2,343,60.8,1228,11,0,0,55.0,261,60.6,6
Mason Lawler,64598,K,BOWL GREEN,3,16,11,62.4,3.33,27.6,20.0,0,1,122,71.9,999,5,1,0,31.3,100,36.59,8
Bubba Baxa,77050,K,HOUSTON,3,14,10,66.7,3.39,28.4,10.5,0,0,182,67.8,934,2,1,0,14.3,21,33.89,10
B.T. Potter,77054,K,CLEMSON,3,18,18,69.5,4.0,23.6,15.5,0,0,140,82.3,1251,2,0,0,11.1,31,71.98,16
Casey Glover,77064,P,TULANE,3,18,18,64.9,4.06,23.7,17.2,0,4,319,72.0,1169,5,0,0,27.8,86,73.04,9
Danny Longman,77071,P,BOSTON COL,3,14,14,63.4,3.85,27.9,26.5,0,0,121,67.8,888,11,0,0,78.6,291,53.9,2
Trey Wolff,77076,K,TEXAS TECH,3,18,15,67.8,3.86,25.9,16.6,0,0,315,78.9,1220,5,0,0,27.8,83,57.84,13
Matthew Trickett,77078,K,MINNESOTA,1,1,1,25.0,2.94,25.0,,0,1,225,60.0,25,0,0,0,0.0,0,2.94,0
Alex Hale,77080,K,OKLA STATE,1,5,5,68.6,2.9,25.0,,0,0,262,73.4,343,0,0,0,0.0,0,14.49,5
John Richardson,77081,K,N ILLINOIS,3,18,14,60.3,3.63,26.1,14.9,0,0,254,72.0,1086,9,1,0,50.0,134,50.86,8
Chad Ryland,77083,K,MARYLAND,3,22,21,71.5,4.02,24.7,18.3,0,0,215,76.7,1572,3,0,0,13.6,55,84.44,18
Alex McNulty,77084,K,BUFFALO,3,16,16,69.5,3.92,27.0,32.5,0,0,126,77.5,1112,2,0,0,12.5,65,62.68,13
Nick Mihalic,77602,P,W MICHIGAN,3,14,14,61.0,3.44,24.4,18.7,0,0,347,63.1,854,12,0,0,85.7,224,48.18,2
Camden Wise,79429,K,JAMES MAD,1,1,1,57.0,3.65,10.0,2.0,0,0,197,60.0,57,1,0,0,100.0,2,3.65,0
Paxton Brooks,82049,P,TENNESSEE,3,20,18,63.9,3.85,23.5,18.3,0,3,307,73.7,1278,8,0,0,40.0,146,69.23,9
Jack Podlesny,82587,K,GEORGIA,3,23,23,68.7,3.51,24.5,19.0,0,0,173,80.3,1579,2,0,0,8.7,38,80.83,20
Caleb Griffin,82589,K,ILLINOIS,3,17,17,69.4,3.83,24.9,21.3,0,0,187,80.0,1180,4,0,0,23.5,85,65.12,13
