player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Tyrin Smith,145487,WR,UTEP,4,56,0,330,15.5,0,12.5,0.0,0,1,0.0,0,1,0,66.7,57.4,1,32,0.0,0,33,1,97.0,32,43.8,8,14.3,1,32,7,7.0,32.0,1.0,0,15.0,3,50.0,33.3,1,3,22.2,4,8,1,25.6,59.9,1,74,0.0,0,83,14,95.2,79,63.8,28,50.0,0,235,73,5.2,16.8,2.97
Rashee Rice,97605,WR,SMU,3,45,0,287,17.8,0,25.0,,0,0,0.0,0,1,0,24.9,59.8,0,24,0.0,0,15,1,80.0,12,91.7,4,8.9,1,24,0,0.0,24.0,2.0,0,12.2,3,70.3,57.1,4,7,3.7,1,19,1,78.9,90.9,1,54,0.0,0,85,26,95.3,81,109.9,37,82.2,1,457,143,5.5,17.6,5.64
Cam Camper,156414,WR,INDIANA,3,43,0,190,9.8,2,56.5,40.0,2,5,13.3,2,8,1,53.7,66.7,0,39,0.0,0,60,13,96.7,58,90.5,23,53.5,1,148,44,3.4,11.4,2.55,0,11.0,0,50.0,33.3,2,6,9.1,1,5,0,62.9,61.4,1,40,1.4,1,74,10,95.9,71,52.9,20,46.5,0,144,46,4.6,14.4,2.03
Charlie Jones,55038,WR,PURDUE,3,42,0,273,16.8,0,70.6,62.5,5,8,0.0,0,9,0,82.2,85.8,0,55,0.0,0,55,12,92.7,51,132.6,17,40.5,1,235,63,5.3,19.6,4.61,0,12.1,1,75.0,50.0,2,4,0.0,0,10,0,82.2,82.5,0,36,0.0,0,48,12,95.8,46,150.8,16,38.1,2,179,65,5.4,14.9,3.89
Xavier Hutchinson,122518,WR,IOWA STATE,3,39,0,193,8.0,1,75.0,33.3,1,3,0.0,0,6,0,77.5,91.2,0,33,0.0,0,12,6,75.0,9,146.9,8,20.5,3,82,48,8.0,13.7,9.11,0,9.2,1,85.0,100.0,4,4,5.6,1,10,1,72.8,78.0,0,24,0.0,0,66,17,92.4,61,120.0,20,51.3,1,176,43,2.5,10.4,2.89
Will Sheppard,124360,WR,VANDERBILT,4,39,0,333,16.0,0,35.7,20.0,1,5,16.7,1,4,0,49.8,61.6,1,13,0.0,0,37,5,97.3,36,54.2,14,35.9,3,39,1,0.2,7.8,1.08,0,13.3,3,70.6,0.0,0,3,0.0,0,10,0,82.2,79.7,0,31,0.0,0,60,12,98.3,59,149.8,17,43.6,3,201,79,6.6,16.8,3.41
Zakhari Franklin,97620,WR,UTSA,3,38,0,331,7.1,5,53.3,50.0,3,6,27.3,3,6,0,27.6,64.1,0,29,0.0,0,51,8,96.1,49,113.1,15,39.5,2,97,37,4.6,12.1,1.98,0,8.2,4,77.8,50.0,2,4,0.0,0,8,0,83.3,69.0,1,35,0.0,0,88,14,90.9,80,101.6,18,47.4,1,171,54,3.9,12.2,2.14
Reynaldo Flores,83794,WR,UTEP,4,38,0,330,12.9,0,50.0,100.0,2,2,20.0,1,3,0,45.4,63.0,1,12,0.0,0,34,4,94.1,32,24.0,8,21.1,0,38,3,0.8,9.5,1.19,0,11.5,0,70.0,100.0,3,3,6.7,1,12,0,68.7,78.5,0,38,0.0,0,86,14,95.3,82,102.5,20,52.6,0,202,38,2.7,14.4,2.46
Bryce Ford-Wheaton,78127,WR,W VIRGINIA,3,37,0,343,13.7,0,33.3,0.0,0,4,0.0,0,3,0,73.1,67.8,1,22,0.0,0,23,3,100.0,23,11.1,9,24.3,0,45,1,0.3,15.0,1.96,0,10.5,3,68.2,100.0,6,6,11.8,2,12,0,57.1,80.0,1,67,0.0,0,68,15,100.0,68,118.0,22,59.5,3,203,119,7.9,13.5,2.99
Dontayvion Wicks,99711,WR,VIRGINIA,3,37,0,335,15.4,0,14.3,0.0,0,2,50.0,2,0,0,21.7,50.1,1,8,0.0,0,50,2,88.0,44,9.8,14,37.8,0,13,4,2.0,6.5,0.3,0,16.6,2,47.1,0.0,0,2,27.3,3,5,0,27.8,60.8,0,25,0.0,0,53,8,96.2,51,66.3,17,45.9,0,102,20,2.5,12.8,2.0
