player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tyrin Smith,145487,WR,UTEP,4,14.8,5,48.2,16.7,1,6,0,20.6,7,14,330,1,27.0,29.9,60.5,,60.3,0.0,0,2,74,0.0,0,184,1,27,96.2,177,75.5,139,71.7,56,2,24.5,45,435,117,4.3,16.1,2.46
Rashee Rice,97605,WR,SMU,3,12.5,3,62.2,55.6,5,9,0,3.4,1,21,287,1,71.6,30.1,90.5,,89.3,0.0,0,1,54,0.0,0,111,0,28,92.8,103,18.0,20,112.2,45,3,82.0,91,489,143,5.1,17.5,4.75
Cam Camper,156414,WR,INDIANA,3,10.4,2,53.5,36.4,4,11,0,11.5,3,13,190,1,57.3,70.7,63.6,61.9,63.5,0.0,0,1,40,0.7,1,148,1,23,93.2,138,10.8,16,73.0,43,1,89.2,132,292,90,3.9,12.7,2.12
Charlie Jones,55038,WR,PURDUE,3,13.6,1,76.2,58.3,7,12,0,0.0,0,22,273,0,89.8,77.7,87.9,,89.3,0.0,0,0,55,0.0,0,129,2,32,93.8,121,5.4,7,152.2,42,5,94.6,122,474,145,4.5,14.8,3.92
Xavier Hutchinson,122518,WR,IOWA STATE,3,9.2,3,71.8,62.5,5,8,0,6.7,2,18,193,1,71.4,71.6,84.1,,83.8,1.0,1,1,33,0.0,0,102,0,28,92.2,94,28.4,29,124.9,39,5,70.6,72,319,121,4.3,11.4,3.39
Will Sheppard,124360,WR,VANDERBILT,4,13.9,4,59.0,11.1,1,9,0,4.2,1,17,333,0,76.5,76.8,80.5,,79.0,0.0,0,1,31,0.0,0,123,0,23,95.9,118,9.8,12,113.6,39,7,90.2,111,313,111,4.8,13.6,2.65
Zakhari Franklin,97620,WR,UTSA,3,7.6,10,65.8,50.0,6,12,0,10.7,3,16,331,0,59.5,71.1,68.8,,68.3,0.0,0,1,35,0.0,0,160,0,25,91.9,147,16.9,27,105.6,38,3,83.1,133,304,110,4.4,12.2,2.07
Reynaldo Flores,83794,WR,UTEP,4,13.1,0,57.9,66.7,6,9,0,12.0,3,16,330,0,56.1,70.6,69.7,,69.1,0.0,0,2,38,0.0,0,191,0,22,95.3,182,22.5,43,58.2,38,0,77.5,148,272,51,2.3,12.4,1.49
Bryce Ford-Wheaton,78127,WR,W VIRGINIA,3,10.9,3,64.9,66.7,8,12,0,7.7,2,18,343,0,68.4,71.1,81.4,,82.5,0.0,0,2,67,0.0,0,106,0,24,99.1,105,3.8,4,103.0,37,4,96.2,102,296,126,5.3,12.3,2.82
Dontayvion Wicks,99711,WR,VIRGINIA,3,16.2,4,32.4,0.0,0,7,0,29.4,5,6,335,1,24.1,22.1,54.6,,54.0,0.0,0,1,28,0.0,0,124,0,12,93.5,116,11.3,14,35.3,37,0,88.7,110,155,29,2.4,12.9,1.34
Grant DuBose,111276,WR,CHARLOTTE,4,12.2,3,64.9,70.0,7,10,0,7.7,2,16,136,0,67.7,73.6,76.5,,75.6,0.0,0,1,52,0.0,0,149,0,24,91.3,136,13.4,20,119.9,37,5,86.6,129,315,99,4.1,13.1,2.32
Corey Crooms,97276,WR,W MICHIGAN,3,13.6,1,48.6,50.0,4,8,0,0.0,0,12,347,0,85.5,70.6,73.9,,74.8,0.0,0,2,20,0.0,0,120,0,18,95.8,115,72.5,87,48.1,37,1,26.7,32,169,12,0.7,9.4,1.47
Trey Palmer,99248,WR,NEBRASKA,4,11.8,8,77.8,50.0,4,8,0,9.7,3,13,238,1,62.4,43.8,77.8,,78.2,0.0,0,0,35,0.0,0,106,1,28,95.3,101,67.9,72,113.3,36,1,31.1,33,323,101,3.6,11.5,3.2
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,3,10.3,0,55.6,40.0,4,10,0,9.1,2,13,174,0,63.8,70.2,62.3,,61.4,0.0,0,2,35,0.0,0,148,1,20,95.9,142,11.5,17,66.9,36,2,88.5,131,200,89,4.5,10.0,1.41
Victor Tucker,61203,WR,CHARLOTTE,4,8.9,2,68.6,85.7,6,7,0,0.0,0,10,136,0,87.4,36.6,67.3,,67.8,0.0,0,0,41,0.0,0,154,0,24,93.5,144,80.5,124,115.5,35,3,19.5,30,233,90,3.8,9.7,1.62
Ashtyn Hawkins,147222,WR,TEXAS ST,3,7.2,7,80.0,,0,0,0,3.4,1,13,314,0,79.6,74.0,74.7,,76.3,0.0,0,0,29,0.0,0,105,0,28,98.1,103,94.3,99,135.2,35,4,1.9,2,256,136,4.9,9.1,2.49
Keylon Stokes,65080,WR,TULSA,3,12.5,9,80.0,100.0,7,7,0,3.4,1,19,320,1,79.6,42.2,83.7,,83.6,0.0,0,1,46,0.0,0,124,1,28,94.4,117,97.6,121,135.4,35,3,2.4,3,457,131,4.7,16.3,3.91
Ali Jennings III,145344,WR,DOMINION,3,18.6,0,57.1,50.0,3,6,0,13.0,3,15,263,1,53.7,26.3,78.3,,77.8,0.0,0,1,44,0.0,0,116,0,20,95.7,111,16.4,19,125.8,35,4,83.6,97,419,60,3.0,21.0,3.77
Xavier Weaver,101130,WR,USF,3,11.8,7,57.1,0.0,0,3,0,20.0,5,12,327,1,36.8,29.2,68.6,,69.1,0.0,0,1,50,0.0,0,86,0,20,95.3,82,25.6,22,67.8,35,0,74.4,64,252,102,5.1,12.6,3.07
Zay Flowers,97268,WR,BOSTON COL,3,12.8,2,61.8,66.7,2,3,0,8.7,2,14,121,1,65.1,40.5,75.3,,73.7,0.0,0,2,51,0.0,0,128,0,21,95.3,122,40.6,52,93.5,34,3,59.4,76,286,164,7.8,13.6,2.34
Jeremy Singleton,61289,WR,GA SOUTHRN,3,9.5,0,54.5,22.2,2,9,0,0.0,0,10,174,0,85.1,69.9,64.7,,64.9,0.0,0,2,28,0.0,0,152,0,18,96.1,146,2.0,3,55.6,33,1,98.0,149,184,78,4.3,10.2,1.26
LaJohntay Wester,123616,WR,FAU,4,11.8,4,64.5,33.3,1,3,1,4.8,1,10,165,0,75.2,78.4,71.7,63.1,73.0,0.0,0,1,42,0.8,1,127,3,20,94.5,120,88.2,112,114.1,31,4,11.8,15,239,94,4.7,12.0,1.99
