player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Frank Harris,60586,QB,UTSA,5,-0.39,0,226,331,68.8,157,166,11.1,2.68,3,11,6.2,64.5,107,72,0.9,197,87.2,1,86,,,,,66.2,90.0,51.5,83.5,60.0,83.7,,1,4,211,13.9,106.9,5.1,10,21,2,3,11,6,2.9,1554,9.4,73.2,142,149,9.3,2.49,2,9,5.7,67.8,101,52,2.9,173,76.5,3,72,,,,,76.7,90.1,48.9,83.0,60.0,85.8,,1,4,183,15.4,102.8,4.6,8,16,2,2,8,4,2.2,1343,9.0,70.5,44,46,8.1,2.53,1,2,4.1,67.4,31,20,0.0,53,23.5,0,20,,,,,40.3,74.0,76.1,73.8,,61.1,,0,1,57,10.0,113.3,3.8,2,5,0,1,4,2,3.6,388,8.4,0,93.1,29,29,-2.3,1.32,0,0,0.0,86.2,25,0,7.4,29,12.8,2,6,,,,,68.1,68.9,73.6,68.4,,,,0,1,29,,89.2,0.0,0,0,0,0,1,0,0.0,177,6.1,-0.58
Connor Bazelak,99135,QB,INDIANA,4,-4.07,0,213,190,59.9,172,182,10.9,2.61,1,7,3.6,50.5,92,74,10.7,192,90.1,11,55,,,,,64.7,59.4,84.0,57.9,,62.0,,0,4,204,12.2,72.9,4.7,9,1,0,9,7,9,4.4,1094,6.0,64.3,126,135,8.9,2.52,2,5,3.5,54.8,74,58,8.6,145,68.1,7,39,,,,,61.4,59.4,83.2,57.5,,62.0,,0,2,154,13.8,69.4,5.5,8,1,0,7,2,6,3.9,742,5.5,60.0,65,67,11.0,2.36,0,2,2.8,50.7,34,16,12.8,68,31.9,5,20,,,,,70.8,59.7,77.0,59.4,,,,0,2,72,6.3,83.5,1.5,1,0,0,2,5,3,4.2,429,6.4,0,89.5,19,20,-1.6,1.2,1,0,0.0,80.0,16,0,5.9,21,9.9,1,4,,,,,67.2,59.8,72.7,59.4,,,,0,0,22,,82.7,0.0,0,0,0,0,0,0,0.0,77,3.9,0.9
Will Rogers,124184,QB,MISS STATE,4,-1.28,0,203,227,80.4,148,156,7.3,2.52,4,8,4.9,71.2,111,38,6.7,168,82.8,8,66,,,,,74.2,87.9,82.6,87.1,,56.6,,0,3,176,21.1,118.9,4.8,8,3,0,4,16,1,0.6,1172,7.5,83.3,168,177,6.1,2.32,4,8,4.3,74.0,131,36,6.4,191,94.1,9,72,,,,,59.8,84.5,83.0,84.1,,51.4,,0,3,200,25.0,118.0,4.7,9,2,0,5,16,2,1.0,1323,7.5,81.8,11,11,2.2,2.44,0,0,0.0,72.7,8,2,11.1,12,5.9,1,4,,,,,65.8,77.5,70.7,73.5,,64.0,,0,0,12,0.0,85.8,0.0,0,1,0,0,0,0,0.0,61,5.5,0,96.8,31,32,-0.8,1.41,0,0,0.0,87.5,28,0,6.7,35,17.2,2,10,,,,,26.6,61.4,74.4,61.0,,,,0,0,36,,94.3,2.9,1,0,0,1,0,1,2.8,212,6.6,-1.92
Michael Penix Jr.,82134,QB,WASHINGTON,5,-5.76,0,202,340,70.6,160,166,12.5,2.57,0,12,6.8,62.0,103,41,8.8,173,85.6,10,79,,,,,75.6,84.3,66.7,85.2,,55.8,,1,3,183,4.9,115.9,1.2,2,5,2,3,15,3,1.6,1575,9.5,77.2,127,134,9.4,2.41,1,5,3.5,66.4,89,29,9.2,141,69.8,9,61,,,,,74.9,78.0,64.6,79.4,,55.8,,1,2,149,6.9,117.5,1.4,2,5,2,3,12,2,1.3,1171,8.7,67.2,61,61,11.7,2.51,0,7,10.9,60.7,37,13,9.8,61,30.2,4,24,,,,,70.4,85.5,76.7,84.4,,,,0,1,64,0.0,106.0,0.0,0,0,0,0,4,1,1.6,561,9.2,0,92.9,28,29,-3.1,1.63,1,0,0.0,79.3,23,1,11.5,29,14.4,3,6,,,,,68.2,67.0,73.7,66.5,,,,0,0,30,0.0,100.7,0.0,0,0,0,0,1,0,0.0,157,5.4,0.46
Clayton Tune,77652,QB,HOUSTON,5,-0.97,0,199,182,69.1,110,122,10.9,3.52,3,7,5.3,57.4,70,66,7.9,160,80.4,6,48,,,,,53.9,79.9,84.2,77.3,,68.6,,0,3,173,22.7,85.6,9.4,15,23,0,9,6,7,4.0,866,7.1,75.9,108,118,7.1,3.29,3,5,3.9,65.3,77,56,6.1,149,74.9,5,44,,,,,65.2,79.7,84.0,76.6,,69.3,,0,3,162,19.6,88.3,7.4,11,20,0,7,4,5,3.1,882,7.5,78.9,38,42,8.6,2.77,0,2,4.7,64.3,27,14,10.0,50,25.1,3,18,,,,,37.6,71.9,75.7,72.3,,58.6,,0,0,51,28.6,126.0,8.0,4,3,0,4,5,2,3.9,310,7.4,0,100.0,36,38,-2.9,1.71,0,0,0.0,89.5,34,4,5.6,39,19.6,2,14,,,,,69.0,70.2,74.8,69.6,,,,0,0,40,0.0,128.7,0.0,0,0,0,2,3,0,0.0,326,8.6,-0.09
Kyle Vantrease,55029,QB,GA SOUTHRN,4,0.41,0,198,174,63.8,149,160,11.7,2.43,6,7,4.2,53.8,86,38,9.5,167,84.3,9,53,,,,,74.9,60.0,83.4,57.3,54.3,68.3,,0,6,175,2.6,71.2,0.6,1,6,0,5,6,11,6.3,1054,6.6,66.9,127,132,9.7,2.32,3,6,4.4,60.6,80,26,5.9,139,70.2,5,48,,,,,74.3,65.6,82.8,62.5,,68.3,,0,5,145,3.8,75.5,0.7,1,6,0,2,4,9,6.2,905,6.9,75.5,53,59,8.3,2.23,3,1,1.6,61.0,36,12,10.0,59,29.8,4,16,,,,,70.3,53.0,76.5,53.3,54.3,,,0,1,62,0.0,96.1,0.0,0,0,0,3,4,2,3.2,391,6.6,0,96.8,31,31,-2.3,1.55,0,0,0.0,96.8,30,0,0.0,31,15.7,0,11,,,,,68.4,69.8,74.0,69.3,,,,0,0,32,,120.7,0.0,0,0,0,0,2,0,0.0,242,7.8,-0.23
Chase Cunningham,78533,QB,MIDDLE TN,5,12.61,0,197,224,77.4,137,152,8.5,2.73,1,10,6.1,63.8,97,66,8.5,172,87.3,9,50,,,,,66.3,59.5,65.0,63.8,,49.7,,3,3,183,16.7,100.0,6.4,11,8,1,10,8,8,4.4,1292,8.5,78.6,131,145,7.5,2.59,2,8,5.1,65.5,95,54,7.8,161,81.7,8,43,,,,,65.8,57.5,64.3,61.0,,51.1,,2,3,173,16.7,95.8,5.6,9,6,1,9,7,8,4.6,1101,7.6,90.0,30,32,4.0,2.46,0,2,6.3,78.1,25,13,7.4,36,18.3,2,11,,,,,68.7,74.4,74.4,77.4,,52.7,,1,0,36,15.4,111.8,5.6,2,2,0,1,1,0,0.0,267,8.3,0,100.0,24,25,-2.3,1.45,1,0,0.0,92.0,23,1,4.2,25,12.7,1,4,,,,,67.8,70.1,73.3,69.6,,,,0,0,26,0.0,79.3,0.0,0,0,0,0,0,0,0.0,76,3.0,0.75
Gavin Hardison,100827,QB,UTEP,5,4.93,0,196,330,62.7,150,164,13.1,3.07,3,15,8.7,49.4,81,55,13.8,184,93.9,13,50,,,,,50.0,68.9,84.1,68.4,,58.0,,2,3,193,23.6,68.6,7.1,13,7,1,8,3,9,4.7,1059,6.5,61.9,118,129,12.3,3.09,2,10,7.4,49.6,64,44,12.3,145,74.0,9,34,,,,,44.8,56.0,83.4,54.5,,59.0,,1,3,151,27.3,59.9,8.3,12,4,1,7,1,9,6.0,731,5.7,70.0,40,44,12.7,2.74,1,5,10.4,54.5,24,13,14.3,51,26.0,4,18,,,,,70.0,91.1,75.9,91.6,,54.6,,1,0,55,7.7,96.6,2.0,1,4,0,2,2,0,0.0,358,8.1,0,87.5,8,9,-1.0,1.91,0,0,0.0,77.8,7,2,0.0,12,6.1,0,2,,,,,66.0,61.8,71.0,64.8,,57.3,,0,0,13,0.0,80.6,0.0,0,1,0,1,0,0,0.0,30,3.3,2.47
Ryan Hilinski,71295,QB,NWESTERN,4,-18.17,0,191,256,66.5,161,169,9.2,2.73,3,2,1.1,60.4,102,37,4.7,173,90.6,5,56,,,,,55.5,55.3,66.8,54.0,,61.5,,2,2,183,8.1,85.1,1.7,3,1,0,3,5,9,4.9,1128,6.7,72.0,132,137,6.5,2.5,1,2,1.4,67.2,92,29,3.2,140,73.3,3,45,,,,,66.0,57.1,64.7,55.2,,63.5,,2,2,149,6.9,89.5,1.4,2,0,0,2,4,7,4.7,913,6.7,57.8,45,49,12.7,3.03,2,0,0.0,49.0,24,10,7.7,51,26.7,2,15,,,,,38.1,56.3,75.7,57.0,,57.3,,0,1,52,10.0,67.6,2.0,1,1,0,2,1,2,3.8,310,6.3,0,87.5,16,17,-2.6,1.82,0,0,0.0,82.4,14,2,0.0,18,9.4,0,4,,,,,66.8,66.9,72.0,66.5,,,,0,1,18,0.0,65.4,0.0,0,0,0,1,0,0,0.0,95,5.6,-0.33
Donovan Smith,73929,QB,TEXAS TECH,4,3.23,0,189,315,67.7,133,141,10.2,2.92,1,3,2.1,61.0,86,67,4.4,164,86.8,4,57,,,,,54.0,67.8,63.7,67.4,60.0,60.9,,2,5,169,16.4,89.7,6.7,11,12,0,5,9,6,3.6,1025,7.3,71.1,121,129,8.2,2.73,1,0,0.0,64.3,83,57,3.5,146,77.2,3,46,,,,,52.0,64.0,41.3,64.0,,60.5,,2,4,148,12.3,86.2,4.8,7,10,0,5,6,5,3.4,863,6.7,77.1,35,37,8.6,2.75,0,3,7.5,67.6,25,13,7.4,43,22.8,2,14,,,,,69.4,75.9,75.4,75.3,60.0,62.0,,0,1,46,30.8,102.6,9.3,4,2,0,2,3,1,2.2,253,6.8,0,100.0,23,25,-2.7,1.55,0,0,0.0,88.0,22,3,4.3,25,13.2,1,3,,,,,67.7,65.5,0.0,68.4,,,,0,0,25,0.0,81.8,0.0,0,0,0,2,0,0,0.0,91,3.6,0.15
