player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
John Porchivina,28202,LB,OLE MISS,1,2,0,226,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,5,99,0,193,0,,,36.4,,,0,0,,64.7,0,,0.0,0,0,0.0,0,8,8.1,22,0,1,0,0,0,0,0.0,,0,0,5.6,55.6,78.8,12.0,6.7,0,0,0.0,73.9,2,18,0.0,0,0,28.7,5,63,63.6,80,2,5,9,0,43,12,0.7,8.6
Kyle Pugh,35900,LB,N ILLINOIS,5,82,0,254,1,-4.0,100.0,72.0,17.0,17.0,0,0,0.0,57.6,0,8,0.0,0,0,100.0,1,18,22.0,25,0,0,1,0,8,12,0.5,8.0,0,1,25.0,0.0,83.3,,35.0,0,0,0.0,72.9,0,,12.5,1,0,39.6,0,35,42.7,42,2,6,1,0,0,0,0.0,
Jordan Carmouche,39951,LB,ARK STATE,5,145,0,113,0,29.0,0.0,93.5,,27.0,0,0,0.0,55.6,0,,0.0,0,0,39.6,0,29,20.0,31,1,1,1,0,0,0,0.0,,0,2,7.8,75.0,86.3,21.3,16.0,0,0,0.0,56.9,0,51,0.0,0,0,156.3,3,69,47.6,80,0,1,4,2,84,54,1.3,28.0
Monte McGary,42477,CB,KANSAS,2,9,0,198,1,,,100.0,,,0,0,,62.3,0,,0.0,0,0,0.0,0,1,11.1,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.3,0,,,0,0,0.0,0,6,66.7,6,0,0,0,0,0,0,0.0,
Bricen Garner,42520,S,W MICHIGAN,5,138,0,347,0,2.0,0.0,100.0,,22.0,0,0,0.0,69.0,0,,0.0,0,0,39.6,0,26,18.8,26,0,2,1,0,0,0,0.0,,0,0,12.5,100.0,95.7,21.0,21.0,0,0,0.0,63.1,0,37,0.0,0,0,118.8,2,44,31.9,46,1,4,2,0,42,17,1.0,21.0
Brandon Moore,42620,CB,NEBRASKA,2,10,0,238,0,4.0,100.0,100.0,2.0,2.0,0,0,0.0,71.7,0,5,0.0,0,0,87.5,1,2,20.0,2,0,1,1,0,5,1,2.5,5.0,0,0,,,75.0,,,0,0,,62.2,0,,,0,0,0.0,0,3,30.0,4,0,0,0,0,0,0,0.0,
Clifford Chattman,42657,S,UTSA,5,163,0,331,0,25.0,75.0,100.0,5.0,3.8,0,0,0.0,34.5,0,42,0.0,0,0,116.7,3,17,10.4,17,0,1,4,0,86,4,5.7,28.7,0,4,9.6,36.4,100.0,20.5,7.5,0,2,18.2,83.4,0,13,0.0,0,2,44.9,4,86,52.8,86,1,8,11,0,19,15,0.2,4.8
Justin Clark,43185,CB,WISCONSIN,3,39,0,349,0,6.0,0.0,100.0,,4.0,0,0,0.0,71.1,0,,,0,0,39.6,0,4,10.3,4,0,0,1,0,0,0,0.0,,0,0,12.5,50.0,100.0,19.0,9.5,0,0,0.0,56.6,0,11,100.0,1,0,66.7,1,19,48.7,19,0,0,2,0,11,5,0.6,11.0
Ryan McWood,43189,LB,MIAMI OH,4,127,0,221,0,,,52.2,,,0,0,,64.7,0,,100.0,1,0,0.0,0,12,9.4,23,0,0,0,0,0,0,0.0,,0,5,3.3,100.0,91.3,9.1,9.1,1,0,0.0,52.1,1,19,10.0,1,0,67.9,10,94,74.0,103,2,4,10,0,98,65,1.1,9.8
Jaydon Grant,43354,S,OREGON ST,5,180,0,265,0,17.0,0.0,97.7,,38.0,0,0,0.0,72.0,1,,0.0,0,0,0.0,0,43,23.9,44,0,1,1,0,0,0,0.0,,0,1,15.8,58.3,91.8,12.3,7.2,1,1,8.3,70.1,1,60,14.3,1,1,54.2,7,90,50.0,98,1,5,12,0,110,38,1.3,15.7
Linwood Crump,43401,CB,NEW MEX ST,5,79,0,242,0,14.0,66.7,100.0,5.5,3.7,0,0,0.0,61.6,0,16,0.0,0,0,136.1,2,13,16.5,13,0,1,3,1,28,-2,2.5,14.0,0,0,21.5,50.0,95.3,40.0,20.0,0,0,0.0,65.5,0,19,0.0,0,0,83.3,1,41,51.9,43,1,5,2,0,19,0,0.5,19.0
Jon-Michael Terry,43635,LB,TULSA,5,91,0,320,0,10.0,0.0,51.2,,10.0,0,0,0.0,59.2,0,,50.0,1,0,39.6,0,21,23.1,41,0,1,2,0,0,0,0.0,,0,2,2.0,100.0,87.5,13.7,13.7,0,0,0.0,64.9,0,11,20.0,1,0,90.3,3,42,46.2,48,0,2,3,0,17,11,0.4,5.7
Tyrone Hopper,43714,ED,MISSOURI,5,4,0,229,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,11,0,0,0,0,0,0,,,0,0,,,20.0,,,0,0,,61.7,0,,,0,0,0.0,0,4,100.0,20,0,0,0,0,0,0,0.0,
Sione Tupou,44093,LB,TEXAS ST,5,160,0,314,0,,,77.8,,,0,0,,63.4,0,,,0,0,0.0,0,7,4.4,9,0,0,0,0,0,0,0.0,,0,1,6.3,64.7,93.2,9.5,6.2,0,1,5.9,66.3,1,45,0.0,0,1,87.1,11,109,68.1,117,1,7,17,1,147,83,1.4,13.4
