"","teams","lines","totals"
"1","Navy","20.5","50.5"
"2","Notre Dame","-20.5","50.5"
"3","UTEP","-1","52"
"4","Jacksonville State","1","52"
"5","Ohio","3.5","49"
"6","San Diego State","-3.5","49"
"7","Massachusetts","8","44.5"
"8","New Mexico State","-8","44.5"
"9","Hawaii","17.5","55.5"
"10","Vanderbilt","-17.5","55.5"
"11","San Jose State","30.5","64.5"
"12","USC","-30.5","64.5"
"13","FIU","10.5","59"
"14","Louisiana Tech","-10.5","59"
"15","Kent State","35","58.5"
"16","UCF","-35","58.5"
"17","North Carolina State","-15","47"
"18","UConn","15","47"
"19","Florida","7","47"
"20","Utah","-7","47"
"21","Nebraska","7","46"
"22","Minnesota","-7","46"
"23","Central Michigan","14.5","49.5"
"24","Michigan State","-14.5","49.5"
"25","Miami OH","17.5","46.5"
"26","Miami FL","-17.5","46.5"
"27","Louisville","-8","51.5"
"28","Georgia Tech","8","51.5"
"29","Stanford","-7.5","58.5"
"30","Hawaii","7.5","58.5"
"31","Bowling Green","12.5","51.5"
"32","Liberty","-12.5","51.5"
"33","Northern Illinois","9.5","52"
"34","Boston College","-9.5","52"
"35","East Carolina","35","51.5"
"36","Michigan","-35","51.5"
"37","Ball State","26.5","48.5"
"38","Kentucky","-26.5","48.5"
"39","Louisiana Tech","18","65.5"
"40","SMU","-18","65.5"
"41","Fresno State","4","50.5"
"42","Purdue","-4","50.5"
"43","Arkansas State","33.5","61"
"44","Oklahoma","-33.5","61"
"45","Colorado","20.5","59.5"
"46","TCU","-20.5","59.5"
"47","Utah State","23.5","43"
"48","Iowa","-23.5","43"
"49","Virginia","28","58"
"50","Tennessee","-28","58"
"51","Akron","10.5","55"
"52","Temple","-10.5","55"
"53","South Florida","13.5","71"
"54","Western Kentucky","-13.5","71"
"55","Ohio State","-28.5","60"
"56","Indiana","28.5","60"
"57","Buffalo","25","55"
"58","Wisconsin","-25","55"
"59","Boise State","14.5","59"
"60","Washington","-14.5","59"
"61","Rice","35","59"
"62","Texas","-35","59"
"63","Massachusetts","39.5","53.5"
"64","Auburn","-39.5","53.5"
"65","California","-7.5","58"
"66","North Texas","7.5","58"
"67","Nevada","38","63.5"
"68","USC","-38","63.5"
"69","Army West Point","-8","48.5"
"70","ULM","8","48.5"
"71","Texas State","26","58"
"72","Baylor","-26","58"
"73","New Mexico","38","49"
"74","Texas A&M","-38","49"
"75","Washington State","-12","58"
"76","Colorado State","12","58"
"77","UTSA",NA,"61"
"78","Houston",NA,"61"
"79","West Virginia","20.5","53.5"
"80","Penn State","-20.5","53.5"
"81","South Carolina","2.5","62"
"82","North Carolina","-2.5","62"
"83","Toledo","9","49.5"
"84","Illinois","-9","49.5"
"85","Middle Tennessee","39.5","54.5"
"86","Alabama","-39.5","54.5"
"87","Texas Tech","-14","53"
"88","Wyoming","14","53"
"89","South Alabama","7","55"
"90","Tulane","-7","55"
"91","Old Dominion","14","49.5"
"92","Virginia Tech","-14","49.5"
"93","Sam Houston","23","50.5"
"94","BYU","-23","50.5"
"95","Coastal Carolina","16.5","64.5"
"96","UCLA","-16.5","64.5"
"97","Oregon State","-16.5","54.5"
"98","San Jose State","16.5","54.5"
"99","LSU","-2.5","56"
"100","Florida State","2.5","56"
"101","Clemson","-12.5","55"
"102","Duke","12.5","55"
