Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jayden Daniels (31183925),Jayden Daniels,31183925,QB/S-FLEX,11000,TA&M@LSU 11/25/2023 12:00PM ET,LSU,43.23
QB,Garrett Nussmeier (31183927),Garrett Nussmeier,31183927,QB/S-FLEX,10700,TA&M@LSU 11/25/2023 12:00PM ET,LSU,3.60
QB,Michael Penix Jr. (31183929),Michael Penix Jr.,31183929,QB/S-FLEX,10400,WSU@UW 11/25/2023 04:00PM ET,UW,27.57
QB,Dylan Morris (31183931),Dylan Morris,31183931,QB/S-FLEX,10000,WSU@UW 11/25/2023 04:00PM ET,UW,3.36
WR,Malik Nabers (31184870),Malik Nabers,31184870,WR/FLEX/S-FLEX,9600,TA&M@LSU 11/25/2023 12:00PM ET,LSU,29.14
QB,Jalen Milroe (31183933),Jalen Milroe,31183933,QB/S-FLEX,9500,BAMA@AUB 11/25/2023 03:30PM ET,BAMA,27.29
QB,Ty Simpson (31183935),Ty Simpson,31183935,QB/S-FLEX,9100,BAMA@AUB 11/25/2023 03:30PM ET,BAMA,4.96
RB,Ollie Gordon II (31184219),Ollie Gordon II,31184219,RB/FLEX/S-FLEX,9000,BYU@OKST 11/25/2023 03:30PM ET,OKST,28.5
QB,Shedeur Sanders (31183937),Shedeur Sanders,31183937,QB/S-FLEX,9000,COL@UTAH 11/25/2023 03:00PM ET,COL,24.32
WR,Marvin Harrison Jr. (31184873),Marvin Harrison Jr.,31184873,WR/FLEX/S-FLEX,9000,OSU@MICH 11/25/2023 12:00PM ET,OSU,25.36
QB,J.J. McCarthy (31183939),J.J. McCarthy,31183939,QB/S-FLEX,8900,OSU@MICH 11/25/2023 12:00PM ET,MICH,18.07
QB,Cameron Ward (31183941),Cameron Ward,31183941,QB/S-FLEX,8800,WSU@UW 11/25/2023 04:00PM ET,WSU,27.28
QB,John Mateer (31183943),John Mateer,31183943,QB/S-FLEX,8700,WSU@UW 11/25/2023 04:00PM ET,WSU,4.62
QB,Ryan Staub (31183945),Ryan Staub,31183945,QB/S-FLEX,8600,COL@UTAH 11/25/2023 03:00PM ET,COL,-0.02
QB,Jack Plummer (31183947),Jack Plummer,31183947,QB/S-FLEX,8500,UK@UL 11/25/2023 12:00PM ET,UL,17.72
WR,Rome Odunze (31184876),Rome Odunze,31184876,WR/FLEX/S-FLEX,8500,WSU@UW 11/25/2023 04:00PM ET,UW,26
QB,Jack Tuttle (31183949),Jack Tuttle,31183949,QB/S-FLEX,8400,OSU@MICH 11/25/2023 12:00PM ET,MICH,2.54
RB,Blake Corum (31184222),Blake Corum,31184222,RB/FLEX/S-FLEX,8400,OSU@MICH 11/25/2023 12:00PM ET,MICH,21.18
QB,Preston Stone (31183951),Preston Stone,31183951,QB/S-FLEX,8400,NAVY@SMU 11/25/2023 12:00PM ET,SMU,24.00
QB,Brock Domann (31183953),Brock Domann,31183953,QB/S-FLEX,8300,UK@UL 11/25/2023 12:00PM ET,UL,0.99
QB,Harrison Bailey (31183955),Harrison Bailey,31183955,QB/S-FLEX,8200,UK@UL 11/25/2023 12:00PM ET,UL,6.04
QB,John Rhys Plumlee (31183959),John Rhys Plumlee,31183959,QB/S-FLEX,8200,UH@UCF 11/25/2023 12:00PM ET,UCF,21.92
QB,Donovan Smith (31183963),Donovan Smith,31183963,QB/S-FLEX,8200,UH@UCF 11/25/2023 12:00PM ET,UH,24.62
QB,Kyle McCord (31183957),Kyle McCord,31183957,QB/S-FLEX,8200,OSU@MICH 11/25/2023 12:00PM ET,OSU,18.16
QB,Timmy McClain (31183961),Timmy McClain,31183961,QB/S-FLEX,8100,UH@UCF 11/25/2023 12:00PM ET,UCF,15.44
WR,Brian Thomas Jr. (31184879),Brian Thomas Jr.,31184879,WR/FLEX/S-FLEX,8000,TA&M@LSU 11/25/2023 12:00PM ET,LSU,23.5
QB,Kevin Jennings (31183965),Kevin Jennings,31183965,QB/S-FLEX,8000,NAVY@SMU 11/25/2023 12:00PM ET,SMU,7.06
WR,Ja'Lynn Polk (31184882),Ja'Lynn Polk,31184882,WR/FLEX/S-FLEX,7900,WSU@UW 11/25/2023 04:00PM ET,UW,22.34
QB,Devin Brown (31183967),Devin Brown,31183967,QB/S-FLEX,7900,OSU@MICH 11/25/2023 12:00PM ET,OSU,4.68
QB,Ui Ale (31183969),Ui Ale,31183969,QB/S-FLEX,7800,UH@UCF 11/25/2023 12:00PM ET,UH,4.55
RB,Ray Davis (31184225),Ray Davis,31184225,RB/FLEX/S-FLEX,7600,UK@UL 11/25/2023 12:00PM ET,UK,23.78
QB,Joe Milton III (31183973),Joe Milton III,31183973,QB/S-FLEX,7500,VAND@TENN 11/25/2023 03:30PM ET,TENN,19.51
QB,Noah Fifita (31183971),Noah Fifita,31183971,QB/S-FLEX,7400,ARIZ@ASU 11/25/2023 03:30PM ET,ARIZ,15.87
WR,Jamari Thrash (31184885),Jamari Thrash,31184885,WR/FLEX/S-FLEX,7300,UK@UL 11/25/2023 12:00PM ET,UL,17.43
RB,TreVeyon Henderson (31184228),TreVeyon Henderson,31184228,RB/FLEX/S-FLEX,7300,OSU@MICH 11/25/2023 12:00PM ET,OSU,23.55
RB,RJ Harvey (31184231),RJ Harvey,31184231,RB/FLEX/S-FLEX,7200,UH@UCF 11/25/2023 12:00PM ET,UCF,24.1
QB,Jayden de Laura (31183975),Jayden de Laura,31183975,QB/S-FLEX,7200,ARIZ@ASU 11/25/2023 03:30PM ET,ARIZ,18.65
RB,Jawhar Jordan (31184234),Jawhar Jordan,31184234,RB/FLEX/S-FLEX,7100,UK@UL 11/25/2023 12:00PM ET,UL,20.26
QB,Alan Bowman (31183977),Alan Bowman,31183977,QB/S-FLEX,7100,BYU@OKST 11/25/2023 03:30PM ET,OKST,14.16
QB,Bryson Barnes (31183981),Bryson Barnes,31183981,QB/S-FLEX,7100,COL@UTAH 11/25/2023 03:00PM ET,UTAH,16.73
WR,Xavier Weaver (31184888),Xavier Weaver,31184888,WR/FLEX/S-FLEX,7100,COL@UTAH 11/25/2023 03:00PM ET,COL,18.84
QB,Nico Iamaleava (31183979),Nico Iamaleava,31183979,QB/S-FLEX,7100,VAND@TENN 11/25/2023 03:30PM ET,TENN,3.59
WR,Tetairoa McMillan (31184891),Tetairoa McMillan,31184891,WR/FLEX/S-FLEX,7000,ARIZ@ASU 11/25/2023 03:30PM ET,ARIZ,21.70
RB,Dillon Johnson (31184237),Dillon Johnson,31184237,RB/FLEX/S-FLEX,7000,WSU@UW 11/25/2023 04:00PM ET,UW,19.24
QB,Riley Leonard (31183983),Riley Leonard,31183983,QB/S-FLEX,6800,PITT@DUKE 11/25/2023 12:00PM ET,DUKE,16.18
QB,Garret Rangel (31183985),Garret Rangel,31183985,QB/S-FLEX,6800,BYU@OKST 11/25/2023 03:30PM ET,OKST,4.00
WR,Lincoln Victor (31184894),Lincoln Victor,31184894,WR/FLEX/S-FLEX,6800,WSU@UW 11/25/2023 04:00PM ET,WSU,19.78
QB,Henry Belin IV (31183987),Henry Belin IV,31183987,QB/S-FLEX,6700,PITT@DUKE 11/25/2023 12:00PM ET,DUKE,7.27
QB,Gunnar Gundy (31183989),Gunnar Gundy,31183989,QB/S-FLEX,6700,BYU@OKST 11/25/2023 03:30PM ET,OKST,5.33
WR,Jacob Cowing (31184897),Jacob Cowing,31184897,WR/FLEX/S-FLEX,6700,ARIZ@ASU 11/25/2023 03:30PM ET,ARIZ,16.89
QB,Nate Johnson (31183991),Nate Johnson,31183991,QB/S-FLEX,6700,COL@UTAH 11/25/2023 03:00PM ET,UTAH,11.21
QB,Grayson Loftis (31183993),Grayson Loftis,31183993,QB/S-FLEX,6600,PITT@DUKE 11/25/2023 12:00PM ET,DUKE,13.58
WR,Samuel Brown (31184900),Samuel Brown,31184900,WR/FLEX/S-FLEX,6600,UH@UCF 11/25/2023 12:00PM ET,UH,15.41
WR,Jalen McMillan (31184903),Jalen McMillan,31184903,WR/FLEX/S-FLEX,6600,WSU@UW 11/25/2023 04:00PM ET,UW,26.52
QB,Max Johnson (31183995),Max Johnson,31183995,QB/S-FLEX,6500,TA&M@LSU 11/25/2023 12:00PM ET,TA&M,13.10
WR,Kyle Williams (31184909),Kyle Williams,31184909,WR/FLEX/S-FLEX,6400,WSU@UW 11/25/2023 04:00PM ET,WSU,15.34
WR,Travis Hunter (31184906),Travis Hunter,31184906,WR/FLEX/S-FLEX,6400,COL@UTAH 11/25/2023 03:00PM ET,COL,17.42
RB,Jase McClellan (31184240),Jase McClellan,31184240,RB/FLEX/S-FLEX,6400,BAMA@AUB 11/25/2023 03:30PM ET,BAMA,12.68
QB,Jaylen Henderson (31183997),Jaylen Henderson,31183997,QB/S-FLEX,6400,TA&M@LSU 11/25/2023 12:00PM ET,TA&M,17.6
RB,Isaac Guerendo (31184243),Isaac Guerendo,31184243,RB/FLEX/S-FLEX,6300,UK@UL 11/25/2023 12:00PM ET,UL,12.73
WR,Josh Kelly (31184918),Josh Kelly,31184918,WR/FLEX/S-FLEX,6300,WSU@UW 11/25/2023 04:00PM ET,WSU,16.91
QB,Blake Bost (31183999),Blake Bost,31183999,QB/S-FLEX,6300,TA&M@LSU 11/25/2023 12:00PM ET,TA&M,0
WR,Roman Wilson (31184912),Roman Wilson,31184912,WR/FLEX/S-FLEX,6300,OSU@MICH 11/25/2023 12:00PM ET,MICH,16.22
WR,Emeka Egbuka (31184915),Emeka Egbuka,31184915,WR/FLEX/S-FLEX,6300,OSU@MICH 11/25/2023 12:00PM ET,OSU,11.9
QB,Devin Leary (31184003),Devin Leary,31184003,QB/S-FLEX,6200,UK@UL 11/25/2023 12:00PM ET,UK,15.37
QB,Trenton Bourguet (31184001),Trenton Bourguet,31184001,QB/S-FLEX,6200,ARIZ@ASU 11/25/2023 03:30PM ET,ASU,10.83
RB,Jordan Waters (31184246),Jordan Waters,31184246,RB/FLEX/S-FLEX,6100,PITT@DUKE 11/25/2023 12:00PM ET,DUKE,15.06
QB,Kedon Slovis (31184007),Kedon Slovis,31184007,QB/S-FLEX,6000,BYU@OKST 11/25/2023 03:30PM ET,BYU,16.47
WR,Javon Baker (31184924),Javon Baker,31184924,WR/FLEX/S-FLEX,6000,UH@UCF 11/25/2023 12:00PM ET,UCF,16.34
QB,Payton Thorne (31184005),Payton Thorne,31184005,QB/S-FLEX,6000,BAMA@AUB 11/25/2023 03:30PM ET,AUB,16.23
WR,Jermaine Burton (31184921),Jermaine Burton,31184921,WR/FLEX/S-FLEX,6000,BAMA@AUB 11/25/2023 03:30PM ET,BAMA,14.91
QB,Jake Retzlaff (31184013),Jake Retzlaff,31184013,QB/S-FLEX,5900,BYU@OKST 11/25/2023 03:30PM ET,BYU,14.79
WR,Brennan Presley (31184954),Brennan Presley,31184954,WR/FLEX/S-FLEX,5900,BYU@OKST 11/25/2023 03:30PM ET,OKST,15.99
WR,Joseph Manjack IV (31184930),Joseph Manjack IV,31184930,WR/FLEX/S-FLEX,5900,UH@UCF 11/25/2023 12:00PM ET,UH,14.79
QB,Drew Pyne (31184009),Drew Pyne,31184009,QB/S-FLEX,5900,ARIZ@ASU 11/25/2023 03:30PM ET,ASU,5.36
WR,Jimmy Horn Jr. (31184927),Jimmy Horn Jr.,31184927,WR/FLEX/S-FLEX,5900,COL@UTAH 11/25/2023 03:00PM ET,COL,13.79
QB,Ken Seals (31184015),Ken Seals,31184015,QB/S-FLEX,5900,VAND@TENN 11/25/2023 03:30PM ET,VAND,10.13
QB,Holden Geriner (31184011),Holden Geriner,31184011,QB/S-FLEX,5900,BAMA@AUB 11/25/2023 03:30PM ET,AUB,0.49
WR,Evan Stewart (31184933),Evan Stewart,31184933,WR/FLEX/S-FLEX,5900,TA&M@LSU 11/25/2023 12:00PM ET,TA&M,14.89
QB,Nate Yarnell (31184019),Nate Yarnell,31184019,QB/S-FLEX,5800,PITT@DUKE 11/25/2023 12:00PM ET,PITT,9.87
QB,AJ Swann (31184021),AJ Swann,31184021,QB/S-FLEX,5800,VAND@TENN 11/25/2023 03:30PM ET,VAND,20.07
WR,Will Sheppard (31184939),Will Sheppard,31184939,WR/FLEX/S-FLEX,5800,VAND@TENN 11/25/2023 03:30PM ET,VAND,14.46
QB,Robby Ashford (31184017),Robby Ashford,31184017,QB/S-FLEX,5800,BAMA@AUB 11/25/2023 03:30PM ET,AUB,7.31
WR,Jayden Umbarger (31184936),Jayden Umbarger,31184936,WR/FLEX/S-FLEX,5800,NAVY@SMU 11/25/2023 12:00PM ET,NAVY,2.83
QB,Christian Veilleux (31184025),Christian Veilleux,31184025,QB/S-FLEX,5700,PITT@DUKE 11/25/2023 12:00PM ET,PITT,9.35
WR,Jordan Moore (31184945),Jordan Moore,31184945,WR/FLEX/S-FLEX,5700,PITT@DUKE 11/25/2023 12:00PM ET,DUKE,15
QB,Kaiya Sheron (31184023),Kaiya Sheron,31184023,QB/S-FLEX,5700,UK@UL 11/25/2023 12:00PM ET,UK,-0.1
WR,Rashod Owens (31184948),Rashod Owens,31184948,WR/FLEX/S-FLEX,5700,BYU@OKST 11/25/2023 03:30PM ET,OKST,11.75
