player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Rickey Smith,15900,S,MIDDLE TN,4,1,0,100.0,0,0,224,50.7,53.9,76.5,58.3,64.6,28.4,0,0,0,14,50.0,1,0,0,110.4,2,0,3,0,10,24,2,0,0,2,0,1,22,2,12,17,0,0,2,0,0,21,19,10.5
Jahsen Wint,42914,CB,MARSHALL,3,0,0,66.7,0,0,214,71.1,74.7,79.9,59.2,79.1,78.8,0,1,0,7,0.0,0,0,0,70.1,2,0,2,1,33,51,3,0,0,3,0,1,48,2,16,44,1,3,3,1,0,6,15,3.0
Mason White,43872,CB,TCU,1,0,0,100.0,0,0,305,50.2,51.7,72.0,,62.1,73.5,0,0,0,14,0.0,0,0,0,118.8,1,0,5,15,14,21,0,0,0,0,0,0,21,0,7,1,0,1,1,0,0,14,5,14.0
Chaz Ah You,51989,LB,BYU,1,0,0,100.0,0,0,128,42.8,45.8,69.3,59.1,69.5,73.1,0,0,0,20,0.0,0,0,0,118.8,1,0,7,0,3,8,1,0,0,1,0,0,7,1,4,0,1,1,1,0,0,20,18,20.0
Sinjun Astani,52257,DI,USC,3,0,0,,0,0,326,,68.7,73.4,58.4,70.9,23.1,0,2,0,,100.0,1,0,0,0.0,0,0,0,0,0,16,16,2,10,0,4,0,0,8,8,0,0,0,0,2,0,0,0,
Malik Vann,52555,ED,CINCINNATI,5,2,1,,0,0,138,,80.4,78.8,72.5,79.4,78.5,0,3,0,,0.0,0,0,0,0.0,0,2,0,0,0,113,113,0,14,20,79,0,0,71,42,0,3,2,0,5,0,0,0,
Tyler Bentley,52790,DI,PITTSBURGH,4,2,0,,0,0,268,60.0,49.2,79.3,57.4,45.6,75.2,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,98,98,6,91,1,0,0,0,41,57,0,1,1,0,2,0,0,0,
Xavier Peters,52819,ED,FAU,4,1,0,,0,1,165,61.1,62.0,79.5,61.8,58.7,76.9,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,2,76,76,0,1,61,14,0,0,48,26,0,3,2,0,3,0,0,0,
Zaid Hamdan,52925,DI,TULSA,5,2,0,,0,0,320,60.0,69.0,79.4,62.5,70.1,29.8,2,1,0,,33.3,3,0,0,0.0,0,0,0,0,0,126,126,6,96,5,19,0,0,73,53,0,3,4,0,3,0,0,0,
Cole Pearce,52970,LB,BALL ST,4,2,0,84.2,0,0,117,59.1,59.4,10.6,51.0,66.5,72.5,0,3,0,27,7.7,2,0,1,119.5,16,0,203,0,138,227,5,0,0,5,0,0,222,15,74,19,14,22,19,3,1,161,130,10.1
James Camden,53418,LB,CINCINNATI,1,0,0,,0,0,138,,38.4,70.1,,39.3,75.8,0,0,0,,0.0,0,0,0,0.0,0,0,6,0,0,8,0,0,0,0,0,0,8,0,8,2,1,2,0,0,0,0,0,
Deshawn Pace,53549,S,CINCINNATI,4,6,0,54.5,0,0,138,68.4,68.5,13.2,66.6,67.7,62.3,2,2,0,21,13.0,3,2,1,99.1,6,0,40,2,107,206,39,0,0,39,0,1,167,18,81,124,9,14,11,4,1,56,35,9.3
