player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
LaJohntay Wester,123616,WR,FAU,4,6.5,3,74.1,71.4,5,7,0,10.4,5,23,165,1,60.5,78.7,80.7,,83.0,5.4,9,3,27,0.0,0,167,0,43,95.8,160,81.4,136,82.4,58,2,10.2,17,398,191,4.4,9.3,2.49
Terrell Vaughn,157634,WR,UTAH ST,4,8.5,5,73.1,40.0,2,5,0,5.0,2,18,329,0,76.8,74.0,72.6,,74.4,0.0,0,0,42,0.0,0,171,0,38,97.1,166,92.4,158,129.2,52,6,7.0,12,347,142,3.7,9.1,2.09
Will Sheppard,124360,WR,VANDERBILT,5,12.8,3,56.3,50.0,7,14,0,15.6,5,21,333,0,46.8,47.3,69.1,,71.2,0.0,0,0,33,0.0,0,191,1,27,93.7,179,16.8,32,118.5,48,6,83.2,159,345,69,2.6,12.8,1.93
Smoke Harris,78918,WR,LA TECH,6,3.0,15,83.0,0.0,0,1,0,2.5,1,14,208,1,84.9,33.5,69.5,,69.4,0.5,1,1,64,0.0,0,184,0,39,93.5,172,94.0,173,112.2,47,3,4.3,8,374,334,8.6,9.6,2.17
Malachi Corley,66272,WR,W KENTUCKY,4,5.8,7,63.0,28.6,2,7,0,3.3,1,14,346,1,71.4,33.2,79.3,,77.4,0.0,0,1,39,0.0,0,124,0,29,94.4,117,87.1,108,90.0,46,2,12.1,15,331,234,8.1,11.4,2.83
Pofele Ashlock,158166,WR,HAWAII,5,10.6,4,76.1,20.0,1,5,0,10.3,4,19,180,0,60.9,72.3,71.6,,72.6,0.0,0,0,53,0.0,0,184,2,35,94.6,174,97.8,180,127.8,46,3,2.2,4,448,149,4.3,12.8,2.57
Xavier Weaver,101130,WR,COLORADO,4,12.2,5,75.6,25.0,1,4,0,5.6,2,17,143,0,75.6,73.0,73.4,,73.3,0.0,0,0,44,0.0,0,214,1,34,92.5,198,16.4,35,122.5,45,2,83.2,178,461,178,5.2,13.6,2.33
Erik Brooks,84187,WR,FRESNO ST,4,9.7,7,71.1,66.7,4,6,0,8.6,3,23,169,0,65.8,76.7,78.6,,77.9,0.0,0,0,49,0.0,0,137,0,32,94.2,129,92.0,126,132.5,45,4,8.0,11,448,165,5.2,14.0,3.47
Malik Nabers,146759,WR,LSU,4,12.9,7,71.1,62.5,5,8,0,3.0,1,26,211,0,81.8,72.1,91.5,,91.1,0.0,0,1,48,0.0,0,144,0,32,97.2,140,41.7,60,137.5,45,5,58.3,84,523,157,4.9,16.3,3.74
Joshua Cephus,98095,WR,UTSA,4,8.6,5,73.8,50.0,2,4,0,3.1,1,17,331,0,81.8,74.3,79.0,,79.7,0.6,1,1,44,0.0,0,161,0,31,96.3,155,48.4,78,107.7,42,3,50.3,81,305,159,5.1,9.8,1.97
