player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Austin Reed,111760,QB,W KENTUCKY,6,68.5,235,247,7.9,2.4,5,14,5.4,61.1,151,0,72,6.2,258,10,77,346,67.1,73.3,71.1,68.1,2,3,272,1,2.8,94.9,0.8,2,7,0,5,14,9,3.3,1663,6.7
Brayden Schager,146078,QB,HAWAII,6,73.7,232,243,10.4,2.89,2,12,4.7,63.8,155,0,114,9.4,285,16,77,180,68.1,74.5,76.3,48.8,2,7,301,0,23.7,91.0,9.5,27,15,0,7,14,7,2.3,1666,6.9
Davis Brin,77642,QB,GA SOUTHRN,5,75.5,229,236,8.3,2.48,1,14,5.7,69.5,164,0,55,5.2,254,9,82,174,67.1,87.6,87.3,58.6,1,7,263,1,16.4,93.2,3.5,9,8,1,4,12,9,3.4,1621,6.9
Nicholas Vattiato,145302,QB,MIDDLE TN,6,77.7,224,230,6.6,2.46,3,10,4.1,67.4,155,0,68,10.9,272,19,78,224,61.9,78.2,75.1,69.8,0,6,290,0,30.9,88.8,7.7,21,21,0,3,9,10,3.4,1568,6.8
Shedeur Sanders,131396,QB,COLORADO,5,82.9,205,215,8.6,2.84,4,15,6.4,74.4,160,0,92,5.9,256,10,80,143,77.1,92.9,92.6,68.1,1,2,276,2,28.3,118.0,10.2,26,15,0,5,15,5,1.8,1780,8.3
E.J. Warner,156185,QB,TEMPLE,5,65.6,192,207,8.8,2.31,6,6,2.7,54.1,112,0,62,11.1,215,14,65,306,58.3,60.0,61.2,52.8,3,5,232,2,6.5,74.1,1.9,4,4,0,6,7,8,3.4,1276,6.2
Jacob Zeno,98014,QB,UAB,5,83.9,193,207,4.9,2.54,3,7,3.3,75.8,157,0,66,3.1,237,5,81,321,36.8,65.7,67.3,54.6,4,4,242,2,16.7,99.2,4.6,11,18,0,7,8,7,2.9,1445,7.0
Mikey Keene,70961,QB,FRESNO ST,5,76.2,185,197,7.7,2.55,1,8,3.9,69.0,136,0,60,3.5,211,5,75,169,75.8,76.4,77.5,52.3,1,4,222,3,20.0,104.4,5.7,12,2,0,10,13,5,2.3,1477,7.5
Donovan Smith,73929,QB,HOUSTON,5,74.5,184,194,7.8,2.72,0,10,4.9,63.9,124,0,65,9.5,223,13,73,182,59.8,75.5,70.5,73.3,1,3,235,1,18.5,93.3,5.4,12,16,1,8,9,7,3.0,1347,6.9
Cole Snyder,97617,QB,BUFFALO,5,72.8,169,192,7.4,2.56,8,9,4.4,59.9,115,0,56,6.5,212,8,58,126,77.0,66.8,68.7,55.4,2,4,227,3,14.3,85.9,3.8,8,12,0,13,11,5,2.2,1083,5.6
Luke Altmyer,146802,QB,ILLINOIS,6,77.0,174,191,8.2,2.73,5,9,4.5,63.9,122,0,89,9.0,229,12,74,187,40.0,68.5,67.3,63.2,2,8,242,2,22.5,78.0,8.7,20,17,1,9,6,8,3.3,1358,7.1
Chandler Morris,122938,QB,TCU,5,74.0,177,184,9.1,2.76,1,7,3.7,65.8,121,0,71,7.6,210,10,73,305,66.5,81.5,72.9,84.7,0,3,215,1,12.7,102.2,4.3,9,15,0,6,11,10,4.7,1419,7.7
Cade Klubnik,156253,QB,CLEMSON,5,74.7,170,183,7.0,2.55,6,6,3.1,64.5,118,0,69,7.1,204,9,71,140,40.1,61.2,60.3,59.2,3,2,214,1,13.0,99.2,4.4,9,10,0,4,11,9,4.2,1225,6.7
Michael Penix Jr.,82134,QB,WASHINGTON,5,83.3,168,179,11.0,2.75,0,13,7.0,74.9,134,0,33,4.3,186,6,91,340,62.7,93.7,93.4,58.7,0,2,195,0,9.1,136.3,1.6,3,4,0,11,16,3,1.5,2004,11.2
