player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Nate Noel,122249,HB,APP STATE,5,123,30,8,34.5,222,0,643,0,3,30,307,62.4,15,30,108,1,35,77.0,79.6,85.1,,42.4,66.1,80.2,64.3,68,0,47,9,85,137,0,0,11,132,4,643,307,2.5,5.2,0.55,87
Marcus Carroll,123849,HB,GA STATE,5,115,26,7,35.6,207,0,581,0,5,26,368,79.4,17,36,175,1,33,76.0,71.0,83.7,,80.3,51.1,73.9,56.1,63,0,88,10,118,165,0,0,10,125,9,581,368,3.2,5.1,0.75,81
Kay'Ron Lynch-Adams,101643,HB,UMASS,6,109,38,10,37.6,188,0,500,1,3,38,383,120.1,19,29,216,0,63,88.0,75.9,84.0,,50.5,56.5,81.0,49.3,28,0,78,11,133,147,0,0,14,120,5,500,383,3.51,4.6,0.59,44
Kimani Vidal,123727,HB,TROY,5,102,32,7,44.1,264,0,599,0,7,32,390,134.3,16,25,318,2,30,60.5,82.2,25.9,,68.9,69.8,82.7,59.2,60,1,132,9,97,109,0,0,10,111,3,599,390,3.82,5.9,1.36,72
Emani Bailey,122630,HB,TCU,5,100,32,6,34.8,188,0,540,0,4,32,392,129.5,17,32,305,1,34,73.7,79.9,83.0,,39.5,69.5,80.6,56.5,74,0,75,9,101,122,0,0,9,109,2,540,392,3.92,5.4,0.74,66
Malik Jackson,84267,HB,JVILLE ST,6,99,13,9,47.7,267,0,560,3,1,13,272,34.7,14,27,196,0,20,87.2,67.8,83.3,,71.0,47.0,73.3,54.7,48,0,64,12,85,155,0,0,19,111,4,560,272,2.75,5.7,0.75,78
Ashton Jeanty,157196,HB,BOISE ST,5,95,34,6,36.4,176,0,483,0,14,34,333,141.4,11,32,120,2,61,60.5,90.1,31.9,,66.4,82.8,90.6,55.4,58,1,347,24,114,129,0,0,27,119,8,483,333,3.51,5.1,3.04,34
Audric Estime,147476,HB,NOTRE DAME,6,94,37,10,48.4,325,0,672,0,0,37,429,163.9,19,28,258,1,52,72.4,90.3,82.3,,62.8,69.2,89.8,59.9,80,0,80,9,52,103,0,0,9,103,7,672,429,4.56,7.1,1.54,42
Jalen Buckley,163158,HB,W MICHIGAN,5,94,17,5,42.2,235,0,557,1,1,17,306,59.8,14,25,347,2,24,56.9,66.3,0.0,,70.5,41.1,71.9,66.7,75,3,15,4,77,118,0,0,5,98,5,557,306,3.26,5.9,0.19,67
Nathan Carter,147376,HB,MICH STATE,5,93,16,6,33.3,159,0,477,2,3,16,267,53.0,12,27,223,1,34,72.6,73.9,84.7,,30.0,52.0,78.0,77.7,44,0,55,10,115,115,0,0,18,103,4,477,267,2.87,5.1,0.48,58
Rasheen Ali,121717,HB,MARSHALL,4,92,11,7,58.5,274,0,468,1,3,11,219,33.3,11,21,214,2,40,56.8,66.7,26.3,,58.1,49.6,71.3,59.5,61,1,58,8,111,119,0,0,11,100,9,468,219,2.38,5.1,0.52,51
Emmanuel Michel,145972,FB,AIR FORCE,5,91,7,2,8.4,32,0,383,0,0,7,183,15.5,3,31,101,1,44,71.1,78.4,85.5,,73.8,58.2,76.0,59.3,17,0,0,0,1,155,0,0,0,91,8,383,183,2.01,4.2,0.0,16
Quinshon Judkins,157128,HB,OLE MISS,5,90,16,2,13.7,52,0,379,0,0,16,283,50.8,11,24,226,0,49,86.8,79.1,26.4,,82.4,70.8,78.9,55.2,37,1,84,9,99,119,0,0,10,99,5,379,283,3.14,4.2,0.85,38
Kyle Monangai,129891,HB,RUTGERS,5,88,29,9,43.9,207,0,471,1,2,29,314,122.9,14,26,278,0,40,86.4,79.3,81.2,,83.4,49.2,78.9,58.1,55,0,23,2,41,109,0,0,4,90,6,471,314,3.57,5.4,0.56,48
Gavin Garcia,156916,HB,KENT STATE,5,87,19,4,29.1,98,0,337,0,0,19,237,58.8,7,19,201,1,50,70.4,71.2,80.7,,71.5,33.1,73.9,64.6,42,0,3,1,57,97,0,0,1,88,2,337,237,2.72,3.9,0.05,37
Darius Taylor,173422,HB,MINNESOTA,4,87,24,10,46.6,248,0,532,0,3,24,346,115.5,14,27,225,0,46,86.2,86.1,81.2,,66.1,68.2,83.9,60.0,43,0,56,6,41,89,0,0,6,93,4,532,346,3.98,6.1,1.37,41
Jonathon Brooks,144721,HB,TEXAS,5,86,31,6,43.8,260,0,593,2,4,31,379,169.5,12,25,311,0,36,86.3,85.9,82.5,,63.8,50.3,90.2,67.5,67,0,87,5,91,97,0,0,7,91,5,593,379,4.41,6.9,0.96,50
CJ Donaldson Jr.,157372,HB,W VIRGINIA,5,84,10,3,14.2,49,1,345,0,1,10,221,33.3,8,23,343,0,29,86.0,77.9,14.4,,39.2,66.1,79.2,54.0,17,2,14,3,48,113,0,0,3,87,4,345,221,2.63,4.1,0.29,54
Tahj Brooks,123133,HB,TEXAS TECH,5,84,24,9,39.0,202,0,518,1,0,24,315,97.8,12,31,315,1,41,70.5,78.1,82.7,,49.6,53.2,85.5,51.2,38,0,31,8,119,115,0,0,11,92,3,518,315,3.75,6.2,0.26,41
Jaydn Ott,158325,HB,CAL,4,83,17,5,38.3,182,0,475,0,1,17,310,73.9,9,24,130,1,51,69.9,78.5,81.3,,37.8,75.3,78.7,55.7,66,0,40,8,67,96,0,0,11,91,5,475,310,3.73,5.7,0.6,31
Cody Schrader,157177,HB,MISSOURI,5,82,15,4,30.2,138,0,457,1,1,15,229,52.0,9,24,229,1,25,69.2,75.9,83.7,,57.1,47.3,80.9,55.2,42,0,25,4,73,117,0,0,5,86,3,457,229,2.79,5.6,0.34,56
DJ Giddens,144595,HB,KANSAS ST,5,82,28,8,40.6,198,0,488,2,3,28,258,98.5,16,26,199,0,59,85.8,79.3,83.5,,71.5,58.4,85.0,51.0,43,0,138,17,104,113,0,0,22,99,4,488,258,3.15,6.0,1.33,23
Cameron Skattebo,147787,HB,ARIZONA ST,5,80,29,3,15.2,48,0,316,0,7,29,219,104.8,9,20,110,1,42,71.0,77.0,83.6,74.1,58.2,65.0,77.5,59.1,18,0,228,14,109,98,0,0,18,94,4,316,219,2.74,4.0,2.09,36
Antario Brown,145868,HB,N ILLINOIS,5,80,12,3,32.7,110,0,336,0,1,12,230,44.5,7,12,254,1,31,69.2,64.3,4.5,,26.8,69.8,64.6,55.0,80,1,16,4,40,96,0,0,5,84,1,336,230,2.88,4.2,0.4,48
Anthony Watkins,99165,HB,TULSA,5,78,12,3,18.8,60,0,320,1,1,12,209,43.0,7,19,320,0,15,85.5,76.3,78.6,,9.7,44.6,78.6,60.0,27,0,14,3,33,84,0,0,5,81,2,320,209,2.68,4.1,0.42,63
Blake Watson,84363,HB,MEMPHIS,5,77,23,7,51.1,234,0,458,0,15,23,348,166.7,15,24,218,0,18,85.3,78.8,83.2,,40.0,88.3,77.9,55.3,69,0,231,26,129,100,0,0,26,103,6,458,348,4.52,5.9,1.79,59
Corey Kiner,86392,HB,CINCINNATI,5,76,21,2,30.1,122,0,405,0,5,21,248,101.0,12,19,138,0,8,85.3,75.0,83.9,,30.8,64.3,78.8,50.8,68,0,51,8,82,106,0,0,10,84,2,405,248,3.26,5.3,0.62,68
LeQuint Allen,158290,HB,SYRACUSE,5,75,18,5,31.1,113,2,363,1,3,18,203,61.8,12,23,304,1,29,69.2,72.7,27.5,,62.2,66.9,75.8,55.4,35,2,133,17,121,102,0,0,18,92,6,363,203,2.71,4.8,1.1,45
Kaelon Black,138448,HB,JAMES MAD,5,75,9,6,47.3,189,0,400,0,2,9,247,41.6,11,17,197,0,29,85.2,70.7,82.3,,84.5,61.8,71.2,54.5,57,0,72,12,71,95,0,0,16,87,0,400,247,3.29,5.3,1.01,44
Ray Davis,101072,HB,KENTUCKY,5,75,25,11,61.8,365,0,591,1,4,25,367,166.9,17,26,202,1,45,68.7,86.4,16.6,,35.2,67.1,90.4,69.8,75,1,147,10,90,87,0,0,13,85,8,591,367,4.89,7.9,1.63,29
Damien Martinez,162437,HB,OREGON ST,5,74,26,8,52.9,263,0,497,0,3,26,294,145.8,14,22,265,0,24,85.2,78.1,84.1,,10.1,70.9,80.0,55.8,64,0,42,5,66,88,0,0,7,79,2,497,294,3.97,6.7,0.64,50
Bryson Daily,147303,QB,ARMY,4,68,15,2,12.5,38,0,275,0,0,12,197,51.1,8,20,114,2,30,60.4,58.6,82.5,41.2,,54.3,70.6,60.0,23,0,0,0,1,173,30,6,0,68,3,305,223,3.01,4.1,0.0,32
Frank Gore Jr.,121457,HB,SO MISS,5,74,21,8,54.7,181,0,331,3,3,21,275,107.5,11,24,296,1,35,68.7,71.3,82.8,49.6,66.2,49.0,76.5,52.8,29,0,34,9,74,88,0,0,17,83,4,331,275,3.72,4.5,0.46,37
Blake Corum,129574,HB,MICHIGAN,5,74,9,5,34.4,146,0,425,0,0,9,199,30.6,9,29,222,0,44,85.1,84.5,81.9,,30.8,63.8,84.6,56.5,54,0,28,5,45,84,0,0,5,79,9,425,199,2.69,5.7,0.62,30
Elijah Gilliam,73621,HB,FRESNO ST,5,74,15,4,25.3,79,0,312,0,1,15,204,54.5,10,21,169,0,25,85.0,67.3,81.9,,29.3,60.2,69.1,66.8,24,0,96,7,81,87,0,0,9,81,4,312,204,2.76,4.2,1.19,47
Sieh Bangura,145886,HB,OHIO,5,74,5,1,7.0,20,0,287,0,0,5,180,14.8,6,16,259,2,44,50.9,64.6,83.5,,55.1,69.4,63.3,57.4,20,0,65,8,71,93,0,0,12,82,0,287,180,2.43,3.9,0.92,29
Nicholas Singleton,164188,HB,PENN STATE,5,74,12,3,18.0,51,0,283,0,0,12,214,39.9,6,16,266,0,32,69.4,67.4,82.5,,14.3,72.6,68.5,52.9,19,0,111,13,89,100,0,0,14,87,6,283,214,2.89,3.8,1.25,42
Omarion Hampton,162750,HB,N CAROLINA,4,73,19,5,41.5,159,0,383,0,5,19,233,98.2,9,22,245,0,28,85.1,83.2,81.2,,84.1,67.7,83.5,49.1,68,0,53,5,64,93,0,0,5,78,7,383,233,3.19,5.2,0.83,41
Marquez Cooper,130489,HB,BALL ST,5,73,28,6,42.7,135,0,316,0,2,28,250,130.1,10,17,117,0,28,85.2,76.2,82.4,,7.7,68.7,81.7,50.4,31,0,67,6,81,89,0,0,6,79,1,316,250,3.42,4.3,0.83,45
Will Shipley,144138,HB,CLEMSON,5,73,17,7,32.6,121,1,371,2,4,17,221,71.4,14,22,140,1,27,68.9,68.6,0.0,,13.8,61.7,77.7,43.2,19,2,78,16,116,104,0,0,20,89,2,371,221,3.03,5.1,0.67,45
Bhayshul Tuten,150568,HB,VA TECH,5,73,24,3,32.6,102,0,313,1,3,24,243,108.3,9,12,337,2,28,52.4,67.6,82.4,,13.6,73.9,69.7,49.0,49,0,120,10,103,111,0,0,14,83,1,313,243,3.33,4.3,1.17,44
Deion Hankins,97310,HB,UTEP,6,73,22,6,32.0,122,0,381,0,1,22,256,106.1,14,21,330,0,32,85.0,73.8,81.8,,64.8,64.6,73.5,49.6,25,0,23,3,36,92,0,0,3,76,1,381,256,3.51,5.2,0.64,40
RJ Harvey,99622,HB,UCF,5,71,24,4,30.3,118,0,382,0,9,21,212,113.4,12,24,323,2,27,67.5,75.6,82.4,40.1,62.4,80.6,76.7,51.0,52,0,172,8,70,102,8,1,9,79,5,390,224,3.11,5.4,2.46,41
LJ Martin,175035,HB,BYU,5,71,21,4,38.9,112,0,288,1,1,21,212,86.4,8,13,128,0,21,84.7,70.1,82.3,60.6,18.1,51.5,76.1,49.9,45,0,28,5,79,87,0,0,6,76,4,288,212,2.99,4.1,0.35,50
Makhi Hughes,158417,HB,TULANE,5,71,18,6,33.6,122,1,363,1,3,18,232,92.7,13,21,319,0,46,84.7,78.7,4.1,,41.6,54.2,80.6,62.4,27,1,16,3,38,92,0,0,4,74,3,363,232,3.27,5.1,0.42,25
Jo'quavious Marks,124179,HB,MISS STATE,5,71,16,5,38.6,162,0,420,1,4,16,267,86.4,10,17,227,0,23,84.7,85.2,82.7,,84.1,72.6,86.9,52.6,52,0,112,16,84,89,0,0,20,87,4,420,267,3.76,5.9,1.33,48
Nay'Quan Wright,98803,HB,USF,5,70,15,3,21.8,61,0,280,0,3,15,197,68.5,7,19,327,1,30,66.8,70.1,21.6,,53.7,55.1,74.1,61.9,22,1,13,4,88,101,0,0,4,74,2,280,197,2.81,4.0,0.15,38
Quinton Cooley,123380,HB,LIBERTY,5,70,16,8,41.7,179,0,429,0,2,16,244,87.1,16,22,206,1,40,66.2,78.2,82.3,,44.4,56.8,79.3,66.5,32,1,15,2,55,92,0,0,2,72,1,429,244,3.49,6.1,0.27,30
Kaytron Allen,164158,HB,PENN STATE,5,69,9,3,16.4,50,0,304,2,3,9,182,42.8,4,21,266,2,29,48.5,74.3,81.4,,23.7,46.3,78.9,62.2,18,0,32,5,57,91,0,0,11,74,2,304,182,2.64,4.4,0.56,40
Byrum Brown,156206,QB,USF,5,43,24,6,31.8,143,0,237,0,0,8,151,65.3,17,27,327,5,12,46.1,62.4,85.4,48.3,,88.1,79.1,60.0,32,1,0,0,1,191,213,25,0,43,5,450,294,4.32,6.6,0.0,14
Torrance Burgess Jr.,163031,HB,UTEP,6,68,15,7,41.3,151,0,366,1,5,15,207,80.1,14,14,330,0,24,84.8,80.6,0.0,,83.1,68.1,81.3,58.8,40,3,117,8,39,74,0,0,11,76,2,366,207,3.04,5.4,3.0,42
Devin Mockobee,145111,HB,PURDUE,5,67,19,4,26.2,74,0,282,1,3,19,219,92.2,8,17,273,6,22,18.4,59.6,8.6,,28.8,39.2,67.4,43.8,20,1,55,11,73,75,0,0,13,78,3,282,219,3.27,4.2,0.75,44
Jase McClellan,123926,HB,ALABAMA,5,67,29,5,28.5,93,0,326,1,4,29,232,156.5,11,19,103,0,34,84.5,80.0,81.0,,27.7,54.3,84.3,58.6,22,0,55,6,53,85,0,0,8,73,3,326,232,3.46,4.9,1.04,33
Peny Boone,129498,HB,TOLEDO,5,67,21,9,48.4,247,0,510,0,0,21,264,118.2,19,25,316,2,38,47.5,78.5,4.7,,73.7,61.1,78.7,66.2,48,1,28,3,49,91,0,0,3,70,5,510,264,3.94,7.6,0.57,28
O'Shaan Allison,77801,HB,OHIO,5,67,10,0,0.0,0,0,212,1,0,10,131,27.5,2,9,259,1,44,65.9,62.9,82.4,,51.8,48.7,65.2,56.5,12,0,6,4,46,80,0,0,5,71,1,212,131,1.96,3.2,0.13,23
Jawhar Jordan,99595,HB,LOUISVILLE,5,66,11,8,61.6,314,0,510,2,4,11,267,83.1,9,19,210,0,18,84.4,76.3,81.5,,45.8,55.3,79.7,67.8,74,0,159,7,74,79,0,0,10,73,6,510,267,4.05,7.7,2.15,47
