Player,Roster Position,%Drafted,FPTS
Sam Howell,QB,27.28%,21.1
Ky Thomas,FLEX,26.83%,5.3
Tanner Mordecai,QB,22.17%,9.06
Josh Downs,WR,22.09%,2.5
Sam Hartman,QB,20.05%,15.46
Danny Gray,WR,18.17%,14.7
Rashee Rice,WR,16.13%,0
TreVeyon Henderson,FLEX,16.04%,8.7
Jaxon Smith-Njigba,WR,14.45%,12.5
Ty Chandler,RB,13.71%,14.2
Chris Olave,FLEX,13.31%,12.1
A.T. Perry,WR,12.94%,0
C.J. Stroud,QB,12.42%,8.7
Sean Dykes,FLEX,11.61%,4.4
Antoine Green,WR,10.90%,4.2
Malik Willis,S-FLEX,8.67%,0.76
Jahcour Pearson,WR,8.54%,0
Snoop Conner,S-FLEX,8.47%,1.6
Grant Calcaterra,WR,8.47%,3.6
Jaquarii Roberson,WR,8.28%,13.8
Tre Siggers,RB,8.17%,2.3
Zamir White,RB,7.55%,7.4
James Cook,RB,7.34%,1.2
Reggie Roberson Jr.,WR,6.82%,0
Adrian Martinez,S-FLEX,6.31%,2.02
Calvin Austin III,WR,5.55%,5.4
Christian Beal-Smith,RB,4.95%,0.3
John Rhys Plumlee,WR,4.77%,-0.4
Henry Parrish Jr.,RB,4.76%,0.4
Ke'Shawn Williams,WR,4.72%,0
Taylor Morin,WR,4.71%,0
Mar'Keise Irving,S-FLEX,4.68%,1.8
Samori Toure,S-FLEX,4.30%,3.4
CJ Daniels,WR,4.26%,0
Chase Brown,RB,3.83%,7.9
Casey Kelly,FLEX,3.34%,0
Rodrigues Clark,RB,3.30%,5.2
Demario Douglas,WR,3.17%,5.2
Justin Olson,WR,3.10%,0
Kenny McIntosh,RB,2.99%,4.3
Brock Bowers,WR,2.95%,3.3
Chris Autman-Bell,WR,2.66%,0
Julian Fleming,WR,2.41%,0
Jerrion Ealy,RB,2.36%,21.6
Matt Corral,S-FLEX,2.36%,6.22
Rahmir Johnson,RB,2.34%,2.8
D.J. Jones,RB,2.30%,1.1
Marquavius Weaver,RB,2.24%,1.4
Tyler Badie,RB,2.16%,5.4
Javon Ivory,S-FLEX,2.07%,6.8
Ladd McConkey,WR,2.04%,2.4
Jeremy Ruckert,WR,1.93%,1.5
Seth Henigan,QB,1.81%,6.36
Keke Chism,FLEX,1.74%,3.6
Stetson Bennett,QB,1.61%,12.04
Adonai Mitchell,WR,1.43%,2.5
Zavier Betts,WR,1.40%,1.5
Kearis Jackson,WR,1.30%,0
Justice Ellison,RB,1.24%,2.5
Kamari Morales,S-FLEX,1.22%,0
Omar Manning,WR,1.22%,0
Garrett Wilson,WR,1.08%,0
Miyan Williams,S-FLEX,1.07%,0
Austin Allen,WR,1.04%,0
Brandon Thomas,RB,0.89%,0
Isaiah Williams,FLEX,0.87%,6.7
Christian Turner,RB,0.87%,4.3
Jermaine Burton,WR,0.83%,5.7
Mike Brown-Stephens,WR,0.83%,0
Khaleb Coleman,WR,0.80%,0
Emery Simmons,S-FLEX,0.73%,0
Dannis Jackson,FLEX,0.70%,11.1
Bryson Nesbit,WR,0.70%,0
Tanner Morgan,S-FLEX,0.69%,2.82
Kevin Shaa,WR,0.64%,1.9
Jordan Kerley,WR,0.62%,1.1
Garrett Walston,FLEX,0.62%,0.8
Oliver Martin,S-FLEX,0.62%,0
Shedro Louis,FLEX,0.61%,0
Ulysses Bentley IV,RB,0.54%,0
Noah Frith,WR,0.49%,0
Dominic Lovett,FLEX,0.43%,1.8
Gabriel Rogers,RB,0.42%,0
Khafre Brown,S-FLEX,0.40%,0
Daniel Barker,FLEX,0.38%,1.8
Jadon Jackson,WR,0.36%,0
Jaquez Yant,RB,0.34%,0
Tauskie Dove,FLEX,0.34%,0
Darnell Washington,WR,0.34%,0
DJ Stubbs,FLEX,0.34%,2.3
Brandon Peters,S-FLEX,0.33%,7.38
Arian Smith,FLEX,0.31%,10.5
Master Teague III,RB,0.31%,0
T.J Green,FLEX,0.31%,0
Donald Stewart,WR,0.30%,3.7
Dylan Wright,WR,0.29%,0
Daniel Jackson,FLEX,0.29%,2.1
Daijun Edwards,S-FLEX,0.28%,0
Josh McCray,RB,0.26%,0.6
Braylon Sanders,WR,0.24%,8.4
Brady Cook,QB,0.23%,0.36
Barrett Banister,WR,0.23%,0
JJ Hester,FLEX,0.22%,0
Marvin Harrison Jr.,WR,0.21%,2.3
Emeka Egbuka,WR,0.21%,0
Tyler Macon,QB,0.17%,4.66
Michael Cox,S-FLEX,0.16%,0
Elijah Young,FLEX,0.13%,0
Daniel Parker Jr.,FLEX,0.12%,0
Brandon Epton Jr.,RB,0.11%,0.6
Joshua Mack,FLEX,0.10%,9.3
Eddie Lewis,WR,0.10%,4.5
JT Daniels,QB,0.10%,0
Derek Green,QB,0.10%,0
Dontario Drummond,WR,0.09%,0
Messiah Swinson,FLEX,0.09%,0
Peter Parrish,S-FLEX,0.09%,0
Johnny Huntley,FLEX,0.09%,0
Tyler Lavine,RB,0.08%,0
Brody Brumm,WR,0.08%,0
Nolan Matthews,WR,0.07%,0
Roc Taylor,WR,0.07%,3.3
Chris Hickman,FLEX,0.06%,0
Marcus Rosemy-Jacksaint,WR,0.06%,2.1
Blake Whiteheart,FLEX,0.05%,4
Niko Hea,S-FLEX,0.05%,0
Luke Altmyer,QB,0.05%,0
Jahmal Banks,WR,0.05%,0
Johnathan Bennett,QB,0.05%,0
Levi Falck,WR,0.04%,0
Jonathan Mingo,WR,0.04%,0
Brian Hightower,WR,0.03%,0
John FitzPatrick,S-FLEX,0.03%,0
Kylan Watkins,RB,0.03%,0
Leo Kelly,QB,0.03%,0
Austin Upshaw,WR,0.03%,0
Deuce Spann,WR,0.03%,0
Dawson Downing,S-FLEX,0.03%,0
Tommy McIntyre,WR,0.03%,0
Marvin Scott III,RB,0.03%,0
Kendall Milton,RB,0.03%,0
Logan Smothers,S-FLEX,0.03%,0
Jerome Jackson,WR,0.03%,0
Cameron Fleming,RB,0.02%,0
Mitch Rossi,WR,0.02%,1
Sevaughn Clark,S-FLEX,0.02%,0
Cameron Wright,WR,0.02%,0
Ahmani Marshall,RB,0.02%,0
John Copenhaver,FLEX,0.02%,0
D'ionte Smith,FLEX,0.02%,0
Asa Martin,RB,0.02%,0
Brandon Chapman,WR,0.02%,0
Sevion Morrison,RB,0.02%,0
Brevyn Spann-Ford,FLEX,0.02%,2.1
Kentrel Bullock,S-FLEX,0.02%,0
Carson Beck,S-FLEX,0.02%,0
Evan Pryor,RB,0.02%,0
Markese Stepp,RB,0.02%,0
Jacolby Criswell,S-FLEX,0.02%,0
Thomas Fidone II,S-FLEX,0.01%,0
Anthony Summey,S-FLEX,0.01%,0
Micah Wilson,WR,0.01%,0
Cade Stover,S-FLEX,0.01%,0
Dominick Blaylock,WR,0.01%,0
Jeremy Tate Jr,FLEX,0.01%,0
Tommy Lock,S-FLEX,0.01%,0
Quinton Cooley,RB,0.01%,0
Caleb Hood,RB,0.01%,0
Michael Kern,S-FLEX,0.01%,0
Chase Rogers,WR,0.01%,0
Dylan Hillard-McGill,S-FLEX,0.01%,0
Roderick Daniels Jr.,FLEX,0.01%,4.3
Gee Scott Jr.,S-FLEX,0.01%,0
Austin Henderson,WR,0.01%,0
Drew Sheehan,WR,0.01%,0
Trey Potts,RB,0.01%,0
Matthew Brown,WR,0.01%,0
Jonathan Mann,WR,0.01%,0
Kinkead Dent,QB,0.01%,0
DJ Beckum,WR,0.01%,0
Cam Wiley,RB,0.01%,0
BJ Harris,RB,0.01%,0
Mookie Cooper,WR,0.01%,0
Koby Drake,FLEX,0.01%,0
Zack Annexstad,S-FLEX,0.01%,0
Alante Brown,WR,0.01%,0
Kyle McCord,S-FLEX,0.01%,0
Kylen Austin,WR,0.01%,0
