Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Sam Hartman (20199647),Sam Hartman,20199647,QB/S-FLEX,10300,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,34.55
QB,Brennan Armstrong (20199649),Brennan Armstrong,20199649,QB/S-FLEX,10000,UV@PITT 11/20/2021 03:30PM ET,UV,37.69
QB,Caleb Williams (20199651),Caleb Williams,20199651,QB/S-FLEX,9900,ISU@OU 11/20/2021 12:00PM ET,OU,21.23
QB,Bryce Young (20199653),Bryce Young,20199653,QB/S-FLEX,9800,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,28.15
QB,C.J. Stroud (20199655),C.J. Stroud,20199655,QB/S-FLEX,9500,MSU@OSU 11/20/2021 12:00PM ET,OSU,28.20
RB,Breece Hall (20199975),Breece Hall,20199975,RB/FLEX/S-FLEX,9400,ISU@OU 11/20/2021 12:00PM ET,ISU,29.68
RB,Kenneth Walker III (20199978),Kenneth Walker III,20199978,RB/FLEX/S-FLEX,9200,MSU@OSU 11/20/2021 12:00PM ET,MSU,29.58
QB,Kenny Pickett (20199657),Kenny Pickett,20199657,QB/S-FLEX,9100,UV@PITT 11/20/2021 03:30PM ET,PITT,32.80
RB,Brian Robinson Jr. (20199981),Brian Robinson Jr.,20199981,RB/FLEX/S-FLEX,9000,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,25.53
QB,Spencer Rattler (20199659),Spencer Rattler,20199659,QB/S-FLEX,9000,ISU@OU 11/20/2021 12:00PM ET,OU,15.96
QB,Desmond Ridder (20199661),Desmond Ridder,20199661,QB/S-FLEX,8900,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,24.12
QB,Leo Kelly (20199663),Leo Kelly,20199663,QB/S-FLEX,8800,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,-0.28
RB,Bijan Robinson (20199984),Bijan Robinson,20199984,RB/FLEX/S-FLEX,8700,UT@WVU 11/20/2021 12:00PM ET,UT,27.42
QB,Tanner Mordecai (20199665),Tanner Mordecai,20199665,QB/S-FLEX,8700,SMU@CINCY 11/20/2021 03:30PM ET,SMU,32.27
RB,Braelon Allen (20199987),Braelon Allen,20199987,RB/FLEX/S-FLEX,8600,NEB@WISC 11/20/2021 03:30PM ET,WISC,19.74
RB,TreVeyon Henderson (20199990),TreVeyon Henderson,20199990,RB/FLEX/S-FLEX,8500,MSU@OSU 11/20/2021 12:00PM ET,OSU,25.28
RB,Jerome Ford (20199993),Jerome Ford,20199993,RB/FLEX/S-FLEX,8400,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,25.26
WR,Jahan Dotson (20200701),Jahan Dotson,20200701,WR/FLEX/S-FLEX,8400,RU@PSU 11/20/2021 12:00PM ET,PSU,25.64
WR,Jaquarii Roberson (20200704),Jaquarii Roberson,20200704,WR/FLEX/S-FLEX,8300,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,19.88
QB,Kyle McCord (20199667),Kyle McCord,20199667,QB/S-FLEX,8300,MSU@OSU 11/20/2021 12:00PM ET,OSU,5.86
WR,A.T. Perry (20200707),A.T. Perry,20200707,WR/FLEX/S-FLEX,8200,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,21.98
QB,Jeff Sims (20199669),Jeff Sims,20199669,QB/S-FLEX,8200,GT@ND 11/20/2021 02:30PM ET,GT,24.26
QB,Iraken Armstead (20199671),Iraken Armstead,20199671,QB/S-FLEX,8100,UV@PITT 11/20/2021 03:30PM ET,UV,1.88
QB,Paul Tyson (20199675),Paul Tyson,20199675,QB/S-FLEX,8000,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,1.5
RB,Kyren Williams (20199996),Kyren Williams,20199996,RB/FLEX/S-FLEX,8000,GT@ND 11/20/2021 02:30PM ET,ND,23.9
QB,Nick Patti (20199673),Nick Patti,20199673,QB/S-FLEX,8000,UV@PITT 11/20/2021 03:30PM ET,PITT,3.12
WR,Dontayvion Wicks (20200710),Dontayvion Wicks,20200710,WR/FLEX/S-FLEX,8000,UV@PITT 11/20/2021 03:30PM ET,UV,21.41
QB,Derek Green (20199677),Derek Green,20199677,QB/S-FLEX,7900,SMU@CINCY 11/20/2021 03:30PM ET,SMU,0.48
WR,Jaxon Smith-Njigba (20200713),Jaxon Smith-Njigba,20200713,WR/FLEX/S-FLEX,7900,MSU@OSU 11/20/2021 12:00PM ET,OSU,20.37
QB,Evan Prater (20199679),Evan Prater,20199679,QB/S-FLEX,7800,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,5.50
WR,Jameson Williams (20200716),Jameson Williams,20200716,WR/FLEX/S-FLEX,7700,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,24.23
QB,KJ Jefferson (20199681),KJ Jefferson,20199681,QB/S-FLEX,7600,ARK@BAMA 11/20/2021 03:30PM ET,ARK,22.6
WR,Alec Pierce (20200719),Alec Pierce,20200719,WR/FLEX/S-FLEX,7600,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,12.97
RB,Hassan Haskins (20199999),Hassan Haskins,20199999,RB/FLEX/S-FLEX,7600,MICH@UMD 11/20/2021 03:30PM ET,MICH,19.94
WR,Xavier Hutchinson (20200722),Xavier Hutchinson,20200722,WR/FLEX/S-FLEX,7500,ISU@OU 11/20/2021 12:00PM ET,ISU,19.26
QB,Jordan Yates (20199683),Jordan Yates,20199683,QB/S-FLEX,7500,GT@ND 11/20/2021 02:30PM ET,GT,14.73
WR,John Metchie III (20200725),John Metchie III,20200725,WR/FLEX/S-FLEX,7400,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,18.2
RB,Kennedy Brooks (20200002),Kennedy Brooks,20200002,RB/FLEX/S-FLEX,7400,ISU@OU 11/20/2021 12:00PM ET,OU,15.82
WR,David Bell (20200728),David Bell,20200728,WR/FLEX/S-FLEX,7300,PUR@NW 11/20/2021 12:00PM ET,PUR,26.39
WR,Xavier Worthy (20200731),Xavier Worthy,20200731,WR/FLEX/S-FLEX,7200,UT@WVU 11/20/2021 12:00PM ET,UT,21.25
WR,Jordan Addison (20200734),Jordan Addison,20200734,WR/FLEX/S-FLEX,7100,UV@PITT 11/20/2021 03:30PM ET,PITT,25.63
QB,Adrian Martinez (20199685),Adrian Martinez,20199685,QB/S-FLEX,7100,NEB@WISC 11/20/2021 03:30PM ET,NEB,27.23
QB,Jordan Travis (20199687),Jordan Travis,20199687,QB/S-FLEX,7000,FSU@BC 11/20/2021 12:00PM ET,FSU,20.68
WR,Treylon Burks (20200737),Treylon Burks,20200737,WR/FLEX/S-FLEX,7000,ARK@BAMA 11/20/2021 03:30PM ET,ARK,21.1
QB,Payton Thorne (20199689),Payton Thorne,20199689,QB/S-FLEX,7000,MSU@OSU 11/20/2021 12:00PM ET,MSU,22.16
QB,Brock Purdy (20199691),Brock Purdy,20199691,QB/S-FLEX,6900,ISU@OU 11/20/2021 12:00PM ET,ISU,18.99
WR,Danny Gray (20200740),Danny Gray,20200740,WR/FLEX/S-FLEX,6900,SMU@CINCY 11/20/2021 03:30PM ET,SMU,19.33
RB,Jashaun Corbin (20200005),Jashaun Corbin,20200005,RB/FLEX/S-FLEX,6800,FSU@BC 11/20/2021 12:00PM ET,FSU,17.1
QB,Casey Thompson (20199693),Casey Thompson,20199693,QB/S-FLEX,6800,UT@WVU 11/20/2021 12:00PM ET,UT,20.84
WR,Keytaon Thompson (20200743),Keytaon Thompson,20200743,WR/FLEX/S-FLEX,6800,UV@PITT 11/20/2021 03:30PM ET,UV,18.73
WR,Garrett Wilson (20200746),Garrett Wilson,20200746,WR/FLEX/S-FLEX,6800,MSU@OSU 11/20/2021 12:00PM ET,OSU,23.38
RB,Will Shipley (20200008),Will Shipley,20200008,RB/FLEX/S-FLEX,6700,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,14.76
WR,Zay Flowers (20200749),Zay Flowers,20200749,WR/FLEX/S-FLEX,6700,FSU@BC 11/20/2021 12:00PM ET,BC,14.08
WR,Marvin Mims (20200752),Marvin Mims,20200752,WR/FLEX/S-FLEX,6600,ISU@OU 11/20/2021 12:00PM ET,OU,12.47
RB,Jahmyr Gibbs (20200011),Jahmyr Gibbs,20200011,RB/FLEX/S-FLEX,6600,GT@ND 11/20/2021 02:30PM ET,GT,20.06
QB,McKenzie Milton (20199695),McKenzie Milton,20199695,QB/S-FLEX,6500,FSU@BC 11/20/2021 12:00PM ET,FSU,7.31
RB,Tyler Goodson (20200014),Tyler Goodson,20200014,RB/FLEX/S-FLEX,6500,IL@IOWA 11/20/2021 02:00PM ET,IOWA,17.24
WR,Jayden Reed (20200755),Jayden Reed,20200755,WR/FLEX/S-FLEX,6500,MSU@OSU 11/20/2021 12:00PM ET,MSU,20.31
QB,Jack Coan (20199697),Jack Coan,20199697,QB/S-FLEX,6400,GT@ND 11/20/2021 02:30PM ET,ND,14.67
WR,Chris Olave (20200758),Chris Olave,20200758,WR/FLEX/S-FLEX,6400,MSU@OSU 11/20/2021 12:00PM ET,OSU,22.2
RB,Chez Mellusi (20200017),Chez Mellusi,20200017,RB/FLEX/S-FLEX,6400,NEB@WISC 11/20/2021 03:30PM ET,WISC,15.23
QB,Hunter Dekkers (20199701),Hunter Dekkers,20199701,QB/S-FLEX,6300,ISU@OU 11/20/2021 12:00PM ET,ISU,7.49
QB,Taulia Tagovailoa (20199699),Taulia Tagovailoa,20199699,QB/S-FLEX,6300,MICH@UMD 11/20/2021 03:30PM ET,UMD,21.15
WR,Jalen Nailor (20200761),Jalen Nailor,20200761,WR/FLEX/S-FLEX,6300,MSU@OSU 11/20/2021 12:00PM ET,MSU,16.42
QB,Graham Mertz (20199703),Graham Mertz,20199703,QB/S-FLEX,6300,NEB@WISC 11/20/2021 03:30PM ET,WISC,10.17
WR,Justyn Ross (20200764),Justyn Ross,20200764,WR/FLEX/S-FLEX,6200,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,11.74
