"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","opponent","grades_defense","grades_run_defense","grades_tackle","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"1","Israel Abanikanda","PITT",7700,25.83,12,"Healthy",-4,48,84.7,89.1,"SYR",60,42.4,75.9,136,67.3,0,0.2,2.8,0.3,23,13.6,1.4,23.9,8
"2","Mohamed Ibrahim","MINN",7300,31.79,59,"Healthy",-14.5,44.5,90,87.5,"NEB",49.1,37.7,51.1,137.3,97.6,0,0.2,3.8,0.4,24.3,6.1,0.9,25.1,7
"3","Miyan Williams","OSU",7000,12.69,1,"Prob Sat - Arm",-38,55.5,89,90.3,"NW",37.5,51.7,34.2,75,172.2,0,0.2,4.8,0.4,10.9,3.7,0.7,11.4,7
"4","Miyan Williams","OSU",7000,12.69,1,"Ques Sat - Undisclosed",-38,55.5,89,90.3,"NW",37.5,51.7,34.2,75,172.2,0,0.2,4.8,0.4,10.9,3.7,0.7,11.4,7
"5","Eric Gray","OU",6900,16.94,3,"Ques Sat - Leg",-3.5,61.5,88.3,90.6,"BAY",77.6,67.8,47,100.5,111.5,0,0.2,3.4,0.4,14.5,16,2.6,16.6,8
"6","Chris Rodriguez Jr.","UK",6800,16.59,9,"Healthy",1,40,91.6,91,"MIZZ",74.7,53.8,48.4,114.8,176.4,0,0.1,4.1,0.3,21.8,10.2,1.5,23,4
"7","Sean Tucker","SYR",6700,22.59,10,"Healthy",4,48,77.4,81.2,"PITT",74.8,60.5,74.9,95,58,0,0.1,2.9,0.3,17.9,32,5.1,22,8
"8","Kenny McIntosh","UGA",6600,12.89,2,"Healthy",-8.5,65,81,79.2,"TENN",44.6,49.4,54.7,40.9,117.7,0,0.1,3,0.4,8.8,33.8,4.1,12.2,8
"9","Anthony Grant","NEB",6500,15.14,2,"Ques Sat - Undisclosed",14.5,44.5,74.9,78.5,"MINN",72.2,59.5,73.9,92.1,65.6,0,0.1,2.6,0.3,19.2,10.2,2.1,21,8
"10","TreVeyon Henderson","OSU",6400,21.08,12,"Healthy",-38,55.5,75.2,79.6,"NW",37.5,51.7,34.2,78.9,40.4,0,0.1,2.9,0.3,13.7,-0.4,0.6,14.1,7
"11","Jabari Small","TENN",6300,14.52,1,"Healthy",8.5,65,78.3,80.1,"UGA",68.5,58,52.6,59.4,33.1,0,0.1,2.4,0.3,13.8,11.6,1.6,15.1,8
"12","Kendre Miller","TCU",6300,23.06,11,"Healthy",-8,69,81.6,84.4,"TTU",63.2,56.3,68.9,106.4,130.8,0,0.2,3.8,0.3,16.5,9.2,1.5,17.6,8
"13","Deneric Prince","TLSA",6200,12.61,1,"Healthy",7,56.5,66.8,69.9,"TUL",77.7,69.9,55.7,97,89,0,0.1,3.4,0.2,15.5,10.8,1,16.2,4
"14","Isaiah Bowser","UCF",6100,13.45,2,"Healthy",-3,60,68.9,70.2,"MEM",66.9,73,78.4,53.6,35.1,0,0.1,2.3,0.3,14.2,15.1,1,15.2,8
"15","Tyjae Spears","TUL",6100,20.94,10,"Healthy",-7,56.5,79.1,77.8,"TLSA",59.1,40.6,45.7,74.1,80,0,0.1,3.1,0.2,15.2,25.4,2.4,17.2,8
"16","Dominic Richardson","OKST",6000,NA,0,"Ques Sat - Undisclosed",1.5,63,72.6,72.1,"KU",44.8,44.8,68.9,65.1,60.6,0,0.1,2.9,0.3,17.4,30.6,3,20.3,7
"17","Richard Reese","BAY",6000,25.16,37,"Healthy",3.5,61.5,84.3,83.9,"OU",42.9,44.1,48.3,99.4,51.3,0,0.2,2.9,0.3,19,9.4,1.4,20.2,8
"18","Perris Jones","UV",6000,NA,0,"Doub Sat - Ankle",7,60,72.5,73.9,"UNC",47.4,38,69.2,45.5,79.6,0,0.1,3.1,0.2,10,5.4,0.8,10.8,8
"19","Evan Hull","NW",6000,15.54,3,"Healthy",38,55.5,72.2,71.2,"OSU",89.7,78.6,65.2,72.5,61.9,0,0.1,2.6,0.2,16.9,56.4,6.4,22.4,8
"20","Shaun Shivers","IU",5900,9.94,1,"Healthy",13.5,51,65,70.3,"PSU",50.6,25.2,27.9,50,48.6,0,0.1,2.1,0.2,13,15.1,2.9,15.5,8
"21","Steven Anderson","TLSA",5900,9.58,1,"Healthy",7,56.5,72.4,77.4,"TUL",77.7,69.9,55.7,42.9,32.1,0,0.1,2.6,0.3,10.4,0,0,10.4,7
"22","Bucky Irving","ORE",5800,19.4,6,"Healthy",-31.5,63,88.5,89.1,"COL",0,0,0.6,71.8,147.9,0,0.2,3.8,0.3,11.2,25.5,2.2,13.1,8
"23","Trey Potts","MINN",5800,4.92,0,"Healthy",-14.5,44.5,77.3,76.9,"NEB",49.1,37.7,51.1,52.1,84.2,0,0.2,3.4,0.3,10.4,3.3,0.6,10.9,7
"24","Asa Martin","MEM",5800,5.53,0,"Healthy",3,60,69.6,66.3,"UCF",56.9,53.3,58.7,40.3,51.5,0,0.2,3.7,0.3,6.7,21.6,2.9,9.1,7
