player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Xavier Hutchinson,122518,WR,IOWA STATE,9,128,0,193,0,-1.9,5,100.0,,0,0,0.0,0,3,0,99.1,91.9,0,24,0.0,0,25,15,96.0,24,95.6,15,11.7,0,104,132,8.8,6.9,4.33,7.9,4,70.5,20.0,1,5,8.8,3,21,0,79.3,89.1,2,38,0.0,0,94,31,97.9,92,97.3,44,34.4,3,345,152,4.9,11.1,3.75
Rashee Rice,97605,WR,SMU,9,121,0,287,0,-2.8,4,90.5,100.0,1,1,0.0,0,5,0,99.9,87.5,0,18,0.0,0,54,19,96.3,52,99.2,21,17.4,1,84,137,7.2,4.4,1.62,11.6,6,65.6,28.6,2,7,4.5,1,10,1,68.1,88.5,3,75,0.0,0,64,21,95.3,61,86.3,32,26.4,2,367,212,10.1,17.5,6.02
Charlie Jones,55038,WR,PURDUE,9,115,0,273,0,-1.2,1,100.0,,0,0,0.0,0,1,1,98.1,53.4,0,22,2.6,1,39,13,89.7,35,85.6,13,11.3,0,59,75,5.8,4.5,1.69,4.6,0,86.7,50.0,1,2,0.0,0,6,0,91.3,82.6,0,16,0.0,0,38,13,94.7,36,129.9,15,13.0,2,85,22,1.7,6.5,2.36
Jayshon Jackson,78041,WR,BALL ST,10,113,0,117,0,-2.2,4,90.9,,0,0,9.1,2,6,0,67.6,73.0,0,33,0.0,0,55,20,96.4,53,93.2,22,19.5,0,140,186,9.3,7.0,2.64,7.5,5,60.0,40.0,4,10,10.8,4,14,0,70.7,75.0,1,33,0.0,0,213,33,93.0,198,73.1,55,48.7,1,298,197,6.0,9.0,1.51
Tyrin Smith,145487,WR,UTEP,10,106,0,330,0,-2.6,1,80.0,,0,0,11.1,1,4,0,57.7,70.7,0,17,0.0,0,31,8,93.5,29,82.1,10,9.4,0,37,60,7.5,4.6,1.28,11.5,11,61.0,14.3,1,7,10.7,6,31,1,60.8,72.8,2,74,0.0,0,295,50,96.3,284,98.7,82,77.4,5,701,227,4.5,14.0,2.47
Corey Crooms,97276,WR,W MICHIGAN,10,101,0,347,0,-1.3,8,81.3,100.0,1,1,0.0,0,4,0,98.6,87.6,0,10,0.0,0,39,13,94.9,37,83.1,16,15.8,0,63,70,5.4,4.8,1.7,11.8,6,47.1,40.0,6,15,5.7,2,21,0,76.0,76.9,3,74,0.0,0,277,33,93.1,258,72.1,70,69.3,4,496,178,5.4,15.0,1.92
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,10,101,0,174,0,-2.3,0,100.0,,0,0,0.0,0,3,0,97.6,53.6,0,12,0.0,0,78,12,96.2,75,118.8,12,11.9,1,70,98,8.2,5.8,0.93,8.8,0,60.0,50.0,1,2,7.7,1,6,0,59.0,60.4,2,34,0.0,0,81,12,91.4,74,70.4,20,19.8,2,118,51,4.3,9.8,1.59
Zay Flowers,97268,WR,BOSTON COL,9,98,0,121,0,-3.5,3,85.0,100.0,1,1,10.5,2,4,1,60.5,71.5,0,11,0.0,0,42,17,97.6,41,80.6,20,20.4,0,67,126,7.4,3.9,1.63,10.1,1,57.9,66.7,2,3,15.4,4,10,1,43.7,67.1,1,69,0.0,0,124,22,95.2,118,87.6,38,38.8,3,200,125,5.7,9.1,1.69
Nathaniel Dell,78874,WR,HOUSTON,9,98,0,182,0,-2.5,3,94.7,,0,0,5.3,1,7,1,85.3,70.1,0,21,0.0,0,56,18,98.2,55,99.8,19,19.4,0,151,197,10.9,8.4,2.75,10.1,7,73.4,66.7,2,3,4.1,2,28,0,87.2,87.0,2,52,0.0,0,273,47,94.1,257,123.2,64,65.3,7,560,211,4.5,11.9,2.18
Jacob Cowing,100894,WR,ARIZONA,9,95,0,109,0,-3.5,6,94.1,,0,0,5.9,1,4,0,81.6,80.2,0,25,0.0,0,32,16,100.0,32,97.1,17,17.9,0,124,181,11.3,7.8,3.88,10.7,11,63.2,40.0,2,5,10.0,4,24,0,74.4,89.8,3,38,0.0,0,270,36,95.2,257,95.4,57,60.0,5,456,282,7.8,12.7,1.77
