player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Xavier Hutchinson,122518,WR,IOWA STATE,9,9.2,12,68.0,52.4,11,21,0,5.4,5,51,193,1,79.7,76.3,88.7,,88.3,0.3,1,3,38,0.0,0,328,0,87,96.0,315,28.7,94,95.6,128,6,71.0,233,953,372,4.3,11.0,3.03
Rashee Rice,97605,WR,SMU,9,11.9,12,58.7,44.4,12,27,1,10.1,8,47,287,3,58.2,24.3,84.6,,84.0,0.3,1,3,75,0.0,0,347,1,71,93.4,324,18.4,64,99.1,121,8,81.3,282,1056,444,6.3,14.9,3.26
Charlie Jones,55038,WR,PURDUE,9,11.3,4,72.2,54.3,19,35,1,3.5,3,43,273,1,86.4,69.3,77.9,61.0,80.0,0.0,0,1,55,0.3,1,387,3,83,94.3,365,9.8,38,118.9,115,9,90.2,349,944,268,3.2,11.4,2.59
Tyrin Smith,145487,WR,UTEP,10,12.9,14,58.5,11.1,1,9,0,15.1,11,39,330,1,36.5,52.6,70.0,,70.6,0.0,0,2,74,0.0,0,379,2,62,95.0,360,77.8,295,93.7,106,5,22.2,84,890,292,4.7,14.4,2.47
Jayshon Jackson,78041,WR,BALL ST,9,8.8,11,62.3,36.4,8,22,0,7.0,5,38,117,0,73.2,82.8,76.8,54.4,76.1,0.0,0,1,43,0.0,0,360,0,66,94.7,341,55.8,201,88.0,106,3,44.2,159,726,405,6.1,11.0,2.13
Nathaniel Dell,78874,WR,HOUSTON,9,11.0,13,73.5,77.8,7,9,0,5.3,4,47,182,2,80.4,48.6,83.0,,84.0,0.0,0,2,63,0.0,0,390,2,72,94.6,369,70.0,273,133.5,98,12,29.7,116,920,374,5.2,12.8,2.49
Zay Flowers,97268,WR,BOSTON COL,9,10.7,9,60.2,57.1,4,7,0,13.2,9,34,121,2,51.0,46.1,73.8,,73.9,0.0,0,5,69,0.0,0,366,1,59,96.2,352,33.9,124,92.0,98,8,65.6,240,794,387,6.6,13.5,2.26
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,9,12.2,5,55.8,50.0,10,20,0,10.2,6,35,174,0,61.3,74.6,62.6,,62.2,0.0,0,6,53,0.0,0,425,4,53,95.1,404,15.1,64,71.5,95,6,84.7,360,642,204,3.8,12.1,1.59
Jacob Cowing,100894,WR,ARIZONA,9,9.5,15,68.4,50.0,4,8,0,8.5,6,41,109,1,67.9,27.3,78.6,,80.4,0.0,0,3,39,0.0,0,388,1,65,94.6,367,69.6,270,107.6,95,7,29.9,116,846,511,7.9,13.0,2.31
Zakhari Franklin,97620,WR,UTSA,9,9.2,14,66.3,38.9,7,18,0,7.6,5,41,331,0,70.7,74.7,74.8,,76.4,0.0,0,2,43,0.0,0,408,2,61,94.6,386,16.2,66,115.6,92,9,83.8,342,766,359,5.9,12.6,1.98
Isaiah Winstead,91115,WR,E CAROLINA,9,10.6,9,70.3,55.2,16,29,0,1.5,1,42,156,2,90.7,29.4,79.0,,80.3,0.0,0,1,67,0.0,0,363,3,64,95.3,346,7.7,28,107.0,91,3,92.3,335,871,292,4.6,13.6,2.52
Corey Crooms,97276,WR,W MICHIGAN,9,12.9,8,47.3,26.3,5,19,0,6.5,3,26,347,0,73.6,73.6,72.1,,72.8,0.0,0,6,75,0.0,0,322,1,43,93.8,302,70.8,228,60.7,91,5,28.9,93,620,253,5.9,14.4,2.05
Will Sheppard,124360,WR,VANDERBILT,9,13.8,8,52.2,30.0,9,30,1,6.0,3,35,333,0,75.0,79.9,77.4,,77.5,0.0,0,4,31,0.0,0,305,2,47,94.1,287,15.7,48,85.4,90,8,84.3,257,620,194,4.1,13.2,2.16
Ali Jennings III,145344,WR,DOMINION,9,16.2,4,60.0,54.5,12,22,0,6.9,4,42,263,1,72.7,47.4,82.3,,82.7,0.0,0,1,77,0.0,0,339,2,54,95.9,325,16.8,57,125.1,90,9,83.2,282,958,204,3.8,17.7,2.95
Grant DuBose,111276,WR,CHARLOTTE,10,11.7,8,59.6,41.7,10,24,1,8.6,5,37,136,0,66.6,59.1,72.4,61.2,73.1,0.0,0,4,52,0.3,1,384,2,53,91.1,350,13.0,50,93.4,89,8,86.7,333,651,233,4.4,12.3,1.86
Shocky Jacques-Louis,77960,WR,AKRON,9,12.4,6,71.8,45.0,9,20,0,4.7,3,35,102,1,75.1,57.2,71.2,70.3,72.1,0.0,0,3,41,0.5,2,421,2,61,95.7,403,12.1,51,92.1,85,2,87.9,370,756,173,2.8,12.4,1.88
Reynaldo Flores,83794,WR,UTEP,10,13.4,2,52.9,52.4,11,21,0,15.1,8,30,330,0,47.6,77.2,69.0,67.7,68.0,0.8,3,4,38,0.3,1,378,2,45,94.4,357,16.1,61,54.7,85,1,82.0,310,494,107,2.4,11.0,1.38
Joshua Cephus,98095,WR,UTSA,9,9.4,11,76.5,50.0,6,12,0,0.0,0,35,331,1,93.6,64.9,75.8,54.4,78.9,0.5,2,1,51,0.0,0,394,2,65,94.4,372,89.8,354,112.4,85,4,9.1,36,730,322,5.0,11.2,1.96
Evan Stewart,158674,WR,TEXAS A&M,8,12.2,9,54.1,33.3,7,21,0,14.8,8,27,312,1,47.1,44.4,69.5,,69.3,0.0,0,4,43,0.0,0,327,1,46,94.5,309,11.3,37,64.4,85,2,88.7,290,592,143,3.1,12.9,1.92
Tory Horton,128232,WR,COLO STATE,9,13.0,11,59.5,45.5,5,11,0,9.1,5,27,144,0,65.8,80.2,76.0,,75.9,0.0,0,6,69,0.0,0,337,0,50,93.2,314,19.9,67,85.3,84,6,80.1,270,797,350,7.0,15.9,2.54
Bryce Ford-Wheaton,78127,WR,W VIRGINIA,9,12.0,5,60.7,55.6,15,27,0,8.9,5,31,343,0,65.9,73.9,71.6,,72.4,0.0,0,5,67,0.0,0,318,1,51,94.7,301,6.0,19,81.7,84,6,94.0,299,605,233,4.6,11.9,2.01
Cam Camper,156414,WR,INDIANA,7,10.8,7,54.8,38.1,8,21,0,8.0,4,28,190,1,68.7,73.5,68.1,69.6,68.7,0.0,0,2,40,0.9,3,331,2,46,92.7,307,13.6,45,74.0,84,2,86.4,286,569,161,3.5,12.4,1.85
Malachi Corley,66272,WR,W KENTUCKY,10,5.5,32,76.2,20.0,2,10,0,0.0,0,35,346,0,93.8,77.5,82.8,63.1,83.6,0.0,0,1,76,0.3,1,331,1,64,94.6,313,92.1,305,130.7,84,7,6.6,22,852,697,10.9,13.3,2.72
Trey Palmer,99248,WR,NEBRASKA,9,14.4,13,63.9,36.4,8,22,0,10.2,6,30,238,1,61.9,60.6,84.5,,84.9,0.4,1,5,72,0.0,0,254,3,53,95.3,242,68.9,175,91.4,83,5,30.3,77,819,294,5.5,15.5,3.38
Khaleb Hood,97159,WR,GA SOUTHRN,9,7.7,8,73.5,30.0,3,10,0,3.2,2,30,174,1,85.2,54.3,71.7,,71.9,0.0,0,1,46,0.0,0,327,1,61,95.7,313,93.9,307,100.5,83,2,5.8,19,681,371,6.1,11.2,2.18
Keylon Stokes,65080,WR,TULSA,9,11.8,14,68.7,56.3,9,16,0,9.5,6,36,320,1,63.5,65.6,79.4,,79.8,0.0,0,3,76,0.0,0,348,1,57,93.1,324,97.7,340,112.7,83,5,2.0,7,964,354,6.2,16.9,2.98
Daewood Davis,61584,WR,W KENTUCKY,10,12.2,9,68.3,31.3,5,16,1,8.2,5,35,346,0,69.4,74.7,70.5,61.0,72.4,0.0,0,0,48,0.3,1,398,3,56,95.2,379,4.3,17,121.3,82,6,95.7,381,746,263,4.7,13.3,1.97
Rome Odunze,73774,WR,WASHINGTON,8,13.2,8,69.5,25.0,2,8,0,3.4,2,41,340,0,84.4,74.9,79.3,,80.0,0.0,0,0,61,0.0,0,332,1,57,92.5,307,18.1,60,128.0,82,6,81.6,271,858,271,4.8,15.1,2.79
Xavier Weaver,101130,WR,USF,8,11.7,11,59.8,37.5,3,8,0,10.9,6,33,327,2,59.5,28.2,78.3,,78.8,0.0,0,2,63,0.0,0,221,0,49,96.4,213,20.4,45,95.4,82,5,79.6,176,656,241,4.9,13.4,3.08
Daniel George,84378,WR,AKRON,9,10.1,9,60.5,5.9,1,17,1,2.0,1,26,102,1,87.4,26.3,63.7,61.8,64.6,0.0,0,1,39,0.2,1,449,1,49,96.2,432,13.1,59,74.7,81,0,86.9,390,531,202,4.1,10.8,1.23
Quian Williams,61237,WR,BUFFALO,9,11.4,6,60.0,29.4,5,17,0,2.0,1,30,126,1,87.4,59.8,72.4,,71.7,0.0,0,3,59,0.0,0,303,0,48,96.4,292,15.8,48,79.6,80,4,84.2,255,508,165,3.4,10.6,1.74
LaJohntay Wester,123616,WR,FAU,9,10.8,9,63.3,57.1,8,14,1,9.1,5,26,165,1,65.3,65.9,73.5,63.1,73.5,0.0,0,3,42,0.3,1,290,4,50,95.9,278,89.3,259,102.9,79,8,10.7,31,571,193,3.9,11.4,2.05
Michael Mayer,122906,TE,NOTRE DAME,9,8.3,6,64.6,61.9,13,21,1,5.6,3,34,258,1,76.7,48.1,90.6,68.9,90.1,37.2,102,3,37,2.2,6,274,2,51,93.4,256,47.8,131,102.5,79,7,14.2,39,624,239,4.7,12.2,2.44
Luke McCaffrey,101634,WR,RICE,9,12.0,12,64.6,59.1,13,22,0,10.5,6,32,275,0,61.8,55.7,76.0,,76.7,0.0,0,5,66,0.0,0,307,3,51,92.8,285,68.4,210,89.4,79,6,31.3,96,656,235,4.6,12.9,2.3
Jason Brownlee,121451,WR,SO MISS,9,14.2,6,48.1,52.4,11,21,0,7.3,3,25,296,1,64.0,38.8,70.2,,69.9,0.0,0,7,76,0.0,0,283,3,38,91.2,258,8.8,25,60.3,79,6,91.2,258,564,189,5.0,14.8,2.19
