"","teams","lines","totals"
"1","South Carolina","14","53"
"2","Clemson","-14","53"
"3","West Virginia","5.5","60"
"4","Oklahoma State","-5.5","60"
"5","Coastal Carolina","15.5","53"
"6","James Madison","-15.5","53"
"7","Georgia Tech","36.5","48.5"
"8","Georgia","-36.5","48.5"
"9","Army West Point","-20","45"
"10","Massachusetts","20","45"
"11","Georgia State","6.5","45.5"
"12","Marshall","-6.5","45.5"
"13","New Mexico State","24","50.5"
"14","Liberty","-24","50.5"
"15","Old Dominion","16.5","47"
"16","South Alabama","-16.5","47"
"17","Western Kentucky","-7.5","62"
"18","Florida Atlantic","7.5","62"
"19","Michigan","8.5","56"
"20","Ohio State","-8.5","56"
"21","East Carolina","-9.5","52"
"22","Temple","9.5","52"
"23","Kent State","4.5","51"
"24","Buffalo","-4.5","51"
"25","Akron","9.5","51.5"
"26","Northern Illinois","-9.5","51.5"
"27","Rice","14","58.5"
"28","North Texas","-14","58.5"
"29","Louisville","3","43"
"30","Kentucky","-3","43"
"31","Troy","-13.5","44"
"32","Arkansas State","13.5","44"
"33","Oregon","-1.5","57"
"34","Oregon State","1.5","57"
"35","Auburn","22.5","50"
"36","Alabama","-22.5","50"
"37","Purdue","-10.5","53"
"38","Indiana","10.5","53"
"39","Wake Forest","-3.5","67.5"
"40","Duke","3.5","67.5"
"41","Illinois","-15","38"
"42","Northwestern","15","38"
"43","Minnesota","3.5","36"
"44","Wisconsin","-3.5","36"
"45","UTEP","16.5","56.5"
"46","UTSA","-16.5","56.5"
"47","Hawaii","15.5","58.5"
"48","San Jose State","-15.5","58.5"
"49","UAB","-18","55.5"
"50","Louisiana Tech","18","55.5"
"51","Memphis","4.5","68.5"
"52","SMU","-4.5","68.5"
"53","Iowa State","9.5","46"
"54","TCU","-9.5","46"
"55","Michigan State","19","53.5"
"56","Penn State","-19","53.5"
"57","Utah","-29.5","52"
"58","Colorado","29.5","52"
"59","Louisiana-Lafayette","-4.5","44"
"60","Texas State","4.5","44"
"61","Southern Mississippi","-3","50"
"62","ULM","3","50"
"63","Nevada","12","49"
"64","UNLV","-12","49"
"65","Appalachian State","-6","66"
"66","Georgia Southern","6","66"
"67","Middle Tennessee","-19.5","55"
"68","FIU","19.5","55"
"69","LSU","-10","47.5"
"70","Texas A&M","10","47.5"
"71","UCF","-19.5","67.5"
"72","South Florida","19.5","67.5"
"73","Notre Dame","4","63"
"74","USC","-4","63"
"75","Tennessee","-14","63.5"
"76","Vanderbilt","14","63.5"
"77","Oklahoma","-2.5","65"
"78","Texas Tech","2.5","65"
"79","Syracuse","-10.5","47"
"80","Boston College","10.5","47"
"81","Tulsa","13","67"
"82","Houston","-13","67"
"83","Kansas","11.5","62"
"84","Kansas State","-11.5","62"
"85","Pittsburgh","-6.5","43"
"86","Miami FL","6.5","43"
"87","Air Force","-2","43.5"
"88","San Diego State","2","43.5"
"89","Washington","-1.5","60"
"90","Washington State","1.5","60"
"91","BYU","-6.5","57.5"
"92","Stanford","6.5","57.5"
