player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Gavin Holmes,123389,CB,WAKE,6,9,,9.0,339,0,39.6,0,1,0,0,0,0.0
Marcus Harris,97230,CB,IDAHO,1,1,,1.0,185,0,39.6,0,1,0,0,0,0.0
Jackson Lataimua,131939,CB,WASH STATE,2,8,,4.0,341,0,39.6,0,2,0,0,0,0.0
Antonio Oliver,141243,CB,BETH COOK,2,2,,2.0,119,0,39.6,0,1,0,0,0,0.0
John Miller,131744,LB,OREGON ST,1,1,,1.0,265,0,39.6,0,1,0,0,0,0.0
Austin Brundidge,55268,LB,MILES,1,3,,3.0,386,0,39.6,0,1,0,0,0,0.0
Josh McClurg,139440,S,MOREHEAD,7,21,,21.0,234,0,39.6,0,1,0,0,0,0.0
Tah Mac Bright,133231,LB,INCAR WORD,8,16,,8.0,189,0,39.6,0,2,0,0,0,0.0
Devyn Perkins,141301,CB,UTAHTC,2,5,,5.0,1285,0,39.6,0,1,0,0,0,0.0
Javian Browder,139418,S,MOREHEAD,2,14,,14.0,234,0,39.6,0,1,0,0,0,0.0
Colby Williams,141325,CB,UTAHTC,4,7,,2.3,1285,0,39.6,0,3,0,0,0,0.0
Jeffrey Wells,134774,CB,S ILLINOIS,2,7,,7.0,295,0,39.6,0,1,0,0,0,0.0
Tobias Harris,134812,CB,DOMINION,5,10,,3.3,263,0,39.6,0,3,0,0,0,0.0
Sydney Audiger,141367,CB,ROB MORRIS,1,2,,2.0,277,0,39.6,0,1,0,0,0,0.0
Trevor Thurman,141540,LB,E WASHGTON,3,3,,3.0,161,0,39.6,0,1,0,0,0,0.0
Davis Dengah,141551,LB,IDAHO,4,11,,11.0,185,1,0.0,0,1,0,0,0,0.0
Jaylon Bolden,139166,CB,MURRAY ST,6,9,,4.5,236,0,39.6,0,2,0,0,0,0.0
Kaelin Drakeford,138003,S,E ILLINOIS,3,9,,9.0,158,0,39.6,0,1,0,0,0,0.0
Tyris Harvey,138009,CB,E ILLINOIS,5,5,,2.5,158,0,39.6,0,2,0,0,0,0.0
Rodney Echols,141741,S,ALABAMA ST,6,10,,10.0,105,0,39.6,0,1,0,0,0,0.0
Jamier Wright-Collins,129910,LB,RUTGERS,2,6,,6.0,278,0,39.6,0,1,0,0,0,0.0
Tyreem Powell,129900,LB,RUTGERS,10,25,,12.5,278,0,39.6,0,2,0,0,0,0.0
Plae Wyatt,129868,S,RICE,3,6,,6.0,275,0,39.6,0,1,0,0,0,0.0
Michael Crawford,55332,LB,TENN STATE,4,14,,14.0,308,0,39.6,0,1,0,0,0,0.0
Kaymen St. Junious,141807,CB,SOUTHERN U,1,1,,1.0,297,0,39.6,0,1,0,0,0,0.0
Caden Richards,139041,LB,FURMAN,2,4,,4.0,170,0,39.6,0,1,0,0,0,0.0
Dalys Beanum,138295,CB,S DAK ST,6,14,,14.0,292,0,39.6,0,1,0,0,0,0.0
Jack Rhodes,139040,S,FURMAN,5,13,,6.5,170,0,39.6,0,2,0,0,0,0.0
Derrick Williams,141820,LB,SOUTHERN U,7,16,,8.0,297,0,39.6,0,2,0,0,0,0.0
Sebastian Costantini,129770,S,PENN STATE,3,7,,7.0,266,0,39.6,0,1,0,0,0,0.0
Ronald Holmes,138374,LB,DELWARE ST,9,36,,18.0,152,0,39.6,0,2,0,0,0,0.0
Traye Laster,138381,S,DELWARE ST,2,17,,17.0,152,0,39.6,0,1,0,0,0,0.0
Aiden Weber,138399,LB,DELWARE ST,2,2,,2.0,152,0,39.6,0,1,0,0,0,0.0
Jaidyn Denis,138406,CB,ELON,4,4,,4.0,162,0,39.6,0,1,0,0,0,0.0
Nasim Cooper,138426,CB,HOWARD,1,4,,4.0,184,0,39.6,0,1,0,0,0,0.0
Braylen Brooks,141923,CB,W ILLINOIS,5,10,,10.0,345,0,39.6,0,1,0,0,0,0.0
Isaiah Hamilton,141966,CB,TEXAS STHN,4,7,,7.0,313,0,39.6,0,1,0,0,0,0.0
Tamichael Shellman,167767,CB,KYCRST,1,4,,4.0,1474,0,39.6,0,1,0,0,0,0.0
Joseph Jamison,167733,CB,KYCRST,1,11,,5.5,1474,0,39.6,0,2,0,0,0,0.0
TJ Moore,129562,CB,MERCER,2,13,,13.0,219,0,39.6,0,1,0,0,0,0.0
Jaylon Turner,142012,LB,GRAMBLING,2,3,,3.0,177,0,39.6,0,1,0,0,0,0.0
Dion Kuinlan,167552,S,ASSMPT,1,7,,2.3,1257,0,39.6,0,3,0,0,0,0.0
Arsheen Jiles,142101,CB,SACR HEART,3,5,,5.0,280,0,39.6,0,1,0,0,0,0.0
Cam Stone,128434,CB,WYOMING,5,9,,9.0,351,0,39.6,0,1,0,0,0,0.0
Nohl Williams,128375,CB,UNLV,3,5,,2.5,325,0,39.6,0,2,0,0,0,0.0
Nahamani Harris,167154,CB,TEXAS STHN,3,8,,8.0,313,0,39.6,0,1,0,0,0,0.0
Payton Polson,128164,LB,N COLORADO,2,6,,6.0,253,0,39.6,0,1,0,0,0,0.0
Davondre Robinson,55861,S,CHARLOTTE,3,8,,8.0,136,0,39.6,0,1,0,0,0,0.0
Benito Speight,142303,CB,MAINE,3,4,,2.0,212,0,39.6,0,2,0,0,0,0.0
JK Johnson,128013,CB,OHIO STATE,2,3,,3.0,260,0,39.6,0,1,0,0,0,0.0
Justin Jameson,142324,LB,NEW HAMP,1,3,,3.0,240,0,39.6,0,1,0,0,0,0.0
Ameer Speed,55918,CB,MICH STATE,4,5,,5.0,223,0,39.6,0,1,0,0,0,0.0
Kobe Wilson,125348,LB,TEMPLE,7,13,,6.5,306,0,39.6,0,2,0,0,0,0.0
Alec Mock,125275,LB,AIR FORCE,5,17,,17.0,101,0,39.6,0,1,0,0,0,0.0
Sam Anthony,166994,S,ARKAPB,3,7,,7.0,112,0,39.6,0,1,0,0,0,0.0
Conner Long,166883,S,CONCMI,1,8,,8.0,1472,0,39.6,0,1,0,0,0,0.0
Jaylon Jones,124328,CB,TEXAS A&M,2,5,,5.0,312,0,39.6,0,1,0,0,0,0.0
O'Donnell Fortune,124235,CB,S CAROLINA,2,2,,2.0,289,0,39.6,0,1,0,0,0,0.0
