"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","def_rank","cov_rank"
"1","Kris Thornton","JMU",6200,24.01,32,"Healthy","-15.5","53",330,80.7,2.88,"CCAR",83,118
"2","Dalton Kincaid","UTAH",6600,24.11,26,"Healthy","-29.5","52",344,88.3,2.39,"COL",131,131
"3","Charlie Jones","PUR",7800,25.45,23,"Out indefinitely - Foot","-10.5","53",452,78,2.48,"IU",108,122
"4","Xavier Hutchinson","ISU",8000,22.29,21,"Healthy","9.5","46",418,90.7,2.89,"TCU",76,69
"5","Daewood Davis","WKU",5900,19.65,20,"Prob Sat - Undisclosed",NA,NA,491,69.3,1.84,"FAU",90,77
"6","Malachi Corley","WKU",7300,20.98,18,"Healthy",NA,NA,410,83.2,2.67,"FAU",90,77
"7","Jaylen Hall","WKU",5400,17.71,15,"Healthy",NA,NA,527,55.9,1.2,"FAU",90,77
"8","Jaheim Bell","SCAR",4500,15.34,14,"Healthy","14","53",139,76.5,1.96,"CLEM",16,48
"9","Brock Bowers","UGA",6100,18.6,13,"Healthy","-36.5","48.5",313,82.3,2.17,"GT",79,63
"10","Mitchell Tinsley","PSU",6100,18.02,12,"Healthy","-19","53.5",329,68.4,1.67,"MSU",110,125
"11","Antwane Wells Jr.","SCAR",5100,14.12,8,"Healthy","14","53",303,72.9,2.72,"CLEM",16,48
"12","LaJohntay Wester","FAU",6000,14.61,7,"Healthy",NA,NA,361,72.4,1.9,"WKU",NA,NA
"13","Devin Ravenel","JMU",4400,12.11,7,"Healthy","-15.5","53",259,59.1,0.85,"CCAR",83,118
"14","Antonio Williams","CLEM",5500,13.81,6,"Healthy","-14","53",285,69.8,1.92,"SCAR",115,116
"15","TJ Sheffield","PUR",4900,13.61,6,"Healthy","-10.5","53",351,57.5,1.06,"IU",108,122
"16","Dimitri Stanley","ISU",3800,11.17,6,"Healthy","9.5","46",348,59.3,1.25,"TCU",76,69
"17","Marvin Harrison Jr.","OSU",8200,17.63,5,"Healthy","-8.5","56",339,90.4,3.26,"MICH",6,10
"18","Emeka Egbuka","OSU",7700,17.35,5,"Healthy","-8.5","56",313,81.1,3.1,"MICH",6,10
"19","Sam Pinckney","C-C",6900,14.26,5,"Healthy",NA,NA,302,73.4,2.88,"JMU",NA,NA
"20","Quentin Johnston","TCU",6800,15.71,5,"Prob Sat - Ankle","-9.5","46",277,76.4,2.86,"ISU",42,68
"21","Tyler Hudson","UL",6700,16.64,5,"Healthy",NA,NA,360,78.6,2.82,"UK",48,30
"22","Darnell Washington","UGA",3700,10.28,5,"Healthy","-36.5","48.5",233,84.9,1.91,"GT",79,63
"23","Devaughn Vele","UTAH",6600,15.12,4,"Healthy","-29.5","52",395,70.9,1.56,"COL",131,131
"24","Ja'Corey Brooks","BAMA",6500,13.65,4,"Healthy","-22.5","50",276,69.2,2.12,"AUB",46,24
"25","Bryce Ford-Wheaton","WVU",6500,12.93,4,"Healthy","5.5","60",392,69.7,1.76,"OKST",58,64
"26","Ladd McConkey","UGA",6400,14.32,4,"Healthy","-36.5","48.5",284,75.5,2.2,"GT",79,63
"27","Jared Brown","C-C",6300,13.68,4,"Prob Sat - Undisclosed",NA,NA,252,73.2,2.99,"JMU",NA,NA
"28","John Paul Richardson","OKST",5500,12.78,4,"Healthy","-5.5","60",350,65.1,1.46,"WVU",107,126
"29","Dane Key","UK",4700,10.33,4,"Healthy","-3","43",270,68.8,1.73,"UL",NA,NA
"30","Terrance Greene Jr.","JMU",3800,10.01,4,"Healthy","-15.5","53",205,71.6,1.93,"CCAR",83,118
"31","Braydon Johnson","OKST",6400,13.3,3,"Healthy","-5.5","60",260,64.7,2.06,"WVU",107,126
"32","Sam James","WVU",6000,13.73,3,"Healthy","5.5","60",383,64.7,2.01,"OKST",58,64
"33","Jayden Reed","MSU",5900,12.32,3,"Healthy","19","53.5",324,71.6,1.99,"PSU",60,53
"34","Ronnie Bell","MICH",5600,11.92,3,"Ques Sat - Undisclosed","8.5","56",280,74.7,2.41,"OSU",4,14
"35","Skyler Bell","WISC",5600,11.22,3,"Healthy","-3.5","36",266,64.3,1.69,"MINN",34,34
"36","Kris Hutson","ORE",5500,12.88,3,"Healthy","-1.5","57",268,64,1.78,"ORST",34,25
"37","Payne Durham","PUR",5500,12.2,3,"Healthy","-10.5","53",453,67,1.32,"IU",108,122
"38","Jahmal Edrine","FAU",4900,10.84,3,"Healthy",NA,NA,307,64.2,1.78,"WKU",NA,NA
"39","Jaylin Noel","ISU",4800,11.03,3,"Healthy","9.5","46",378,62.3,1.46,"TCU",76,69
"40","Michael Mathison","WKU",4500,10.47,3,"Healthy",NA,NA,355,63.8,1.65,"FAU",90,77
"41","Dont'e Thornton","ORE",4200,9.54,3,"Healthy","-1.5","57",155,66.5,2.31,"ORST",34,25
"42","Reese Smith","WVU",3500,8.88,3,"day-to-day - Undisclosed","5.5","60",219,61.6,1.01,"OKST",58,64
"43","Malik Rutherford","GT",3200,8.31,3,"Healthy","36.5","48.5",121,66,1.79,"UGA",25,23
"44","Tre'Shaun Harrison","ORST",7600,12.8,2,"Healthy","1.5","57",287,66.9,2.23,"ORE",77,49
"45","Troy Franklin","ORE",7000,12.47,2,"Healthy","-1.5","57",323,75.3,2.56,"ORST",34,25
"46","Brennan Presley","OKST",6200,13.9,2,"Healthy","-5.5","60",364,71.7,1.92,"WVU",107,126
"47","Jermaine Burton","BAMA",6000,9.34,2,"Healthy","-22.5","50",301,69.1,1.74,"AUB",46,24
"48","Keon Coleman","MSU",5800,12.3,2,"Healthy","19","53.5",368,75.2,2.06,"PSU",60,53
"49","Chimere Dike","WISC",5700,9.95,2,"Healthy","-3.5","36",259,75,2.48,"MINN",34,34
"50","Tyson Mobley","C-C",5600,10.56,2,"Healthy",NA,NA,309,63.3,1.15,"JMU",NA,NA
"51","Bryson Green","OKST",5400,11.49,2,"Out Sun - Undisclosed","-5.5","60",463,63.9,1.35,"WVU",107,126
"52","Bryson Green","OKST",5400,11.49,2,"Out indefinitely - Wrist","-5.5","60",463,63.9,1.35,"WVU",107,126
"53","Tayvion Robinson","UK",5200,10.05,2,"Ques Sat - Undisclosed","-3","43",244,71.7,2.01,"UL",NA,NA
"54","Barion Brown","UK",5100,10.46,2,"Healthy","-3","43",238,72.7,2.53,"UL",NA,NA
"55","Daniel Jackson","MINN",4700,7.57,2,"Out indefinitely - Foot","3.5","36",202,70.7,2.07,"WISC",28,31
"56","Joseph Ngata","CLEM",4200,7.47,2,"Healthy","-14","53",258,66.5,1.56,"SCAR",115,116
"57","Cortez Braham","WVU",3500,9.09,2,"Healthy","5.5","60",92,66.5,1.79,"OKST",58,64
"58","Money Parks","UTAH",3400,8.8,2,"Healthy","-29.5","52",144,62.7,2.04,"COL",131,131
"59","Luke Schoonmaker","MICH",3400,6.92,2,"Ques Sat - Undisclosed","8.5","56",183,68.6,1.92,"OSU",4,14
"60","Daniel Jackson","ISU",3000,7.57,2,"Out indefinitely - Foot","9.5","46",202,70.7,2.07,"TCU",76,69
"61","Drew Painter","JMU",3000,6.74,2,"Healthy","-15.5","53",193,72.1,1.3,"CCAR",83,118
"62","Zach Horton","JMU",3000,5.36,2,"Healthy","-15.5","53",161,69.7,1.2,"CCAR",83,118
"63","Jaylen Dixon","UTAH",5800,7.86,1,"Healthy","-29.5","52",115,70.7,1.79,"COL",131,131
"64","Taye Barber","TCU",5700,9,1,"Healthy","-9.5","46",235,71.2,2.57,"ISU",42,68
"65","Emery Simmons","IU",5700,7.02,1,"Healthy","10.5","53",351,60.1,1.06,"PUR",91,107
"66","Tyjon Lindsey","ORST",5400,7.45,1,"Healthy","1.5","57",193,67.8,1.56,"ORE",77,49
"67","Je'Quan Burton","FAU",5300,7.63,1,"Healthy",NA,NA,292,66.6,1.76,"WKU",NA,NA
"68","Julian Fleming","OSU",5200,6.02,1,"Healthy","-8.5","56",207,65.4,2.12,"MICH",6,10
"69","Cade Stover","OSU",5100,6.88,1,"Healthy","-8.5","56",328,73,1.46,"MICH",6,10
"70","Marshon Ford","UL",4700,8.01,1,"Healthy",NA,NA,298,60.9,1.46,"UK",48,30
"71","Brenton Strange","PSU",4600,6.58,1,"Healthy","-19","53.5",265,72.8,1.55,"MSU",110,125
"72","JoJo Earle","BAMA",4400,6.44,1,"Healthy","-22.5","50",139,58.6,1.2,"AUB",46,24
"73","Ahmari Huggins-Bruce","UL",4400,6.78,1,"Healthy",NA,NA,249,65.4,1.57,"UK",48,30
"74","AJ Barner","IU",4200,6.23,1,"Healthy","10.5","53",375,53.9,0.59,"PUR",91,107
"75","Tre Mosley","MSU",4200,6.15,1,"Healthy","19","53.5",298,60.2,1.08,"PSU",60,53
"76","Savion Williams","TCU",4100,6.27,1,"Healthy","-9.5","46",279,60.7,1.27,"ISU",42,68
"77","Cameron Latu","BAMA",4000,7.13,1,"Ques Sat - Undisclosed","-22.5","50",362,56.5,0.98,"AUB",46,24
"78","Davis Allen","CLEM",4000,6.75,1,"Healthy","-14","53",259,71,1.71,"SCAR",115,116
