player_id,team,opp,pos,name,fpts,proj_own,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1180415,PUR,SYR,WR,Garrett Miller,0.89,0,0,0,3000,,,1180415
977867,COL,MINN,WR,R.J. Sneed II,1.58,0,0,0,3000,,,977867
1180448,PUR,SYR,WR,Milton Wright,,0,0,0,3000,,,1180448
1390889,MIAOH,CINCY,WR,Jeffrey Simmons,,0,0,0,3000,,,1390889
1181317,AUB,PSU,WR,Tommy Nesmith,,0,0,0,3000,,,1181317
976459,MINN,COL,QB,Tanner Morgan,13.74,1,0,0,5900,,,976459
1290129,MISS,GT,RB,Matt Jones,,0,0,0,3000,,,1290129
1380648,AUB,PSU,WR,Jake Kruse,,0,0,0,3000,,,1380648
1162606,SCAR,UGA,WR,Austin Stogner,4.78,0,0,0,3000,,,1162606
1171439,PSU,AUB,RB,Tank Smith,0.88,0,0,0,3000,,,1171439
1285927,SYR,PUR,QB,Carlos Del Rio-Wilson,,0,0,0,5200,,,1285927
910569,ORE,BYU,WR,Cam McCormick,1.17,0,0,0,3000,,,910569
1394717,COL,MINN,WR,Cole Boscia,,0,0,0,3000,,,1394717
1395949,UGA,SCAR,RB,Andrew Paul,,0,0,0,3000,,,1395949
1165708,BYU,ORE,RB,Enoch Nawahine,,0,0,0,3000,,,1165708
1290856,UH,KU,RB,Alton McCaskill IV,,0,0,0,3000,,,1290856
1182627,UGA,SCAR,RB,Sevaughn Clark,1.55,0,0,0,3000,,,1182627
1172969,MISS,GT,WR,Dayton Wade,3.07,0,0,0,3000,,,1172969
1317290,NIU,VAND,QB,Jeffery Lomax,,0,0,0,4500,,,1317290
1380616,VAND,NIU,WR,Jayden McGowan,13.44,3,0,0,7500,,,1380616
1229092,PUR,SYR,QB,Christian Gelov,,0,0,0,4500,,,1229092
1380649,AUB,PSU,WR,Colby Stafford,,0,0,0,3000,,,1380649
1285917,UGA,SCAR,WR,Brock Bowers,11.46,4,0,0,7000,,,1285917
1394718,COL,MINN,WR,Zach Courtney,,0,0,0,3000,,,1394718
1396918,SCAR,UGA,QB,Tanner Bailey,,0,0,0,4500,,,1396918
1127090,CAL,ND,WR,Monroe Young,2.36,0,0,0,3000,,,1127090
1180428,PUR,SYR,WR,Mershawn Rice,11.59,6,0,0,3500,,,1180428
976439,MINN,COL,WR,Chris Autman-Bell,11.7,3,0,0,5800,,,976439
1229071,OU,NEB,QB,Micah Bowens,,0,0,0,4500,,,1229071
1329270,UGA,SCAR,WR,Woody Waters,,0,0,0,3000,,,1329270
1380617,AUB,PSU,WR,Jay Fair,1.01,0,0,0,3000,,,1380617
1380628,AUB,PSU,RB,Wise Gordon,,0,0,0,3000,,,1380628
1161739,NEB,OU,WR,Trey Palmer,14.57,20,0,0,4200,,,1161739
1383807,MISS,GT,RB,Quinshon Judkins,11.87,10,0,0,3500,,,1383807
1175819,GT,MISS,WR,Luke Benson,2.73,0,0,0,3000,,,1175819
1120918,UH,KU,RB,Ta'Zhawn Henry,10.2,5,0,0,4000,,,1120918
1396919,SCAR,UGA,WR,Kylic Horton,,0,0,0,3000,,,1396919
1287909,MINN,COL,WR,Le'Meke Brockington,1.56,0,0,0,3000,,,1287909
1290858,UH,KU,WR,Cash Walker,,0,0,0,3000,,,1290858
1390925,MIAOH,CINCY,WR,Javon Tracy,,0,0,0,3000,,,1390925
1238191,BYU,ORE,WR,Terence Fall,,0,0,0,3000,,,1238191
1390936,MIAOH,CINCY,QB,Matt MacLeod,,0,0,0,4500,,,1390936
1180649,SALA,UCLA,WR,Devin Voisin,11.91,5,0,0,3800,,,1180649
1171816,IU,WKU,QB,Connor Bazelak,19.41,9,0,0,6200,,,1171816
1229083,PSU,AUB,WR,Tyler Warren,3.7,0,0,0,3400,,,1229083
1285908,UGA,SCAR,WR,Adonai Mitchell,,0,0,0,7200,,,1285908
1404093,SCAR,UGA,QB,Jalen Daniels,,0,0,0,4500,,,1404093
1127081,CAL,ND,QB,Robby Rowell,,0,0,0,4500,,,1127081
1183906,UH,KU,WR,Ke'Andre Street,,0,0,0,3000,,,1183906
1108040,BYU,ORE,RB,Lopini Katoa,11.66,2,0,0,5600,,,1108040
1229095,MISS,GT,WR,Lex Boucvalt,,0,0,0,3000,,,1229095
933519,SYR,PUR,WR,Devaughn Cooper,8.34,2,0,0,3000,,,933519
1319185,AUB,PSU,RB,Jarquez Hunter,9.01,1,0,0,4900,,,1319185
1118590,UH,KU,WR,Christian Trahan,7.69,0,0,0,4100,,,1118590
1127060,CAL,ND,WR,Nick Alftin,,0,0,0,3000,,,1127060
1126092,NIU,VAND,WR,Kaymar Mimes,,0,0,0,3000,,,1126092
1215280,MIAOH,CINCY,RB,Kenny Tracy,3.08,0,0,0,3000,,,1215280
1214070,UH,KU,RB,Jamel Starks,,0,0,0,3000,,,1214070
1215291,WKU,IU,WR,Malachi Corley,13.48,6,0,0,8100,,,1215291
1400080,GT,MISS,WR,Stone Bonner,,0,0,0,3000,,,1400080
1215071,UCLA,SALA,WR,Logan Loya,5.23,0,0,0,3500,,,1215071
1317272,NIU,VAND,WR,George Gumbs,1.42,0,0,0,3000,,,1317272
1229074,PSU,AUB,WR,Parker Washington,12.8,4,0,0,6100,,,1229074
1407692,SALA,UCLA,RB,Jonathon Carter,,0,0,0,3000,,,1407692
1319241,WKU,IU,RB,Javy Bunton,,0,0,0,3500,,,1319241
1329295,UGA,SCAR,RB,Gleaton Jones,,0,0,0,3000,,,1329295
1319142,AUB,PSU,RB,Jordon Ingram,,0,0,0,3000,,,1319142
1319175,AUB,PSU,WR,Tar'Varish Dawson Jr.,2.91,0,0,0,3600,,,1319175
974902,COL,MINN,WR,Jaylon Jackson,6.07,0,0,0,3000,,,974902
1118580,UH,KU,WR,Peyton Sawyer,1.39,0,0,0,4100,,,1118580
1400180,VAND,NIU,WR,Cole Spence,0.61,0,0,0,3000,,,1400180
1180619,SALA,UCLA,WR,Todd Justice,0.68,0,0,0,3000,,,1180619
1390939,MIAOH,CINCY,WR,Reginald Virgil,1.44,0,0,0,3000,,,1390939
1229493,IU,WKU,WR,David Baker,0.64,0,0,0,3000,,,1229493
1317262,NIU,VAND,RB,Mason Blakemore,10.99,5,0,0,3500,,,1317262
1317152,GT,MISS,QB,Brody Rhodes,,0,0,0,4500,,,1317152
1329285,UGA,SCAR,QB,Collin Drake,,0,0,0,4500,,,1329285
1379280,PUR,SYR,QB,Kyle Adams,,0,0,0,4500,,,1379280
1214171,GT,MISS,WR,Billy Ward,1.01,0,0,0,3000,,,1214171
1180829,KU,UH,QB,Jordan Preston,,0,0,0,4500,,,1180829
1215282,MIAOH,CINCY,WR,Nate Muersch,1.46,0,0,0,3000,,,1215282
1390907,MIAOH,CINCY,WR,Chase Becker,,0,0,0,3000,,,1390907
1106283,NEB,OU,QB,Casey Thompson,20.07,7,0,0,6800,,,1106283
1327361,ND,CAL,WR,Davis Sherwood,,0,0,0,3000,,,1327361
1217042,PSU,AUB,WR,Jake Spencer,,0,0,0,3000,,,1217042
1229054,SALA,UCLA,WR,DJ Thomas-Jones,6.21,0,0,0,3000,,,1229054
1317153,GT,MISS,RB,Daylon Gordon,,0,0,0,3000,,,1317153
1317296,NIU,VAND,WR,Mason Pierre-Antoine,,0,0,0,3000,,,1317296
1126270,MIAOH,CINCY,WR,Miles Marshall,6.24,0,0,0,4300,,,1126270
1246181,UCLA,SALA,RB,Brian Kowall,,0,0,0,3800,,,1246181
1214150,GT,MISS,WR,Luke Moseley,,0,0,0,3000,,,1214150
1229770,SCAR,UGA,RB,Bradley Dunn,,0,0,0,3000,,,1229770
1215272,MIAOH,CINCY,WR,Jeremiah Batiste,,0,0,0,3100,,,1215272
1118593,UH,KU,RB,Kelan Walker,,0,0,0,3000,,,1118593
1128075,UCLA,SALA,WR,Kazmeir Allen,14.3,5,0,0,5900,,,1128075
1238196,BYU,ORE,WR,Chris Jackson,,0,0,0,3000,,,1238196
1128086,UCLA,SALA,WR,Michael Ezeike,2.65,0,0,0,3500,,,1128086
1325195,NEB,OU,QB,Spencer Arceneaux,,0,0,0,4500,,,1325195
1107032,CINCY,MIAOH,WR,Leonard Taylor,3.83,0,0,0,3000,,,1107032
1329342,COL,MINN,RB,Noah Wagner,,0,0,0,3000,,,1329342
1109133,UH,KU,QB,Clayton Tune,25.47,14,0,0,8200,,,1109133
1317264,NIU,VAND,WR,Isaiah Bragg,,0,0,0,3000,,,1317264
1229055,MISS,GT,RB,Kentrel Bullock,0.41,0,0,0,4000,,,1229055
1317154,GT,MISS,RB,Englan Williams,,0,0,0,3000,,,1317154
1229187,OU,NEB,WR,Brian Darby,,0,0,0,3000,,,1229187
1288070,CINCY,MIAOH,QB,Brady Lichtenberg,,0,0,0,4500,,,1288070
1321290,ND,CAL,RB,Logan Diggs,7.63,1,0,0,3500,,,1321290
1379260,PSU,AUB,WR,Jerry Cross,,0,0,0,3000,,,1379260
1126260,MIAOH,CINCY,WR,Matt Bjorson,,0,0,0,3000,,,1126260
1234093,SALA,UCLA,WR,Jacob Hopper,0.68,0,0,0,3000,,,1234093
1125083,GT,MISS,RB,Dylan McDuffie,8.99,1,0,0,4500,,,1125083
1214151,GT,MISS,WR,Avery Boyd,,0,0,0,3000,,,1214151
1214041,PUR,SYR,WR,Abdur-Rahmaan Yaseen,0.87,0,0,0,3000,,,1214041
1214162,GT,MISS,WR,Ryan King,1.93,0,0,0,3000,,,1214162
1107462,IU,WKU,QB,Jack Tuttle,,0,0,0,5600,,,1107462
1107583,NEB,OU,WR,Wyatt Liewer,1.21,0,0,0,3100,,,1107583
1218661,UGA,SCAR,WR,Davis Day,,0,0,0,3000,,,1218661
1402493,KU,UH,WR,Cole Rhoden,,0,0,0,3000,,,1402493
1401184,ORE,BYU,WR,Michael Jennings,,0,0,0,3000,,,1401184
1315285,MIAOH,CINCY,WR,Jack DeJarld,,0,0,0,3000,,,1315285
1329332,COL,MINN,WR,Jack Hestera,1.58,0,0,0,3000,,,1329332
1317265,NIU,VAND,RB,Antario Brown,15.51,5,0,0,5500,,,1317265
1317155,GT,MISS,WR,Trent Davis,,0,0,0,3000,,,1317155
1317287,NIU,VAND,RB,Brock Lampe,,0,0,0,3000,,,1317287
1068170,SCAR,UGA,WR,Chad Terrell,,0,0,0,3000,,,1068170
1229089,PSU,AUB,WR,Malick Meiga,0.67,0,0,0,3700,,,1229089
1299071,MISS,GT,QB,Alex Grado,,0,0,0,4500,,,1299071
1288071,CINCY,MIAOH,WR,Chamon Metayer,2.83,0,0,0,3000,,,1288071
1321291,ND,CAL,RB,Audric Estime,9.89,3,0,0,3000,,,1321291
1379250,NEB,OU,QB,Cooper Hausmann,,0,0,0,4500,,,1379250
1379261,PSU,AUB,WR,Omari Evans,0.67,0,0,0,3000,,,1379261
1234083,SALA,UCLA,WR,Nae'Saan Dickerson,,0,0,0,3000,,,1234083
1400590,SYR,PUR,WR,Josh Kubala,,0,0,0,3000,,,1400590
1227462,CINCY,MIAOH,WR,Ashton Koller,,0,0,0,3000,,,1227462
1248032,AUB,PSU,QB,Robby Ashford,6.59,0,0,0,4900,,,1248032
1107562,NEB,OU,WR,Brody Belt,1.21,0,0,0,3000,,,1107562
1118573,UH,KU,WR,Ja'Kori Morgan,,0,0,0,3000,,,1118573
1400382,GT,MISS,WR,Alexander Parker,,0,0,0,3000,,,1400382
1218651,UGA,SCAR,WR,Marcus Rosemy-Jacksaint,3,0,0,0,3700,,,1218651
1214185,AUB,PSU,WR,Dazalin Worsham,,0,0,0,3000,,,1214185
1127065,BYU,ORE,RB,Christopher Brooks,17.46,5,0,0,6400,,,1127065
1315462,MIAOH,CINCY,WR,Jace Williams,,0,0,0,3000,,,1315462
1215285,IU,WKU,WR,James Bomba,1.79,0,0,0,3000,,,1215285
1229321,AUB,PSU,WR,Ze'Vian Capers,0.86,0,0,0,3000,,,1229321
1107232,UCLA,SALA,WR,Colson Yankoff,0.58,0,0,0,3000,,,1107232
1229332,AUB,PSU,WR,Jackson Billings,,0,0,0,3000,,,1229332
1229453,SYR,PUR,WR,Isaiah Jones,3.68,0,0,0,3200,,,1229453
1402494,KU,UH,WR,Quinton Conley,,0,0,0,3000,,,1402494
1400074,OU,NEB,RB,Tawee Walker,4.78,0,0,0,3000,,,1400074
1315253,MIAOH,CINCY,WR,Angelo Butts,,0,0,0,3000,,,1315253
1227165,PUR,SYR,RB,Dylan Downing,6.64,0,0,0,4900,,,1227165
1238187,BYU,ORE,RB,Miles Davis,2.47,0,0,0,3000,,,1238187
1329300,UGA,SCAR,WR,Logan Johnson,,0,0,0,3000,,,1329300
1400085,CINCY,MIAOH,WR,Lesley Andoh,,0,0,0,3000,,,1400085
1107023,CINCY,MIAOH,RB,Ryan Montgomery,,0,0,0,6000,,,1107023
1238198,BYU,ORE,QB,Sol-Jay Maiava-Peters,,0,0,0,4500,,,1238198
1229497,IU,WKU,WR,Javon Swinton,0.54,0,0,0,5200,,,1229497
