player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Gavin Hardison,100827,QB,UTEP,4,2.97,2.88,3.66,5.28,180,330,65.8,76,80,8.4,1.92,3,1,1.2,55.0,44,9,12.0,81,45.0,6,22,,,,,49.0,48.2,77.6,,48.3,,,,,1,2,83,11.1,64.4,1.2,1,0,0,0,2,4,4.8,356,4.5,57.7,71,81,17.3,3.91,0,12,13.6,42.0,34,42,17.1,97,53.9,7,24,,,,,48.7,75.2,78.5,,77.3,,47.3,,,1,1,104,26.2,63.3,11.3,11,5,0,9,0,5,4.8,610,7.5
Kyle Vantrease,55029,QB,GA SOUTHRN,3,2.26,2.2,,4.6,156,174,81.4,97,100,5.5,1.82,3,4,3.9,76.0,76,12,3.8,100,64.1,3,39,,,,,72.0,79.4,78.5,,78.3,,,,,0,1,104,0.0,110.2,0.0,0,0,0,0,5,0,0.0,775,7.8,37.0,46,50,16.8,3.17,0,1,1.9,28.0,14,15,17.6,54,34.6,3,12,,,,,70.0,28.8,76.0,,29.1,,54.2,,,0,5,56,0.0,11.8,0.0,0,4,0,4,1,10,17.9,211,4.2
Kobe Tracy,141317,QB,UTAHTC,3,3.03,2.82,3.27,4.91,152,1285,71.7,53,53,7.0,1.92,0,2,3.5,67.9,36,10,5.3,53,34.9,2,18,,,,,70.1,63.0,76.1,,62.6,,,,,0,1,57,0.0,98.6,0.0,0,0,0,0,3,1,1.8,368,6.9,58.2,67,77,20.3,3.66,0,7,8.5,39.0,30,41,23.1,98,64.5,9,27,,,,,72.0,74.6,78.5,,72.6,,66.7,,,4,0,103,17.1,84.0,7.1,7,14,0,6,4,1,1.0,594,7.7
Will Rogers,124184,QB,MISS STATE,3,2.34,2.29,3.36,4.73,151,227,83.5,85,86,5.0,1.68,0,2,2.2,79.1,68,4,4.2,87,57.6,3,32,,,,,71.6,80.8,78.0,,79.7,,,,,0,1,92,25.0,124.0,1.1,1,0,0,1,8,0,0.0,644,7.5,78.7,47,52,5.9,3.4,2,1,1.8,61.5,32,24,13.5,61,40.4,5,20,,,,,70.4,67.1,76.5,,67.2,,58.7,,,0,2,64,25.0,76.7,9.8,6,3,0,3,2,1,1.6,331,6.4
Parker McKinney,82109,QB,E KENTUCKY,3,2.75,2.5,3.64,5.21,149,159,81.3,80,81,6.9,1.84,1,5,5.7,75.3,61,5,6.2,82,55.0,4,38,,,,,71.5,91.2,77.8,,90.8,,,,,0,0,89,20.0,126.7,1.2,1,0,0,0,8,1,1.1,563,7.0,63.8,47,49,16.8,3.86,0,4,7.3,57.1,28,29,6.7,67,45.0,2,24,,,,,46.7,63.3,77.1,,65.0,,56.0,,,0,3,74,27.6,76.7,11.9,8,10,0,2,2,5,6.8,457,9.3
Ryan Hilinski,71295,QB,NWESTERN,3,2.64,2.62,3.57,5.0,147,256,70.4,54,54,5.3,1.89,0,0,0.0,66.7,36,4,5.3,54,36.7,2,20,,,,,69.9,63.0,75.9,,62.6,,,,,0,1,54,0.0,94.6,0.0,0,0,0,0,3,1,1.9,339,6.3,68.3,82,88,9.7,3.11,2,1,1.0,61.4,54,26,3.6,92,62.6,2,29,,,,,51.7,56.4,32.8,,57.6,,57.3,,,1,2,100,11.5,81.1,3.3,3,1,0,3,2,5,5.0,628,7.1
Frank Harris,60586,QB,UTSA,3,2.53,2.23,3.69,4.74,144,331,79.3,87,88,5.8,1.72,1,3,3.3,75.0,66,15,4.3,89,61.8,3,36,,,,,71.6,79.5,78.0,,78.4,,,,,0,2,92,6.7,105.5,1.1,1,0,0,0,5,1,1.1,664,7.5,56.3,32,36,15.1,3.83,0,3,7.0,50.0,18,35,0.0,55,38.2,0,20,,,,,43.0,80.7,76.5,,76.6,,71.3,,,1,0,64,17.1,82.4,10.9,6,13,0,3,1,1,1.6,254,7.1
Connor Bazelak,99135,QB,INDIANA,3,2.38,2.35,3.65,4.8,142,190,65.0,80,81,7.9,1.85,0,3,3.6,55.6,45,15,13.5,81,57.0,7,24,,,,,71.3,63.3,77.6,,62.8,,,,,0,1,84,0.0,74.5,0.0,0,0,0,1,1,2,2.4,527,6.5,68.6,51,55,12.4,3.14,0,3,4.8,58.2,32,23,8.6,60,42.3,3,18,,,,,70.6,76.4,76.7,,74.3,,64.9,,,0,1,67,17.4,94.8,6.7,4,1,0,4,4,3,4.5,364,6.6
Aidan O'Connell,60516,QB,PURDUE,3,2.34,2.32,2.95,4.5,137,273,71.1,83,86,7.8,1.8,1,3,3.3,65.1,56,10,5.1,86,62.8,3,25,,,,,71.6,71.9,78.0,,71.1,,,,,0,0,92,0.0,98.2,0.0,0,0,0,2,4,2,2.2,543,6.3,71.4,42,48,13.0,3.26,0,2,3.9,62.5,30,20,0.0,51,37.2,0,20,,,,,69.9,74.6,75.9,,75.0,,57.3,,,3,1,54,10.0,112.8,3.9,2,1,0,3,4,2,3.7,455,9.5
Tim DeMorat,78498,QB,FORDHAM,3,2.46,2.37,2.83,5.1,136,168,75.4,69,69,5.7,1.78,0,4,5.7,72.5,50,8,3.8,70,51.5,2,26,,,,,70.7,73.1,76.9,,72.3,,,,,0,1,71,12.5,122.4,1.4,1,0,0,0,7,1,1.4,532,7.7,67.9,56,60,20.3,3.18,0,9,14.5,58.3,35,26,7.9,66,48.5,3,24,,,,,70.6,90.1,76.8,,90.3,,56.3,,,1,2,68,7.7,128.5,3.0,2,4,0,3,9,3,4.4,764,12.7
