player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jaylen Stinson,122389,S,DUKE,4,0,154,0,0,0,0,0,1,100.0,1,1,100.0,1,1,0,1,0.8,1,131,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Andre Fuller,141775,CB,TOLEDO,4,0,316,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.4,1,29,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
David Godsey Jr.,133044,CB,LA MONROE,1,0,209,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,7.7,1,13,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Bryan Stukes,150525,CB,MORGAN ST,3,0,235,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.3,1,79,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Trevon Flowers,83393,S,TENNESSEE,4,0,307,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,1,165,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Simon Thompson,101222,LB,W OREGON,1,0,411,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,25.0,1,4,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Shyheim Brown,143874,S,FLORIDA ST,4,0,167,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.5,1,65,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Joshua Pickett,143869,CB,DUKE,4,0,154,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.8,1,119,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Ryan Stapp,101748,CB,MINNESOTA,4,0,225,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.8,1,57,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Les Odimara,155200,CB,TARLETON,2,0,401,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,16.7,1,6,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Tyhir Harley,105838,CB,MARIST,3,0,213,0,0,0,0,0,0,,0,0,,0,0,0,0,1.4,1,71,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Jaquan Jackson,167049,CB,BETH COOK,3,0,119,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,1,50,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Camden O'Gara,86506,LB,ARMY,2,0,114,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,5.6,1,18,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Grayson Cash,55727,S,UAB,3,0,321,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.0,1,100,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Aydan White,122889,CB,NC STATE,4,0,248,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.8,1,128,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Tyree Skipper,122660,S,LA LAFAYET,3,0,207,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.6,1,18,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jonquis Hardaway,164132,CB,CINCINNATI,4,0,138,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.1,1,32,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Kamdan Hightower,141637,S,N ARIZONA,4,0,252,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,1,116,1,100.0,0,0,0,0,100.0,1,1,100.0,1,0,0,1,0,0
Cameron Mitchell,97340,CB,NWESTERN,4,0,256,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.1,1,88,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Garry Rosemond Jr.,148601,CB,MERRIMACK,4,0,385,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,1,111,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jace O'Hara,147815,CB,SACRAMENTO,3,0,279,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,2.2,1,46,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Lance Boykin,83066,CB,COAST CAR,3,0,141,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.2,1,81,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jaheim Lowe,132049,LB,TXAMCO,3,0,1139,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,12.5,2,16,2,75.0,0,0,1,0,100.0,2,2,75.0,1,1,0,1,1,0
Tyler Bird,81168,LB,APP STATE,4,0,108,1,0,0,0,0,0,0.0,0,0,,0,0,0,1,4.0,2,50,2,75.0,0,0,0,1,100.0,1,1,100.0,1,1,0,1,1,0
Chris Shearin,158631,CB,UCONN,5,0,146,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.4,2,139,2,75.0,0,1,0,0,100.0,2,2,75.0,1,0,0,1,0,0
Dawson Weber,66802,S,N DAK ST,4,0,250,0,1,0,0,0,0,50.0,1,1,100.0,1,1,0,0,2.2,2,92,2,75.0,0,0,1,0,50.0,1,1,50.0,0,0,0,1,1,0
Parker McKenna,143761,LB,PORTLAND,3,0,269,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,2.2,2,93,2,75.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Allen Smith,97148,CB,N ALABAMA,4,0,389,0,1,0,0,1,0,100.0,2,2,75.0,1,1,0,0,7.1,2,28,2,75.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
