player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
John Porchivina,28202,LB,OLE MISS,1,0,,0,0,226,60.3,47.4,67.2,,60.0,,,0,0,1,1,0.0,0,0
Colby Reeder,30285,LB,IOWA STATE,4,4,2.0,0,0,193,67.0,74.1,14.7,77.4,77.5,71.8,9.1,1,1,80,81,5.0,4,6
Kyle Pugh,35900,LB,N ILLINOIS,4,10,9.2,0,0,254,70.6,67.8,79.6,54.9,64.7,80.7,5.0,1,0,86,87,4.7,4,9
Jordan Carmouche,39951,LB,ARK STATE,4,7,2.0,0,0,113,56.7,54.8,9.8,57.1,57.0,70.0,10.0,2,1,103,105,7.8,8,11
Monte McGary,42477,CB,KANSAS,1,0,,0,0,198,65.9,66.5,73.2,,60.7,73.5,,0,0,9,10,0.0,0,0
Bricen Garner,42520,S,W MICHIGAN,4,5,7.4,0,0,347,70.2,67.7,81.2,58.6,61.9,62.6,24.0,6,0,103,106,3.9,4,14
Brandon Moore,42620,CB,NEBRASKA,2,0,,0,0,238,71.8,64.9,0.0,60.0,61.5,73.5,,0,1,7,7,0.0,0,0
Clifford Chattman,42657,S,UTSA,5,4,5.5,0,0,331,69.9,68.5,85.1,,62.5,71.9,15.0,3,1,115,119,3.5,4,13
Anthony Watts,42807,DI,MARSHALL,4,3,2.5,0,0,214,61.0,66.4,17.4,59.7,72.6,60.2,0.0,0,1,38,39,5.3,2,2
Justin Clark,43185,CB,WISCONSIN,2,1,12.5,0,0,349,62.4,61.6,76.9,,58.1,47.7,0.0,0,0,35,35,0.0,0,2
Ryan McWood,43189,LB,MIAMI OH,4,2,3.0,0,0,221,48.4,54.9,79.8,69.0,58.2,51.9,16.7,5,0,92,96,16.3,15,23
Jaydon Grant,43354,S,OREGON ST,4,1,9.0,0,0,265,80.3,78.3,83.6,46.1,76.5,74.0,11.1,1,0,98,98,3.1,3,7
Linwood Crump,43401,CB,NEW MEX ST,4,0,,0,0,242,69.8,66.3,80.1,59.5,49.2,44.8,100.0,2,2,66,67,0.0,0,0
Jon-Michael Terry,43635,LB,TULSA,4,5,2.3,0,0,320,64.4,60.1,27.6,66.0,56.1,68.5,10.5,2,1,135,136,5.9,8,12
Tyrone Hopper,43714,ED,MISSOURI,4,0,,0,0,229,61.7,55.9,78.6,56.0,55.1,19.4,100.0,2,0,25,25,0.0,0,0
Sione Tupou,44093,LB,TEXAS ST,4,5,2.6,0,0,314,66.6,71.8,80.9,75.3,72.5,89.3,0.0,0,0,86,89,10.5,9,10
Semisi Fakasiieiki,44340,LB,PURDUE,2,0,2.6,0,0,273,51.4,59.7,74.0,63.3,65.0,80.7,0.0,0,0,19,19,21.1,4,5
Antwaine Richardson,49364,S,KENT STATE,4,3,9.5,0,0,201,53.4,59.5,83.2,,77.0,64.0,0.0,0,0,100,102,1.0,1,6
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,3,4,6.4,0,0,174,40.6,54.1,77.9,51.2,69.1,35.3,18.8,3,0,63,64,6.3,4,9
Alden Tofa,51983,ED,BYU,5,2,3.5,0,0,128,61.2,61.1,79.1,63.1,57.3,49.2,20.0,1,0,31,32,3.2,1,2
Earl Tuioti-Mariner,51992,DI,BYU,3,2,0.0,0,0,128,,50.5,76.7,55.2,49.8,74.5,0.0,0,0,43,43,2.3,1,1
Lorenzo Fauatea,52005,DI,BYU,5,3,0.4,1,0,128,,50.1,3.7,54.6,54.0,79.1,0.0,0,2,84,86,4.8,4,5
Penei Pavihi,52079,LB,HAWAII,5,3,6.1,0,0,180,65.2,46.6,17.0,61.4,35.5,50.1,27.8,5,1,146,148,4.1,6,10
Kaleb Hayes,52137,CB,BYU,4,1,6.7,0,0,128,67.5,66.2,0.0,,67.1,77.0,20.0,1,1,90,94,0.0,0,3
Jared Reed,52173,CB,BOISE ST,1,0,,0,0,120,,60.0,61.7,,60.0,,,0,0,1,1,0.0,0,0
George Nyakwol,52203,S,RICE,4,3,8.2,0,0,275,61.7,57.0,80.8,63.8,45.0,31.9,27.3,3,0,60,61,3.3,2,5
Kenneth Orji,52209,ED,RICE,1,0,,0,0,275,60.0,63.1,74.6,54.8,65.8,73.0,,0,0,7,7,0.0,0,0
Trey Schuman,52216,ED,RICE,4,1,0.0,0,0,275,63.0,73.5,80.0,78.1,57.4,48.8,0.0,0,0,38,39,2.6,1,1
Alii Matau,52219,LB,S JOSE ST,3,4,5.9,0,0,285,58.1,59.4,84.2,58.4,60.5,54.1,22.2,4,0,94,95,4.3,4,10
Rico Tolefree,52250,LB,S JOSE ST,3,0,4.0,0,0,285,65.7,63.3,0.0,55.4,69.8,78.6,0.0,0,1,35,35,5.7,2,3
Tre White,52261,S,S JOSE ST,2,1,,0,0,285,59.1,53.3,0.0,,59.2,77.6,0.0,0,1,24,25,0.0,0,0
