player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Caleb Rogers,123157,T,TEXAS TECH,5,1,315,53.6,0,16,273,100.0,100.0,93.0,1,27,11,283,283,38.9,0,12,99,100.0,100.0,87.9,18,6,103,103
Dennis Wilburn,157314,C,TEXAS TECH,5,0,315,49.5,0,18,273,100.0,100.0,96.7,1,18,0,283,283,49.4,0,6,99,100.0,100.0,97.0,6,0,103,103
Monroe Mills,122977,T,TEXAS TECH,5,0,315,68.9,1,13,273,100.0,100.0,97.4,1,14,0,283,283,65.7,1,6,99,100.0,100.0,96.5,7,0,103,103
Mike Katic,101575,G,INDIANA,5,0,190,65.5,2,3,262,100.0,100.0,98.7,0,6,1,278,278,64.6,2,2,95,100.0,100.0,96.8,5,1,102,102
Luke Haggard,129442,T,INDIANA,5,0,190,78.9,3,4,261,99.6,99.6,98.7,0,7,0,277,278,84.6,2,2,94,98.9,99.0,97.9,4,0,101,102
Matt Rosso,81812,T,CHARLOTTE,6,1,136,62.1,0,9,241,100.0,100.0,96.9,4,12,3,266,266,66.0,0,4,78,100.0,100.0,93.6,7,3,86,86
Davis Heinzen,145705,T,C MICHIGAN,5,1,134,46.5,7,10,243,99.6,99.6,95.3,2,20,3,264,265,43.3,5,2,82,100.0,100.0,93.3,9,2,93,93
Jamezz Kimbrough,55052,C,C MICHIGAN,5,0,134,56.7,2,9,243,100.0,100.0,97.7,0,11,0,264,264,47.2,0,6,82,100.0,100.0,96.3,6,0,93,93
Cole Smith,99094,G,MISS STATE,5,0,227,78.6,1,3,254,100.0,100.0,99.2,0,4,0,264,264,57.0,1,2,59,100.0,100.0,97.5,3,0,60,60
Nick Jones,146837,G,MISS STATE,5,0,227,71.3,2,2,254,100.0,100.0,98.0,0,7,3,264,264,55.5,1,0,59,100.0,100.0,94.1,4,3,60,60
Deiyantei Powell-Woods,104183,G,C MICHIGAN,5,0,134,70.7,1,2,242,100.0,100.0,99.0,0,4,1,263,263,56.9,1,2,82,100.0,100.0,97.0,4,1,93,93
LaQuinston Sharp,99095,C,MISS STATE,5,0,227,80.9,0,5,252,100.0,100.0,99.0,0,5,0,262,262,72.1,0,2,57,100.0,100.0,98.2,2,0,58,58
Brayden Swartout,145732,T,C MICHIGAN,5,0,134,40.6,3,10,241,100.0,100.0,95.6,5,17,4,262,262,25.9,2,7,80,100.0,100.0,90.6,12,3,91,91
Ashton Gist,122182,C,CHARLOTTE,6,0,136,67.1,3,3,232,100.0,100.0,98.3,1,7,1,256,256,55.9,2,3,78,100.0,100.0,95.5,6,1,85,85
Logan Langemeier,108708,C,GA SOUTHRN,5,0,174,70.1,2,6,244,100.0,100.0,98.4,0,8,0,254,254,86.0,0,0,42,100.0,100.0,100.0,0,0,43,43
Khalil Crowder,78240,G,GA SOUTHRN,5,1,174,79.4,0,3,244,100.0,100.0,99.4,1,3,0,254,254,49.7,0,1,42,100.0,100.0,98.8,1,0,43,43
Ahofitu Maka,100803,C,UTSA,5,0,331,74.1,0,9,231,100.0,100.0,98.1,0,9,0,249,249,63.8,0,3,62,100.0,100.0,97.6,3,0,72,72
Kameron Jones,81739,T,MISS STATE,5,1,227,71.7,4,6,239,100.0,100.0,97.5,2,11,1,249,249,65.1,2,4,54,100.0,100.0,94.4,6,0,55,55
Venly Tatafu,158830,T,UTSA,5,1,331,54.6,1,10,229,100.0,100.0,97.2,4,12,1,247,247,52.8,0,6,60,100.0,100.0,93.3,7,1,70,70
Damon Kaylor,101573,G,BALL ST,5,0,117,60.9,1,4,234,100.0,100.0,98.9,0,5,0,244,244,62.4,0,2,57,100.0,100.0,98.2,2,0,59,59
Ethan Crowe,130330,C,BALL ST,5,0,117,87.2,1,0,234,100.0,100.0,99.8,2,1,0,244,244,85.2,1,0,57,100.0,100.0,99.1,1,0,59,59
Ethan Wiederkehr,59969,T,NWESTERN,5,0,256,67.6,2,6,231,100.0,100.0,97.8,0,9,1,241,241,66.3,1,4,94,100.0,100.0,97.3,5,0,100,100
Charlie Schmidt,81772,C,NWESTERN,5,0,256,66.2,0,4,231,100.0,100.0,99.1,0,4,0,241,241,48.7,0,3,94,100.0,100.0,98.4,3,0,100,100
Peter Skoronski,129737,T,NWESTERN,5,0,256,91.4,1,1,231,100.0,100.0,99.6,0,2,0,241,241,89.3,1,0,94,100.0,100.0,99.5,1,0,100,100
Josh Priebe,129733,G,NWESTERN,5,0,256,70.9,0,5,231,100.0,100.0,98.5,0,6,1,241,241,53.7,0,5,94,100.0,100.0,96.3,6,1,100,100
Joseph Boggs,77524,T,BALL ST,5,0,117,54.3,0,7,230,100.0,100.0,98.5,0,7,0,240,240,58.2,0,3,54,100.0,100.0,97.2,3,0,56,56
Josh Baker,131560,C,ARIZONA,5,0,109,74.1,1,6,229,100.0,100.0,98.5,0,7,0,238,238,83.8,0,0,93,100.0,100.0,100.0,0,0,95,95
Jordan Morgan,98652,T,ARIZONA,5,0,109,86.6,1,6,229,100.0,100.0,98.5,1,7,0,238,238,82.3,1,4,93,100.0,100.0,97.3,5,0,95,95
Parker Hanna,134811,T,INDIANA,5,1,190,37.7,5,20,225,100.0,100.0,92.7,1,29,4,237,237,30.7,1,12,80,100.0,100.0,88.1,16,3,84,84
Quantavious Leslie,123456,G,W KENTUCKY,5,0,346,88.2,1,2,216,100.0,100.0,98.8,0,4,1,235,235,68.6,1,2,48,100.0,100.0,94.8,4,1,54,54
Rusty Staats,81941,C,W KENTUCKY,5,0,346,70.1,1,2,216,100.0,100.0,98.8,0,4,1,235,235,56.6,0,1,48,100.0,100.0,96.9,2,1,54,54
Mark Goode,123450,T,W KENTUCKY,5,0,346,74.3,0,6,216,100.0,100.0,98.1,2,7,1,235,235,70.7,0,3,48,100.0,100.0,94.8,4,1,54,54
