player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Isaac Cochran,101273,G,AIR FORCE,5,0,101,67.7,100.0,107,43.3,107,79.4,0,100.0,247,247,83.4,100.0,49,19.8,49
Everett Smalley,131512,T,AIR FORCE,5,0,101,68.0,100.0,107,43.3,107,69.1,1,100.0,247,247,62.9,100.0,49,19.8,49
Gabe Blair,145323,G,N TEXAS,6,0,251,63.0,100.0,114,46.5,114,67.0,1,100.0,245,245,68.5,100.0,119,48.6,119
Manase Mose,59950,C,N TEXAS,6,0,251,65.7,100.0,109,46.4,109,70.0,0,100.0,235,235,74.9,100.0,114,48.5,114
Jett Duncan,121886,T,N TEXAS,6,0,251,53.4,100.0,106,46.1,106,54.7,2,100.0,230,230,57.5,100.0,112,48.7,112
Jonny Hassard,128082,T,UMASS,5,0,216,61.0,100.0,157,69.2,157,61.9,0,100.0,227,227,61.4,100.0,62,27.3,62
Cole Garcia,75872,G,UMASS,5,0,216,63.3,100.0,157,69.2,157,64.6,0,100.0,227,227,63.6,100.0,62,27.3,62
Ethan Mottinger,128100,G,UMASS,5,0,216,69.7,100.0,157,69.2,157,68.3,1,100.0,227,227,62.2,100.0,62,27.3,62
Josh Atwood,128073,C,UMASS,5,0,216,67.7,100.0,157,69.2,157,63.4,0,100.0,227,227,55.6,100.0,62,27.3,62
Luke Jones,81780,T,ARKANSAS,5,0,111,57.9,100.0,32,14.5,32,71.6,0,100.0,221,221,69.2,100.0,169,76.5,169
Beaux Limmer,99067,G,ARKANSAS,5,0,111,68.0,100.0,32,14.5,32,89.8,0,100.0,221,221,89.4,100.0,169,76.5,169
Brady Latham,99068,G,ARKANSAS,5,0,111,65.3,100.0,32,14.5,32,70.3,0,100.0,221,221,73.7,100.0,169,76.5,169
Ricky Stromberg,99066,C,ARKANSAS,5,0,111,57.6,100.0,32,14.5,32,78.3,0,100.0,221,221,79.2,100.0,169,76.5,169
Cole Brown,81768,T,N TEXAS,6,0,251,61.9,100.0,105,48.2,105,63.8,0,100.0,218,218,67.5,100.0,101,46.3,101
Jackson Filipowicz,121567,G,ARMY,4,0,114,66.3,100.0,65,30.5,65,75.1,1,100.0,213,213,77.6,100.0,45,21.1,45
Dalton Wagner,58493,T,ARKANSAS,5,0,111,62.5,100.0,29,13.7,29,74.7,0,100.0,212,212,73.7,100.0,164,77.4,164
Joshua Pena,121864,G,NAVY,4,0,237,50.7,100.0,82,39.2,82,61.4,0,100.0,209,209,63.2,100.0,30,14.4,30
Kip Frankland,100901,T,NAVY,4,0,237,66.7,100.0,81,38.9,81,69.3,0,100.0,208,208,61.4,100.0,30,14.4,30
Valentin Senn,100533,T,UCONN,6,0,146,68.8,100.0,75,36.2,75,83.2,0,100.0,207,207,81.3,100.0,110,53.1,110
Connor Finucane,121569,G,ARMY,4,0,114,56.9,100.0,63,30.4,63,73.2,0,100.0,207,207,87.9,100.0,42,20.3,42
Noel Ofori-Nyadu,77430,G,UCONN,6,0,146,60.7,100.0,75,36.2,75,78.3,1,100.0,207,207,85.7,100.0,110,53.1,110
