Squad,DateTime,Win,Cover,Total.Points,Implied,Implied.Score,Opp.Score
Ball St.,12/8/2021 18:30,1300,19,147.5,6.9,NA,NA
Xavier,12/8/2021 18:30,-3000,NA,147.5,93.1,NA,NA
Coppin St.,12/8/2021 18:30,260,7.5,144,26.5,68.3,75.8
George Washington,12/8/2021 18:30,-335,-7.5,144,73.5,75.8,68.3
Chattanooga,12/8/2021 18:30,-320,-8,134.5,72.7,71.3,63.3
UNC Asheville,12/8/2021 18:30,250,8,134.5,27.3,63.3,71.3
Lipscomb,12/8/2021 19:00,650,14.5,150.5,12.8,68,82.5
Miami FL,12/8/2021 19:00,-1000,-14.5,150.5,87.2,82.5,68
Connecticut,12/8/2021 19:00,115,2.5,136.5,44.7,67,69.5
West Virginia,12/8/2021 19:00,-135,-2.5,136.5,55.3,69.5,67
Holy Cross,12/8/2021 19:00,750,14.5,138.5,11.3,62,76.5
Fairfield,12/8/2021 19:00,-1250,-14.5,138.5,88.7,76.5,62
North Florida,12/8/2021 19:00,2200,26.5,139,4.2,56.3,82.8
Florida,12/8/2021 19:00,-6500,-26.5,139,95.8,82.8,56.3
Marist,12/8/2021 19:00,-160,-3.5,130,59.6,NA,NA
Binghamton,12/8/2021 19:00,140,NA,130,40.4,NA,NA
Hofstra,12/8/2021 19:00,-195,-4.5,146,63.7,75.3,70.8
Stony Brook,12/8/2021 19:00,165,4.5,146,36.3,70.8,75.3
Penn,12/8/2021 19:00,155,4.5,145,37.9,70.3,74.8
Saint Joseph's,12/8/2021 19:00,-180,-4.5,145,62.1,74.8,70.3
Loyola MD,12/8/2021 19:00,1100,17.5,133,8,57.8,75.3
St. Bonaventure,12/8/2021 19:00,-2200,-17.5,133,92,75.3,57.8
Jacksonville St.,12/8/2021 19:00,310,8.5,124,23.3,57.8,66.3
VCU,12/8/2021 19:00,-410,-8.5,124,76.7,66.3,57.8
Wagner,12/8/2021 19:00,300,8.5,125.5,23.8,58.5,67
Penn St.,12/8/2021 19:00,-400,-8.5,125.5,76.2,67,58.5
Indiana,12/8/2021 19:00,170,5,132,35.7,63.5,68.5
Wisconsin,12/8/2021 19:00,-200,-5,132,64.3,68.5,63.5
Lafayette,12/8/2021 19:00,600,12.5,140.5,13.7,64,76.5
Delaware,12/8/2021 19:00,-900,-12.5,140.5,86.3,76.5,64
Canisius,12/8/2021 19:00,240,6,140.5,28.1,67.3,73.3
Northern Kentucky,12/8/2021 19:00,-305,-6,140.5,71.9,73.3,67.3
Central Michigan,12/8/2021 19:00,475,10.5,144.5,16.6,67,77.5
Youngstown St.,12/8/2021 19:00,-675,-10.5,144.5,83.4,77.5,67
Niagara,12/8/2021 19:00,100,1,137,47.8,70,69
Eastern Michigan,12/8/2021 19:00,-120,NA,137,52.2,NA,NA
St. Francis NY,12/8/2021 19:00,650,13,132.5,12.8,59.8,72.8
St. Peter's,12/8/2021 19:00,-1000,-13,132.5,87.2,72.8,59.8
UMass Lowell,12/8/2021 19:00,195,5,135,32.4,65,70
Boston University,12/8/2021 19:00,-240,-5,135,67.6,70,65
Alabama A&M,12/8/2021 19:00,280,8.5,132,25.1,61.8,70.3
North Alabama,12/8/2021 19:00,-365,-8.5,132,74.9,70.3,61.8
St. Francis PA,12/8/2021 19:00,-160,-3.5,147,59.6,75.3,71.8
