Team,Roster Strength
Memphis,10.5
UCLA,10.38
Kentucky,9.75
Kansas,9.63
Duke,9.25
Gonzaga,8.88
Texas,8.81
North Carolina,8.5
Alabama,7.88
Indiana,7.75
Michigan,7.69
LSU,7.63
Louisville,7.38
Michigan St.,7.38
Vi llanova,7.25
Tennessee,6.75
TCU,6.44
"Miami, Fl",6
Il linois,5.81
Oregon,5.75
Oklahoma St.,5.5
Arizona St.,5.38
Creighton,5.38
Florida St.,5.25
Notre Dame,5.25
Xavier,5.25
North Carolina St. ,5.07
Marquette,4.94
Baylor,4.63
USC,4.63
Ga. Tech,4.38
Washington,4.25
Ohio St.,4.19
Seton Hall,4.13
Iowa St.,4
Purdue,4
Florida,3.88
Miss St.,3.75
U Conn,3.63
Arkansas,3.5
Boise St.,3.5
Maryland,3.38
Mississippi,3.38
Auburn,3.25
Dayton,3.13
Rhode  Island,3.13
U N LV,3.06
Central Florida,3
Houston,3
Kansas St.,3
Providence,3
Syracuse,3
Texas A& M,2.88
Stanford,2.81
Grand Canyon,2.75
Boston College,2.63
Colorado,2.63
South  Florida,2.63
Wisconsin,2.63
Nebraska,2.56
Western Kentucky,2.5
GW,2.5
Louisiana,2.5
Northwestern,2.44
Clemson,2.25
Georgia,2.13
South Alabama,2.13
UC Santa  Barbara,2.13
Virginia,2.07
Georgetown,2.06
Rutgers,2.01
Hawaii,2
BYU,2
Morgan St.,2
Sam Houston St.,2
San Diego St.,2
UAB,2
Nevada,1.88
Arizona,1.75
North Carolina A&T,1.75
Utah,1.75
Pitt,1.57
Cal Baptist,1.5
Milwaukee,1.5
New Mexico,1.38
SMU,1.38
Texas Tech,1.38
Harvard,1.25
St. Joe's,1.25
De Pau l,1.13
Iowa,1.06
Alabama St.,1
Buffalo,1
Cal,1
Cincinnati,1
Davidson,1
Fresno St.,1
George Mason,1
Georgia Southern,1
Grambling,1
Il linois-Chicago,1
"Loyola, MT",1
MTSU,1
Northern Iowa,1
Oakland,1
Princeton,1
UC San Diego,1
Southern Utah,1
Va lpo,1
Butler,0.96
Tu lane,0.94
Oklahoma,0.88
Temple,0.88
Tu lsa,0.88
Vanderbilt,0.81
LaSa lle,0.75
Missouri,0.75
Montana St.,0.75
Northern Arizona,0.75
South Carolina,0.75
Tennessee St.,0.75
Wake Forest,0.75
long Beach St.,0.63
U Mass,0.63
West Virginia,0.63
Virginia Tech,0.56
Bethune Cookman,0.5
Charlotte,0.5
Drake,0.5
E lon,0.5
FI U,0.5
FGCU,0.5
Hampton,0.5
Jacksonville St.,0.5
"Loyola, I L",0.5
Mercer,0.5
Minnesota,0.5
Penn St.,0.5
Prarie View,0.5
Samford,0.5
St. John's,0.5
St. Mary's,0.5
UTEP,0.5
Washngton St.,0.5
Albany,0.38
Murray St.,0.38
Oral  Roberts,0.38
Oregon St.,0.38
Tennessee Tech,0.38
Wichita St.,0.38
Charleston,0.31
Hofstra,0.31
Kennesaw St.,0.31
