,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Minnesota,2022-01-09 12:00:00,475,95.00,12.0,18.18,131.5,18.18,16.6,59.8,71.8
Indiana,2022-01-09 12:00:00,-675,2.96,-12.0,18.18,131.5,18.18,83.4,71.8,59.8
Quinnipiac,2022-01-09 13:00:00,140,28.00,4.0,17.39,139.0,20.00,40.4,67.5,71.5
Niagara,2022-01-09 13:00:00,-160,12.50,-4.0,19.05,139.0,16.67,59.6,71.5,67.5
IPFW,2022-01-09 13:00:00,-115,17.39,-1.0,19.05,148.0,18.18,51.1,74.5,73.5
Robert Morris,2022-01-09 13:00:00,-105,19.05,1.0,17.39,148.0,18.18,48.9,73.5,74.5
Rider,2022-01-09 14:00:00,290,58.00,7.5,20.00,135.0,18.18,24.5,63.8,71.3
Marist,2022-01-09 14:00:00,-380,5.26,-7.5,16.67,135.0,18.18,75.5,71.3,63.8
Fairfield,2022-01-09 14:00:00,-155,12.90,-3.5,19.05,126.5,18.18,58.8,65.0,61.5
Siena,2022-01-09 14:00:00,135,27.00,3.5,17.39,126.5,18.18,41.2,61.5,65.0
Cleveland State,2022-01-09 14:00:00,-165,12.12,-4.0,20.00,142.5,20.00,60.4,73.3,69.3
Youngstown State,2022-01-09 14:00:00,145,29.00,4.0,16.67,142.5,16.67,39.6,69.3,73.3
Lipscomb,2022-01-09 15:00:00,-180,11.11,-5.5,18.18,156.0,18.18,62.1,80.8,75.3
Central Arkansas,2022-01-09 15:00:00,155,31.00,5.5,18.18,156.0,18.18,37.9,75.3,80.8
Cincinnati,2022-01-09 15:30:00,,,7.0,18.18,143.0,18.18,,68.0,75.0
Memphis,2022-01-09 15:30:00,-320,6.25,-7.0,18.18,143.0,18.18,,75.0,68.0
Hofstra,2022-01-09 16:00:00,-125,16.00,-2.0,18.18,148.0,16.67,53.2,75.0,73.0
James Madison,2022-01-09 16:00:00,105,21.00,2.0,18.18,148.0,20.00,46.8,73.0,75.0
Elon,2022-01-09 16:00:00,400,80.00,9.0,18.18,153.0,18.18,19.1,72.0,81.0
College of Charleston,2022-01-09 16:00:00,-550,3.64,-9.0,18.18,153.0,18.18,80.9,81.0,72.0
Wisconsin-Milwaukee,2022-01-09 16:00:00,450,90.00,12.0,17.39,139.5,18.18,17.4,63.8,75.8
Oakland,2022-01-09 16:00:00,-630,3.17,-12.0,19.05,139.5,18.18,82.6,75.8,63.8
Northeastern,2022-01-09 16:30:00,250,50.00,7.5,17.39,133.0,18.18,27.3,62.8,70.3
Towson,2022-01-09 16:30:00,-320,6.25,-7.5,19.05,133.0,18.18,72.7,70.3,62.8
Washington,2022-01-09 17:00:00,330,66.00,10.0,17.39,137.5,16.67,22.2,63.8,73.8
Colorado,2022-01-09 17:00:00,-435,4.60,-10.0,19.05,137.5,20.00,77.8,73.8,63.8
Northwestern,2022-01-09 17:30:00,,,,,,,,,
Ohio State,2022-01-09 17:30:00,,,,,,,,,
Montana,2022-01-09 19:00:00,120,24.00,3.5,17.39,136.5,18.18,43.8,66.5,70.0
Montana State,2022-01-09 19:00:00,-140,14.29,-3.5,19.05,136.5,18.18,56.2,70.0,66.5
Wisconsin,2022-01-09 19:30:00,-120,16.67,-1.0,18.18,135.0,16.67,52.2,68.0,67.0
Maryland,2022-01-09 19:30:00,100,20.00,1.0,18.18,135.0,20.00,47.8,67.0,68.0
