"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",71.5689,41,70.6494,39,101.504,179,101.302,208,96.459,62,99.3896,108,1.91227,145
"2022","Air Force",63.4071,346,63.0336,344,93.5841,318,95.9107,306,101.815,193,101.968,160,-6.05763,235
"2022","Akron",63.9693,345,62.7137,347,105.218,102,103.393,157,100.388,147,102.822,176,0.571168,157
"2022","Alabama",73.4655,11,71.881,15,109.845,35,116.008,14,102.911,221,96.9068,68,19.1012,19
"2022","Alabama A&M",68.1284,184,66.077,248,86.9917,355,86.508,355,98.782,103,102.961,178,-16.453,332
"2022","Alabama St.",71.0531,61,69.397,77,94.1629,312,94.8709,314,105.541,268,109.504,310,-14.6331,322
"2022","Albany",66.052,289,65.4717,283,93.8425,315,92.927,333,99.217,116,102.028,161,-9.10092,280
"2022","Alcorn St.",67.9103,198,66.6924,213,95.39,297,98.9883,251,104.587,252,107.057,266,-8.06886,266
"2022","American",65.5818,306,64.8135,313,96.5292,278,94.8525,315,110.016,332,112.903,341,-18.0504,340
"2022","Appalachian St.",64.3589,337,63.9281,333,99.6216,225,100.861,212,101.119,167,100.645,128,0.215905,163
"2022","Arizona",73.7397,10,72.8666,8,114.478,8,117.55,9,87.7921,5,87.8533,6,29.6964,2
"2022","Arizona St.",68.5758,155,67.6427,157,91.0561,339,99.2266,247,100.083,138,96.2129,58,3.01371,135
"2022","Arkansas",72.4803,25,71.4435,21,106.741,77,109.405,67,92.6041,21,91.2099,18,18.1949,22
"2022","Arkansas Pine Bluff",68.1734,183,66.5021,227,90.2989,345,94.9905,313,113.806,352,117.637,357,-22.6465,353
"2022","Arkansas St.",68.5922,152,67.8056,149,101.16,184,102.071,190,99.7853,131,102.283,164,-0.212366,170
"2022","Army",69.2666,119,69.1213,89,97.0584,265,95.5385,309,100.687,157,105.297,229,-9.75881,286
"2022","Auburn",71.4111,44,69.8649,64,110.137,33,115.249,16,91.4479,13,89.163,9,26.0864,5
"2022","Austin Peay",65.7667,301,64.8533,311,94.3769,310,95.7675,307,103.603,234,104.868,219,-9.10056,279
"2022","Ball St.",71.7414,39,69.6436,68,103.247,143,102.686,176,107.523,298,109.71,313,-7.0246,251
"2022","Baylor",69.0595,132,67.7842,151,112.683,17,117.936,7,90.3585,10,90.0833,12,27.8528,4
"2022","Bellarmine",64.3308,338,63.2718,342,104.318,122,106.089,108,109.226,320,107.776,278,-1.68694,189
"2022","Belmont",69.9702,89,68.9077,91,111.964,20,111.712,32,96.7645,68,99.1833,106,12.5289,62
"2022","Bethune Cookman",67.2456,237,66.2828,240,89.1473,352,89.7162,351,102.843,219,106.42,256,-16.7041,334
"2022","Binghamton",67.8692,203,67.3956,181,97.7048,255,93.9911,323,102.75,215,105.775,244,-11.7839,302
"2022","Boise St.",65.2088,325,65.1181,302,101.472,182,104.801,129,90.7051,12,89.7873,11,15.0141,40
"2022","Boston College",65.5315,309,65.3683,289,99.3365,230,102.241,186,101.332,173,101.23,144,1.01094,154
"2022","Boston University",65.0531,331,65.1618,299,106.986,72,105.183,123,101.126,169,107.859,282,-2.6767,207
"2022","Bowling Green",74.3064,5,73.331,3,105.949,88,104.468,138,108.899,315,111.609,328,-7.14084,254
"2022","Bradley",67.9944,194,67.6718,154,103.143,147,105.176,124,94.9227,42,96.3378,60,8.83798,88
"2022","Brown",69.1712,122,67.6082,161,99.6672,222,99.5289,240,100.606,156,101.134,143,-1.60522,185
"2022","Bryant",72.1773,32,72.388,12,103.887,130,104.231,141,103.463,232,107.227,271,-2.99577,211
"2022","Bucknell",68.8327,145,68.3775,118,99.4008,228,97.4931,273,112.196,345,115.627,352,-18.1343,341
"2022","Buffalo",72.8125,21,71.4872,20,108.694,45,107.236,89,101.113,166,101.404,149,5.83161,110
