Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Caleb Williams (20074831),Caleb Williams,20074831,QB/S-FLEX,10000,OU@BAY 11/13/2021 12:00PM ET,OU,22.62
RB,Deuce Vaughn (20075182),Deuce Vaughn,20075182,RB/FLEX/S-FLEX,9700,WVU@KSU 11/13/2021 12:00PM ET,KSU,30.28
RB,Breece Hall (20075179),Breece Hall,20075179,RB/FLEX/S-FLEX,9500,ISU@TTU 11/13/2021 03:30PM ET,ISU,29.8
QB,C.J. Stroud (20074835),C.J. Stroud,20074835,QB/S-FLEX,9400,PUR@OSU 11/13/2021 03:30PM ET,OSU,27.06
QB,Spencer Rattler (20074833),Spencer Rattler,20074833,QB/S-FLEX,9200,OU@BAY 11/13/2021 12:00PM ET,OU,18.17
RB,Kenneth Walker III (20075185),Kenneth Walker III,20075185,RB/FLEX/S-FLEX,8900,UMD@MSU 11/13/2021 04:00PM ET,MSU,29.18
WR,Jahan Dotson (20075902),Jahan Dotson,20075902,WR/FLEX/S-FLEX,8800,MICH@PSU 11/13/2021 12:00PM ET,PSU,26.52
QB,Tanner Mordecai (20074839),Tanner Mordecai,20074839,QB/S-FLEX,8700,UCF@SMU 11/13/2021 12:00PM ET,SMU,32.25
QB,Kyle McCord (20074837),Kyle McCord,20074837,QB/S-FLEX,8600,PUR@OSU 11/13/2021 03:30PM ET,OSU,5.86
RB,TreVeyon Henderson (20075188),TreVeyon Henderson,20075188,RB/FLEX/S-FLEX,8500,PUR@OSU 11/13/2021 03:30PM ET,OSU,25.51
QB,Derek Green (20074841),Derek Green,20074841,QB/S-FLEX,8400,UCF@SMU 11/13/2021 12:00PM ET,SMU,0.48
QB,Dillon Gabriel (20074843),Dillon Gabriel,20074843,QB/S-FLEX,8300,UCF@SMU 11/13/2021 12:00PM ET,UCF,35.07
RB,Braelon Allen (20075191),Braelon Allen,20075191,RB/FLEX/S-FLEX,8200,NW@WISC 11/13/2021 12:00PM ET,WISC,16.71
QB,Tyler Van Dyke (20074845),Tyler Van Dyke,20074845,QB/S-FLEX,8000,MIA@FSU 11/13/2021 03:30PM ET,MIA,21.73
WR,Charleston Rambo (20075905),Charleston Rambo,20075905,WR/FLEX/S-FLEX,8000,MIA@FSU 11/13/2021 03:30PM ET,MIA,20.61
RB,Jaylan Knighton (20075194),Jaylan Knighton,20075194,RB/FLEX/S-FLEX,7900,MIA@FSU 11/13/2021 03:30PM ET,MIA,23.96
WR,Jaxon Smith-Njigba (20075908),Jaxon Smith-Njigba,20075908,WR/FLEX/S-FLEX,7800,PUR@OSU 11/13/2021 03:30PM ET,OSU,19.09
QB,Peyton Matocha (20074847),Peyton Matocha,20074847,QB/S-FLEX,7700,MIA@FSU 11/13/2021 03:30PM ET,MIA,1.3
RB,Kennedy Brooks (20075197),Kennedy Brooks,20075197,RB/FLEX/S-FLEX,7700,OU@BAY 11/13/2021 12:00PM ET,OU,16.19
WR,Makai Polk (20075911),Makai Polk,20075911,WR/FLEX/S-FLEX,7600,MSST@AUB 11/13/2021 12:00PM ET,MSST,20.89
QB,Stetson Bennett (20074849),Stetson Bennett,20074849,QB/S-FLEX,7500,UGA@TENN 11/13/2021 03:30PM ET,UGA,15.97
RB,Hassan Haskins (20075200),Hassan Haskins,20075200,RB/FLEX/S-FLEX,7500,MICH@PSU 11/13/2021 12:00PM ET,MICH,19.03
QB,Will Rogers (20074851),Will Rogers,20074851,QB/S-FLEX,7400,MSST@AUB 11/13/2021 12:00PM ET,MSST,26.13
WR,Xavier Hutchinson (20075914),Xavier Hutchinson,20075914,WR/FLEX/S-FLEX,7400,ISU@TTU 11/13/2021 03:30PM ET,ISU,18.93
QB,JT Daniels (20074853),JT Daniels,20074853,QB/S-FLEX,7300,UGA@TENN 11/13/2021 03:30PM ET,UGA,12.12
