School,Abbrev,Conf,Rotowire
ABILENE CH,ACU,Southland,Abilene Christian
AIR FORCE,AFA,MWC,Air Force
AKRON,AKR,MAC,Akron
ALABAMA,BAMA,SEC,Alabama
ALAB A&M,AAMU,SWAC,Alabama A&M
ALABAMA ST,ALST,SWAC,Alabama State
ALBANY,ALBY,CAA,Albany
ALCORN ST,ALCN,SWAC,Alcorn State
APP STATE,APP,SBC,Appalachian State
ARIZONA,ARIZ,P12,Arizona
ARIZONA ST,ASU,P12,Arizona State
ARKANSAS,ARK,SEC,Arkansas
ARK STATE,ARST,SBC,Arkansas State
ARKAPB,ARPB,SWAC,Arkansas-Pine Bluff
ARMY,ARMY,IND,Army
AUBURN,AUB,SEC,Auburn
AUSTINPEAY,PEAY,OVC,Austin Peay
BALL ST,BALL,MAC,Ball State
BAYLOR,BAY,B12,Baylor
BETHUNE-COOKMAN,COOK,MEAC,Bethune-Cookman
BOISE ST,BSU,MWC,Boise State
BOSTON COL,BC,ACC,Boston College
BOWL GREEN,BGSU,MAC,Bowling Green
BROWN,BRWN,Ivy,Brown
BRYANT,BRY,NEC,Bryant
BUCKNELL,BUCK,Patriot,Bucknell
BUFFALO,BUFF,MAC,Buffalo
BUTLER,BUT,Pioneer,Butler
BYU,BYU,IND,BYU
CAL,CAL,P12,CAL
CAL POLY,CP,Big Sky,Cal Poly
CAMPBELL,CAMP,Pioneer,Campbell
CENT ARK,UCA,Southland,Central Arkansas
CENTRAL CONNECTICUT,CCSU,NEC,Central Connecticut
C MICHIGAN,CMU,MAC,Central Michigan
CHARLES SO,CHSO,Big South,Charleston Southern
CHARLOTTE,CHAR,CUSA,Charlotte
CHATTNOOGA,CHAT,SoCon,Chattanooga
CINCINNATI,CINCY,AAC,Cincinnati
CLEMSON,CLEM,ACC,Clemson
COAST CAR,CCAR,Big South,Coastal Carolina
COLGATE,COLG,Patriot,Colgate
COLORADO,COL,P12,Colorado
COLO STATE,CSU,MWC,Colorado State
COLUMBIA,CLMB,Ivy,Columbia
CORNELL,COR,Ivy,Cornell
DARTMOUTH,DART,Ivy,Dartmouth
DAVIDSON,DAV,Pioneer,Davidson
DAYTON,DAY,Pioneer,Dayton
DELAWARE,DEL,CAA,Delaware
DELWARE ST,DSU,MEAC,Delaware State
DRAKE,DRKE,Pioneer,Drake
DUKE,DUKE,ACC,Duke
DUQUESNE,DUQ,NEC,Duquesne
EASTERN ILLINOIS,EIU,OVC,Eastern Illinois
EASTERN KENTUCKY,EKY,OVC,Eastern Kentucky
E MICHIGAN,EMU,MAC,Eastern Michigan
EASTERN WASHINGTON,EWU,Big Sky,Eastern Washington
ECU,ECU,AAC,ECU
ELON,ELON,CAA,Elon
ETSU,ETSU,SoCon,ETSU
FAU,FAU,CUSA,FAU
FIU,FIU,CUSA,Florida International
FLORIDA,UF,SEC,Florida
FL A&M,FAMU,MEAC,Florida A&M
FLORIDA ST,FSU,ACC,Florida State
FORDHAM,FOR,Patriot,Fordham
FRESNO ST,FRES,MWC,Fresno State
FURMAN,FUR,SoCon,Furman
GARDNER-WEBB,WEBB,Big South,Gardner-Webb
GEORGETOWN,GTWN,Patriot,Georgetown
GEORGIA,UGA,SEC,Georgia
GA SOUTHERN,GASO,SBC,Georgia Southern
GA ST,GAST,SBC,Georgia State
GA TECH,GT,ACC,Georgia Tech
GRAMBLING ST,GRAM,SWAC,Grambling State
HAMPTON,HAMP,MEAC,Hampton
HARVARD,HARV,Ivy,Harvard
HAWAII,HAW,MWC,Hawaii
HOLY CROSS,HC,Patriot,Holy Cross
HOUSTON,HOU,AAC,Houston
HOUSTON BAPTIST,HBU,Southland,Houston Baptist
HOWARD,HOW,MEAC,Howard
IDAHO,IDHO,SBC,Idaho
IDAHO ST,IDST,Big Sky,Idaho State
ILLINOIS,IL,B1G,Illinois
ILLINOIS ST,ILST,MVFC,Illinois State
INCARNATE WORD,IW,Southland,Incarnate Word
INDIANA,IU,B1G,Indiana
INDIANA ST,INST,MVFC,Indiana State
IOWA,IOWA,B1G,Iowa
