,Win,,Tournament Finish,,,,Make Cut,,,,Win Round,,,,,
Golfer,Win,$20 Bet,Top 5,$20 Bet,Top 20,$20 Bet,Yes,$20 Bet,No,$20 Bet,Rd 1,$20 Bet,Rd 2,$20 Bet,Rd 3,$20 Bet
Jon Rahm,750,150,180,36,-115,17.39,,,,,2000,400,,,,
Justin Thomas,1200,240,255,51,140,28,,,,,2800,560,,,,
Patrick Cantlay,1600,320,290,58,150,30,,,,,3000,600,,,,
Viktor Hovland,1600,320,380,76,230,46,,,,,2800,560,,,,
Hideki Matsuyama,1700,340,360,72,195,39,,,,,2800,560,,,,
Jordan Spieth,2000,400,400,80,200,40,,,,,2800,560,,,,
Xander Schauffele,2200,440,475,95,220,44,,,,,3000,600,,,,
Scottie Scheffler,2500,500,550,110,260,52,,,,,3300,660,,,,
Daniel Berger,2700,540,475,95,225,45,,,,,4000,800,,,,
Brooks Koepka,3000,600,800,160,290,58,,,,,3300,660,,,,
Sam Burns,3400,680,750,150,360,72,,,,,4000,800,,,,
Tony Finau,4000,800,1300,260,360,72,,,,,4000,800,,,,
Webb Simpson,4000,800,1100,220,360,72,,,,,4000,800,,,,
Russell Henley,4100,820,700,140,360,72,,,,,6000,"1,200.00",,,,
Louis Oosthuizen,4100,820,700,140,390,78,,,,,4000,800,,,,
Bubba Watson,4100,820,750,150,360,72,,,,,4000,800,,,,
Seamus Power,4500,900,1200,240,390,78,,,,,6000,"1,200.00",,,,
Corey Conners,5000,"1,000.00",800,160,470,94,,,,,6000,"1,200.00",,,,
Matt Fitzpatrick,5000,"1,000.00",1000,200,550,110,,,,,4000,800,,,,
Harold Varner III,5000,"1,000.00",1200,240,550,110,,,,,6000,"1,200.00",,,,
Talor Gooch,5500,"1,100.00",900,180,500,100,,,,,5000,"1,000.00",,,,
Adam Scott,5500,"1,100.00",1000,200,600,120,,,,,5000,"1,000.00",,,,
Luke List,6000,"1,200.00",1000,200,650,130,,,,,6000,"1,200.00",,,,
Abraham Ancer,6600,"1,320.00",1100,220,600,120,,,,,5000,"1,000.00",,,,
Harris English,6600,"1,320.00",1600,320,950,190,,,,,6000,"1,200.00",,,,
Tom Hoge,6600,"1,320.00",1100,220,525,105,,,,,6000,"1,200.00",,,,
Billy Horschel,6600,"1,320.00",1000,200,490,98,,,,,6600,"1,320.00",,,,
Max Homa,7500,"1,500.00",1200,240,575,115,,,,,7500,"1,500.00",,,,
Rickie Fowler,8000,"1,600.00",1400,280,700,140,,,,,6600,"1,320.00",,,,
Keith Mitchell,8000,"1,600.00",1700,340,600,120,,,,,6600,"1,320.00",,,,
Aaron Wise,8000,"1,600.00",1300,260,650,130,,,,,10000,"2,000.00",,,,
Si Woo Kim,10000,"2,000.00",1500,300,850,170,,,,,8000,"1,600.00",,,,
Matt Kuchar,10000,"2,000.00",1600,320,1000,200,,,,,7500,"1,500.00",,,,
Francesco Molinari,10000,"2,000.00",2000,400,1000,200,,,,,7500,"1,500.00",,,,
Pat Perez,10000,"2,000.00",1800,360,950,190,,,,,6600,"1,320.00",,,,
Andrew Putnam,10000,"2,000.00",1500,300,700,140,,,,,8000,"1,600.00",,,,
Gary Woodland,10000,"2,000.00",1700,340,850,170,,,,,7500,"1,500.00",,,,
Charley Hoffman,12000,"2,400.00",2400,480,900,180,,,,,10000,"2,000.00",,,,
Denny McCarthy,12000,"2,400.00",1900,380,750,150,,,,,10000,"2,000.00",,,,
Mito Pereira,12500,"2,500.00",1800,360,1000,200,,,,,8000,"1,600.00",,,,
Keegan Bradley,13000,"2,600.00",1800,360,1200,240,,,,,8000,"1,600.00",,,,
Joel Dahmen,13000,"2,600.00",2000,400,850,170,,,,,8000,"1,600.00",,,,
Cameron Davis,13000,"2,600.00",2000,400,900,180,,,,,8000,"1,600.00",,,,
Adam Hadwin,13000,"2,600.00",1800,360,900,180,,,,,8000,"1,600.00",,,,
Charles Howell III,13000,"2,600.00",2400,480,800,160,,,,,8000,"1,600.00",,,,
Kevin Kisner,13000,"2,600.00",2300,460,1400,280,,,,,8000,"1,600.00",,,,
Kyoung-Hoon Lee,13000,"2,600.00",2000,400,950,190,,,,,8000,"1,600.00",,,,
Troy Merritt,13000,"2,600.00",2100,420,950,190,,,,,8000,"1,600.00",,,,
Alex Noren,13000,"2,600.00",2400,480,1200,240,,,,,10000,"2,000.00",,,,
Brendon Todd,13000,"2,600.00",2300,460,1800,360,,,,,10000,"2,000.00",,,,
Wyndham Clark,15000,"3,000.00",2800,560,1200,240,,,,,10000,"2,000.00",,,,
Dylan Frittelli,15000,"3,000.00",2800,560,1300,260,,,,,10000,"2,000.00",,,,
Branden Grace,15000,"3,000.00",2300,460,900,180,,,,,6000,"1,200.00",,,,
Brian Harman,15000,"3,000.00",2300,460,1100,220,,,,,10000,"2,000.00",,,,
Lucas Herbert,15000,"3,000.00",2300,460,1400,280,,,,,7500,"1,500.00",,,,
Beau Hossler,15000,"3,000.00",2500,500,1400,280,,,,,10000,"2,000.00",,,,
Zach Johnson,15000,"3,000.00",2500,500,1700,340,,,,,10000,"2,000.00",,,,
Russell Knox,15000,"3,000.00",2100,420,1100,220,,,,,10000,"2,000.00",,,,
Martin Laird,15000,"3,000.00",2300,460,1200,240,,,,,10000,"2,000.00",,,,
Nate Lashley,15000,"3,000.00",2500,500,1300,260,,,,,10000,"2,000.00",,,,
Carlos Ortiz,15000,"3,000.00",2200,440,1200,240,,,,,10000,"2,000.00",,,,
Patrick Rodgers,15000,"3,000.00",2500,500,1400,280,,,,,10000,"2,000.00",,,,
Brandt Snedeker,15000,"3,000.00",2800,560,1300,260,,,,,10000,"2,000.00",,,,
Brendan Steele,15000,"3,000.00",2800,560,1600,320,,,,,6600,"1,320.00",,,,
Nick Taylor,15000,"3,000.00",2500,500,1700,340,,,,,10000,"2,000.00",,,,
Michael Thompson,15000,"3,000.00",2500,500,1700,340,,,,,10000,"2,000.00",,,,
Matt Wallace,15000,"3,000.00",2500,500,1600,320,,,,,10000,"2,000.00",,,,
Stewart Cink,20000,"4,000.00",2800,560,1700,340,,,,,10000,"2,000.00",,,,
Doug Ghim,20000,"4,000.00",2800,560,1200,240,,,,,10000,"2,000.00",,,,
Emiliano Grillo,20000,"4,000.00",2800,560,1400,280,,,,,10000,"2,000.00",,,,
Matt Jones,20000,"4,000.00",2500,500,1300,260,,,,,10000,"2,000.00",,,,
Chris Kirk,20000,"4,000.00",2500,500,1200,240,,,,,10000,"2,000.00",,,,
Patton Kizzire,20000,"4,000.00",2800,560,1200,240,,,,,10000,"2,000.00",,,,
Matthew NeSmith,20000,"4,000.00",2800,560,1400,280,,,,,10000,"2,000.00",,,,
Chez Reavie,20000,"4,000.00",2800,560,1200,240,,,,,10000,"2,000.00",,,,
Kevin Streelman,20000,"4,000.00",2500,500,1600,320,,,,,10000,"2,000.00",,,,
Hudson Swafford,20000,"4,000.00",2900,580,1500,300,,,,,10000,"2,000.00",,,,
Sahith Theegala,20000,"4,000.00",3000,600,1300,260,,,,,8000,"1,600.00",,,,
James Hahn,21000,"4,200.00",3300,660,1400,280,,,,,10000,"2,000.00",,,,
Adam Long,21000,"4,200.00",3300,660,1800,360,,,,,10000,"2,000.00",,,,
Sebastian Munoz,24000,"4,800.00",3000,600,1400,280,,,,,10000,"2,000.00",,,,
Joseph Bramlett,25000,"5,000.00",3000,600,1500,300,,,,,10000,"2,000.00",,,,
Jonathan Byrd,25000,"5,000.00",5500,"1,100.00",3000,600,,,,,15000,"3,000.00",,,,
Lucas Glover,25000,"5,000.00",2800,560,1700,340,,,,,10000,"2,000.00",,,,
Garrick Higgo,25000,"5,000.00",3300,660,1600,320,,,,,10000,"2,000.00",,,,
Scott Piercy,25000,"5,000.00",4000,800,1800,360,,,,,10000,"2,000.00",,,,
J.T. Poston,25000,"5,000.00",3700,740,1800,360,,,,,10000,"2,000.00",,,,
Scott Stallings,25000,"5,000.00",3300,660,1500,300,,,,,10000,"2,000.00",,,,
Sepp Straka,25000,"5,000.00",4000,800,1800,360,,,,,10000,"2,000.00",,,,
C.T. Pan,27000,"5,400.00",3600,720,1800,360,,,,,10000,"2,000.00",,,,
Kramer Hickok,30000,"6,000.00",3300,660,1600,320,,,,,10000,"2,000.00",,,,
Harry Higgs,30000,"6,000.00",4000,800,2100,420,,,,,10000,"2,000.00",,,,
Henrik Norlander,30000,"6,000.00",4000,800,2100,420,,,,,10000,"2,000.00",,,,
Kyle Stanley,30000,"6,000.00",4000,800,2100,420,,,,,15000,"3,000.00",,,,
Austin Eckroat,32000,"6,400.00",4000,800,2200,440,,,,,15000,"3,000.00",,,,
Hank Lebioda,32000,"6,400.00",4000,800,2000,400,,,,,15000,"3,000.00",,,,
Danny Lee,32000,"6,400.00",3300,660,1700,340,,,,,10000,"2,000.00",,,,
Adam Schenk,32000,"6,400.00",4000,800,2300,460,,,,,10000,"2,000.00",,,,
Roger Sloan,32000,"6,400.00",4000,800,2100,420,,,,,15000,"3,000.00",,,,
Robert Streb,32000,"6,400.00",4000,800,2000,400,,,,,10000,"2,000.00",,,,
Stephan Jaeger,35000,"7,000.00",4000,800,2200,440,,,,,10000,"2,000.00",,,,
Peter Malnati,35000,"7,000.00",4000,800,2200,440,,,,,10000,"2,000.00",,,,
Brandon Hagy,40000,"8,000.00",6000,"1,200.00",2700,540,,,,,15000,"3,000.00",,,,
Sung Kang,40000,"8,000.00",5000,"1,000.00",2800,560,,,,,10000,"2,000.00",,,,
Ryan Moore,40000,"8,000.00",4000,800,2000,400,,,,,10000,"2,000.00",,,,
Sam Ryder,40000,"8,000.00",5000,"1,000.00",2500,500,,,,,15000,"3,000.00",,,,
Rory Sabbatini,40000,"8,000.00",4100,820,2300,460,,,,,15000,"3,000.00",,,,
Kevin Tway,40000,"8,000.00",5000,"1,000.00",2500,500,,,,,15000,"3,000.00",,,,
Jason Dufner,42000,"8,400.00",6000,"1,200.00",2500,500,,,,,15000,"3,000.00",,,,
Tyler Duncan,42000,"8,400.00",5000,"1,000.00",2300,460,,,,,15000,"3,000.00",,,,
