"","Name","ID","Salary","AvgPointsPerGame","Win","Win_rank"
"1","Sam Ryder",21259308,6100,56.05,0.0025,106
"2","Jon Rahm",21259197,11600,97.75,0.1176,1
"3","Jonathan Byrd",21272894,6200,57.92,0.004,86
"4","Danny Lee",21259283,6400,66.08,0.0031,98
"5","Justin Thomas",21259198,11000,111.58,0.0769,2
"6","Seamus Power",21259214,8400,89.45,0.0217,17
"7","",127569094,49700,478.83,0.2258,310
"1","Matt Wallace",21259279,6500,62.08,0.0066,59
"2","Brandt Snedeker",21259276,6500,50.45,0.0066,59
"3","Jon Rahm",21259197,11600,97.75,0.1176,1
"4","Justin Thomas",21259198,11000,111.58,0.0769,2
"5","Kramer Hickok",21259286,6400,51.89,0.0033,92
"6","Francesco Molinari",21259249,7000,60.4,0.0099,34
"7","",127555485,49000,434.15,0.2209,247
"1","Jon Rahm",21259197,11600,97.75,0.1176,1
"2","Rory Sabbatini",21259292,6300,58.94,0.0025,106
"3","Wesley Bryan",21259301,6200,62.83,0.002,122
"4","Patrick Rodgers",21259271,6600,65.94,0.0066,59
"5","Justin Thomas",21259198,11000,111.58,0.0769,2
"6","Beau Hossler",21259264,6700,56.3,0.0066,59
"7","",127555523,48400,453.34,0.2122,349
"1","Sebastian Munoz",21259275,6500,62.9,0.0041,81
"2","Brice Garnett",21259309,6100,42.33,0.002,122
"3","Sepp Straka",21259282,6400,54.33,0.004,86
"4","Jon Rahm",21259197,11600,97.75,0.1176,1
"5","Nate Lashley",21259263,6700,59.56,0.0066,59
"6","Justin Thomas",21259198,11000,111.58,0.0769,2
"7","",127555524,48300,428.45,0.2112,351
"1","Max Homa",21259225,7600,73.33,0.0132,28
"2","Sung Kang",21259315,6000,56.54,0.0025,106
"3","Craig Hocknull",21259325,6000,0,0.001,131
"4","Jon Rahm",21259197,11600,97.75,0.1176,1
"5","Viktor Hovland",21259201,10200,110.62,0.0588,4
"6","Tom Hoge",21259217,8100,76.58,0.0149,26
"7","",127555480,49500,414.82,0.208,296
"1","Jon Rahm",21259197,11600,97.75,0.1176,1
"2","Adam Schenk",21259294,6300,57.56,0.0031,98
"3","Adam Scott",21259213,8500,80.58,0.0179,22
"4","Seung-Yul Noh",21259319,6000,50.07,0.002,122
"5","Viktor Hovland",21259201,10200,110.62,0.0588,4
"6","Brandt Snedeker",21259276,6500,50.45,0.0066,59
"7","",127555500,49100,447.03,0.206,306
"1","Russell Henley",21259216,8200,94.5,0.0238,15
"2","Andrew Putnam",21259228,7500,71.1,0.0099,34
"3","Jordan Spieth",21259202,9900,80.7,0.0476,6
"4","C.T. Pan",21259287,6400,68.69,0.0037,90
"5","Jon Rahm",21259197,11600,97.75,0.1176,1
"6","Ryan Moore",21259288,6300,46,0.0025,106
"7","",127555418,49900,458.74,0.2051,252
"1","Patrick Cantlay",21259199,10700,117.33,0.0588,4
"2","Gary Woodland",21259233,7300,56.5,0.0099,34
"3","Jon Rahm",21259197,11600,97.75,0.1176,1
"4","Max Homa",21259225,7600,73.33,0.0132,28
"5","Anirban Lahiri",21259305,6100,52.67,0.0024,112
"6","Brandon Hagy",21259318,6000,49.75,0.0025,106
"7","",127555477,49300,447.33,0.2044,285
"1","Anirban Lahiri",21259305,6100,52.67,0.0024,112
"2","Matt Kuchar",21259231,7400,79.92,0.0099,34
"3","Jon Rahm",21259197,11600,97.75,0.1176,1
"4","Kevin Kisner",21259230,7400,69.25,0.0076,46
"5","Adam Hadwin",21259251,6900,67.5,0.0076,46
"6","Viktor Hovland",21259201,10200,110.62,0.0588,4
"7","",127555415,49600,477.71,0.2039,243
"1","Brian Stuard",21259302,6200,42.77,0.0024,112
"2","Charles Howell III",21259238,7200,72.08,0.0076,46
"3","Rickie Fowler",21259226,7600,64.17,0.0123,30
"4","Jon Rahm",21259197,11600,97.75,0.1176,1
"5","Viktor Hovland",21259201,10200,110.62,0.0588,4
"6","Chris Kirk",21259252,6900,66.19,0.005,73
"7","",127555416,49700,453.58,0.2037,266
"1","Keith Mitchell",21259229,7500,71.61,0.0123,30
"2","Kyle Stanley",21259284,6400,43.11,0.0033,92
"3","Martin Laird",21259259,6800,64.1,0.0066,59
"4","Jon Rahm",21259197,11600,97.75,0.1176,1
"5","Sahith Theegala",21259266,6700,64.65,0.005,73
"6","Patrick Cantlay",21259199,10700,117.33,0.0588,4
"7","",127555434,49700,458.55,0.2036,259
"1","Jon Rahm",21259197,11600,97.75,0.1176,1
"2","Keith Mitchell",21259229,7500,71.61,0.0123,30
"3","Hideki Matsuyama",21259200,10400,100.88,0.0556,5
"4","Lucas Glover",21259255,6900,74.06,0.004,86
"5","Sepp Straka",21259282,6400,54.33,0.004,86
"6","Pat Perez",21259242,7100,51.31,0.0099,34
"7","",127555405,49900,449.94,0.2034,242
"1","Hideki Matsuyama",21259200,10400,100.88,0.0556,5
"2","Etienne Papineau",21272897,6000,0,0.001,131
"3","Seamus Power",21259214,8400,89.45,0.0217,17
"4","Jon Rahm",21259197,11600,97.75,0.1176,1
"5","Anirban Lahiri",21259305,6100,52.67,0.0024,112
"6","Doug Ghim",21259272,6600,65.81,0.005,73
"7","",127569085,49100,406.56,0.2033,339
"1","Adam Hadwin",21259251,6900,67.5,0.0076,46
"2","Viktor Hovland",21259201,10200,110.62,0.0588,4
"3","Jon Rahm",21259197,11600,97.75,0.1176,1
"4","Kelly Kraft",21259320,6000,39.67,0.002,122
"5","Abraham Ancer",21259219,7900,78.25,0.0149,26
"6","Jason Dufner",21259312,6100,46.9,0.0024,112
"7","",127555500,48700,440.69,0.2033,311
"1","Kevin Tway",21259317,6000,55.7,0.0025,106
"2","Xander Schauffele",21259203,9700,97.75,0.0435,7
"3","Billy Horschel",21259220,7900,90.75,0.0149,26
"4","Brian Gay",21259316,6000,48.89,0.002,122
"5","Jon Rahm",21259197,11600,97.75,0.1176,1
"6","Seamus Power",21259214,8400,89.45,0.0217,17
"7","",127555467,49600,480.29,0.2022,279
"1","Ben Silverman",21272895,6000,22,0.002,122
"2","Daniel Berger",21259206,9200,110,0.0357,9
"3","Jon Rahm",21259197,11600,97.75,0.1176,1
"4","Robert Streb",21259291,6300,58.67,0.0031,98
"5","Hudson Swafford",21259253,6900,66.45,0.005,73
"6","Scottie Scheffler",21259207,9100,90,0.0385,8
"7","",127569049,49100,444.87,0.2019,311
"1","Viktor Hovland",21259201,10200,110.62,0.0588,4
"2","Chris Kirk",21259252,6900,66.19,0.005,73
"3","Andrew Putnam",21259228,7500,71.1,0.0099,34
"4","Chesson Hadley",21259304,6200,45.5,0.0024,112
"5","Jon Rahm",21259197,11600,97.75,0.1176,1
"6","Alex Noren",21259243,7100,62.57,0.0076,46
"7","",127555425,49500,453.73,0.2013,270
"1","Tom Hoge",21259217,8100,76.58,0.0149,26
"2","Jon Rahm",21259197,11600,97.75,0.1176,1
"3","Adam Long",21259285,6400,61.15,0.0047,80
"4","Patrick Cantlay",21259199,10700,117.33,0.0588,4
"5","Kevin Chappell",21259313,6100,46.21,0.002,122
"6","Austin Eckroat",21259303,6200,56,0.0031,98
"7","",127555514,49100,455.02,0.2011,331
