"","Name","ID","Salary","AvgPointsPerGame","Win","Win_rank"
"1","Beau Hossler",21867437,7000,53.15,0.0079,50
"2","Rory McIlroy",21867382,11200,95.44,0.1111,1
"3","Nick Watney",21867514,6200,52.3,0.0033,109
"4","Min Woo Lee",21867438,6900,39.38,0.0066,62
"5","Michael Gligic",21867556,6100,51.1,0.002,127
"6","Jordan Spieth",21867384,10600,69.25,0.0667,2
"7","",131204711,48000,360.62,0.1976,351
"1","Keegan Bradley",21867392,9200,66.71,0.0244,12
"2","Dylan Frittelli",21867427,7200,51.77,0.0099,38
"3","Danny Lee",21867444,6800,59.64,0.0057,68
"4","Rory McIlroy",21867382,11200,95.44,0.1111,1
"5","Branden Grace",21867439,6900,46.64,0.0079,50
"6","Luke List",21867398,8500,64.38,0.0179,16
"7","",131204482,49800,384.58,0.1769,185
"1","Rory McIlroy",21867382,11200,95.44,0.1111,1
"2","Luke List",21867398,8500,64.38,0.0179,16
"3","Gary Woodland",21867391,9300,59.46,0.0294,8
"4","C.T. Pan",21867425,7200,62.65,0.0079,50
"5","Adam Long",21867460,6600,56.67,0.0057,68
"6","Michael Gligic",21867556,6100,51.1,0.002,127
"7","",131204612,48900,389.7,0.174,270
"1","Matt Jones",21867433,7000,58.11,0.0099,38
"2","Taylor Moore",21867436,7000,53.58,0.0079,50
"3","Gary Woodland",21867391,9300,59.46,0.0294,8
"4","Seth Reeves",21867564,6000,49.12,0.002,127
"5","Rory McIlroy",21867382,11200,95.44,0.1111,1
"6","Richard Bland",21867426,7200,64,0.0079,50
"7","",131204632,47700,379.71,0.1682,274
"1","Rory McIlroy",21867382,11200,95.44,0.1111,1
"2","Dylan Frittelli",21867427,7200,51.77,0.0099,38
"3","Bill Haas",21867534,6200,51.66,0.0033,109
"4","Matt Kuchar",21867408,7800,66.75,0.011,32
"5","Luke List",21867398,8500,64.38,0.0179,16
"6","Robert Streb",21867480,6400,52.29,0.005,80
"7","",131204629,47300,382.29,0.1582,276
"1","Rory McIlroy",21867382,11200,95.44,0.1111,1
"2","Denny McCarthy",21867414,7500,66.03,0.0123,28
"3","Bronson Burgoon",21867558,6000,43.62,0.002,127
