player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1496,,,G,Scottie Scheffler,72.02,10.2,,91.5,32,0,0,11000,,35127,1496
2024,,,G,Max Homa,63.31,13.9,,84.5,28,0,0,7100,,36137,2024
693781,,,G,Matthew Wolff,37.69,1.2,,65.5,21,0,0,6500,,777097,693781
762740,,,G,James Piot,32.48,0.06,,57.5,19,0,0,6000,,3384211,762740
1870,,,G,Daniel Berger,76.02,10.8,,94,60,0,0,9000,,34742,1870
1760,,,G,Tom Hoge,57.77,9.8,,81,26,0,0,6700,,34888,1760
300102,,,G,Collin Morikawa,74.16,9.7,,92.5,52,0,0,10200,,36083,300102
1551,,,G,Jose Maria Olazabal,29.81,0.2,,51,18,0,0,6100,,36597,1551
1860,,,G,Corey Conners,68.04,26.3,,87.575,29.5,0,0,7600,,37123,1860
2125,,,G,Tony Finau,64.09,8,,85.5,28,0,0,8100,,34873,2125
2158,,,G,Lucas Glover,49.06,1.2,,75.075,24,0,0,6400,,34876,2158
1641,,,G,Larry Mize,28.12,0.1,,38.5,17,0,0,6100,,34796,1641
1356,,,G,Tyrrell Hatton,74.22,7.7,,93,53.5,0,0,8000,,35279,1356
2049,,,G,Zach Johnson,42.41,0.45,,69,22,0,0,6400,,34772,2049
670464,,,G,Robert Macintyre,63.27,10.4,,84.5,27.5,0,0,7000,,1156742,670464
1005,,,G,Stewart Cink,42.96,1.6,,70,22.5,0,0,6400,,34863,1005
1049,,,G,Kevin Na,48.22,4.9,,74,23.5,0,0,6800,,34798,1049
1654,,,G,Russell Henley,65.24,17.3,,86,28.5,0,0,7800,,34884,1654
1566,,,G,Sandy Lyle,28.34,0.07,,38.5,17,0,0,6100,,34789,1566
510218,,,G,Cameron Champ,42.43,1.3,,70.075,22.5,0,0,6600,,37122,510218
1149,,,G,Dustin Johnson,74.36,10.6,,93,48.35,0,0,10500,,34771,1149
670620,,,G,Sungjae Im,72.07,7.2,,91,32.5,0,0,8400,,382250,670620
762910,,,G,Aaron Jarvis,,0,,,,0,0,6000,,3436947,762910
1600,,,G,Harris English,52.34,1.8,,78,25,0,0,6700,,34758,1600
696569,,,G,Cameron Young,61.11,9.7,,83.5,27,0,0,7000,,1074862,696569
1579,,,G,Will Zalatoris,68.59,15.5,,88.5,30,0,0,9200,,35055,1579
670533,,,G,Garrick Higgo,48.64,0.64,,75,24,0,0,6300,,2879219,670533
1931,,,G,Hideki Matsuyama,66.43,3.3,,87,29,0,0,9300,,34791,1931
330678,,,G,Cameron Davis,50.2,0.62,,76.5,24.5,0,0,6500,,36131,330678
1701,,,G,Justin Thomas,81.41,19.4,,99,65,0,0,10300,,34818,1701
1437,,,G,Bernhard Langer,27.83,1.8,,38,17,0,0,6100,,34783,1437
690049,,,G,Viktor Hovland,75.65,11.4,,94,58,0,0,10100,,658704,690049
190,,,G,Harold Varner III,58.49,2.2,,82,26,0,0,6600,,34947,190
693416,,,G,Takumi Kanaya,45.09,0.71,,71.5,22.5,0,0,6000,,748254,693416
1813,,,G,Francesco Molinari,44.79,0.82,,71.575,23,0,0,6900,,34915,1813
1725,,,G,Billy Horschel,61.35,10.2,,83.5,27,0,0,7400,,34768,1725
1406,,,G,Hudson Swafford,41.33,0.88,,69.5,22,0,0,6300,,34940,1406
1417,,,G,Brooks Koepka,63.33,14.5,,85,27.5,0,0,9400,,34779,1417
185304,,,G,Seamus Power,62.56,5.2,,84,27.5,0,0,7200,,35404,185304
693648,,,G,Min Woo Lee,49.41,0.36,,75.5,24,0,0,6500,,2667551,693648
1716,,,G,Vijay Singh,32.48,0.15,,57.5,19,0,0,6000,,34809,1716
171,,,G,Jordan Spieth,63.23,9.9,,85,27.5,0,0,9800,,34812,171
1859,,,G,Paul Casey,68.56,11.4,,88.075,29.5,0,0,7600,,34747,1859
193,,,G,Charl Schwartzel,36.99,1.1,,64.5,20.5,0,0,6200,,34806,193
1408,,,G,Patrick Cantlay,77.3,11.1,,95,60,0,0,9500,,36297,1408
680,,,G,Jon Rahm,82.58,20.7,,100,66,0,0,10800,,35126,680
350,,,G,Thomas Pieters,61.2,8.3,,84,27,0,0,6600,,35299,350
780,,,G,Sergio Garcia,65.22,5,,86,28.5,0,0,7800,,34761,780
762909,,,G,Austin Greaser,,0,,,,0,0,6000,,3436948,762909
142,,,G,Marc Leishman,55.38,12.3,,79.5,25.5,0,0,7300,,34785,142
395,,,G,Shane Lowry,72.19,12.5,,91,34,0,0,8800,,34788,395
297,,,G,Padraig Harrington,55.76,0.39,,80,25.5,0,0,6200,,34974,297
782,,,G,Patrick Reed,50.17,7.4,,76.5,24,0,0,7400,,34803,782
463,,,G,Rory McIlroy,72.09,15.9,,91.5,31.5,0,0,10000,,34793,463
