"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"1","Jon Rahm",22311713,11300,81.44,0.1776,0.1751,1,-0.0025,96.12,32.5,134,72.5,15.5,1,3.31,26.55,60
"2","Tony Finau",22311714,10400,62.5,0.0425,0.0433,2,0.000799999999999995,73.7,18.4,90.5,55.5,4.16,1,-2.36,-1.8,15
"3","Abraham Ancer",22311715,10300,66.85,0.0438,0.0433,2,-5e-04,67.66,19.2,86,30,4.2,1,-1.84,0.799999999999999,20
"4","Kevin Na",22311716,10100,61.12,0.0268,0.0265,9,-0.000300000000000002,54.97,8.8,78,24.93,2.62,1,-2.54,-2.7,5
"5","Patrick Reed",22311717,10000,64.9,0.0232,0.0263,10,0.0031,54.64,6.1,77,25,2.63,1,-2.13,-0.649999999999999,5
"6","Gary Woodland",22311718,9900,58.27,0.0417,0.0421,4,0.000399999999999998,67.72,23.5,86.08,29,4.25,1,-0.14,8.6,30
"7","Sebastian Munoz",22311719,9800,65.68,0.0299,0.0294,7,-5e-04,63.31,15.4,83.5,27.5,3,1,-1.04,4.8,20
"8","Cameron Tringale",22311720,9700,68.63,0.027,0.0266,8,-0.000400000000000001,65,9.3,84.5,28,2.74,1,-0.98,0.199999999999999,10
"9","Chris Kirk",22311721,9600,65.21,0.0315,0.0311,6,-0.000400000000000001,74.68,16.1,92,58,3.24,1,-0.19,8.1,25
"10","Aaron Wise",22311722,9500,65.85,0.0323,0.0328,5,5e-04,66.2,21.7,86,28.5,3.45,1,0.28,12.8,35
"11","Cameron Champ",22311723,9400,48.78,0.0216,0.0216,11,0,48,11.6,73,23.5,2.3,1,-0.63,3.7,15
"12","Brendon Todd",22311724,9300,56.77,0.0117,0.0117,29,0,53.55,3.8,76,25,1.26,1,-1.45,2.75,5
"13","Russell Knox",22311725,9200,61.82,0.0181,0.0177,15,-0.000400000000000001,61.71,5.7,81,27,1.92,1,-0.6,4,10
"14","Kevin Streelman",22311726,9100,56.16,0.0172,0.0168,18,-0.000400000000000001,66.11,7.5,84.5,28.5,1.85,1,-0.51,4.9,10
"15","Matt Jones",22311727,9000,61.03,0.0184,0.0181,13,-0.000299999999999998,61.89,9.5,82,26.5,2.01,1,-0.21,7.9,15
"16","Doug Ghim",22311728,8900,55.7,0.0174,0.017,17,-0.000399999999999998,59.89,6.3,80,26.43,1.91,1,-0.2,8,15
"17","Sahith Theegala",22311729,8800,64.39,0.0136,0.0136,24,0,57.67,10.6,79.5,26,1.55,1,-0.47,5.3,15
"18","Aaron Rai",22311730,8700,56.72,0.0165,0.0163,20,-0.000200000000000002,58.1,8.4,79.5,26,1.87,1,-0.07,9.3,20
"19","Carlos Ortiz",22311731,8600,58.93,0.0138,0.0137,22,-9.99999999999994e-05,55.82,6.5,78.5,25.43,1.59,1,-0.29,7.1,15
"20","Davis Riley",22311732,8500,59.06,0.0172,0.0172,16,0,54.69,8.6,78,24.5,2.02,1,0.2,12,20
"21","Charles Howell III",22311733,8400,58.96,0.0186,0.0183,12,-0.000299999999999998,64.56,6.8,83.5,28,2.18,1,0.4,14,20
"22","Lanto Griffin",22311734,8300,62.63,0.0138,0.0136,24,-0.000200000000000001,59.15,5.6,80.5,26,1.64,1,-0.09,9.1,15
"23","Taylor Moore",22311735,8200,51.46,0.0136,0.0134,26,-0.000199999999999999,53.73,6.1,77,25,1.63,1,-0.06,9.4,15
"24","C.T. Pan",22311736,8100,62.83,0.0151,0.0148,21,-3e-04,59.45,8.4,80.5,26,1.83,1,0.18,11.8,20
"25","Mark Hubbard",22311737,8000,72.12,0.0166,0.0163,20,-0.000300000000000002,55.98,11.4,79,25,2.04,1,0.43,14.3,25
"26","Chad Ramey",22311738,7900,59.94,0.0101,0.0101,37,0,48.17,9.2,73.5,23,1.28,1,-0.29,7.1,15
"27","Anirban Lahiri",22311739,7900,51.94,0.0112,0.0112,32,0,52.21,7,75.5,24.5,1.42,1,-0.15,8.5,15
"28","Adam Long",22311740,7800,58.29,0.0181,0.018,14,-0.000100000000000003,52.52,10.1,75.5,24.5,2.31,1,0.79,17.9,30
"29","Austin Smotherman",22311741,7800,53.25,0.0104,0.0104,33,0,52.19,11.7,75.5,24,1.33,1,-0.19,8.1,20
"30","Scott Stallings",22311742,7700,55.79,0.012,0.012,27,0,55.97,14.2,77,25,1.56,1,0.09,10.9,25
"31","David Lipsky",22311743,7700,50.69,0.0084,0.0084,43,0,54.94,7.9,77,25,1.09,1,-0.38,6.2,15
"32","Patrick Rodgers",22311744,7600,52.37,0.0102,0.0102,35,0,54.27,3.5,77.5,25,1.34,1,-0.07,9.3,15
"33","Wyndham Clark",22311745,7600,55.88,0.0136,0.0136,24,0,43.86,8.6,69.5,22.5,1.79,1,0.38,13.8,20
"34","J.T. Poston",22311746,7500,46.38,0.012,0.0118,28,-0.000200000000000001,48.41,5,73.5,23.5,1.57,1,0.22,12.2,15
"35","Pat Perez",22311747,7500,51.7,0.0112,0.0112,32,0,55.87,4.7,77.5,25.5,1.49,1,0.14,11.4,15
"36","Nate Lashley",22311748,7500,57.47,0.0079,0.0079,48,0,52.69,7.9,76,24.5,1.05,1,-0.3,7,15
"37","Alex Smalley",22311750,7400,57.03,0.0118,0.0116,30,-0.000200000000000001,54.43,10.9,77,25,1.57,1,0.3,13,25
"38","Rafa Cabrera Bello",22311751,7400,55.7,0.0051,0.0051,73,0,43.82,1.4,70,22,0.69,1,-0.58,4.2,5
"39","Brandon Wu",22311752,7300,47.89,0.0066,0.0066,56,0,42.84,3.5,69,22,0.9,1,-0.29,7.1,10
"40","Adam Svensson",22311753,7300,54.94,0.0101,0.0101,37,0,55.73,9.4,78,25,1.38,1,0.19,11.9,20
"41","Greyson Sigg",22311754,7300,61.22,0.0101,0.0101,37,0,53.16,7.5,76,24.5,1.38,1,0.19,11.9,20
"42","Brian Stuard",22311755,7300,50.32,0.0056,0.0056,68,0,50.81,3.2,74,24,0.77,1,-0.42,5.8,10
"43","Emiliano Grillo",22311756,7200,47.22,0.0076,0.0076,50,0,57.17,2.3,78.5,25.5,1.06,1,-0.05,9.5,10
"44","Tyler Duncan",22311757,7200,58.57,0.0098,0.0098,40,0,51.84,9.3,75.5,24.5,1.36,1,0.25,12.5,20
"45","Scott Piercy",22311758,7200,49,0.0065,0.0065,59,0,48.76,1.9,73.5,23.5,0.9,1,-0.21,7.9,10
"46","Michael Thompson",22311759,7200,58.1,0.0082,0.0082,44,0,53.99,4.9,77,24.93,1.14,1,0.03,10.3,15
"47","Kramer Hickok",22311760,7200,50.56,0.009,0.009,42,0,53.09,3,76,24.5,1.25,1,0.14,11.4,15
"48","Graeme McDowell",22311761,7100,48.54,0.0065,0.0065,59,0,37.35,7.3,63.5,20.5,0.92,1,-0.11,8.9,15
"49","Kurt Kitayama",22311762,7100,48.08,0.0066,0.0066,56,0,51.42,3.7,75.5,24,0.93,1,-0.1,9,15
"50","Nick Taylor",22311763,7100,56.25,0.0082,0.0082,44,0,54.46,6.8,76.5,24.93,1.15,1,0.12,11.2,20
"51","Danny Lee",22311764,7100,52,0.0093,0.0093,41,0,48.93,4.6,74,23.5,1.31,1,0.28,12.8,15
"52","Chase Seiffert",22311765,7100,61.43,0.0078,0.0078,49,0,56.66,9.1,78,25.5,1.1,1,0.07,10.7,20
"53","Joseph Bramlett",22311766,7100,51.26,0.0081,0.0081,46,0,53.99,7.2,78,24.5,1.14,1,0.11,11.1,20
"54","Peter Uihlein",22311768,7000,60.54,0.0058,0.0058,66,0,46.86,9.3,72,23,0.83,1,-0.12,8.8,20
"55","Andrew Putnam",22311769,7000,56.06,0.0103,0.0103,34,0,50.66,3.4,74.5,24,1.47,1,0.52,15.2,20
"56","John Huh",22311770,7000,56.96,0.006,0.006,62,0,50.78,0.85,74.5,23.5,0.86,1,-0.09,9.1,10
"57","Matt Wallace",22311771,7000,41.25,0.0053,0.0053,70,0,44.26,0.8,70,22,0.76,1,-0.19,8.1,10
"58","Robert Streb",22311772,7000,51.34,0.0075,0.0075,52,0,47.91,7.4,72.5,23,1.07,1,0.12,11.2,20
"59","Kiradech Aphibarnrat",22311773,6900,48.96,0.0061,0.0061,61,0,39.95,2.4,66.58,21.5,0.88,1,0.02,10.2,15
"60","Ben Martin",22311774,6900,52.5,0.0026,0.0026,98,0,50.33,0.76,74.5,24,0.38,1,-0.48,5.2,5
"61","Peter Malnati",22311775,6900,56.08,0.0079,0.0079,48,0,45.08,3.7,70.5,22.5,1.14,1,0.28,12.8,15
"62","Adam Schenk",22311776,6900,45.19,0.0053,0.0053,70,0,50.38,4.5,74,24,0.77,1,-0.09,9.1,15
"63","Ryan Armour",22311777,6900,50.39,0.0074,0.0074,54,0,58.3,1.5,79,25.5,1.07,1,0.21,12.1,15
"64","Lee Hodges",22311778,6900,53.19,0.0067,0.0067,55,0,52.25,3.1,75.5,24.43,0.97,1,0.11,11.1,15
"65","Vaughn Taylor",22311779,6900,56.17,0.0059,0.0059,64,0,49.79,2,73.58,23.5,0.86,1,0,10,10
"66","Hayden Buckley",22311781,6800,53.94,0.005,0.005,74,0,51.46,2.4,75.58,24,0.74,1,-0.04,9.6,10
"67","Luke Donald",22311782,6800,51.75,0.0053,0.0053,70,0,48.5,0.54,72.5,23.5,0.78,1,0,10,10
"68","Justin Lower",22311783,6800,55.85,0.0041,0.0041,84,0,35.42,2.2,62,20,0.6,1,-0.18,8.2,10
"69","James Hahn",22311784,6800,40.58,0.0074,0.0074,54,0,51.1,2.6,74.5,24,1.09,1,0.31,13.1,15
"70","Trey Mullinax",22311785,6800,47.73,0.0046,0.0046,78,0,50.16,3.2,74.5,23.5,0.68,1,-0.1,9,10
