"","G","G","G","G","G","G"
"1",22420069,22420084,22420087,22420096,22420105,22420120
"2",22420069,22420087,22420091,22420095,22420096,22420105
"3",22420069,22420087,22420091,22420096,22420098,22420105
"4",22420072,22420077,22420087,22420096,22420098,22420105
"5",22420072,22420077,22420084,22420096,22420098,22420120
"6",22420072,22420077,22420084,22420096,22420098,22420122
"7",22420072,22420077,22420087,22420091,22420095,22420120
"8",22420072,22420077,22420084,22420087,22420111,22420127
"9",22420072,22420080,22420083,22420091,22420098,22420111
"10",22420072,22420080,22420090,22420091,22420095,22420098
"11",22420076,22420082,22420083,22420086,22420091,22420100
"12",22420076,22420082,22420083,22420086,22420090,22420100
"13",22420076,22420082,22420083,22420086,22420092,22420100
"14",22420070,22420082,22420083,22420092,22420100,22420122
"15",22420070,22420082,22420083,22420092,22420101,22420122
"16",22420070,22420082,22420086,22420093,22420101,22420111
"17",22420070,22420078,22420081,22420111,22420112,22420127
"18",22420075,22420078,22420081,22420093,22420101,22420112
"19",22420075,22420078,22420081,22420093,22420101,22420110
"20",22420071,22420078,22420081,22420093,22420118,22420127
