"","Name","ID","Salary","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"1","Rory McIlroy",22420069,11500,0.1031,0.0943,-0.0088,-0.0854,1,-6.69,0.15
"2","Tony Finau",22420070,10600,0.0418,0.039,-0.0028,-0.067,3,3.42,0.2
"3","Abraham Ancer",22420071,10400,0.0311,0.0329,0.0018,0.0579,5,12.47,0.05
"4","Corey Conners",22420072,10100,0.0494,0.0503,0.000899999999999998,0.0182,2,12.35,0.35
"5","Tyrrell Hatton",22420074,9900,0.0295,0.0271,-0.0024,-0.0814,8,4.34,0
"6","Marc Leishman",22420075,9700,0.0293,0.0274,-0.0019,-0.0648,7,5.56,0.1
"7","Keegan Bradley",22420076,9600,0.0422,0.032,-0.0102,-0.2417,6,-10.03,0.15
"8","Russell Henley",22420077,9300,0.0388,0.0362,-0.0026,-0.067,4,5.29,0.25
"9","Gary Woodland",22420078,9100,0.0229,0.0256,0.0027,0.1179,11,15.31,0.2
"10","Patrick Reed",22420079,9000,0.0143,0.0146,3e-04,0.021,25,9.55,0
"11","Paul Casey",22420080,8800,0.0282,0.0258,-0.0024,-0.0851,10,5.33,0.1
"12","Sergio Garcia",22420081,8700,0.0249,0.0229,-0.002,-0.0803,13,5.96,0.2
"13","Max Homa",22420082,8600,0.0219,0.0231,0.0012,0.0548,12,12.43,0.3
"14","Si Woo Kim",22420083,8400,0.0179,0.0216,0.0037,0.2067,15,17.86,0.3
"15","Seamus Power",22420084,8300,0.029,0.0266,-0.0024,-0.0828,9,5.83,0.2
"16","Jason Day",22420085,8200,0.0118,0.014,0.0022,0.1864,28,14.26,0
"17","Webb Simpson",22420086,8100,0.0178,0.0187,0.000900000000000001,0.0506,17,11.86,0.2
"18","Cameron Young",22420087,8000,0.021,0.0223,0.0013,0.0619,14,13.1,0.3
"19","Matt Kuchar",22420088,7900,0.0143,0.0142,-9.99999999999994e-05,-0.007,27,9.61,0
"20","Aaron Rai",22420089,7900,0.012,0.0129,9e-04,0.075,30,11.54,0
"21","Jhonattan Vegas",22420090,7800,0.0173,0.0166,-0.000699999999999999,-0.0405,21,8.76,0.1
"22","Keith Mitchell",22420091,7800,0.0206,0.0198,-0.000799999999999999,-0.0388,16,8.87,0.3
"23","Doug Ghim",22420092,7800,0.016,0.0163,0.000299999999999998,0.0187,22,10.72,0.15
"24","Brian Harman",22420093,7700,0.0162,0.0149,-0.0013,-0.0802,24,7.56,0.2
"25","Matt Jones",22420094,7700,0.0094,0.0087,-0.000700000000000001,-0.0745,43,8.15,0
"26","Kevin Streelman",22420095,7700,0.0185,0.017,-0.0015,-0.0811,19,7.37,0.15
"27","Sepp Straka",22420096,7600,0.0163,0.018,0.0017,0.1043,18,14.03,0.3
"28","Matthew NeSmith",22420097,7600,0.0111,0.0123,0.0012,0.1081,31,12.47,0
"29","Joel Dahmen",22420098,7600,0.0163,0.0168,5e-04,0.0307,20,11.41,0.3
"30","Lanto Griffin",22420099,7600,0.0087,0.0081,-6e-04,-0.069,45,8.39,0
"31","Troy Merritt",22420100,7500,0.0154,0.0144,-0.001,-0.0649,26,8.33,0.2
"32","C.T. Pan",22420101,7500,0.0142,0.0134,-8e-04,-0.0563,29,8.63,0.2
"33","Brandon Wu",22420102,7500,0.0085,0.0107,0.0022,0.2588,33,14.99,0
"34","David Lipsky",22420103,7500,0.0081,0.0103,0.0022,0.2716,36,15.02,0
"35","Anirban Lahiri",22420104,7400,0.0086,0.0093,0.000699999999999999,0.0814,39,11.38,0
"36","Adam Long",22420105,7400,0.0153,0.0155,0.000200000000000001,0.0131,23,10.93,0.2
"37","Francesco Molinari",22420106,7400,0.0061,0.0057,-4e-04,-0.0656,63,8.79,0
"38","Rickie Fowler",22420107,7400,0.0075,0.007,-5e-04,-0.0667,50,8.72,0
"39","Brendan Steele",22420108,7300,0.0083,0.0091,8e-04,0.0964,40,11.7,0
"40","Dylan Frittelli",22420109,7300,0.0064,0.006,-4e-04,-0.0625,59,8.92,0
"41","Alex Smalley",22420110,7300,0.0083,0.01,0.0017,0.2048,37,13.92,0.05
"42","Russell Knox",22420111,7300,0.0104,0.0122,0.0018,0.1731,32,14.22,0.2
"43","Denny McCarthy",22420112,7300,0.0114,0.0106,-8e-04,-0.0702,34,8.61,0.1
"44","Matthias Schwab",22420113,7200,0.0073,0.0068,-5e-04,-0.0685,52,8.92,0
"45","Cameron Davis",22420114,7200,0.0079,0.0075,-0.000400000000000001,-0.0506,47,9.17,0
"46","Lucas Glover",22420115,7200,0.0083,0.0091,8e-04,0.0964,40,11.81,0
"47","Kurt Kitayama",22420116,7200,0.0028,0.0038,0.001,0.3571,78,12.84,0
