bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,12.24,2022-05-05 00:37,10091,10.08,2022-05-02 16:25,5,"McIlroy, Rory",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,18.87,2022-05-05 00:37,17576,20.03,2022-05-02 16:25,T21,"Conners, Corey",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,19.45,2022-05-05 00:37,17646,18.84,2022-05-02 16:25,T2,"Fitzpatrick, Matthew",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,26.4,2022-05-05 00:37,14578,26.38,2022-05-02 16:25,T41,"Henley, Russell",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,26.62,2022-05-05 00:37,11676,24.5,2022-05-02 16:25,T41,"Finau, Tony",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,29.13,2022-05-05 00:37,18238,32.86,2022-05-02 16:25,T56,"Ancer, Abraham",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,32.42,2022-05-05 00:37,13872,29.35,2022-05-02 16:25,T2,"Bradley, Keegan",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,36.97,2022-05-05 00:37,14796,34.62,2022-05-02 16:25,T37,"Hatton, Tyrrell",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,37.79,2022-05-05 00:37,7649,34.9,2022-05-02 16:25,CUT,"Leishman, Marc",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,37.91,2022-05-05 00:37,12577,43.04,2022-05-02 16:25,CUT,"Woodland, Gary",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,38.92,2022-05-05 00:37,10104,35.2,2022-05-02 16:25,CUT,"Power, Seamus",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,40.69,2022-05-05 00:37,26651,45.28,2022-05-02 16:25,T2,"Young, Cameron",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,41.98,2022-05-05 00:37,14609,56.95,2022-05-02 16:25,T37,"Kim, Si Woo",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,42.3,2022-05-05 00:37,5689,41.06,2022-05-02 16:25,T21,"Garcia, Sergio",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
1,paid in full,42.67,2022-05-05 00:37,17538,46.66,2022-05-02 16:25,1,"Homa, Max",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,51.72,2022-05-05 00:37,17511,58.52,2022-05-02 16:25,CUT,"Straka, Sepp",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,52.31,2022-05-05 00:37,17365,47.25,2022-05-02 16:25,CUT,"Mitchell, Keith",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,52.97,2022-05-05 00:37,11049,56.02,2022-05-02 16:25,CUT,"Simpson, Webb",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,59.58,2022-05-05 00:37,14509,62.57,2022-05-02 16:25,T51,"Dahmen, Joel",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,61.14,2022-05-05 00:37,8480,55.24,2022-05-02 16:25,CUT,"Streelman, Kevin",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,62.22,2022-05-05 00:37,6169,70.48,2022-05-02 16:25,T49,"Kuchar, Matt",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,62.3,2022-05-05 00:37,13508,59.1,2022-05-02 16:25,T15,"Vegas, Jhonattan",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
