player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Scheffler, Scottie",150,+1035,+1023,-0.011
"Thomas, Justin",150,+1264,+1161,-0.075
"Matsuyama, Hideki",150,+2339,+2654,0.129
"Schauffele, Xander",150,+2721,+2352,-0.131
"Zalatoris, Will",150,+2830,+2219,-0.209
"Johnson, Dustin",150,+2846,+2386,-0.156
"Burns, Sam",150,+2930,+1893,-0.342
"Power, Seamus",150,+3617,+2829,-0.212
"Niemann, Joaquin",150,+3666,+2792,-0.232
"Wise, Aaron",150,+4503,+4537,0.007
"Spieth, Jordan",150,+4679,+2466,-0.463
"Kim, Si Woo",150,+5002,+5834,0.163
"Gooch, Talor",150,+5136,+4200,-0.179
"Fleetwood, Tommy",150,+5689,+4289,-0.242
"Watson, Bubba",150,+5844,+6742,0.151
"McNealy, Maverick",150,+6054,+4721,-0.217
"Munoz, Sebastian",150,+6300,+6066,-0.037
"Noren, Alex",150,+6657,+4725,-0.286
"Mitchell, Keith",150,+6980,+6841,-0.020
"Day, Jason",150,+7349,+5116,-0.300
"Hadwin, Adam",150,+7548,+5294,-0.295
"Straka, Sepp",150,+7667,+6681,-0.127
"Vegas, Jhonattan",150,+7884,+5105,-0.348
"Kokrak, Jason",150,+7965,+6550,-0.175
"Pereira, Mito",150,+8521,+8685,0.019
"Hoge, Tom",150,+8691,+7736,-0.109
"Kizzire, Patton",150,+9585,+7372,-0.229
"Scott, Adam",150,+9728,+6995,-0.278
"Pan, C.T.",150,+10078,+9941,-0.013
"Griffin, Lanto",150,+10236,+9008,-0.119
"List, Luke",150,+10371,+10301,-0.007
"Leishman, Marc",150,+10595,+6461,-0.387
"Howell III, Charles",150,+10624,+10034,-0.055
"Spaun, J.J.",150,+11562,+12088,0.045
"NeSmith, Matthew",150,+11876,+12204,0.027
"Lee, Kyounghoon",150,+14084,+8895,-0.366
"Hughes, Mackenzie",150,+14135,+12692,-0.101
"Bezuidenhout, Christiaan",150,+14288,+13267,-0.071
"Kisner, Kevin",150,+14606,+14062,-0.037
"Frittelli, Dylan",150,+14994,+14996,0.000
"Rai, Aaron",150,+16361,+9627,-0.409
"Hubbard, Mark",150,+16498,+9481,-0.423
"Kuchar, Matt",150,+16567,+11699,-0.292
"Champ, Cameron",150,+19604,+5146,-0.734
"Stallings, Scott",150,+20205,+11205,-0.443
"Taylor, Nick",150,+21064,+22354,0.061
"Lipsky, David",150,+21290,+19249,-0.095
"Theegala, Sahith",150,+22757,+12666,-0.441
"Ortiz, Carlos",150,+23292,+19124,-0.178
"Willett, Danny",150,+23996,+22004,-0.083
"Poulter, Ian",150,+24142,+18299,-0.241
"Rodgers, Patrick",150,+25541,+18957,-0.257
"Higgs, Harry",150,+25874,+21464,-0.170
"Armour, Ryan",150,+26746,,0.00
"Todd, Brendon",150,+28069,+23009,-0.180
"Grace, Branden",150,+28269,+32139,0.136
"Kitayama, Kurt",150,+28269,+11031,-0.608
"Putnam, Andrew",150,+28269,+18714,-0.337
"Sigg, Greyson",150,+28886,+17582,-0.390
"Jaeger, Stephan",150,+29097,+17789,-0.387
"Riley, Davis",150,+29530,+6879,-0.764
"Palmer, Ryan",150,+29751,+14861,-0.499
"Moore, Taylor",150,+30203,+26717,-0.115
"Swafford, Hudson",150,+30908,+23114,-0.251
"Schwab, Matthias",150,+32687,+16261,-0.501
"Uihlein, Peter",150,+32687,,0.00
"Schenk, Adam",150,+32958,+29192,-0.114
"Bramlett, Joseph",150,+32958,+25170,-0.236
"Hickok, Kramer",150,+34383,+33278,-0.032
"Lashley, Nate",150,+34383,+29995,-0.127
"Hahn, James",150,+34383,,0.00
"Streb, Robert",150,+36937,+36943,0.000
"Piercy, Scott",150,+37283,,0.00
"Sabbatini, Rory",150,+37636,+22004,-0.414
"Malnati, Peter",150,+38735,+30387,-0.215
"Seiffert, Chase",150,+38735,,0.00
"Laird, Martin",150,+39504,+38488,-0.026
"Svensson, Adam",150,+41137,+35678,-0.132
"Molinari, Francesco",150,+42005,+33499,-0.202
"Wu, Brandon",150,+43378,,0.00
"Duncan, Tyler",150,+43378,+36739,-0.153
"Clark, Wyndham",150,+43378,+26694,-0.384
"Perez, Pat",150,+43378,+29012,-0.330
"Stenson, Henrik",150,+44344,+27096,-0.388
"Whaley, Vincent",150,+44844,,0.00
"Grillo, Emiliano",150,+44844,+34045,-0.240
"Ryder, Sam",150,+45877,+45459,-0.009
"Huh, John",150,+45877,,0.00
"Westwood, Lee",150,+45877,+28419,-0.380
"Lebioda, Hank",150,+46412,+26324,-0.432
"Hodges, Lee",150,+49283,,0.00
"Redman, Doc",150,+50533,+24462,-0.515
"Novak, Andrew",150,+51182,+36739,-0.282
"Kim, Joohyung",150,+52532,,0.00
"Smotherman, Austin",150,+54695,,0.00
"Stuard, Brian",150,+59601,+37479,-0.371
"Donald, Luke",150,+60506,+48199,-0.203
"Thompson, Michael",150,+60506,+46437,-0.232
"Buckley, Hayden",150,+60506,+41421,-0.315
"Lower, Justin",150,+62400,,0.00
"Taylor, Vaughn",150,+64416,,0.00
"Schwartzel, Charl",150,+64416,+34816,-0.459
"Sloan, Roger",150,+66567,,0.00
"Snedeker, Brandt",150,+67697,+40084,-0.407
"Mullinax, Trey",150,+72627,+48064,-0.338
"Wolff, Matthew",150,+72627,+8571,-0.881
"Reavie, Chez",150,+75372,+36200,-0.519
"Kohles, Ben",150,+75372,+49022,-0.349
"Tway, Kevin",150,+75372,+42008,-0.442
"Wu, Dylan",150,+75372,,0.00
"Tarren, Callum",150,+76823,,0.00
"Hoffman, Charley",150,+81533,+47830,-0.413
"Hossler, Beau",150,+81533,,0.00
"Norris, Shaun",150,+83233,+43842,-0.473
"Hagy, Brandon",150,+86857,,0.00
"Percy, Cameron",150,+90809,,0.00
"Garnett, Brice",150,+90809,,0.00
"Barjon, Paul",150,+90809,+50097,-0.448
"Kodaira, Satoshi",150,+90809,,0.00
"Bryan, Wesley",150,+92923,,0.00
"Aphibarnrat, Kiradech",150,+95138,,0.00
"Haas, Bill",150,+97461,,0.00
"Gutschewski, Scott",150,+105163,,0.00
"Gligic, Michael",150,+105163,,0.00
"Norlander, Henrik",150,+105163,,0.00
"Wolfe, Jared",150,+128932,,0.00
