player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Rahm, Jon",150,+1482,+1428,-0.034
"Scheffler, Scottie",150,+1700,+1274,-0.237
"McIlroy, Rory",150,+1895,+1732,-0.082
"Thomas, Justin",150,+2216,+1862,-0.153
"Cantlay, Patrick",150,+2236,+2205,-0.013
"Matsuyama, Hideki",150,+3250,+3111,-0.042
"Morikawa, Collin",150,+3427,+2397,-0.292
"Schauffele, Xander",150,+3556,+2999,-0.152
"Fitzpatrick, Matthew",150,+3802,+4165,0.093
"Lowry, Shane",150,+3802,+3719,-0.021
"Smith, Cameron",150,+3806,+2659,-0.294
"Hovland, Viktor",150,+4456,+3022,-0.315
"Zalatoris, Will",150,+5009,+4601,-0.080
"Conners, Corey",150,+5402,+5579,0.032
"Johnson, Dustin",150,+6073,+3165,-0.471
"Spieth, Jordan",150,+6131,+2088,-0.649
"Oosthuizen, Louis",150,+6808,+7693,0.128
"Burns, Sam",150,+6980,+5987,-0.140
"Niemann, Joaquin",150,+7094,+5425,-0.232
"Bradley, Keegan",150,+7667,+8768,0.142
"Finau, Tony",150,+7997,+7022,-0.120
"Young, Cameron",150,+8130,+9097,0.117
"Berger, Daniel",150,+8577,+7455,-0.129
"Henley, Russell",150,+8653,+9898,0.142
"Koepka, Brooks",150,+9053,+5903,-0.344
"Power, Seamus",150,+9246,+9599,0.038
"Homa, Max",150,+9539,+7815,-0.179
"Munoz, Sebastian",150,+10130,+9495,-0.062
"Garcia, Sergio",150,+10538,+11050,0.048
"Hatton, Tyrrell",150,+10859,+8608,-0.205
"Horschel, Billy",150,+11329,+9257,-0.181
"Wise, Aaron",150,+11394,+9702,-0.147
"Kokrak, Jason",150,+11427,+9286,-0.186
"Fleetwood, Tommy",150,+11528,+9393,-0.184
"Gooch, Talor",150,+11562,+11459,-0.009
"Varner III, Harold",150,+11665,+11195,-0.040
"McNealy, Maverick",150,+12284,+12299,0.001
"Kim, Si Woo",150,+13189,+14414,0.092
"Scott, Adam",150,+13414,+11050,-0.175
"Pereira, Mito",150,+13693,+11338,-0.171
"Hoge, Tom",150,+14715,+12299,-0.163
"Van Rooyen, Erik",150,+15109,+12650,-0.162
"Noren, Alex",150,+16227,+11338,-0.299
"Day, Jason",150,+16994,+11735,-0.308
"Griffin, Lanto",150,+17141,+16130,-0.059
"Woods, Tiger",150,+17757,+12139,-0.315
"Harman, Brian",150,+18505,+16130,-0.128
