player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1496,,,G,Scottie Scheffler,65.86,11.2,95.3,86.5,27.5,0,0,11400,,35127,1496
1166,,,G,Rich Beem,29.86,0.02,,53,17.5,0,0,6200,,35331,1166
2024,,,G,Max Homa,52.84,15.2,,76,23.5,0,0,8100,,36137,2024
2046,,,G,Jason Dufner,38.96,0.09,34.1,64,20,0,0,6200,,34756,2046
2167,,,G,J.J. Spaun,44.81,0.88,54.7,69.58,21.5,0,0,6400,,36093,2167
693781,,,G,Matthew Wolff,29.4,0.94,50.2,52.5,17,0,0,7300,,777097,693781
1870,,,G,Daniel Berger,65.11,10.2,,84.5,27.5,0,0,8600,,34742,1870
1760,,,G,Tom Hoge,49.36,2.8,64.2,73.5,23,0,0,7100,,34888,1760
300102,,,G,Collin Morikawa,56.12,11.8,,78.58,24.5,0,0,10400,,36083,300102
1860,,,G,Corey Conners,62.26,19.9,,82.5,26,0,0,8000,,37123,1860
764710,,,G,Paul Dickinson,18.57,0.01,,24,11.5,0,0,6000,,3514203,764710
1135,,,G,Phil Mickelson,,0,,,,0,0,7100,,34795,1135
2125,,,G,Tony Finau,56.39,15.5,,78.5,24.5,0,0,7900,,34873,2125
2158,,,G,Lucas Glover,45.7,0.61,,71,22,0,0,6500,,34876,2158
700009,,,G,Joohyung Kim,35.23,0.24,37.3,61,19,0,0,6300,,2087790,700009
764711,,,G,Nic Ishee,18.53,0.02,,23.5,12,0,0,6000,,3514201,764711
1421,,,G,Bio Kim,18.69,0.02,,24,12,0,0,6100,,36670,1421
1356,,,G,Tyrrell Hatton,55.45,8.7,,77.5,24.5,0,0,8100,,35279,1356
1048,,,G,Ryan Fox,52.77,1.6,,76,23.5,0,0,6300,,36650,1048
2049,,,G,Zach Johnson,38.39,0.25,,64,20,0,0,6600,,34772,2049
670464,,,G,Robert Macintyre,46.56,2.7,,72,22,0,0,6900,,1156742,670464
764712,,,G,Casey Pyne,18.38,0.01,,23.5,11.5,0,0,6000,,3514200,764712
1554,,,G,Kevin Streelman,51.23,0.41,,75.5,23,0,0,6800,,34815,1554
1323,,,G,Martin Kaymer,38,0.08,,64,19.5,0,0,6900,,34774,1323
1478,,,G,Jhonattan Vegas,54.71,3.4,85.1,77.5,24,0,0,6900,,35007,1478
1005,,,G,Stewart Cink,40.77,0.68,,67,20.5,0,0,6700,,34863,1005
1049,,,G,Kevin Na,45.46,1.1,,70.5,22,0,0,6900,,34798,1049
670432,,,G,Adri Arnaus,39.73,0.3,,65.5,20.5,0,0,6700,,658702,670432
698889,,,G,Kazuki Higa,,0,,,,0,0,6500,,1568532,698889
320038,,,G,Sebastian Munoz,51.8,5.7,75.3,75,23.5,0,0,6800,,36138,320038
764713,,,G,Colin Inglis,18.64,0.03,,24,12,0,0,6200,,3514194,764713
1654,,,G,Russell Henley,53.18,5.4,,76.5,23.5,0,0,7200,,34884,1654
1237,,,G,Rickie Fowler,42.51,0.66,,68,21,0,0,7000,,34760,1237
510218,,,G,Cameron Champ,39,3.5,47.5,65,20.5,0,0,6900,,37122,510218
