"","G","G","G","G","G","G"
"1",22549459,22549468,22549477,22549489,22549496,22549513
"2",22549461,22549468,22549477,22549487,22549489,22549496
"3",22549461,22549468,22549477,22549487,22549489,22549497
"4",22549459,22549468,22549477,22549489,22549496,22549516
"5",22549461,22549468,22549477,22549488,22549489,22549496
"6",22549461,22549468,22549477,22549489,22549496,22549497
"7",22549459,22549468,22549477,22549489,22549497,22549516
"8",22549459,22549468,22549487,22549488,22549489,22549496
"9",22549459,22549468,22549477,22549489,22549501,22549504
"10",22549459,22549468,22549477,22549489,22549496,22549514
"11",22549459,22549468,22549477,22549489,22549501,22549505
"12",22549459,22549468,22549487,22549489,22549496,22549504
"13",22549459,22549468,22549487,22549488,22549489,22549504
"14",22549461,22549468,22549472,22549489,22549496,22549504
"15",22549459,22549468,22549487,22549489,22549496,22549501
"16",22549458,22549468,22549488,22549489,22549496,22549504
"17",22549461,22549468,22549472,22549489,22549496,22549501
"18",22549461,22549468,22549472,22549488,22549489,22549519
"19",22549459,22549468,22549486,22549488,22549489,22549501
"20",22549461,22549468,22549472,22549488,22549489,22549514
"21",22549459,22549468,22549478,22549489,22549501,22549505
"22",22549459,22549468,22549486,22549488,22549489,22549499
"23",22549459,22549461,22549489,22549499,22549501,22549505
"24",22549459,22549472,22549478,22549488,22549489,22549505
"25",22549459,22549461,22549488,22549489,22549514,22549517
"26",22549461,22549472,22549478,22549483,22549488,22549489
"27",22549458,22549472,22549486,22549488,22549489,22549505
"28",22549461,22549472,22549478,22549483,22549486,22549489
"29",22549461,22549472,22549478,22549484,22549486,22549489
"30",22549458,22549461,22549489,22549505,22549514,22549517
"31",22549461,22549472,22549478,22549480,22549481,22549505
"32",22549458,22549461,22549499,22549500,22549502,22549505
"33",22549458,22549461,22549492,22549502,22549505,22549514
"34",22549461,22549472,22549474,22549483,22549486,22549505
"35",22549461,22549472,22549481,22549484,22549485,22549486
"36",22549461,22549472,22549480,22549481,22549483,22549505
"37",22549458,22549461,22549492,22549500,22549502,22549514
"38",22549461,22549472,22549474,22549483,22549486,22549499
"39",22549461,22549472,22549474,22549478,22549486,22549514
"40",22549461,22549472,22549478,22549480,22549483,22549503
"41",22549458,22549461,22549485,22549514,22549517,22549518
"42",22549458,22549472,22549478,22549485,22549500,22549514
"43",22549458,22549472,22549480,22549483,22549500,22549514
"44",22549458,22549472,22549478,22549483,22549514,22549517
"45",22549458,22549472,22549480,22549483,22549503,22549514
"46",22549458,22549472,22549480,22549483,22549514,22549517
"47",22549458,22549472,22549483,22549490,22549492,22549503
"48",22549458,22549472,22549483,22549490,22549492,22549514
"49",22549458,22549480,22549481,22549483,22549485,22549514
"50",22549464,22549472,22549480,22549481,22549483,22549485
"51",22549464,22549474,22549479,22549480,22549481,22549485
"52",22549464,22549473,22549474,22549481,22549483,22549492
"53",22549466,22549473,22549479,22549480,22549481,22549483
"54",22549464,22549466,22549481,22549483,22549485,22549492
"55",22549470,22549473,22549474,22549480,22549481,22549483
"56",22549464,22549473,22549474,22549483,22549485,22549492
"57",22549464,22549473,22549479,22549480,22549483,22549492
"58",22549464,22549466,22549479,22549480,22549483,22549514
"59",22549464,22549473,22549474,22549479,22549480,22549503
"60",22549464,22549473,22549474,22549479,22549480,22549514
"61",22549466,22549473,22549474,22549479,22549480,22549492
"62",22549464,22549466,22549479,22549480,22549490,22549492
"63",22549464,22549470,22549473,22549480,22549490,22549492
"64",22549464,22549466,22549474,22549479,22549490,22549517
"65",22549464,22549466,22549474,22549479,22549492,22549506
"66",22549464,22549470,22549474,22549479,22549490,22549503
"67",22549464,22549471,22549474,22549479,22549490,22549518
"68",22549464,22549466,22549474,22549479,22549498,22549503
"69",22549464,22549466,22549474,22549479,22549490,22549515
"70",22549464,22549466,22549471,22549479,22549503,22549518
"71",22549464,22549466,22549471,22549479,22549508,22549518
"72",22549464,22549471,22549474,22549479,22549490,22549506
"73",22549464,22549466,22549471,22549479,22549508,22549511
"74",22549457,22549464,22549490,22549493,22549508,22549518
"75",22549464,22549466,22549470,22549490,22549493,22549498
"76",22549464,22549466,22549470,22549490,22549491,22549508
"77",22549462,22549464,22549470,22549490,22549508,22549518
"78",22549464,22549466,22549470,22549491,22549493,22549498
"79",22549464,22549466,22549471,22549491,22549498,22549508
"80",22549457,22549464,22549493,22549498,22549508,22549511
"81",22549464,22549466,22549471,22549491,22549498,22549506
"82",22549462,22549464,22549471,22549498,22549506,22549508
"83",22549466,22549469,22549470,22549471,22549515,22549520
"84",22549457,22549466,22549491,22549493,22549498,22549511
"85",22549462,22549466,22549469,22549493,22549498,22549515
"86",22549467,22549469,22549470,22549471,22549515,22549520
"87",22549462,22549466,22549471,22549493,22549495,22549498
"88",22549460,22549470,22549471,22549493,22549498,22549520
"89",22549462,22549466,22549470,22549493,22549515,22549520
"90",22549460,22549469,22549470,22549493,22549515,22549520
"91",22549462,22549465,22549469,22549507,22549512,22549515
"92",22549462,22549465,22549467,22549507,22549512,22549515
"93",0,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA
