id,player,team,opponent,position,salary,ownership
20938835,Joe Mixon,CIN,LV,RB,7100,66.1
20938887,Ja'Marr Chase,CIN,LV,WR,7800,63.9
20938837,Josh Jacobs,LV,CIN,RB,6600,58.3
20938841,Devin Singletary,BUF,NE,RB,5800,54.4
20938893,Tee Higgins,CIN,LV,WR,6200,53.3
20938889,Stefon Diggs,BUF,NE,WR,7500,45.9
20938955,Darren Waller,LV,CIN,TE,5700,42.7
20938993,Buffalo Bills,BUF,NE,D,3200,39.1
20938891,Hunter Renfrow,LV,CIN,WR,6400,36.2
20938823,Josh Allen,BUF,NE,QB,7900,34.6
20938995,New England Patriots,NE,BUF,D,2700,29.7
20938824,Joe Burrow,CIN,LV,QB,7300,28.3
20938897,Tyler Boyd,CIN,LV,WR,4600,27.1
20938825,Derek Carr,LV,CIN,QB,5800,26.8
20938961,C.J. Uzomah,CIN,LV,TE,3500,25.4
20938994,Cincinnati Bengals,CIN,LV,D,2900,24.6
20938903,Cole Beasley,BUF,NE,WR,4200,21.6
20938839,Damien Harris,NE,BUF,RB,6400,19.4
20938907,Gabriel Davis,BUF,NE,WR,3900,19.2
20938895,Jakobi Meyers,NE,BUF,WR,5000,19.0
20938845,Samaje Perine,CIN,LV,RB,4900,18.3
20938957,Dawson Knox,BUF,NE,TE,5100,18.2
20938905,Zay Jones,LV,CIN,WR,4000,16.1
20938959,Hunter Henry,NE,BUF,TE,4500,15.6
20938909,Nelson Agholor,NE,BUF,WR,3500,12.7
20938901,Kendrick Bourne,NE,BUF,WR,4400,11.6
20938826,Mac Jones,NE,BUF,QB,5300,10.3
20938843,Rhamondre Stevenson,NE,BUF,RB,5100,8.5
20938911,Bryan Edwards,LV,CIN,WR,3300,7.1
20938996,Las Vegas Raiders,LV,CIN,D,2500,6.6
20938853,Zack Moss,BUF,NE,RB,4500,6.6
20938899,Emmanuel Sanders,BUF,NE,WR,4300,6.5
20938847,Brandon Bolden,NE,BUF,RB,4800,6.3
20938963,Foster Moreau,LV,CIN,TE,3100,6.0
20938965,Jonnu Smith,NE,BUF,TE,2700,5.3
20938857,Jalen Richard,LV,CIN,RB,4000,5.3
20938913,Isaiah McKenzie,BUF,NE,WR,3400,3.2
20938849,Peyton Barber,LV,CIN,RB,4700,0.0
20938851,Chris Evans,CIN,LV,RB,4600,0.0
20938855,Matt Breida,BUF,NE,RB,4300,0.0
20938871,Reggie Gilliam,BUF,NE,RB,4000,0.0
20938877,Sutton Smith,LV,CIN,RB,4000,0.0
20938917,DeSean Jackson,LV,CIN,WR,3100,0.0
20938945,Mike Thomas,CIN,LV,WR,3000,0.0
20938943,Stanley Morgan,CIN,LV,WR,3000,0.0
20938935,Tyron Johnson,LV,CIN,WR,3000,0.0
20938947,Trenton Irwin,CIN,LV,WR,3000,0.0
20938919,N'Keal Harry,NE,BUF,WR,3000,0.0
20938921,Gunner Olszewski,NE,BUF,WR,3000,0.0
20938927,Jake Kumerow,BUF,NE,WR,3000,0.0
20938985,Drew Sample,CIN,LV,TE,2500,0.0
20938981,Derek Carrier,LV,CIN,TE,2500,0.0
20938987,Mitchell Wilcox,CIN,LV,TE,2500,0.0
