"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Cooper Kupp","LA","wr","11","ARZ","25.1","0","0","0","0","0","0","0.3717","1.929","0.0135","11.6328","9.124","112.0107","0.7574","0.133","0.0665","0.0299","17.8137","0.0225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Josh Allen","BUF","qb","7","NE","24.1","23.1505","35.6471","274.689","1.6211","0.9626","1.8202","8.7811","43.8106","0.5611","0","0","0","0","0.724","0.362","0.0799","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Tom Brady","TB","qb","9","PHI","23.8","27.2288","39.7122","345.7252","2.3423","0.3997","0.7843","2.1172","2.5921","0.1221","0","0","0","0","0.2908","0.1454","0.0747","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Joe Burrow","CIN","qb","10","LV","22.4","24.5462","35.31","303.351","2.1594","0.8435","3.0304","4.1254","12.2967","0.2203","0","0","0","0","0.5557","0.2778","0.0915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Patrick Mahomes","KC","qb","12","PIT","21.9","24.2993","35.9535","281.6818","1.8868","0.5563","1.7407","5.389","22.5021","0.2658","0","0","0","0","0.5635","0.2817","0.0562","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Dak Prescott","DAL","qb","7","SF","21.5","25.5467","36.626","287.9761","1.8963","0.691","1.8917","4.0508","16.6122","0.2683","0","0","0","0","0.6218","0.3109","0.0579","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Kyler Murray","ARZ","qb","12","@LA","21","22.9932","35.6697","248.6209","1.4397","0.8716","2.9439","7.0264","39.7354","0.3838","0","0","0","0","0.5489","0.2745","0.0796","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Jalen Hurts","PHI","qb","14","@TB","20.6","20.7003","33.643","223.0663","1.1217","0.9901","2.6332","9.9668","52.09","0.5591","0","0","0","0","0.9717","0.4858","0.0552","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Matthew Stafford","LA","qb","11","ARZ","20.5","25.6896","36.6792","300.6835","2.0804","0.7741","1.71","2.2806","5.2985","0.0738","0","0","0","0","0.394","0.197","0.0754","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Ja'Marr Chase","CIN","wr","10","LV","18.9","0","0","0","0","0","0","0.1181","0.7163","0.0041","8.109","5.6504","93.5139","0.6401","0.0831","0.0416","0.0192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Jimmy Garoppolo","SF","qb","6","@DAL","18.2","23.6512","34.1978","280.9709","1.6973","0.9563","2.3395","2.6893","6.0281","0.0981","0","0","0","0","0.4662","0.2331","0.079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Stefon Diggs","BUF","wr","7","NE","18.3","0","0","0","0","0","0","0.0234","0.1073","0.0007","9.3954","6.5955","86.0826","0.5184","0.0829","0.0415","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Leonard Fournette","TB","rb","9","PHI","17.3","0","0","0","0","0","0","14.7834","68.1955","0.506","4.4086","3.6966","28.9913","0.1478","0.0416","0.0208","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Derek Carr","LV","qb","8","@CIN","17.3","24.3191","36.0583","257.0792","1.5196","0.6478","1.6731","3.2639","7.9391","0.161","0","0","0","0","0.615","0.3075","0.0777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Joe Mixon","CIN","rb","10","LV","16.9","0","0","0","0","0","0","17.7166","73.6813","0.544","3.7166","3.1427","22.2702","0.1658","0.121","0.0605","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Najee Harris","PIT","rb","7","@KC","16.8","0","0","0","0","0","0","15.3193","64.0232","0.4074","5.4528","4.297","29.1757","0.1301","0.0904","0.0452","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Elijah Mitchell","SF","rb","6","@DAL","16.6","0","0","0","0","0","0","19.7056","88.9137","0.5471","2.8061","2.2927","16.4371","0.0884","0.1149","0.0574","0.0172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Deebo Samuel","SF","wr","6","@DAL","17.1","0","0","0","0","0","0","0.4187","2.5395","0.0228","8.2532","6.0802","81.0312","0.4225","0.1615","0.0808","0.0275","35.7042","0.0207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Mac Jones","NE","qb","14","@BUF","16.8","22.5368","33.8657","251.9908","1.4419","1.0024","2.0169","3.1088","13.2821","0.1255","0","0","0","0","0.5081","0.254","0.0719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Tee Higgins","CIN","wr","10","LV","17","0","0","0","0","0","0","0.0236","0.1347","0.0008","7.94","5.5948","81.585","0.5273","0.0696","0.0348","0.0362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Tyreek Hill","KC","wr","12","PIT","16.3","0","0","0","0","0","0","0.6328","2.8835","0.0398","7.6018","5.4268","74.0811","0.4941","0.048","0.024","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Mike Evans","TB","wr","9","PHI","15.9","0","0","0","0","0","0","0","0","0","7.2838","5.019","76.6779","0.5321","0.0157","0.0079","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Josh Jacobs","LV","rb","8","@CIN","15.2","0","0","0","0","0","0","14.6101","61.3855","0.4478","4.2576","3.4561","23.8941","0.0954","0.1022","0.0511","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","CeeDee Lamb","DAL","wr","7","SF","15.5","0","0","0","0","0","0","0.3301","1.9796","0.0139","7.5719","5.3825","73.0013","0.4322","0.0553","0.0277","0.0087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
