"","Name","week","TeamAbbrev","def_rush_epa_rank","opponent","rdef_rank","Salary","Own","FPTS","sum_sd","FPTS_vs_proj","FPTS_dollar","ppo","runBlockAdv"
"1","Jeff Wilson Jr.",15,"SF",16,"ATL",24,5000,11.7,22.9,0.6875,1.4,0.00458,2,92
"2","D'Onta Foreman",15,"TEN",31,"PIT",10,5200,11,18.5,-0.509,2.3,0.00356,1.7,66
"3","James Robinson",15,"JAX",20,"HOU",30,5400,47.6,17.8,0.4465,0.9,0.0033,0.4,18
"4","Devin Singletary",15,"BUF",14,"CAR",22,5000,3.3,16.6,0.387,1.4,0.00332,5,38
"5","Ezekiel Elliott",15,"DAL",29,"NYG",27,7300,8.2,16.2,0.0965,1,0.00222,2,71
"6","Craig Reynolds",15,"DET",16,"ARI",31,4300,4.9,15.7,0.992,NA,0.00365,3.2,50
"7","Ameer Abdullah",15,"CAR",8,"BUF",22,4400,0.2,15.5,0.0104999999999999,2.1,0.00352,77.5,-10
"8","Aaron Jones",15,"GB",5,"BAL",13,6600,8.6,15,0.284,1.1,0.00227,1.7,10
"9","Javonte Williams",15,"DEN",24,"CIN",23,6100,5.8,12.1,0.302,0.9,0.00198,2.1,58
"10","Tony Pollard",15,"DAL",29,"NYG",27,5800,2.7,11.7,0.0865,1.6,0.00202,4.3,71
"11","AJ Dillon",15,"GB",5,"BAL",13,5700,5,10.5,NA,NA,0.00184,2.1,10
"12","Saquon Barkley",15,"NYG",19,"DAL",26,6500,5.3,10.4,0.292,0.7,0.0016,2,34
"13","Devontae Booker",15,"NYG",19,"DAL",26,4700,0.4,10.2,0.2385,1.9,0.00217,25.5,34
"14","Dontrell Hilliard",15,"TEN",31,"PIT",10,4900,0.7,9.9,-0.404,1.5,0.00202,14.1,66
"15","James Conner",15,"ARI",21,"DET",29,6400,15.7,9,0.501,0.9,0.00141,0.6,40
"16","Jeremy McNichols",15,"TEN",31,"PIT",10,4600,0.2,8.1,-0.611,0.8,0.00176,40.5,66
"17","Joe Mixon",15,"CIN",18,"DEN",15,7200,10.8,7,0.0275,0.5,0.00097,0.6,23
"18","Samaje Perine",15,"CIN",18,"DEN",15,4600,0.1,6.3,-0.083,1.3,0.00137,63,23
"19","Latavius Murray",15,"BAL",23,"GB",14,4600,0.3,6.1,-0.4915,1.6,0.00133,20.3,19
"20","Rex Burkhead",15,"HOU",30,"JAC",28,4800,0.1,5.7,-0.505,NA,0.00119,57,13
"21","Myles Gaskin",15,"MIA",32,"NYJ",32,5600,23.6,5.4,-0.119,0.3,0.00096,0.2,22
"22","Chase Edmonds",15,"ARI",21,"DET",29,5100,7,5.3,0.471,0.4,0.00104,0.8,40
"23","Chuba Hubbard",15,"CAR",8,"BUF",22,5700,1.5,5.1,0.0829999999999999,0.5,0.00089,3.4,-10
"24","Najee Harris",15,"PIT",3,"TEN",11,7800,12.4,4.6,0.271,0.2,0.00059,0.4,12
"25","Cordarrelle Patterson",15,"ATL",6,"SF",6,6900,13.5,4.3,-0.014,0.3,0.00062,0.3,22
"26","David Johnson",15,"HOU",30,"JAC",28,4900,1.5,3.7,-0.479,0.3,0.00076,2.5,13
"27","Devonta Freeman",15,"BAL",23,"GB",14,5500,5.4,3.4,-0.485,0.3,0.00062,0.6,19
"28","Michael Carter",15,"NYJ",13,"MIA",8,4700,16.1,3,-0.146,0.3,0.00064,0.2,17
"29","Mike Davis",15,"ATL",6,"SF",6,5100,0.8,2.1,-0.0795,0.2,0.00041,2.6,22
"30","Godwin Igwebuike",15,"DET",16,"ARI",31,4200,0.2,2.1,0.79,0.3,5e-04,10.5,50
"31","JaMycal Hasty",15,"SF",16,"ATL",24,4200,0.3,1.6,0.5935,0.2,0.00038,5.3,92
"32","Jermar Jefferson",15,"DET",16,"ARI",31,4000,0.3,0.9,0.685,0.4,0.00022,3,50
"33","Royce Freeman",15,"HOU",30,"JAC",28,4500,0.4,0.8,-0.491,0.1,0.00018,2,13
"34","Matt Breida",15,"BUF",14,"CAR",22,4800,0.5,0.1,0.2955,0,2e-05,0.2,38
"35","Ty Johnson",15,"NYJ",13,"MIA",8,4800,0.1,0,-0.2675,0,0,0,17
"36","Salvon Ahmed",15,"MIA",32,"NYJ",32,4000,0.1,0,-0.218,0,0,0,22
