Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2938955414,payroll916 (13/50),0,192.90001,C Tyler Seguin C Tomas Hertl W Kirill Kaprizov UTIL J.T. Miller W Alexander Radulov W Jason Robertson D John Klingberg D Tyler Myers G John Gibson,,Auston Matthews,C,29.90%,31.6
2,2938862259,Shaunovery (104/150),0,189.1,C John Tavares C Tomas Hertl W William Nylander W Mitchell Marner UTIL Jason Robertson W Marcus Foligno D Alec Martinez D Filip Hronek G Carter Hart,,Sean Couturier,C,19.19%,19.3
3,2939214053,kcgreenscreen (8/20),0,187.7,C Auston Matthews C Nick Suzuki W Mitchell Marner W Brendan Gallagher W Josh Anderson D Morgan Rielly D Jeff Petry UTIL Ryan Merkley G Jack Campbell,,Jakob Chychrun,D,17.46%,12
4,2939053009,carnattitan (7/40),0,187.49998,C Auston Matthews C Nick Suzuki W William Nylander W Tyler Toffoli W Brendan Gallagher UTIL Josh Anderson D Moritz Seider D Nick Leddy G Jack Campbell,,John Tavares,C,17.19%,10.8
5,2938720246,Boyd10stl (114/150),0,186.2,C Auston Matthews C Nick Suzuki W William Nylander W Tyler Toffoli W Brendan Gallagher UTIL Michael Bunting D Jake Muzzin D Mario Ferraro G Jack Campbell,,Kevin Fiala,W,15.53%,14.5
6,2938653544,jdaraitis87 (3/5),0,185.3,C Auston Matthews C Tomas Hertl UTIL Jamie Benn W Mitchell Marner W Kevin Fiala W Drake Batherson D Moritz Seider D Filip Hronek G Alex Nedeljkovic,,Mitchell Marner,W,15.04%,27.5
7,2939221513,atrain00 (68/100),0,183.70001,C Auston Matthews C Nick Suzuki UTIL Kevin Fiala W Brendan Gallagher W James van Riemsdyk W Marcus Foligno D Jakob Chychrun D Jeff Petry G Jack Campbell,,Jacob Markstrom,G,14.95%,4.8
8,2939049587,jummyjummy (9/150),0,182.5,C Auston Matthews C Nick Suzuki UTIL William Nylander W Brendan Gallagher W Michael Bunting W Josh Anderson D Alec Martinez D Christopher Tanev G John Gibson,,Dougie Hamilton,D,14.48%,3
9,2939333681,jucf97,0,182.4,C Auston Matthews C Tomas Hertl UTIL Mikael Backlund W Mitchell Marner W Drake Batherson W Jason Robertson D Morgan Rielly D Moritz Seider G Alex Nedeljkovic,,Tomas Hertl,C,14.44%,29.5
10,2939165519,kreller17 (15/150),0,181.6,C Auston Matthews C Nick Suzuki W William Nylander W Brendan Gallagher W Michael Bunting UTIL Marcus Foligno D Jeff Petry D Jake Muzzin G Carter Hart,,Travis Konecny,W,13.61%,9.3
11,2939105965,Fabio_damari (36/40),0,180,C Auston Matthews UTIL John Tavares C Tomas Hertl W Mitchell Marner W Rudolfs Balcers W Alexander Barabanov D Nate Schmidt D Josh Morrissey G Jack Campbell,,Claude Giroux,W,13.43%,18
12,2939221508,atrain00 (63/100),0,179.8,C Auston Matthews C Tomas Hertl W William Nylander W Brendan Gallagher W Josh Anderson UTIL Jakob Chychrun D Jeff Petry D Filip Hronek G Jack Campbell,,Johnny Gaudreau,W,13.34%,4.5
13,2939221490,atrain00 (45/100),0,178.4,C Auston Matthews C Nick Suzuki UTIL Tomas Hertl W Kevin Fiala W Brendan Gallagher W Alexander Barabanov D Jakob Chychrun D Jeff Petry G Jack Campbell,,William Nylander,W,13.31%,24
14,2939216381,oliveratticus (85/150),0,177.9,C Auston Matthews C Nick Suzuki UTIL William Nylander W Brendan Gallagher W Michael Bunting W Josh Anderson D Jeff Petry D Christopher Tanev G Jack Campbell,,Jason Robertson,UTIL,13.15%,20.3
15,2938653545,jdaraitis87 (4/5),0,177.8,C Auston Matthews C Tomas Hertl W Mitchell Marner W Kevin Fiala UTIL Drake Batherson W Jason Robertson D Jake Muzzin D Filip Hronek G Alex Nedeljkovic,,Elias Lindholm,C,12.38%,11
16,2939244579,prytula23 (49/150),0,177.4,C Auston Matthews C Tomas Hertl W Mitchell Marner UTIL Jason Robertson W Brendan Gallagher W Josh Anderson D John Klingberg D Jeff Petry G Cam Talbot,,Mikael Backlund,UTIL,12.28%,3
17,2938818445,4th_and_29 (18/100),0,176.9,C Auston Matthews C Nick Suzuki UTIL William Nylander W Brendan Gallagher W Michael Bunting W Josh Anderson D Jakob Chychrun D Travis Dermott G Jack Campbell,,Kirill Kaprizov,W,12.10%,25.5
18,2939415910,Jeddy3030 (2/150),0,176.40001,C Auston Matthews C Tomas Hertl UTIL Kevin Fiala W Tyler Toffoli W Brendan Gallagher W Marcus Foligno D Jared Spurgeon D Jeff Petry G Jack Campbell,,Jake Muzzin,D,12.03%,2.6
18,2939128242,1991Wings (10/20),0,176.4,C Auston Matthews C Tomas Hertl W Mitchell Marner W Jonathan Dahlen W Josh Anderson UTIL Brent Burns D Mattias Ekholm D Will Butcher G Juuse Saros,,Igor Shesterkin,G,11.81%,14.6
